gen,filename,score
1,"[20, 435]",455.765937
1,"[202, 264]",499.703044
1,"[134, 329]",538.042998
1,"[119, 277]",553.234699
1,"[4, 339]",572.947013
1,"[207, 389]",593.631283
1,"[157, 326]",594.524333
1,"[128, 225]",603.59612
1,"[51, 373]",605.376445
1,"[60, 156]",610.169347
1,"[319, 333]",621.918352
1,"[225, 273]",622.742485
1,"[127, 139]",658.464273
1,"[382, 391]",660.304236
1,"[343, 403]",662.405783
1,"[252, 255]",687.510042
1,"[24, 295]",697.930853
1,"[87, 184]",707.831547
1,"[83, 298]",723.171196
1,"[357, 400]",729.163589
1,"[4, 98]",732.494429
1,"[36, 145]",776.033944
1,"[93, 117]",778.329104
1,"[182, 349]",782.601149
1,"[15, 130]",790.82189
1,"[32, 243]",811.035129
1,"[374, 418]",840.915634
1,"[191, 380]",861.478455
1,"[38, 83]",940.839787
1,"[45, 148]",945.372528
1,"[61, 363]",1004.271165
1,"[315, 437]",1102.364422
2,"[202, 277]",343.903104
2,"[36, 277]",452.454986
2,"[45, 373]",594.323107
2,"[45, 435]",610.984926
2,"[391, 392]",631.416234
2,"[207, 225]",637.410768
2,"[130, 205]",644.494015
2,"[24, 225]",645.681674
2,"[83, 130]",660.268383
2,"[93, 255]",695.122669
2,"[24, 295]",697.930853
2,"[83, 382]",702.013532
2,"[87, 184]",707.831547
2,"[83, 273]",721.358968
2,"[83, 298]",723.171196
2,"[357, 400]",729.163589
2,"[4, 98]",732.494429
2,"[270, 437]",745.829216
2,"[87, 298]",766.225832
2,"[36, 145]",776.033944
2,"[93, 117]",778.329104
2,"[182, 349]",782.601149
2,"[15, 130]",790.82189
2,"[32, 243]",811.035129
2,"[374, 418]",840.915634
2,"[191, 380]",861.478455
2,"[38, 83]",940.839787
2,"[45, 148]",945.372528
2,"[191, 363]",952.186812
2,"[61, 363]",1004.271165
2,"[87, 227]",1032.294091
2,"[315, 437]",1102.364422
3,"[45, 400]",607.889807
3,"[83, 130]",660.268383
3,"[93, 298]",702.137384
3,"[4, 98]",732.494429
3,"[270, 437]",745.829216
3,"[363, 391]",758.267056
3,"[87, 298]",766.225832
3,"[191, 373]",773.282995
3,"[36, 145]",776.033944
3,"[93, 117]",778.329104
3,"[182, 349]",782.601149
3,"[15, 130]",790.82189
3,"[32, 243]",811.035129
3,"[184, 363]",826.582104
3,"[32, 349]",827.27649
3,"[87, 281]",831.03127
3,"[374, 418]",840.915634
3,"[191, 380]",861.478455
3,"[61, 254]",920.082077
3,"[61, 298]",927.270153
3,"[27, 191]",933.027326
3,"[117, 285]",933.91456
3,"[107, 130]",934.688927
3,"[38, 83]",940.839787
3,"[45, 148]",945.372528
3,"[191, 363]",952.186812
3,"[61, 363]",1004.271165
3,"[38, 255]",1018.763222
3,"[87, 227]",1032.294091
3,"[315, 437]",1102.364422
3,"[38, 145]",1125.17132
3,"[45, 94]",1450.319719
4,"[83, 108]",525.040871
4,"[45, 418]",593.485585
4,"[45, 247]",642.471286
4,"[45, 437]",655.985609
4,"[45, 380]",682.64984
4,"[83, 270]",700.82061
4,"[14, 93]",755.807509
4,"[87, 298]",766.225832
4,"[83, 428]",767.706702
4,"[44, 349]",779.640638
4,"[374, 418]",840.915634
4,"[191, 380]",861.478455
4,"[61, 254]",920.082077
4,"[61, 298]",927.270153
4,"[27, 191]",933.027326
4,"[117, 285]",933.91456
4,"[107, 130]",934.688927
4,"[38, 83]",940.839787
4,"[45, 148]",945.372528
4,"[191, 363]",952.186812
4,"[61, 232]",958.473266
4,"[45, 227]",961.925074
4,"[61, 281]",992.09932
4,"[61, 363]",1004.271165
4,"[38, 254]",1017.98502
4,"[38, 255]",1018.763222
4,"[363, 368]",1032.136368
4,"[87, 227]",1032.294091
4,"[107, 145]",1094.508977
4,"[315, 437]",1102.364422
4,"[38, 145]",1125.17132
4,"[45, 94]",1450.319719
5,"[87, 246]",613.001191
5,"[277, 363]",660.23589
5,"[83, 367]",671.352049
5,"[285, 344]",712.97602
5,"[45, 232]",726.977881
5,"[83, 349]",751.454828
5,"[61, 383]",760.429631
5,"[45, 363]",772.831364
5,"[27, 287]",790.618373
5,"[61, 418]",825.014476
5,"[44, 363]",828.692557
5,"[38, 111]",840.602121
5,"[61, 436]",913.622949
5,"[38, 418]",923.383269
5,"[107, 130]",934.688927
5,"[38, 83]",940.839787
5,"[45, 148]",945.372528
5,"[107, 392]",945.625106
5,"[191, 363]",952.186812
5,"[61, 232]",958.473266
5,"[45, 227]",961.925074
5,"[61, 281]",992.09932
5,"[61, 363]",1004.271165
5,"[38, 254]",1017.98502
5,"[38, 255]",1018.763222
5,"[363, 368]",1032.136368
5,"[87, 227]",1032.294091
5,"[107, 145]",1094.508977
5,"[315, 437]",1102.364422
5,"[38, 145]",1125.17132
5,"[92, 227]",1355.111274
5,"[45, 94]",1450.319719
6,"[45, 106]",465.849511
6,"[45, 383]",528.943174
6,"[45, 197]",541.825116
6,"[11, 83]",627.992812
6,"[45, 388]",705.225617
6,"[111, 348]",753.657644
6,"[61, 418]",825.014476
6,"[363, 438]",825.275845
6,"[38, 86]",826.131162
6,"[44, 145]",852.103386
6,"[61, 437]",887.310821
6,"[38, 418]",923.383269
6,"[107, 367]",944.074938
6,"[45, 148]",945.372528
6,"[107, 392]",945.625106
6,"[191, 363]",952.186812
6,"[61, 232]",958.473266
6,"[45, 227]",961.925074
6,"[315, 431]",980.666316
6,"[61, 281]",992.09932
6,"[61, 363]",1004.271165
6,"[38, 254]",1017.98502
6,"[38, 255]",1018.763222
6,"[363, 368]",1032.136368
6,"[87, 227]",1032.294091
6,"[44, 378]",1074.407894
6,"[107, 145]",1094.508977
6,"[315, 437]",1102.364422
6,"[38, 145]",1125.17132
6,"[61, 227]",1193.257577
6,"[92, 227]",1355.111274
6,"[45, 94]",1450.319719
7,"[111, 128]",602.805339
7,"[45, 438]",636.808891
7,"[181, 191]",727.752981
7,"[44, 255]",744.397438
7,"[363, 437]",845.032773
7,"[87, 145]",865.658125
7,"[61, 438]",868.169088
7,"[284, 363]",922.480611
7,"[38, 418]",923.383269
7,"[187, 227]",943.799343
7,"[61, 232]",958.473266
7,"[45, 227]",961.925074
7,"[315, 431]",980.666316
7,"[61, 281]",992.09932
7,"[157, 227]",993.942901
7,"[61, 363]",1004.271165
7,"[38, 254]",1017.98502
7,"[38, 255]",1018.763222
7,"[61, 145]",1027.667665
7,"[363, 368]",1032.136368
7,"[87, 227]",1032.294091
7,"[315, 418]",1039.70001
7,"[61, 348]",1057.464563
7,"[44, 378]",1074.407894
7,"[107, 145]",1094.508977
7,"[315, 437]",1102.364422
7,"[38, 145]",1125.17132
7,"[61, 227]",1193.257577
7,"[38, 148]",1275.017643
7,"[92, 227]",1355.111274
7,"[148, 315]",1385.660444
7,"[45, 94]",1450.319719
8,"[181, 418]",557.868188
8,"[111, 363]",699.648547
8,"[61, 418]",825.014476
8,"[112, 145]",859.376524
8,"[87, 145]",865.658125
8,"[111, 148]",872.172751
8,"[38, 418]",923.383269
8,"[227, 391]",947.339753
8,"[53, 227]",962.495927
8,"[227, 332]",998.139895
8,"[61, 363]",1004.271165
8,"[348, 363]",1015.393227
8,"[44, 227]",1017.828634
8,"[38, 254]",1017.98502
8,"[38, 255]",1018.763222
8,"[61, 145]",1027.667665
8,"[363, 368]",1032.136368
8,"[87, 227]",1032.294091
8,"[315, 418]",1039.70001
8,"[61, 348]",1057.464563
8,"[44, 378]",1074.407894
8,"[28, 227]",1091.849505
8,"[107, 145]",1094.508977
8,"[315, 437]",1102.364422
8,"[38, 145]",1125.17132
8,"[61, 227]",1193.257577
8,"[38, 148]",1275.017643
8,"[92, 227]",1355.111274
