gen,filename,score
1,"[67, 383]",451.511778
1,"[66, 305]",484.294845
1,"[40, 41]",524.710133
1,"[101, 334]",538.72858
1,"[208, 238]",543.65481
1,"[62, 86]",547.713689
1,"[86, 251]",565.268737
1,"[244, 362]",596.993817
1,"[7, 324]",600.38312
1,"[45, 274]",602.717671
1,"[58, 215]",662.022956
1,"[93, 241]",671.77883
1,"[36, 229]",743.732231
1,"[89, 298]",754.780804
1,"[35, 125]",758.98546
1,"[79, 303]",780.828862
1,"[105, 243]",792.971748
1,"[280, 321]",799.179709
1,"[177, 309]",867.843066
1,"[123, 428]",878.368709
1,"[71, 125]",901.212216
1,"[48, 310]",926.970583
1,"[107, 204]",938.405596
1,"[310, 429]",976.929815
1,"[171, 365]",989.142595
1,"[260, 344]",997.624063
1,"[221, 398]",999.740449
1,"[294, 307]",1011.485112
1,"[61, 423]",1033.843605
1,"[78, 82]",1105.05711
1,"[135, 177]",1159.853419
1,"[376, 421]",1206.659178
2,"[36, 383]",509.039627
2,"[31, 344]",572.245751
2,"[101, 204]",619.248216
2,"[105, 274]",688.951932
2,"[62, 241]",694.054336
2,"[229, 354]",694.65548
2,"[7, 177]",741.365151
2,"[101, 229]",743.412081
2,"[123, 324]",759.715251
2,"[237, 429]",763.340195
2,"[105, 243]",792.971748
2,"[280, 321]",799.179709
2,"[86, 310]",825.887156
2,"[58, 229]",842.672801
2,"[177, 309]",867.843066
2,"[177, 298]",875.2606
2,"[123, 428]",878.368709
2,"[280, 307]",900.630057
2,"[71, 125]",901.212216
2,"[48, 310]",926.970583
2,"[309, 376]",927.872411
2,"[107, 204]",938.405596
2,"[310, 429]",976.929815
2,"[171, 365]",989.142595
2,"[260, 344]",997.624063
2,"[221, 398]",999.740449
2,"[294, 307]",1011.485112
2,"[61, 423]",1033.843605
2,"[193, 376]",1081.87891
2,"[78, 82]",1105.05711
2,"[135, 177]",1159.853419
2,"[376, 421]",1206.659178
3,"[7, 429]",626.189418
3,"[238, 243]",644.630962
3,"[184, 204]",692.776407
3,"[177, 383]",707.9604
3,"[309, 324]",726.699634
3,"[62, 309]",739.61547
3,"[61, 354]",747.721161
3,"[177, 391]",749.016379
3,"[62, 381]",766.695135
3,"[71, 82]",772.472587
3,"[123, 428]",878.368709
3,"[101, 310]",892.906108
3,"[280, 307]",900.630057
3,"[71, 125]",901.212216
3,"[48, 310]",926.970583
3,"[309, 376]",927.872411
3,"[107, 204]",938.405596
3,"[132, 421]",950.39491
3,"[387, 398]",971.658813
3,"[310, 429]",976.929815
3,"[171, 365]",989.142595
3,"[260, 344]",997.624063
3,"[221, 398]",999.740449
3,"[177, 376]",1003.275233
3,"[294, 307]",1011.485112
3,"[61, 423]",1033.843605
3,"[61, 376]",1055.244026
3,"[193, 376]",1081.87891
3,"[78, 82]",1105.05711
3,"[61, 310]",1144.445347
3,"[135, 177]",1159.853419
3,"[376, 421]",1206.659178
4,"[132, 177]",746.997713
4,"[215, 398]",767.248328
4,"[10, 387]",790.475791
4,"[193, 256]",810.259819
4,"[58, 177]",842.388486
4,"[177, 243]",886.275657
4,"[341, 423]",908.585373
4,"[107, 204]",938.405596
4,"[101, 421]",946.416444
4,"[177, 398]",947.303881
4,"[132, 421]",950.39491
4,"[387, 398]",971.658813
4,"[310, 429]",976.929815
4,"[171, 365]",989.142595
4,"[260, 344]",997.624063
4,"[221, 398]",999.740449
4,"[177, 376]",1003.275233
4,"[294, 310]",1003.870285
4,"[294, 307]",1011.485112
4,"[61, 423]",1033.843605
4,"[61, 376]",1055.244026
4,"[221, 376]",1055.558087
4,"[193, 376]",1081.87891
4,"[177, 310]",1092.560406
4,"[78, 82]",1105.05711
4,"[61, 310]",1144.445347
4,"[221, 310]",1144.776443
