gen,filename,score
1,"[216, 302]",1.427
1,"[385, 414]",1.754
1,"[22, 177]",1.891
1,"[177, 337]",2.011
1,"[57, 96]",2.014
1,"[204, 444]",2.094
1,"[118, 262]",2.196
1,"[322, 358]",2.253
1,"[146, 376]",2.26
1,"[231, 388]",2.477
1,"[76, 140]",2.497
1,"[262, 287]",2.503
1,"[125, 201]",2.517
1,"[166, 408]",2.558
1,"[129, 400]",2.726
1,"[101, 129]",2.747
1,"[55, 326]",2.76
1,"[219, 261]",2.805
1,"[321, 354]",2.808
1,"[160, 279]",2.886
1,"[19, 405]",2.915
1,"[189, 262]",2.951
1,"[164, 329]",3.075
1,"[19, 277]",3.112
1,"[240, 279]",3.169
1,"[32, 413]",3.379
1,"[81, 181]",3.423
1,"[83, 405]",3.494
1,"[133, 426]",3.692
1,"[156, 358]",3.874
1,"[11, 383]",4.46
1,"[60, 155]",4.735
2,"[22, 414]",1.12
2,"[81, 302]",1.32
2,"[177, 414]",1.413
2,"[216, 302]",1.427
2,"[385, 414]",1.754
2,"[22, 177]",1.891
2,"[177, 337]",2.011
2,"[57, 96]",2.014
2,"[204, 444]",2.094
2,"[96, 385]",2.147
2,"[118, 262]",2.196
2,"[22, 111]",2.225
2,"[322, 358]",2.253
2,"[146, 376]",2.26
2,"[204, 388]",2.265
2,"[166, 424]",2.329
2,"[231, 232]",2.366
2,"[177, 177]",2.388
2,"[153, 408]",2.422
2,"[231, 388]",2.477
2,"[168, 177]",2.478
2,"[76, 140]",2.497
2,"[262, 287]",2.503
2,"[125, 201]",2.517
2,"[166, 408]",2.558
2,"[22, 262]",2.567
2,"[129, 400]",2.726
2,"[101, 129]",2.747
2,"[76, 123]",2.824
2,"[129, 216]",3.036
2,"[293, 444]",3.159
2,"[57, 279]",3.49
3,"[22, 414]",1.12
3,"[301, 302]",1.197
3,"[81, 302]",1.32
3,"[177, 414]",1.413
3,"[216, 302]",1.427
3,"[385, 414]",1.754
3,"[22, 177]",1.891
3,"[177, 337]",2.011
3,"[57, 96]",2.014
3,"[111, 385]",2.051
3,"[204, 444]",2.094
3,"[96, 337]",2.141
3,"[96, 385]",2.147
3,"[118, 262]",2.196
3,"[22, 111]",2.225
3,"[166, 376]",2.226
3,"[322, 358]",2.253
3,"[22, 133]",2.256
3,"[146, 376]",2.26
3,"[204, 388]",2.265
3,"[22, 376]",2.305
3,"[81, 199]",2.311
3,"[166, 424]",2.329
3,"[76, 232]",2.41
3,"[262, 385]",2.411
3,"[177, 408]",2.421
3,"[81, 408]",2.488
3,"[358, 408]",2.515
3,"[166, 201]",2.535
3,"[385, 433]",2.558
3,"[231, 348]",2.847
3,"[385, 444]",3.126
4,"[22, 414]",1.12
4,"[301, 302]",1.197
4,"[166, 414]",1.225
4,"[81, 302]",1.32
4,"[22, 302]",1.337
4,"[177, 414]",1.413
4,"[216, 302]",1.427
4,"[81, 414]",1.537
4,"[96, 111]",1.671
4,"[385, 414]",1.754
4,"[22, 177]",1.891
4,"[96, 118]",1.953
4,"[111, 302]",1.969
4,"[177, 337]",2.011
4,"[57, 96]",2.014
4,"[111, 385]",2.051
4,"[204, 444]",2.094
4,"[195, 376]",2.115
4,"[118, 385]",2.118
4,"[96, 337]",2.141
4,"[96, 385]",2.147
4,"[118, 262]",2.196
4,"[179, 376]",2.202
4,"[22, 111]",2.225
4,"[166, 376]",2.226
4,"[204, 408]",2.311
4,"[71, 177]",2.669
4,"[49, 262]",2.791
4,"[146, 177]",2.87
4,"[166, 299]",3.05
4,"[312, 444]",3.056
4,"[322, 414]",10
5,"[22, 31]",0.581
5,"[22, 413]",0.654
5,"[22, 414]",1.12
5,"[301, 302]",1.197
5,"[166, 414]",1.225
5,"[81, 302]",1.32
5,"[22, 302]",1.337
5,"[177, 414]",1.413
5,"[216, 302]",1.427
5,"[301, 414]",1.43
5,"[118, 302]",1.486
5,"[204, 302]",1.518
5,"[81, 414]",1.537
5,"[195, 302]",1.602
5,"[96, 111]",1.671
5,"[385, 414]",1.754
5,"[22, 342]",1.789
5,"[22, 177]",1.891
5,"[96, 118]",1.953
5,"[111, 302]",1.969
5,"[177, 337]",2.011
5,"[57, 96]",2.014
5,"[111, 385]",2.051
5,"[118, 153]",2.15
5,"[111, 118]",2.159
5,"[302, 309]",2.228
5,"[166, 337]",2.293
5,"[81, 385]",2.437
5,"[191, 385]",2.992
5,"[118, 227]",3.173
5,"[204, 414]",10
5,"[111, 414]",10
6,"[22, 31]",0.581
6,"[22, 413]",0.654
6,"[31, 301]",0.798
6,"[31, 118]",0.837
6,"[7, 31]",1.114
6,"[22, 414]",1.12
6,"[301, 302]",1.197
6,"[166, 414]",1.225
6,"[81, 302]",1.32
6,"[22, 302]",1.337
6,"[177, 414]",1.413
6,"[216, 302]",1.427
6,"[301, 414]",1.43
6,"[118, 302]",1.486
6,"[204, 302]",1.518
6,"[81, 414]",1.537
6,"[195, 302]",1.602
6,"[302, 431]",1.635
6,"[96, 111]",1.671
6,"[385, 414]",1.754
6,"[111, 216]",1.978
6,"[111, 301]",2.035
6,"[96, 177]",2.129
6,"[22, 111]",2.225
6,"[111, 309]",2.392
6,"[22, 300]",2.422
