gen,filename,score
1,"[100, 427]",1.511
1,"[69, 300]",1.526
1,"[131, 328]",1.825
1,"[263, 399]",1.848
1,"[8, 431]",1.943
1,"[145, 284]",2.154
1,"[90, 257]",2.187
1,"[73, 216]",2.198
1,"[188, 287]",2.239
1,"[204, 350]",2.25
1,"[194, 392]",2.342
1,"[339, 403]",2.354
1,"[17, 132]",2.368
1,"[166, 432]",2.403
1,"[124, 289]",2.447
1,"[4, 335]",2.465
1,"[206, 339]",2.528
1,"[221, 385]",2.539
1,"[84, 168]",2.55
1,"[405, 424]",2.689
1,"[148, 267]",2.704
1,"[169, 202]",2.722
1,"[261, 393]",3.224
1,"[114, 442]",3.28
1,"[135, 161]",3.287
1,"[217, 316]",3.721
1,"[209, 255]",3.793
1,"[102, 155]",4.022
1,"[250, 255]",4.148
1,"[43, 316]",4.173
1,"[132, 341]",4.346
1,"[234, 374]",10
2,"[100, 427]",1.511
2,"[69, 300]",1.526
2,"[124, 427]",1.718
2,"[17, 432]",1.782
2,"[131, 328]",1.825
2,"[263, 399]",1.848
2,"[131, 244]",1.928
2,"[8, 431]",1.943
2,"[17, 361]",2.1
2,"[145, 284]",2.154
2,"[90, 257]",2.187
2,"[73, 216]",2.198
2,"[188, 287]",2.239
2,"[188, 328]",2.246
2,"[204, 350]",2.25
2,"[194, 392]",2.342
2,"[339, 403]",2.354
2,"[17, 132]",2.368
2,"[101, 204]",2.391
2,"[166, 432]",2.403
2,"[82, 84]",2.424
2,"[124, 289]",2.447
2,"[90, 350]",2.457
2,"[4, 335]",2.465
2,"[399, 408]",2.678
2,"[132, 148]",2.903
2,"[4, 396]",3.432
2,"[221, 399]",3.542
2,"[69, 339]",3.601
2,"[9, 405]",3.881
2,"[77, 261]",3.929
2,"[221, 335]",4.136
3,"[100, 427]",1.511
3,"[69, 300]",1.526
3,"[124, 427]",1.718
3,"[17, 432]",1.782
3,"[131, 328]",1.825
3,"[263, 399]",1.848
3,"[156, 263]",1.902
3,"[131, 244]",1.928
3,"[8, 431]",1.943
3,"[131, 300]",1.945
3,"[84, 409]",1.961
3,"[17, 361]",2.1
3,"[263, 427]",2.101
3,"[145, 284]",2.154
3,"[90, 285]",2.165
3,"[100, 328]",2.17
3,"[188, 244]",2.182
3,"[90, 257]",2.187
3,"[73, 216]",2.198
3,"[188, 287]",2.239
3,"[188, 328]",2.246
3,"[204, 350]",2.25
3,"[194, 328]",2.258
3,"[17, 328]",2.267
3,"[194, 392]",2.342
3,"[132, 287]",2.418
3,"[90, 350]",2.457
3,"[82, 328]",2.46
3,"[69, 233]",2.683
3,"[299, 350]",3.146
3,"[273, 427]",3.539
3,"[144, 339]",3.792
4,"[100, 427]",1.511
4,"[69, 300]",1.526
4,"[17, 427]",1.631
4,"[257, 263]",1.676
4,"[124, 427]",1.718
4,"[17, 432]",1.782
4,"[131, 328]",1.825
4,"[131, 237]",1.834
4,"[263, 399]",1.848
4,"[156, 263]",1.902
4,"[131, 244]",1.928
4,"[8, 431]",1.943
4,"[131, 399]",1.944
4,"[131, 300]",1.945
4,"[84, 409]",1.961
4,"[17, 361]",2.1
4,"[263, 427]",2.101
4,"[90, 431]",2.105
4,"[145, 284]",2.154
4,"[90, 285]",2.165
4,"[100, 328]",2.17
4,"[17, 287]",2.211
4,"[188, 287]",2.239
4,"[124, 284]",2.422
4,"[145, 300]",2.429
4,"[239, 328]",2.637
4,"[350, 375]",2.674
4,"[17, 216]",2.765
4,"[17, 406]",2.852
4,"[326, 392]",2.878
4,"[156, 300]",3.574
4,"[156, 399]",4.006
5,"[100, 427]",1.511
5,"[69, 300]",1.526
5,"[17, 427]",1.631
5,"[100, 263]",1.66
5,"[257, 263]",1.676
5,"[124, 427]",1.718
5,"[17, 432]",1.782
5,"[39, 263]",1.81
5,"[131, 328]",1.825
5,"[131, 237]",1.834
5,"[263, 399]",1.848
5,"[156, 263]",1.902
5,"[131, 244]",1.928
5,"[8, 431]",1.943
5,"[131, 399]",1.944
