gen,filename,score
1,"[19, 277]",495.711566
1,"[133, 426]",497.995846
1,"[76, 140]",532.030868
1,"[11, 383]",545.561044
1,"[219, 261]",563.802662
1,"[156, 358]",575.030917
1,"[101, 129]",590.316557
1,"[55, 326]",591.466329
1,"[216, 302]",597.978317
1,"[385, 414]",603.262822
1,"[129, 400]",634.110315
1,"[60, 155]",637.220292
1,"[164, 329]",671.048411
1,"[322, 358]",694.105788
1,"[81, 181]",715.501525
1,"[189, 262]",721.128185
1,"[240, 279]",721.561062
1,"[321, 354]",749.770996
1,"[32, 413]",751.870704
1,"[19, 405]",758.822199
1,"[177, 337]",760.099246
1,"[83, 405]",762.48516
1,"[262, 287]",785.644969
1,"[204, 444]",792.314925
1,"[160, 279]",795.20983
1,"[231, 388]",830.974304
1,"[22, 177]",832.970599
1,"[118, 262]",912.799801
1,"[146, 376]",919.248542
1,"[166, 408]",999.020757
1,"[125, 201]",1086.569861
1,"[57, 96]",1140.092844
2,"[57, 279]",622.836716
2,"[118, 329]",646.065613
2,"[168, 408]",686.979494
2,"[22, 287]",690.153613
2,"[240, 279]",721.561062
2,"[83, 123]",748.828203
2,"[321, 354]",749.770996
2,"[32, 413]",751.870704
2,"[19, 405]",758.822199
2,"[177, 337]",760.099246
2,"[83, 405]",762.48516
2,"[32, 424]",767.162415
2,"[177, 293]",784.76984
2,"[262, 287]",785.644969
2,"[204, 444]",792.314925
2,"[153, 413]",793.981319
2,"[160, 279]",795.20983
2,"[146, 408]",795.579042
2,"[111, 166]",809.637995
2,"[146, 201]",819.126126
2,"[231, 388]",830.974304
2,"[22, 177]",832.970599
2,"[232, 262]",891.772548
2,"[118, 262]",912.799801
2,"[146, 376]",919.248542
2,"[166, 408]",999.020757
2,"[166, 388]",1004.224539
2,"[166, 201]",1022.924216
2,"[125, 201]",1086.569861
2,"[96, 156]",1110.523892
2,"[125, 262]",1112.269734
2,"[57, 96]",1140.092844
3,"[83, 413]",674.810738
3,"[358, 413]",681.331851
3,"[133, 231]",731.400401
3,"[201, 301]",751.463489
3,"[166, 329]",781.304854
3,"[160, 279]",795.20983
3,"[146, 408]",795.579042
3,"[111, 166]",809.637995
3,"[146, 201]",819.126126
3,"[177, 413]",830.34864
3,"[231, 388]",830.974304
3,"[22, 177]",832.970599
3,"[232, 408]",842.455049
3,"[125, 199]",870.882618
3,"[232, 262]",891.772548
3,"[160, 405]",896.16766
3,"[118, 262]",912.799801
3,"[146, 376]",919.248542
3,"[125, 287]",983.418788
3,"[166, 408]",999.020757
3,"[166, 388]",1004.224539
3,"[177, 348]",1005.722551
3,"[166, 201]",1022.924216
3,"[160, 166]",1044.045607
3,"[166, 433]",1061.704201
3,"[166, 177]",1062.400681
3,"[125, 201]",1086.569861
3,"[96, 156]",1110.523892
3,"[125, 262]",1112.269734
3,"[57, 96]",1140.092844
3,"[166, 166]",1182.019028
3,"[96, 231]",1277.148355
4,"[49, 287]",510.441059
4,"[57, 156]",530.853409
4,"[179, 199]",610.993962
4,"[195, 199]",654.705214
4,"[57, 231]",698.637358
4,"[232, 279]",776.656837
4,"[312, 348]",826.893968
4,"[177, 299]",830.043725
4,"[156, 166]",841.342675
4,"[201, 232]",866.435711
