gen,filename,score
1,"[23, 354]",461.941254
1,"[319, 418]",531.571077
1,"[373, 414]",532.173629
1,"[52, 71]",591.864676
1,"[168, 272]",638.726867
1,"[141, 403]",654.577008
1,"[83, 147]",662.042901
1,"[261, 436]",685.065067
1,"[53, 231]",709.916517
1,"[278, 291]",718.893514
1,"[273, 396]",722.598177
1,"[279, 409]",723.080859
1,"[133, 357]",727.139157
1,"[81, 244]",736.155557
1,"[42, 261]",739.750923
1,"[25, 311]",745.103533
1,"[42, 51]",748.136851
1,"[181, 394]",765.114896
1,"[32, 109]",787.205844
1,"[314, 439]",802.840165
1,"[349, 393]",815.483938
1,"[28, 442]",822.986135
1,"[171, 325]",827.412406
1,"[76, 249]",852.566241
1,"[137, 418]",854.194367
1,"[239, 433]",861.315872
1,"[195, 318]",875.750179
1,"[86, 92]",889.48399
1,"[62, 75]",928.535275
1,"[79, 107]",933.533162
1,"[23, 152]",1122.786041
1,"[59, 159]",1123.637807
2,"[25, 291]",591.542783
2,"[51, 293]",621.901694
2,"[62, 396]",663.83177
2,"[81, 414]",689.580922
2,"[1, 231]",694.978499
2,"[42, 51]",748.136851
2,"[181, 394]",765.114896
2,"[32, 109]",787.205844
2,"[314, 439]",802.840165
2,"[349, 393]",815.483938
2,"[28, 442]",822.986135
2,"[171, 325]",827.412406
2,"[137, 244]",829.190863
2,"[23, 249]",833.393206
2,"[53, 314]",842.203105
2,"[76, 249]",852.566241
2,"[137, 418]",854.194367
2,"[239, 433]",861.315872
2,"[195, 318]",875.750179
2,"[86, 92]",889.48399
2,"[195, 433]",909.197347
2,"[171, 396]",924.433601
2,"[62, 75]",928.535275
2,"[79, 107]",933.533162
2,"[92, 181]",941.266329
2,"[76, 92]",943.893996
2,"[239, 249]",984.213465
2,"[76, 159]",1056.197448
2,"[23, 152]",1122.786041
2,"[59, 159]",1123.637807
2,"[75, 122]",1156.812187
2,"[107, 411]",1192.37111
3,"[86, 181]",460.745451
3,"[53, 432]",510.218935
3,"[76, 244]",535.91739
3,"[23, 396]",559.730139
3,"[23, 146]",626.193364
3,"[195, 337]",726.863433
3,"[370, 393]",736.783822
3,"[137, 418]",854.194367
3,"[239, 433]",861.315872
3,"[195, 318]",875.750179
3,"[86, 92]",889.48399
3,"[195, 433]",909.197347
3,"[3, 433]",920.974177
3,"[23, 92]",924.016383
3,"[171, 396]",924.433601
3,"[62, 75]",928.535275
3,"[79, 107]",933.533162
3,"[206, 249]",940.98701
3,"[92, 181]",941.266329
3,"[76, 92]",943.893996
3,"[122, 239]",961.698568
3,"[239, 249]",984.213465
3,"[76, 159]",1056.197448
3,"[175, 411]",1062.902387
3,"[23, 152]",1122.786041
3,"[59, 159]",1123.637807
3,"[75, 122]",1156.812187
3,"[107, 411]",1192.37111
3,"[159, 237]",1204.93692
3,"[92, 137]",1237.279762
3,"[92, 122]",1256.084389
3,"[137, 159]",1350.290027
4,"[101, 239]",662.439862
4,"[62, 396]",663.83177
4,"[237, 239]",798.172191
4,"[239, 345]",861.943263
4,"[107, 326]",862.151008
4,"[92, 192]",909.790962
4,"[79, 107]",933.533162
4,"[206, 249]",940.98701
4,"[92, 181]",941.266329
4,"[76, 92]",943.893996
4,"[122, 239]",961.698568
4,"[203, 411]",974.754048
4,"[239, 249]",984.213465
4,"[5, 122]",986.686294
4,"[86, 159]",1002.329985
4,"[76, 159]",1056.197448
4,"[175, 411]",1062.902387
4,"[92, 237]",1092.594821
4,"[23, 152]",1122.786041
4,"[59, 159]",1123.637807
4,"[122, 122]",1141.665294
4,"[137, 411]",1153.339249
4,"[75, 122]",1156.812187
4,"[75, 411]",1186.411224
4,"[107, 411]",1192.37111
4,"[159, 237]",1204.93692
4,"[75, 125]",1235.154131
4,"[159, 195]",1236.552065
4,"[92, 137]",1237.279762
4,"[92, 122]",1256.084389
