gen,filename,score
1,"[87, 293]",1.398
1,"[87, 222]",1.422
1,"[95, 427]",1.503
1,"[53, 73]",1.553
1,"[111, 196]",1.875
1,"[181, 309]",2.139
1,"[158, 348]",2.235
1,"[17, 142]",2.239
1,"[195, 437]",2.244
1,"[407, 431]",2.267
1,"[75, 303]",2.28
1,"[101, 385]",2.412
1,"[64, 118]",2.415
1,"[21, 366]",2.461
1,"[320, 416]",2.49
1,"[231, 359]",2.519
1,"[197, 435]",2.539
1,"[281, 329]",2.616
1,"[15, 267]",2.623
1,"[362, 429]",2.638
1,"[412, 439]",2.76
1,"[28, 303]",2.771
1,"[44, 65]",2.784
1,"[254, 353]",2.992
1,"[302, 353]",3.092
1,"[94, 396]",3.44
1,"[38, 71]",3.55
1,"[187, 408]",3.661
1,"[25, 214]",3.896
1,"[16, 90]",3.957
1,"[249, 406]",4.199
1,"[5, 224]",10
2,"[348, 352]",1.245
2,"[87, 293]",1.398
2,"[87, 222]",1.422
2,"[130, 427]",1.426
2,"[95, 427]",1.503
2,"[53, 73]",1.553
2,"[111, 196]",1.875
2,"[111, 437]",1.956
2,"[197, 421]",2.011
2,"[158, 431]",2.071
2,"[145, 158]",2.108
2,"[101, 421]",2.124
2,"[181, 309]",2.139
2,"[21, 196]",2.15
2,"[44, 303]",2.178
2,"[17, 303]",2.189
2,"[100, 407]",2.218
2,"[158, 348]",2.235
2,"[17, 142]",2.239
2,"[195, 437]",2.244
2,"[407, 431]",2.267
2,"[75, 303]",2.28
2,"[95, 300]",2.39
2,"[101, 385]",2.412
2,"[64, 118]",2.415
2,"[21, 366]",2.461
2,"[320, 416]",2.49
2,"[231, 359]",2.519
2,"[93, 196]",2.658
2,"[197, 309]",3.247
2,"[181, 437]",3.267
2,"[341, 366]",10
3,"[348, 352]",1.245
3,"[87, 352]",1.252
3,"[87, 293]",1.398
3,"[87, 222]",1.422
3,"[130, 427]",1.426
3,"[87, 196]",1.491
3,"[95, 352]",1.495
3,"[95, 427]",1.503
3,"[53, 73]",1.553
3,"[197, 427]",1.62
3,"[75, 427]",1.692
3,"[111, 431]",1.874
3,"[111, 196]",1.875
3,"[111, 437]",1.956
3,"[197, 421]",2.011
3,"[158, 431]",2.071
3,"[158, 196]",2.101
3,"[145, 158]",2.108
3,"[158, 164]",2.111
3,"[111, 203]",2.112
3,"[101, 421]",2.124
3,"[181, 309]",2.139
3,"[21, 196]",2.15
3,"[44, 303]",2.178
3,"[17, 303]",2.189
3,"[17, 407]",2.284
3,"[111, 154]",2.285
3,"[95, 293]",2.294
3,"[303, 348]",2.507
3,"[101, 407]",2.578
3,"[53, 437]",2.755
3,"[53, 226]",3.676
4,"[111, 352]",0.118
4,"[245, 352]",0.451
4,"[348, 352]",1.245
4,"[87, 352]",1.252
4,"[352, 384]",1.291
4,"[87, 293]",1.398
4,"[87, 222]",1.422
4,"[130, 427]",1.426
4,"[87, 196]",1.491
4,"[95, 352]",1.495
4,"[95, 427]",1.503
4,"[53, 73]",1.553
4,"[197, 427]",1.62
