gen,filename,score
1,"[188, 287]",-0.0766855720543143
1,"[261, 393]",-0.0320753045116908
1,"[339, 403]",0.08789708044703819
1,"[8, 431]",0.3646151037955747
1,"[204, 350]",0.6741656851790441
1,"[124, 289]",0.720819749142222
1,"[169, 202]",0.7716598933878954
1,"[166, 432]",0.9006225165702635
1,"[135, 161]",0.9069473240472942
1,"[114, 442]",0.9933430035257298
1,"[90, 257]",1.0119688306706554
1,"[132, 341]",1.0564135444034353
1,"[263, 399]",1.1310786482361068
1,"[145, 284]",1.134273153009831
1,"[102, 155]",1.2437254566723033
1,"[4, 335]",1.2661401692036411
1,"[405, 424]",1.2741252881365617
1,"[206, 339]",1.2883694459274697
1,"[131, 328]",1.4020164448050105
1,"[17, 132]",1.511495415885852
1,"[69, 300]",1.5947097064572118
1,"[100, 427]",1.781612801731718
1,"[217, 316]",2.365203758719137
1,"[221, 385]",2.7703803477411264
1,"[43, 316]",2.7910301469977097
1,"[73, 216]",2.814176161846067
1,"[234, 374]",3.499489736710216
1,"[209, 255]",3.6110365652530327
1,"[84, 168]",3.7377645998347107
1,"[250, 255]",7.037526783905201
1,"[194, 392]",7.6082685563513355
1,"[148, 267]",50.832140200246464
2,"[188, 287]",-0.0766855720543143
2,"[261, 393]",-0.0320753045116908
2,"[188, 393]",0.03287088769187385
2,"[263, 361]",0.06338315868873819
2,"[339, 403]",0.08789708044703819
2,"[188, 300]",0.19601172822501325
2,"[8, 431]",0.3646151037955747
2,"[40, 403]",0.4192375446717793
2,"[82, 405]",0.5635885923692497
2,"[263, 328]",0.6154109486867971
2,"[204, 350]",0.6741656851790441
2,"[124, 289]",0.720819749142222
2,"[145, 285]",0.7418350178750328
2,"[169, 202]",0.7716598933878954
2,"[166, 432]",0.9006225165702635
2,"[135, 161]",0.9069473240472942
2,"[114, 442]",0.9933430035257298
2,"[132, 145]",1.0013401996986657
2,"[90, 257]",1.0119688306706554
2,"[132, 341]",1.0564135444034353
2,"[142, 166]",1.117775664750336
2,"[263, 399]",1.1310786482361068
2,"[145, 284]",1.134273153009831
2,"[94, 403]",1.1899418480837909
2,"[169, 393]",1.2334388263634843
2,"[102, 155]",1.2437254566723033
2,"[4, 335]",1.2661401692036411
2,"[114, 155]",1.277623329753676
2,"[8, 321]",1.7320367213898646
2,"[8, 335]",2.6976382571143898
2,"[159, 209]",3.4615177517794997
2,"[328, 397]",3.8384925464236894
3,"[188, 261]",-0.29677533561597547
3,"[261, 289]",-0.15523619693026264
3,"[188, 287]",-0.0766855720543143
3,"[188, 403]",-0.0661143020152715
3,"[261, 393]",-0.0320753045116908
3,"[188, 393]",0.03287088769187385
3,"[263, 361]",0.06338315868873819
3,"[88, 188]",0.07077669529716034
3,"[339, 403]",0.08789708044703819
3,"[261, 405]",0.09569403593615536
3,"[188, 300]",0.19601172822501325
3,"[111, 188]",0.23007474146239998
3,"[263, 431]",0.3509509542137289
3,"[8, 431]",0.3646151037955747
3,"[40, 403]",0.4192375446717793
3,"[144, 339]",0.43264342980846576
3,"[114, 253]",0.4855295426244601
3,"[82, 405]",0.5635885923692497
3,"[263, 328]",0.6154109486867971
3,"[204, 350]",0.6741656851790441
3,"[124, 289]",0.720819749142222
3,"[145, 285]",0.7418350178750328
3,"[169, 202]",0.7716598933878954
3,"[147, 361]",0.7932212595742719
3,"[166, 432]",0.9006225165702635
3,"[135, 161]",0.9069473240472942
3,"[237, 339]",0.9656413594262575
3,"[145, 393]",1.1652224800042512
3,"[302, 393]",1.226181725506788
3,"[41, 328]",1.2928001120005737
3,"[66, 204]",1.613652426261278
3,"[124, 161]",2.719000387584332
4,"[188, 261]",-0.29677533561597547
4,"[188, 188]",-0.26335613029803456
4,"[261, 289]",-0.15523619693026264
4,"[261, 403]",-0.14228056106555456
4,"[188, 287]",-0.0766855720543143
4,"[188, 403]",-0.0661143020152715
4,"[21, 188]",-0.048177191438306094
4,"[261, 393]",-0.0320753045116908
4,"[188, 431]",0.019417683066448164
4,"[26, 261]",0.019919633284205065
4,"[188, 339]",0.02901672787160293
4,"[188, 393]",0.03287088769187385
4,"[263, 361]",0.06338315868873819
4,"[88, 188]",0.07077669529716034
4,"[339, 403]",0.08789708044703819
4,"[261, 405]",0.09569403593615536
4,"[141, 188]",0.14174233223024804
4,"[188, 300]",0.19601172822501325
4,"[188, 405]",0.20234677213343277
4,"[111, 188]",0.23007474146239998
4,"[263, 431]",0.3509509542137289
