gen,filename,score
1,"[158, 225]",1.887
1,"[203, 386]",2.077
1,"[117, 328]",2.147
1,"[147, 420]",2.164
1,"[201, 386]",2.166
1,"[141, 260]",2.177
1,"[235, 325]",2.246
1,"[247, 322]",2.25
1,"[95, 419]",2.28
1,"[288, 364]",2.302
1,"[172, 412]",2.317
1,"[128, 264]",2.426
1,"[312, 355]",2.461
1,"[6, 81]",2.549
1,"[225, 275]",2.571
1,"[176, 184]",2.608
1,"[82, 350]",2.612
1,"[27, 220]",2.656
1,"[349, 394]",2.715
1,"[40, 386]",2.752
1,"[65, 287]",2.754
1,"[43, 275]",2.93
1,"[216, 287]",2.987
1,"[239, 401]",2.991
1,"[59, 89]",2.994
1,"[16, 233]",3.054
1,"[228, 422]",3.185
1,"[5, 314]",3.247
1,"[365, 430]",3.379
1,"[350, 406]",3.503
1,"[273, 399]",3.718
1,"[220, 299]",4.138
2,"[158, 225]",1.887
2,"[117, 420]",1.922
2,"[158, 328]",1.984
2,"[147, 386]",2.049
2,"[147, 223]",2.061
2,"[203, 386]",2.077
2,"[117, 328]",2.147
2,"[147, 420]",2.164
2,"[201, 386]",2.166
2,"[83, 420]",2.167
2,"[141, 260]",2.177
2,"[37, 325]",2.197
2,"[235, 325]",2.246
2,"[247, 322]",2.25
2,"[95, 419]",2.28
2,"[288, 364]",2.302
2,"[172, 412]",2.317
2,"[201, 328]",2.339
2,"[201, 364]",2.363
2,"[235, 355]",2.369
2,"[26, 260]",2.378
2,"[128, 264]",2.426
2,"[205, 288]",2.445
2,"[312, 355]",2.461
2,"[132, 264]",2.518
2,"[6, 81]",2.549
2,"[225, 275]",2.571
2,"[176, 184]",2.608
2,"[364, 372]",2.676
2,"[386, 395]",2.779
2,"[203, 377]",3.046
2,"[11, 225]",3.599
3,"[158, 225]",1.887
3,"[72, 147]",1.896
3,"[117, 420]",1.922
3,"[288, 420]",1.944
3,"[158, 328]",1.984
3,"[36, 158]",2.01
3,"[141, 420]",2.037
3,"[147, 386]",2.049
3,"[201, 420]",2.058
3,"[147, 223]",2.061
3,"[184, 420]",2.071
3,"[203, 386]",2.077
3,"[84, 147]",2.13
3,"[57, 158]",2.135
3,"[147, 225]",2.136
3,"[117, 328]",2.147
3,"[147, 420]",2.164
3,"[201, 386]",2.166
3,"[83, 420]",2.167
3,"[141, 260]",2.177
3,"[37, 325]",2.197
3,"[147, 325]",2.206
3,"[235, 325]",2.246
3,"[247, 322]",2.25
3,"[95, 419]",2.28
3,"[288, 364]",2.302
3,"[203, 382]",2.312
3,"[203, 252]",2.313
3,"[201, 325]",2.353
3,"[117, 164]",2.501
3,"[201, 225]",2.563
3,"[386, 416]",2.675
4,"[147, 288]",1.729
4,"[158, 225]",1.887
4,"[158, 176]",1.891
4,"[72, 147]",1.896
4,"[117, 420]",1.922
4,"[288, 420]",1.944
4,"[158, 328]",1.984
4,"[36, 158]",2.01
4,"[72, 420]",2.021
4,"[147, 203]",2.024
4,"[72, 257]",2.035
4,"[141, 420]",2.037
4,"[147, 386]",2.049
4,"[201, 420]",2.058
4,"[147, 223]",2.061
4,"[184, 420]",2.071
4,"[203, 386]",2.077
4,"[147, 201]",2.099
4,"[84, 147]",2.13
4,"[57, 158]",2.135
4,"[147, 225]",2.136
4,"[57, 420]",2.141
4,"[117, 328]",2.147
4,"[201, 386]",2.166
4,"[158, 386]",2.184
4,"[158, 223]",2.185
4,"[149, 158]",2.241
4,"[411, 420]",2.274
4,"[117, 225]",2.37
4,"[147, 332]",2.481
4,"[36, 225]",2.709
4,"[249, 322]",2.774
5,"[147, 288]",1.729
5,"[158, 225]",1.887
5,"[158, 176]",1.891
5,"[72, 147]",1.896
5,"[117, 420]",1.922
5,"[72, 383]",1.928
5,"[288, 420]",1.944
5,"[158, 328]",1.984
5,"[36, 158]",2.01
5,"[138, 420]",2.02
5,"[72, 420]",2.021
5,"[147, 203]",2.024
5,"[141, 288]",2.026
5,"[72, 257]",2.035
5,"[330, 420]",2.037
5,"[141, 420]",2.037
5,"[147, 386]",2.049
5,"[201, 420]",2.058
5,"[147, 223]",2.061
5,"[184, 420]",2.071
5,"[147, 328]",2.118
5,"[57, 72]",2.125
5,"[147, 225]",2.136
5,"[147, 420]",2.164
5,"[141, 176]",2.174
5,"[158, 386]",2.184
5,"[147, 158]",2.197
5,"[141, 354]",2.216
5,"[29, 184]",2.259
5,"[117, 236]",2.324
5,"[21, 176]",2.391
5,"[203, 346]",2.765
6,"[147, 288]",1.729
6,"[158, 225]",1.887
6,"[158, 176]",1.891
6,"[72, 147]",1.896
6,"[72, 158]",1.914
6,"[117, 420]",1.922
6,"[72, 383]",1.928
6,"[288, 420]",1.944
6,"[158, 328]",1.984
6,"[158, 360]",2.004
