gen,filename,score
1,"[373, 414]",1.503
1,"[195, 318]",2.06
1,"[141, 403]",2.068
1,"[52, 71]",2.145
1,"[79, 107]",2.152
1,"[171, 325]",2.184
1,"[83, 147]",2.31
1,"[86, 92]",2.383
1,"[53, 231]",2.417
1,"[314, 439]",2.421
1,"[81, 244]",2.464
1,"[319, 418]",2.485
1,"[279, 409]",2.565
1,"[168, 272]",2.763
1,"[62, 75]",2.793
1,"[181, 394]",2.84
1,"[28, 442]",2.86
1,"[23, 354]",2.927
1,"[239, 433]",3.055
1,"[32, 109]",3.15
1,"[59, 159]",3.336
1,"[349, 393]",3.374
1,"[137, 418]",3.379
1,"[76, 249]",3.488
1,"[42, 261]",3.498
1,"[25, 311]",3.515
1,"[278, 291]",3.545
1,"[23, 152]",3.674
1,"[273, 396]",3.679
1,"[133, 357]",3.832
1,"[261, 436]",3.942
1,"[42, 51]",4.602
2,"[314, 414]",1.39
2,"[373, 414]",1.503
2,"[195, 432]",1.945
2,"[71, 122]",1.961
2,"[195, 318]",2.06
2,"[141, 403]",2.068
2,"[79, 147]",2.122
2,"[52, 71]",2.145
2,"[79, 107]",2.152
2,"[79, 418]",2.183
2,"[171, 325]",2.184
2,"[195, 325]",2.199
2,"[71, 79]",2.212
2,"[195, 282]",2.247
2,"[83, 147]",2.31
2,"[86, 92]",2.383
2,"[79, 353]",2.409
2,"[53, 231]",2.417
2,"[314, 439]",2.421
2,"[81, 244]",2.464
2,"[232, 272]",2.481
2,"[319, 418]",2.485
2,"[418, 434]",2.527
2,"[279, 409]",2.565
2,"[168, 272]",2.763
2,"[62, 75]",2.793
2,"[181, 394]",2.84
2,"[62, 414]",3.031
2,"[107, 189]",3.064
2,"[28, 325]",3.19
2,"[71, 86]",3.256
2,"[107, 181]",3.346
3,"[314, 414]",1.39
3,"[373, 414]",1.503
3,"[111, 147]",1.634
3,"[122, 195]",1.812
3,"[195, 432]",1.945
3,"[71, 122]",1.961
3,"[79, 414]",1.962
3,"[141, 147]",1.98
3,"[195, 318]",2.06
3,"[141, 403]",2.068
3,"[122, 373]",2.084
3,"[79, 147]",2.122
3,"[52, 71]",2.145
3,"[79, 107]",2.152
3,"[141, 418]",2.18
3,"[79, 418]",2.183
3,"[171, 325]",2.184
3,"[195, 325]",2.199
3,"[71, 79]",2.212
3,"[122, 334]",2.219
3,"[314, 318]",2.219
3,"[373, 432]",2.242
3,"[195, 282]",2.247
3,"[83, 147]",2.31
3,"[86, 92]",2.383
3,"[23, 71]",2.496
3,"[195, 412]",2.496
3,"[325, 433]",2.619
3,"[5, 314]",3.247
3,"[314, 432]",3.248
3,"[195, 414]",10
3,"[315, 414]",10
4,"[383, 414]",1.135
4,"[314, 414]",1.39
4,"[373, 414]",1.503
4,"[111, 147]",1.634
4,"[122, 195]",1.812
4,"[79, 111]",1.881
4,"[195, 432]",1.945
4,"[71, 122]",1.961
4,"[79, 414]",1.962
4,"[141, 147]",1.98
4,"[79, 432]",2.03
4,"[195, 195]",2.046
4,"[195, 318]",2.06
4,"[141, 403]",2.068
4,"[122, 373]",2.084
4,"[79, 195]",2.108
4,"[79, 122]",2.12
4,"[79, 147]",2.122
4,"[52, 71]",2.145
4,"[195, 222]",2.146
4,"[79, 107]",2.152
4,"[122, 122]",2.153
4,"[141, 418]",2.18
4,"[79, 418]",2.183
4,"[79, 318]",2.21
4,"[103, 195]",2.234
4,"[373, 418]",2.405
4,"[55, 373]",2.468
4,"[195, 224]",2.546
4,"[195, 339]",2.568
4,"[71, 301]",2.683
4,"[71, 414]",2.984
5,"[383, 414]",1.135
5,"[56, 414]",1.225
5,"[314, 414]",1.39
5,"[373, 414]",1.503
5,"[111, 147]",1.634
5,"[122, 195]",1.812
5,"[79, 111]",1.881
5,"[195, 432]",1.945
5,"[71, 122]",1.961
5,"[79, 414]",1.962
5,"[141, 147]",1.98
5,"[111, 373]",1.992
5,"[122, 147]",2.008
5,"[79, 432]",2.03
5,"[141, 195]",2.03
5,"[195, 195]",2.046
5,"[195, 318]",2.06
5,"[52, 111]",2.061
5,"[21, 111]",2.066
5,"[141, 403]",2.068
5,"[122, 373]",2.084
5,"[79, 195]",2.108
5,"[79, 147]",2.122
5,"[204, 314]",2.266
5,"[147, 314]",2.28
5,"[147, 416]",2.557
5,"[195, 294]",2.585
5,"[318, 383]",2.963
5,"[111, 111]",3.119
5,"[383, 418]",3.127
5,"[71, 383]",3.528
5,"[141, 414]",10
6,"[383, 414]",1.135
6,"[56, 414]",1.225
6,"[334, 414]",1.253
6,"[314, 414]",1.39
6,"[301, 414]",1.43
6,"[373, 414]",1.503
6,"[111, 147]",1.634
6,"[122, 195]",1.812
6,"[79, 111]",1.881
6,"[122, 414]",1.883
6,"[195, 432]",1.945
6,"[71, 122]",1.961
6,"[79, 414]",1.962
6,"[141, 147]",1.98
6,"[111, 373]",1.992
6,"[122, 147]",2.008
6,"[79, 432]",2.03
6,"[141, 195]",2.03
6,"[195, 195]",2.046
6,"[79, 147]",2.122
6,"[195, 373]",2.171
6,"[79, 297]",2.179
6,"[383, 400]",2.335
6,"[71, 111]",2.436
6,"[71, 147]",2.661
6,"[107, 432]",2.688
6,"[71, 433]",2.865
6,"[106, 195]",2.957
6,"[36, 383]",3.189
6,"[373, 383]",3.299
6,"[141, 414]",10
6,"[195, 414]",10
7,"[383, 414]",1.135
7,"[56, 414]",1.225
7,"[296, 414]",1.232
7,"[334, 414]",1.253
7,"[314, 414]",1.39
7,"[134, 414]",1.426
7,"[301, 414]",1.43
7,"[373, 414]",1.503
7,"[111, 147]",1.634
7,"[403, 414]",1.699
7,"[122, 195]",1.812
7,"[79, 111]",1.881
