gen,filename,score
1,"[228, 422]",558.022979
1,"[65, 287]",564.271989
1,"[176, 184]",570.836072
1,"[239, 401]",573.870519
1,"[158, 225]",589.481022
1,"[365, 430]",626.364034
1,"[216, 287]",652.318961
1,"[273, 399]",653.403917
1,"[235, 325]",673.201062
1,"[59, 89]",676.414163
1,"[225, 275]",683.777876
1,"[312, 355]",687.204825
1,"[117, 328]",710.267297
1,"[40, 386]",715.145655
1,"[247, 322]",719.560388
1,"[128, 264]",719.86243
1,"[95, 419]",726.651171
1,"[16, 233]",730.895734
1,"[172, 412]",749.693992
1,"[220, 299]",764.866691
1,"[350, 406]",783.508791
1,"[147, 420]",787.218054
1,"[203, 386]",794.411597
1,"[201, 386]",852.393204
1,"[82, 350]",862.316268
1,"[27, 220]",867.429677
1,"[6, 81]",886.358329
1,"[43, 275]",889.978897
1,"[288, 364]",921.284696
1,"[349, 394]",941.205024
1,"[5, 314]",965.182992
1,"[141, 260]",1079.717905
2,"[203, 205]",674.72078
2,"[372, 386]",679.569022
2,"[83, 364]",696.619483
2,"[132, 406]",718.159179
2,"[95, 419]",726.651171
2,"[16, 233]",730.895734
2,"[5, 377]",749.31236
2,"[172, 412]",749.693992
2,"[220, 299]",764.866691
2,"[350, 406]",783.508791
2,"[147, 420]",787.218054
2,"[314, 395]",789.829351
2,"[203, 386]",794.411597
2,"[349, 364]",809.863184
2,"[27, 299]",819.769196
2,"[37, 220]",819.908692
2,"[43, 386]",846.589914
2,"[141, 394]",850.720004
2,"[201, 386]",852.393204
2,"[26, 81]",856.109416
2,"[82, 350]",862.316268
2,"[27, 220]",867.429677
2,"[6, 81]",886.358329
2,"[43, 275]",889.978897
2,"[223, 288]",909.219317
2,"[288, 364]",921.284696
2,"[43, 394]",935.465596
2,"[349, 394]",941.205024
2,"[5, 314]",965.182992
2,"[275, 288]",1002.145994
2,"[11, 260]",1046.784455
2,"[141, 260]",1079.717905
3,"[36, 141]",614.474311
3,"[394, 416]",619.400517
3,"[57, 141]",623.325339
3,"[5, 84]",645.309361
3,"[43, 252]",717.185303
3,"[5, 350]",756.339612
3,"[43, 350]",766.600623
3,"[72, 349]",775.752902
3,"[43, 382]",809.179408
3,"[43, 386]",846.589914
3,"[141, 394]",850.720004
3,"[201, 386]",852.393204
3,"[26, 81]",856.109416
3,"[82, 350]",862.316268
3,"[27, 220]",867.429677
3,"[223, 394]",879.471511
3,"[184, 288]",884.787023
3,"[6, 81]",886.358329
3,"[43, 275]",889.978897
3,"[223, 288]",909.219317
3,"[288, 364]",921.284696
3,"[43, 394]",935.465596
3,"[349, 394]",941.205024
3,"[5, 314]",965.182992
3,"[27, 288]",998.875009
3,"[275, 288]",1002.145994
3,"[164, 288]",1019.606825
3,"[11, 260]",1046.784455
3,"[141, 260]",1079.717905
3,"[288, 288]",1083.679329
3,"[5, 260]",1153.425494
3,"[43, 260]",1164.41309
4,"[11, 176]",534.281872
4,"[332, 349]",760.406003
4,"[5, 257]",805.357525
4,"[11, 394]",817.98346
4,"[29, 184]",821.931437
4,"[11, 288]",847.797995
4,"[141, 288]",880.726206
4,"[184, 288]",884.787023
4,"[6, 81]",886.358329
4,"[43, 275]",889.978897
4,"[223, 288]",909.219317
4,"[288, 364]",921.284696
4,"[43, 394]",935.465596
4,"[81, 164]",940.104878
4,"[349, 394]",941.205024
4,"[5, 288]",954.565475
4,"[5, 314]",965.182992
4,"[43, 288]",965.409656
4,"[249, 382]",977.306516
4,"[81, 288]",998.065223
4,"[27, 288]",998.875009
4,"[275, 288]",1002.145994
4,"[164, 288]",1019.606825
4,"[149, 288]",1037.218501
4,"[11, 260]",1046.784455
4,"[141, 260]",1079.717905
4,"[288, 288]",1083.679329
4,"[394, 411]",1109.818611
4,"[5, 260]",1153.425494
4,"[43, 260]",1164.41309
4,"[346, 394]",1198.338946
4,"[260, 288]",1277.066317
5,"[5, 383]",652.158345
5,"[11, 360]",654.025099
5,"[27, 354]",686.017269
5,"[57, 149]",777.960265
5,"[138, 288]",781.71214
5,"[6, 17]",799.4033
5,"[54, 288]",808.386589
5,"[236, 394]",900.247032
5,"[288, 341]",930.140549
5,"[288, 330]",943.312005
5,"[5, 314]",965.182992
5,"[43, 288]",965.409656
5,"[21, 260]",973.920625
5,"[249, 382]",977.306516
5,"[164, 394]",989.517512
5,"[81, 288]",998.065223
5,"[27, 288]",998.875009
5,"[275, 288]",1002.145994
5,"[164, 288]",1019.606825
5,"[149, 288]",1037.218501
5,"[11, 260]",1046.784455
5,"[55, 260]",1059.201393
5,"[141, 260]",1079.717905
5,"[288, 288]",1083.679329
5,"[394, 411]",1109.818611
5,"[249, 288]",1133.321638
5,"[5, 260]",1153.425494
5,"[43, 260]",1164.41309
5,"[27, 260]",1197.899127
5,"[346, 394]",1198.338946
5,"[260, 288]",1277.066317
5,"[260, 411]",1338.785936
6,"[55, 182]",671.851793
6,"[43, 342]",746.234433
6,"[27, 133]",775.162186
6,"[11, 288]",847.797995
