gen,filename,score
1,"[169, 202]",452.640107
1,"[84, 168]",509.849635
1,"[339, 403]",546.340654
1,"[263, 399]",553.439248
1,"[206, 339]",582.13013
1,"[209, 255]",592.965107
1,"[217, 316]",608.676365
1,"[73, 216]",610.713237
1,"[8, 431]",630.887515
1,"[17, 132]",647.815393
1,"[132, 341]",665.459808
1,"[90, 257]",666.961048
1,"[102, 155]",671.715786
1,"[261, 393]",677.767881
1,"[43, 316]",686.721578
1,"[204, 350]",688.68921
1,"[188, 287]",698.24075
1,"[4, 335]",750.403695
1,"[250, 255]",770.628445
1,"[194, 392]",782.258135
1,"[114, 442]",801.393161
1,"[166, 432]",808.556278
1,"[405, 424]",814.175393
1,"[124, 289]",829.970196
1,"[100, 427]",843.977067
1,"[69, 300]",847.401438
1,"[131, 328]",849.46173
1,"[221, 385]",896.071807
1,"[145, 284]",945.243841
1,"[234, 374]",1047.76713
1,"[148, 267]",1057.794276
1,"[135, 161]",1069.062147
2,"[9, 69]",581.722817
2,"[188, 287]",698.24075
2,"[234, 328]",738.437117
2,"[4, 335]",750.403695
2,"[250, 255]",770.628445
2,"[299, 335]",771.380026
2,"[101, 234]",780.434017
2,"[194, 392]",782.258135
2,"[186, 284]",792.76607
2,"[114, 442]",801.393161
2,"[166, 432]",808.556278
2,"[302, 374]",813.220896
2,"[405, 424]",814.175393
2,"[234, 396]",829.243587
2,"[124, 289]",829.970196
2,"[250, 331]",835.494104
2,"[100, 427]",843.977067
2,"[69, 300]",847.401438
2,"[131, 328]",849.46173
2,"[145, 392]",857.469148
2,"[221, 385]",896.071807
2,"[69, 374]",924.302209
2,"[145, 284]",945.243841
2,"[14, 221]",981.629111
2,"[267, 411]",1005.375859
2,"[148, 161]",1033.631931
2,"[135, 182]",1039.452583
2,"[135, 392]",1042.886282
2,"[234, 374]",1047.76713
2,"[148, 267]",1057.794276
2,"[135, 161]",1069.062147
2,"[135, 267]",1093.328937
3,"[9, 267]",601.053935
3,"[23, 161]",619.349536
3,"[55, 392]",675.037766
3,"[69, 263]",687.691576
3,"[126, 267]",703.023279
3,"[161, 375]",716.111403
3,"[267, 385]",777.673822
3,"[14, 186]",809.162802
3,"[100, 427]",843.977067
3,"[69, 300]",847.401438
3,"[131, 328]",849.46173
3,"[145, 392]",857.469148
3,"[221, 385]",896.071807
3,"[14, 331]",920.257567
3,"[69, 374]",924.302209
3,"[221, 267]",928.123179
3,"[374, 412]",928.605613
3,"[145, 284]",945.243841
3,"[14, 221]",981.629111
3,"[267, 411]",1005.375859
3,"[14, 266]",1013.888541
3,"[131, 267]",1022.95938
3,"[148, 161]",1033.631931
3,"[135, 182]",1039.452583
3,"[135, 392]",1042.886282
3,"[234, 374]",1047.76713
3,"[148, 267]",1057.794276
3,"[135, 385]",1061.714156
3,"[135, 161]",1069.062147
3,"[135, 267]",1093.328937
3,"[135, 284]",1130.245408
3,"[148, 288]",1192.315388
4,"[215, 374]",829.920741
4,"[24, 267]",833.436009
4,"[47, 145]",904.758091
4,"[145, 267]",908.722771
4,"[374, 412]",928.605613
4,"[145, 284]",945.243841
4,"[14, 221]",981.629111
4,"[148, 213]",982.425224
4,"[148, 186]",1004.699723
4,"[267, 411]",1005.375859
4,"[14, 266]",1013.888541
4,"[288, 351]",1021.028872
4,"[131, 267]",1022.95938
4,"[148, 385]",1026.148086
4,"[148, 161]",1033.631931
4,"[135, 182]",1039.452583
4,"[135, 392]",1042.886282
4,"[234, 374]",1047.76713
4,"[148, 267]",1057.794276
4,"[135, 385]",1061.714156
4,"[135, 161]",1069.062147
4,"[135, 436]",1078.955023
4,"[131, 300]",1080.188549
4,"[288, 374]",1082.700913
4,"[47, 135]",1089.963843
4,"[135, 267]",1093.328937
4,"[135, 284]",1130.245408
4,"[148, 288]",1192.315388
4,"[148, 374]",1192.722077
4,"[135, 374]",1223.388972
4,"[135, 288]",1227.860686
4,"[135, 266]",1249.613361
5,"[182, 397]",630.384262
5,"[252, 267]",696.471581
5,"[47, 267]",806.120727
5,"[53, 374]",831.504717
5,"[267, 281]",873.588253
5,"[182, 288]",889.579505
5,"[148, 215]",943.815794
5,"[374, 402]",1006.188279
5,"[131, 267]",1022.95938
5,"[135, 184]",1034.459944
5,"[135, 392]",1042.886282
5,"[148, 436]",1043.406951
5,"[234, 374]",1047.76713
5,"[148, 267]",1057.794276
5,"[135, 385]",1061.714156
5,"[135, 161]",1069.062147
5,"[135, 436]",1078.955023
5,"[131, 300]",1080.188549
5,"[288, 374]",1082.700913
5,"[288, 288]",1083.679329
5,"[47, 135]",1089.963843
5,"[135, 267]",1093.328937
5,"[148, 284]",1095.242411
5,"[122, 288]",1109.674483
5,"[135, 284]",1130.245408
5,"[131, 266]",1177.196961
5,"[148, 288]",1192.315388
5,"[148, 374]",1192.722077
5,"[135, 374]",1223.388972
5,"[135, 288]",1227.860686
5,"[135, 266]",1249.613361
5,"[135, 346]",1377.945234
6,"[73, 266]",855.285523
6,"[297, 374]",861.109452
6,"[131, 399]",869.483282
6,"[245, 284]",875.12806
6,"[2, 148]",898.259145
6,"[179, 288]",932.826333
6,"[254, 374]",935.429994
6,"[122, 385]",944.060486
6,"[47, 266]",962.202089
6,"[135, 205]",989.46636
6,"[39, 374]",1003.695364
6,"[135, 161]",1069.062147
6,"[135, 436]",1078.955023
6,"[131, 300]",1080.188549
6,"[288, 374]",1082.700913
6,"[288, 288]",1083.679329
6,"[47, 135]",1089.963843
6,"[135, 267]",1093.328937
6,"[148, 284]",1095.242411
6,"[13, 135]",1107.793652
6,"[122, 288]",1109.674483
6,"[135, 284]",1130.245408
6,"[122, 266]",1132.792104
6,"[131, 288]",1155.53394
6,"[131, 266]",1177.196961
6,"[148, 288]",1192.315388
6,"[148, 374]",1192.722077
6,"[148, 266]",1213.803693
6,"[135, 374]",1223.388972
6,"[135, 288]",1227.860686
6,"[135, 266]",1249.613361
6,"[135, 346]",1377.945234
7,"[2, 374]",784.106051
7,"[228, 288]",797.458144
7,"[288, 424]",914.971463
7,"[88, 374]",957.749286
7,"[13, 288]",957.853624
7,"[266, 386]",982.594252
7,"[31, 135]",1001.882666
7,"[266, 428]",1002.376308
7,"[311, 374]",1047.008347
7,"[131, 153]",1056.686023
7,"[131, 284]",1059.466309
7,"[341, 346]",1076.784036
7,"[288, 288]",1083.679329
7,"[47, 135]",1089.963843
7,"[135, 267]",1093.328937
7,"[148, 284]",1095.242411
7,"[135, 361]",1100.208983
7,"[13, 135]",1107.793652
7,"[122, 288]",1109.674483
7,"[135, 284]",1130.245408
7,"[122, 266]",1132.792104
7,"[131, 288]",1155.53394
7,"[131, 266]",1177.196961
7,"[148, 288]",1192.315388
7,"[148, 374]",1192.722077
7,"[148, 266]",1213.803693
7,"[148, 306]",1216.02927
7,"[135, 374]",1223.388972
7,"[135, 288]",1227.860686
7,"[135, 266]",1249.613361
7,"[75, 346]",1274.818349
7,"[135, 346]",1377.945234
