gen,filename,score
1,"[111, 196]",449.847901
1,"[197, 435]",568.858229
1,"[320, 416]",576.47079
1,"[53, 73]",579.473841
1,"[44, 65]",583.8099
1,"[25, 214]",588.354652
1,"[407, 431]",590.213502
1,"[16, 90]",638.021663
1,"[412, 439]",643.034265
1,"[101, 385]",644.99247
1,"[181, 309]",652.690095
1,"[281, 329]",658.741937
1,"[5, 224]",665.146788
1,"[231, 359]",667.255154
1,"[21, 366]",667.659239
1,"[87, 293]",675.669772
1,"[362, 429]",676.275884
1,"[187, 408]",681.825165
1,"[17, 142]",709.293861
1,"[195, 437]",802.845839
1,"[95, 427]",835.091428
1,"[302, 353]",839.333041
1,"[87, 222]",849.812058
1,"[15, 267]",852.11836
1,"[28, 303]",860.335947
1,"[38, 71]",873.25014
1,"[158, 348]",903.857499
1,"[64, 118]",919.900809
1,"[254, 353]",961.811474
1,"[75, 303]",1024.118339
1,"[249, 406]",1037.366693
1,"[94, 396]",1479.091861
2,"[21, 223]",606.42288
2,"[118, 209]",651.815478
2,"[362, 429]",676.275884
2,"[187, 408]",681.825165
2,"[17, 142]",709.293861
2,"[302, 303]",712.683243
2,"[55, 64]",785.842287
2,"[158, 207]",786.142488
2,"[195, 437]",802.845839
2,"[87, 406]",804.992331
2,"[254, 303]",835.015061
2,"[95, 427]",835.091428
2,"[302, 353]",839.333041
2,"[87, 222]",849.812058
2,"[15, 267]",852.11836
2,"[28, 303]",860.335947
2,"[38, 71]",873.25014
2,"[28, 164]",902.303167
2,"[158, 348]",903.857499
2,"[64, 427]",917.155061
2,"[64, 118]",919.900809
2,"[254, 353]",961.811474
2,"[38, 247]",971.508716
2,"[75, 303]",1024.118339
2,"[249, 406]",1037.366693
2,"[166, 427]",1043.82473
2,"[38, 303]",1060.336353
2,"[193, 249]",1144.369656
2,"[249, 421]",1268.703716
2,"[94, 396]",1479.091861
2,"[94, 303]",1597.21053
2,"[94, 222]",1646.342205
3,"[41, 427]",683.05256
3,"[28, 303]",860.335947
3,"[193, 396]",870.752408
3,"[38, 71]",873.25014
3,"[28, 164]",902.303167
3,"[158, 348]",903.857499
3,"[249, 396]",914.933347
3,"[64, 427]",917.155061
3,"[64, 118]",919.900809
3,"[128, 193]",933.700421
3,"[254, 353]",961.811474
3,"[38, 247]",971.508716
3,"[193, 349]",982.417823
3,"[193, 303]",988.71521
3,"[75, 303]",1024.118339
3,"[249, 303]",1032.984074
3,"[249, 406]",1037.366693
3,"[75, 427]",1038.185438
3,"[166, 427]",1043.82473
3,"[38, 303]",1060.336353
3,"[75, 222]",1073.26801
3,"[193, 249]",1144.369656
3,"[38, 249]",1215.953607
3,"[249, 421]",1268.703716
3,"[38, 421]",1296.251233
3,"[249, 315]",1326.255474
3,"[94, 396]",1479.091861
3,"[94, 303]",1597.21053
3,"[94, 406]",1601.463652
3,"[94, 427]",1611.211676
3,"[94, 222]",1646.342205
3,"[94, 421]",1833.139491
4,"[303, 371]",691.906582
4,"[38, 295]",895.684243
4,"[249, 396]",914.933347
4,"[38, 157]",945.417656
4,"[38, 392]",976.054187
4,"[216, 421]",998.687794
4,"[101, 315]",1005.263569
4,"[75, 303]",1024.118339
4,"[249, 406]",1037.366693
4,"[75, 427]",1038.185438
4,"[166, 427]",1043.82473
4,"[128, 421]",1058.680967
4,"[38, 303]",1060.336353
4,"[249, 281]",1062.571704
