gen,filename,score
1,882_236_000110,1.836
1,902_989_100111,1.903
1,70_715_101111,1.937
1,928_288_101111,1.955
1,288_126_100001,2.073
1,214_1041_010111,2.123
1,1101_901_110110,2.27
1,391_722_100100,2.345
1,660_865_001010,2.412
1,1038_1195_011011,2.435
1,883_407_000110,2.555
1,1042_262_100011,2.567
1,529_602_000010,2.612
1,125_1073_100111,2.672
1,486_322_111010,2.696
1,175_1102_110010,2.701
1,739_348_010010,2.874
1,957_940_010100,2.893
1,933_812_000100,2.917
1,335_1153_010111,3.07
1,914_468_010111,3.129
1,705_737_110111,3.173
1,1154_683_001010,3.184
1,887_1007_000001,3.319
1,689_1149_000001,3.358
1,602_1136_011111,3.581
1,326_590_000001,3.657
1,1057_512_010110,3.825
1,333_461_001000,4.043
1,211_437_100000,4.715
1,723_388_111111,10
1,845_470_111111,10
2,660_236_111101,1.458
2,288_1073_010110,1.674
2,882_236_000110,1.836
2,928_1041_101111,1.88
2,902_989_100111,1.903
2,70_715_101111,1.937
2,928_288_101111,1.955
2,564_715_101111,2.007
2,902_1041_100111,2.007
2,288_126_100001,2.073
2,928_407_000110,2.11
2,214_1041_010111,2.123
2,902_1118_100111,2.177
2,577_865_010111,2.202
2,1101_901_110110,2.27
2,391_722_100100,2.345
2,660_865_001010,2.412
2,1038_1195_011011,2.435
2,214_348_010111,2.55
2,883_407_000110,2.555
2,1042_262_100011,2.567
2,391_812_100100,2.578
2,125_549_100111,2.584
2,529_602_000010,2.612
2,391_262_100011,2.615
2,125_1073_100111,2.672
2,486_322_111010,2.696
2,933_407_000110,2.698
2,175_1102_110010,2.701
2,1101_126_111100,2.974
2,529_989_100111,3.156
2,820_288_011011,10
3,660_236_111101,1.458
3,288_1073_010110,1.674
3,882_236_000110,1.836
3,902_1073_100111,1.872
3,928_1041_101111,1.88
3,902_989_100111,1.903
3,214_715_010111,1.932
3,70_715_101111,1.937
3,928_288_101111,1.955
3,928_865_101111,1.983
3,564_715_101111,2.007
3,902_1041_100111,2.007
3,70_288_101111,2.014
3,288_126_100001,2.073
3,928_407_000110,2.11
3,288_1041_010110,2.119
3,214_1041_010111,2.123
3,928_407_101111,2.137
3,214_1041_101111,2.14
3,658_1041_101111,2.172
3,902_1118_100111,2.177
3,902_447_101111,2.178
3,70_1041_101111,2.184
3,577_865_010111,2.202
3,1101_901_110110,2.27
3,928_919_010111,2.286
3,391_1041_010111,2.306
3,1099_1041_101111,2.325
3,391_722_100100,2.345
3,214_989_100111,2.431
3,660_209_111101,3.139
3,391_1073_010110,3.75
4,214_236_111101,0.881
4,660_236_111101,1.458
4,288_1073_010110,1.674
4,882_236_000110,1.836
4,902_1073_100111,1.872
4,928_1041_101111,1.88
4,902_989_100111,1.903
4,288_715_010110,1.92
4,214_715_010111,1.932
4,70_715_101111,1.937
4,288_715_010111,1.939
4,928_288_101111,1.955
4,928_865_101111,1.983
4,902_1041_100111,2.007
4,564_715_101111,2.007
4,70_288_101111,2.014
4,882_715_000110,2.044
4,288_126_100001,2.073
4,928_407_000110,2.11
4,288_1041_010110,2.119
4,928_407_101111,2.137
4,70_288_001111,2.152
4,288_1041_010111,2.176
4,70_1041_101111,2.184
4,564_1041_101111,2.277
4,902_1073_010110,2.364
4,288_1073_100111,2.498
4,1073_407_101111,2.6
4,70_1073_101111,3.49
4,928_1073_101111,3.847
4,147_989_111101,4.311
4,70_871_101111,10
5,214_236_111101,0.881
5,660_236_111101,1.458
5,288_1073_010110,1.674
5,882_236_000110,1.836
5,902_715_101111,1.836
5,902_1073_100111,1.872
5,928_1041_101111,1.88
5,660_236_000110,1.895
5,902_989_100111,1.903
5,288_715_010110,1.92
5,214_715_010111,1.932
5,70_715_101111,1.937
5,288_715_010111,1.939
5,214_715_101111,1.952
5,928_288_101111,1.955
5,214_715_111101,1.958
5,928_715_101111,1.979
5,928_715_101111,1.979
5,928_865_101111,1.983
5,660_715_111101,2.0
5,902_1041_100111,2.007
5,564_715_101111,2.007
5,70_288_101111,2.014
5,288_715_000100,2.035
5,660_288_101111,2.124
5,214_1073_100111,2.293
5,564_69_101111,2.668
5,1073_241_101111,2.683
5,882_1073_011100,3.54
5,928_1073_101111,3.847
5,928_989_110110,4.182
5,902_236_000110,10
6,914_236_111101,0.407
6,214_236_111101,0.881
6,660_236_111101,1.458
6,214_236_100100,1.67
6,288_1073_010110,1.674
6,882_236_000110,1.836
6,902_715_101111,1.836
6,902_1073_100111,1.872
6,928_1041_101111,1.88
6,660_236_000110,1.895
6,902_989_100111,1.903
6,288_715_010110,1.92
6,214_715_010111,1.932
6,70_715_101111,1.937
6,288_715_010111,1.939
6,214_715_101111,1.952
6,928_288_101111,1.955
6,214_715_111101,1.958
6,928_715_011111,1.969
6,333_715_101111,1.995
6,665_715_101111,1.995
6,70_715_010111,2.005
6,660_715_000110,2.04
6,660_480_000110,2.065
6,288_615_010110,2.084
6,288_1129_010110,2.154
6,214_173_100111,2.166
6,928_1041_111111,2.266
6,928_241_101111,2.27
6,902_236_100111,2.27
6,288_1059_010110,2.339
6,902_1073_010110,2.364
7,914_236_111101,0.407
7,214_236_101111,0.63
7,519_236_000110,0.663
7,214_236_111101,0.881
7,660_236_111101,1.458
7,740_1073_100111,1.496
7,214_236_100100,1.67
7,288_1073_010110,1.674
7,902_715_000110,1.736
7,902_1073_100000,1.81
7,882_236_000110,1.836
7,902_715_101111,1.836
7,902_1073_100111,1.872
7,928_1041_101111,1.88
7,660_236_000110,1.895
7,902_989_100111,1.903
7,288_715_010110,1.92
7,214_715_010111,1.932
7,70_715_101111,1.937
7,288_715_010111,1.939
7,214_715_101111,1.952
7,928_288_011111,1.954
7,214_715_111101,1.958
7,882_715_101111,1.969
7,928_715_000101,1.985
7,882_715_010111,2.02
7,889_715_101111,2.039
7,214_615_100100,2.072
7,928_236_101111,10
7,928_236_101111,10
7,928_236_101111,10
7,902_236_001110,10
8,914_236_111101,0.407
8,214_236_101111,0.63
8,519_236_000110,0.663
8,214_236_111101,0.881
8,660_236_111101,1.458
8,740_1073_100111,1.496
8,214_236_100100,1.67
8,288_1073_010110,1.674
8,902_715_000110,1.736
8,902_1073_100000,1.81
8,902_8_100111,1.835
8,882_236_000110,1.836
8,902_715_101111,1.836
8,798_236_000110,1.85
8,902_1073_100111,1.872
8,928_1041_101111,1.88
8,660_236_000110,1.895
8,902_989_100111,1.903
8,214_715_101111,1.952
8,92_715_111101,1.964
8,519_715_101111,1.979
8,914_715_101111,1.986
8,214_715_000110,1.988
8,882_715_000110,2.044
8,1162_715_010111,2.06
8,928_972_101111,2.087
8,882_608_111101,2.504
8,928_236_000001,2.525
8,379_1073_100111,3.1
8,660_1179_000110,3.16
8,622_1073_100111,3.718
8,519_1073_100111,4.115
9,914_236_111101,0.407
9,214_236_101111,0.63
9,519_236_000110,0.663
9,902_236_001011,0.736
9,214_236_111101,0.881
9,914_236_101011,0.918
9,660_236_111101,1.458
9,740_1073_100111,1.496
9,214_236_100100,1.67
9,288_1073_010110,1.674
9,902_715_000110,1.736
9,902_1073_100000,1.81
9,902_8_100111,1.835
9,882_236_000110,1.836
9,902_715_101111,1.836
9,798_236_000110,1.85
9,902_1073_100111,1.872
9,928_1041_101111,1.88
9,660_715_111101,2.0
9,660_715_111101,2.0
9,214_8_111101,2.222
9,902_718_101111,2.309
9,519_1041_101111,2.392
9,928_236_000001,2.525
9,740_255_100111,2.821
9,519_686_111101,3.097
9,882_1073_000010,3.156
9,740_1073_100000,3.159
9,92_776_111101,3.853
9,519_1073_100111,4.115
9,519_198_000110,4.172
9,214_554_111101,4.494
10,914_236_111101,0.407
10,214_236_101111,0.63
10,519_236_000110,0.663
10,902_236_001011,0.736
10,902_236_101111,0.738
10,214_236_111101,0.881
10,914_236_101011,0.918
10,660_236_111101,1.458
10,740_1073_100111,1.496
10,214_236_100100,1.67
10,288_1073_010110,1.674
10,902_715_000110,1.736
10,902_1073_000111,1.77
10,902_1073_100000,1.81
10,902_8_100111,1.835
10,882_236_000110,1.836
10,902_715_101111,1.836
10,798_236_000110,1.85
10,519_715_111101,1.996
10,660_715_100111,2.067
10,660_236_101101,2.199
10,288_236_111101,2.314
10,740_1073_010110,2.772
10,519_49_000110,2.981
10,882_556_100111,3.008
10,928_1073_101111,3.847
10,519_179_100100,4.134
10,914_236_000110,10
10,902_236_100000,10
10,902_236_101011,10
10,914_236_100100,10
10,902_236_101011,10
11,673_1073_010110,0.243
11,914_236_111101,0.407
11,214_236_101111,0.63
11,519_236_000110,0.663
11,902_236_001011,0.736
11,902_236_101111,0.738
11,665_236_100111,0.814
11,740_236_100111,0.821
11,214_236_111101,0.881
11,969_236_101111,0.886
11,902_236_111101,0.9
11,914_236_101011,0.918
11,660_236_111101,1.458
11,740_1073_100111,1.496
11,214_236_100100,1.67
11,288_1073_010110,1.674
11,902_715_000110,1.736
11,902_1073_000111,1.77
11,902_1073_100000,1.81
11,902_8_100111,1.835
11,882_236_000110,1.836
11,902_136_001011,1.911
11,214_236_000110,1.966
11,914_715_111101,1.981
11,214_930_101111,2.052
11,214_8_100111,2.101
11,69_236_101101,2.213
11,798_1073_000110,2.814
11,69_1073_101111,3.58
11,214_236_101101,10
11,902_236_111010,10
11,214_236_101101,10
12,673_1073_010110,0.243
12,914_236_111101,0.407
12,673_236_010110,0.484
12,519_236_100111,0.612
12,214_236_101111,0.63
12,519_236_000110,0.663
12,665_136_001011,0.717
12,902_236_001011,0.736
12,902_236_101111,0.738
12,242_236_111101,0.741
12,665_236_100111,0.814
12,740_236_100111,0.821
12,214_236_111101,0.881
12,969_236_101111,0.886
12,902_236_111101,0.9
12,914_236_101011,0.918
12,214_227_001011,1.301
12,660_236_111101,1.458
12,740_1073_100111,1.496
12,214_236_110100,1.66
12,214_236_100100,1.67
12,288_1073_010110,1.674
12,902_715_101111,1.836
12,902_930_100111,1.999
12,882_236_011001,2.015
12,902_1073_010110,2.364
12,902_1073_010110,2.364
12,214_965_101111,2.501
12,214_1073_111101,2.892
12,1097_1073_010110,3.131
12,902_236_000110,10
12,902_236_100000,10
13,673_1073_010110,0.243
13,519_236_110010,0.311
13,914_236_111101,0.407
13,673_236_010110,0.484
13,519_236_100111,0.612
13,214_236_101111,0.63
13,519_236_000110,0.663
13,665_136_001011,0.717
13,902_236_001011,0.736
13,902_236_101111,0.738
13,242_236_111101,0.741
13,665_236_100111,0.814
13,740_236_100111,0.821
13,1031_236_100111,0.832
13,214_236_111101,0.881
13,969_236_101111,0.886
13,902_236_111101,0.9
13,914_236_101011,0.918
13,902_236_101100,1.587
13,214_236_100101,1.664
13,902_136_001011,1.911
13,150_236_001011,2.009
13,1152_236_100111,2.076
13,673_1018_111101,2.312
13,214_249_111101,2.321
13,214_958_101111,2.408
13,214_362_111101,2.436
13,665_600_010110,2.903
13,519_805_000110,3.032
13,665_1073_010110,3.71
13,673_379_010110,3.839
13,288_820_010110,10
14,673_1073_010110,0.243
14,519_236_110010,0.311
14,914_236_111101,0.407
14,673_236_010110,0.484
14,519_236_100111,0.612
14,214_236_101111,0.63
14,519_236_000110,0.663
14,665_136_001011,0.717
14,902_236_001011,0.736
14,902_236_101111,0.738
14,242_236_111101,0.741
14,1135_236_111101,0.771
14,665_236_100111,0.814
14,740_236_100111,0.821
14,1031_236_100111,0.832
14,192_236_111101,0.834
14,214_236_111101,0.881
14,969_236_101111,0.886
14,850_236_101111,0.931
14,242_236_100110,1.542
14,665_236_001011,1.776
14,310_236_000110,2.184
14,673_214_010110,2.208
14,902_1073_010110,2.364
14,1031_210_100111,2.535
14,740_236_110010,2.595
14,214_1073_010110,2.972
14,214_875_101111,3.04
14,753_1073_010110,3.297
14,1031_134_100111,3.314
14,673_136_010110,3.868
14,902_236_000110,10
15,594_236_100111,0.102
15,673_1073_010110,0.243
15,519_236_110010,0.311
15,914_236_111101,0.407
15,673_236_010110,0.484
15,519_236_100111,0.612
15,214_236_101111,0.63
15,519_236_000110,0.663
15,665_136_001011,0.717
15,902_236_000111,0.729
15,902_236_001011,0.736
15,902_236_101111,0.738
15,242_236_111101,0.741
15,1135_236_111101,0.771
15,665_236_100111,0.814
15,740_236_100111,0.821
15,308_236_111101,0.821
15,1031_236_100111,0.832
15,192_236_111101,0.834
15,214_236_111101,0.881
15,1135_236_101110,1.64
15,914_136_001011,1.716
15,242_214_111101,1.989
15,30_214_010110,2.248
15,242_28_111101,2.614
15,943_1073_010110,2.756
15,242_136_111101,2.854
15,78_136_111101,3.354
15,665_1073_010110,3.71
15,673_1034_001011,4.226
15,673_236_111101,10
15,914_236_110000,10
16,594_236_100111,0.102
16,626_236_001011,0.236
16,673_1073_010110,0.243
16,519_236_110010,0.311
16,914_236_111101,0.407
16,673_236_010110,0.484
16,519_236_100111,0.612
16,214_236_101111,0.63
16,519_236_000110,0.663
16,665_136_001011,0.717
16,902_236_000111,0.729
16,902_236_001011,0.736
16,902_236_101111,0.738
16,242_236_111101,0.741
16,1135_236_111101,0.771
16,67_236_111101,0.813
16,665_236_100111,0.814
16,740_236_100111,0.821
16,214_236_111101,0.881
16,902_236_111101,0.9
16,902_236_100100,1.382
16,902_474_010110,1.927
16,243_236_100111,2.293
16,957_236_010110,2.559
16,673_91_010110,2.882
16,867_136_001011,3.153
16,914_1073_101111,3.343
16,673_136_010110,3.868
16,519_136_001011,4.18
16,519_136_000110,4.881
16,519_136_110010,4.92
16,902_236_101010,10
17,594_236_100111,0.102
