gen,filename,score
1,122_122_000101,0.615
1,1075_199_011100,0.777
1,542_552_110101,1.407
1,728_603_100101,1.755
1,677_811_011100,2.042
1,745_992_010011,2.158
1,1052_824_111010,2.176
1,885_531_100100,2.196
1,720_1138_011011,2.221
1,748_60_000110,2.242
1,1122_856_111101,2.256
1,464_25_101111,2.295
1,620_15_101101,2.296
1,593_666_000101,2.351
1,1023_277_110100,2.431
1,1031_391_110110,2.437
1,771_961_010001,2.596
1,175_527_110110,2.602
1,1148_1047_101111,2.603
1,763_405_011000,2.669
1,633_875_000111,2.739
1,528_17_000100,2.82
1,1166_968_010100,2.833
1,1196_607_010010,2.902
1,408_363_100110,3.333
1,400_664_101010,3.409
1,293_866_011111,3.484
1,1022_339_111110,3.829
1,128_345_000110,3.868
1,540_592_101000,3.91
1,819_776_000010,4.093
1,1120_1048_000010,10
2,122_122_000101,0.615
2,720_199_011100,0.692
2,1075_199_011100,0.777
2,122_875_000111,1.013
2,1122_122_110000,1.014
2,542_552_110101,1.407
2,728_391_110110,1.587
2,745_199_010011,1.7
2,728_603_100101,1.755
2,677_1138_011100,1.784
2,1075_1138_011011,1.795
2,677_992_011100,2.012
2,593_824_000101,2.035
2,677_811_011100,2.042
2,745_992_010011,2.158
2,1052_824_111010,2.176
2,885_531_100100,2.196
2,720_1138_011011,2.221
2,885_60_000110,2.237
2,748_60_000110,2.242
2,1122_856_111101,2.256
2,542_60_110101,2.259
2,464_25_101111,2.295
2,620_15_101101,2.296
2,593_405_011000,2.303
2,214_992_110101,2.341
2,593_666_000101,2.351
2,542_531_100100,2.394
2,1023_277_110100,2.431
2,1031_391_110110,2.437
2,1122_277_111100,2.458
2,885_883_100100,2.617
3,122_1138_011011,0.452
3,122_199_000101,0.495
3,122_122_000101,0.615
3,720_199_011100,0.692
3,169_1138_100100,0.729
3,1075_199_011100,0.777
3,593_199_000101,0.999
3,122_875_000111,1.013
3,1122_122_110000,1.014
3,542_552_110101,1.407
3,728_391_110110,1.587
3,745_199_010011,1.7
3,728_603_100101,1.755
3,677_1138_011100,1.784
3,1075_1138_011011,1.795
3,720_122_000101,1.86
3,677_875_100100,1.893
3,677_992_011100,2.012
3,593_824_000101,2.035
3,677_811_011100,2.042
3,79_1138_110110,2.051
3,720_60_011100,2.134
3,745_992_010011,2.158
3,720_1138_011100,2.172
3,1052_824_111010,2.176
3,745_875_010011,2.393
3,1122_603_100101,2.743
3,129_992_100100,2.774
3,542_391_110101,2.993
3,25_875_011100,3.554
3,748_875_000111,4.202
3,593_824_011000,10
4,122_1138_011011,0.452
4,122_199_000101,0.495
4,122_122_000101,0.615
4,720_199_011100,0.692
4,169_1138_100100,0.729
4,1075_199_011100,0.777
4,593_199_000101,0.999
4,122_875_000111,1.013
4,1122_122_110000,1.014
4,169_199_000101,1.034
4,1122_199_010011,1.056
4,122_199_110001,1.065
4,122_199_011011,1.228
4,542_552_110101,1.407
4,728_391_110110,1.587
4,169_330_100100,1.656
4,745_199_010011,1.7
4,728_603_100101,1.755
4,92_1138_011011,1.76
4,677_1138_011100,1.784
4,1075_1138_011011,1.795
4,720_122_000101,1.86
4,1075_122_000101,1.894
4,677_199_000101,2.19
4,129_199_000101,2.201
4,1075_82_011011,2.473
4,720_354_011100,2.513
4,122_806_011011,2.605
4,1075_262_011100,2.757
4,38_391_000111,2.797
4,720_781_011011,2.809
4,1122_875_000111,10
5,122_42_011100,0.352
5,122_1138_011011,0.452
5,122_199_000101,0.495
5,122_122_000101,0.615
5,720_199_011100,0.692
5,169_1138_100100,0.729
5,1075_199_011100,0.777
5,122_199_111000,0.808
5,1122_199_000101,0.975
5,1122_199_000101,0.975
5,593_199_000101,0.999
5,190_199_000101,0.999
5,122_875_000111,1.013
5,1122_122_110000,1.014
5,169_199_000101,1.034
5,1122_199_010011,1.056
5,122_199_110001,1.065
5,169_199_100101,1.104
5,122_199_011011,1.228
5,720_199_101111,1.278
5,542_552_110101,1.407
5,728_391_110110,1.587
5,169_330_100100,1.656
5,745_199_010011,1.7
5,720_808_011100,1.823
5,169_603_000101,1.879
5,1075_199_000101,1.909
