gen,filename,score
1,21_454_111101,1.343
1,455_158_101100,1.661
1,270_6_000010,1.664
1,307_248_111110,1.893
1,507_614_101011,2.034
1,464_301_001101,2.043
1,965_214_011000,2.075
1,479_849_010111,2.104
1,581_585_100101,2.275
1,927_1046_001101,2.315
1,1153_267_110101,2.319
1,211_285_100001,2.356
1,1090_672_010010,2.371
1,551_1167_001010,2.404
1,776_680_101011,2.435
1,407_110_100111,2.51
1,1174_775_011111,2.523
1,685_317_000110,2.572
1,149_660_010000,2.666
1,204_956_001010,2.678
1,759_919_011101,2.767
1,1047_781_011010,2.818
1,957_263_111101,3.088
1,237_638_101101,3.159
1,855_92_010111,3.191
1,345_371_100011,3.254
1,1175_951_101111,3.255
1,92_34_100110,3.913
1,1150_713_101001,4.266
1,590_438_010100,4.511
1,1093_112_001000,4.64
1,325_976_000101,10
2,1174_539_011111,0.346
2,21_454_111101,1.343
2,455_158_101100,1.661
2,270_6_000010,1.664
2,455_775_101100,1.765
2,969_248_011000,1.841
2,307_248_111110,1.893
2,507_614_101011,2.034
2,464_301_001101,2.043
2,965_214_011000,2.075
2,479_849_010111,2.104
2,307_680_111110,2.131
2,464_956_001101,2.14
2,927_660_001101,2.182
2,21_214_011000,2.259
2,581_585_100101,2.275
2,927_1046_001101,2.315
2,1153_267_110101,2.319
2,965_712_111101,2.319
2,211_285_100001,2.356
2,1090_672_010010,2.371
2,551_158_101100,2.393
2,551_1167_001010,2.404
2,776_680_101011,2.435
2,307_775_011111,2.504
2,407_110_100111,2.51
2,1047_301_011010,2.524
2,149_614_010000,2.84
2,307_377_001101,2.885
2,507_1031_101011,2.988
2,685_614_101011,3.151
2,455_1046_001101,3.606
3,1174_539_011111,0.346
3,21_454_111101,1.343
3,455_158_101100,1.661
3,270_6_000010,1.664
3,307_426_111110,1.719
3,455_631_101100,1.726
3,455_775_101100,1.765
3,455_248_101000,1.788
3,969_248_011000,1.841
3,969_248_111110,1.87
3,307_248_111110,1.893
3,455_285_100001,1.996
3,507_614_101011,2.034
3,464_301_001101,2.043
3,464_585_001101,2.048
3,965_214_011000,2.075
3,502_248_011000,2.078
3,479_849_010111,2.104
3,21_214_111110,2.105
3,307_680_111110,2.131
3,464_956_001101,2.14
3,551_680_101100,2.167
3,927_660_001101,2.182
3,21_214_011000,2.259
3,581_585_100101,2.275
3,1174_775_101100,2.645
3,965_285_100001,2.74
3,270_158_000010,2.791
3,965_6_011000,2.995
3,479_1046_011011,3.617
3,464_1046_001101,4.488
3,21_385_010111,10
4,1174_539_011111,0.346
4,507_454_101011,1.206
4,21_454_111101,1.343
4,464_426_111110,1.396
4,455_454_111101,1.61
4,455_158_101100,1.661
4,270_6_000010,1.664
4,455_614_101011,1.693
4,307_426_111110,1.719
4,455_631_101100,1.726
4,455_775_101100,1.765
4,455_248_101000,1.788
4,969_248_011000,1.841
4,969_248_111110,1.87
4,307_248_111110,1.893
4,502_248_011110,1.929
4,977_214_011000,1.97
4,455_285_100001,1.996
4,507_614_101011,2.034
4,464_301_001101,2.043
4,464_585_001101,2.048
4,455_6_000010,2.055
4,965_214_011000,2.075
4,270_248_101101,2.151
4,434_301_011000,2.228
4,551_6_000010,2.544
4,21_301_011000,2.547
4,307_285_111101,2.746
4,270_158_001000,2.904
4,21_631_101100,3.146
4,21_6_000010,4.384
4,1174_104_011111,4.762
5,1174_539_011111,0.346
5,455_539_011111,0.504
5,455_539_011111,0.504
5,507_454_101011,1.206
5,455_454_101011,1.33
5,21_454_111101,1.343
5,307_454_111101,1.351
5,1174_454_011111,1.362
5,464_426_111110,1.396
5,455_426_101011,1.424
5,785_454_101100,1.446
5,455_426_111110,1.462
5,455_454_101000,1.597
5,455_454_111101,1.61
5,455_158_101100,1.661
5,270_6_000010,1.664
5,455_614_101011,1.693
5,307_426_111110,1.719
5,455_631_101100,1.726
5,455_775_101100,1.765
5,455_248_101000,1.788
5,969_248_011000,1.841
5,969_248_111110,1.87
5,307_248_111110,1.893
5,502_248_011110,1.929
5,464_248_011000,2.051
5,295_6_000010,2.255
5,464_655_111110,2.572
5,21_775_111101,2.647
5,455_614_111101,3.251
5,464_614_101011,3.696
5,464_614_101011,3.696
6,1174_539_011111,0.346
6,455_539_011111,0.504
6,455_539_011111,0.504
6,455_454_011111,1.122
6,507_454_101011,1.206
6,969_454_101001,1.238
6,464_454_011000,1.28
