gen,filename,score
1,1156_355_010010,1.077
1,597_780_100011,1.974
1,8_284_000011,2.214
1,303_751_100011,2.253
1,23_857_111000,2.28
1,155_284_110001,2.293
1,632_69_110000,2.323
1,790_822_001000,2.354
1,87_445_010111,2.366
1,708_803_010110,2.433
1,1071_61_010111,2.45
1,977_828_011010,2.545
1,705_419_010001,2.546
1,729_336_001110,2.555
1,1073_705_111011,2.711
1,179_183_101010,2.741
1,765_491_001010,2.821
1,263_178_111001,2.905
1,1088_92_111010,2.91
1,279_169_001000,2.953
1,1023_154_001110,3.004
1,1019_563_010001,3.041
1,293_215_000110,3.114
1,1161_518_110011,3.127
1,11_600_011101,3.167
1,440_923_111100,3.186
1,726_65_110001,3.318
1,405_996_111111,3.441
1,804_438_100111,3.486
1,257_115_011101,3.623
1,1172_349_010110,3.993
1,889_1126_010101,4.11
2,1156_355_010010,1.077
2,597_780_100011,1.974
2,632_780_100011,2.107
2,632_284_000011,2.152
2,23_822_001000,2.187
2,597_61_010111,2.198
2,977_69_110000,2.208
2,8_284_000011,2.214
2,832_284_110001,2.239
2,620_705_110001,2.248
2,303_751_100011,2.253
2,23_857_111000,2.28
2,155_284_110001,2.293
2,1071_284_000011,2.315
2,632_69_110000,2.323
2,790_822_001000,2.354
2,87_445_010111,2.366
2,729_284_000011,2.397
2,1156_284_010010,2.426
2,708_803_010110,2.433
2,1071_61_010111,2.45
2,1023_605_100011,2.501
2,23_355_111000,2.507
2,977_828_011010,2.545
2,705_419_010001,2.546
2,729_336_001110,2.555
2,23_92_111000,2.556
2,1073_705_111011,2.711
2,179_183_101010,2.741
2,1156_1106_111011,2.998
2,1073_69_111011,3.071
2,765_355_001010,3.415
3,1156_355_010010,1.077
3,597_355_100011,1.368
3,597_857_111000,1.41
3,597_355_010010,1.43
3,597_986_100011,1.899
3,597_284_100011,1.906
3,597_371_100011,1.928
3,597_780_100011,1.974
3,620_822_110001,2.058
3,632_780_100011,2.107
3,632_284_000011,2.152
3,23_822_001000,2.187
3,597_61_010111,2.198
3,977_69_110000,2.208
3,832_822_001000,2.21
3,8_284_000011,2.214
3,832_284_110001,2.239
3,620_705_110001,2.248
3,303_751_100011,2.253
3,23_857_111000,2.28
3,155_284_110001,2.293
3,23_445_010100,2.302
3,1071_284_000011,2.315
3,632_69_110000,2.323
3,790_822_001000,2.354
3,155_822_110001,2.367
3,832_69_110000,2.408
3,944_61_010111,2.443
3,351_705_110001,2.563
3,200_780_000011,2.653
3,904_780_111000,3.347
3,1156_26_010010,3.374
4,1156_355_010010,1.077
4,597_355_100011,1.368
4,597_857_111000,1.41
4,597_355_010010,1.43
4,632_355_010010,1.601
4,597_986_100011,1.899
4,597_69_110000,1.899
4,597_284_100011,1.906
4,597_371_100011,1.928
4,597_774_110001,1.936
4,1156_986_011110,1.962
4,597_544_100011,1.971
4,597_780_100011,1.974
4,597_289_100011,1.975
4,632_780_110001,2.027
4,597_284_111000,2.035
4,620_822_110001,2.058
4,632_780_100011,2.107
4,23_780_111000,2.126
4,632_284_000011,2.152
4,23_822_001000,2.187
4,597_61_010111,2.198
4,977_69_110000,2.208
4,832_822_001000,2.21
4,8_284_000011,2.214
4,1162_284_010010,2.282
4,632_140_100011,2.359
4,832_371_110001,2.497
4,657_284_100011,2.576
4,303_780_100011,2.759
4,1156_306_010010,3.035
4,1156_780_100011,3.262
5,399_355_110001,0.884
5,1122_355_100011,0.923
5,597_355_101010,0.963
5,597_355_110101,1.049
5,1156_355_010010,1.077
5,597_355_100011,1.368
5,597_857_111000,1.41
5,597_355_010010,1.43
5,632_355_010010,1.601
5,597_371_000010,1.883
5,597_822_110001,1.895
5,615_780_010010,1.896
5,597_986_100011,1.899
5,597_69_110000,1.899
5,597_355_110000,1.902
5,597_284_100011,1.906
5,597_371_100011,1.928
5,597_774_110001,1.936
5,597_477_100011,1.942
5,1156_986_011110,1.962
5,597_544_100011,1.971
5,597_780_100011,1.974
5,597_289_100011,1.975
5,632_780_110001,2.027
5,597_284_111000,2.035
5,597_986_011110,2.036
5,632_371_100011,2.338
5,597_371_110110,2.356
5,329_355_100011,2.684
5,1156_780_100011,3.262
5,501_857_110000,3.631
5,548_544_100011,10
6,1156_355_110101,0.853
6,399_355_110001,0.884
6,597_355_110011,0.899
6,1122_355_100011,0.923
6,597_355_101010,0.963
6,50_355_101010,0.979
6,597_355_110101,1.049
6,1156_355_010010,1.077
6,597_355_000010,1.324
6,597_355_100011,1.368
6,597_857_111000,1.41
6,597_355_010010,1.43
6,632_355_010010,1.601
6,597_355_000001,1.834
6,597_371_000010,1.883
6,597_822_110001,1.895
6,615_780_010010,1.896
6,597_477_110000,1.896
6,597_986_100011,1.899
6,597_69_110000,1.899
6,597_355_110000,1.902
6,597_284_100011,1.906
6,597_822_010011,1.993
6,597_69_010101,2.138
6,449_986_100011,2.391
6,399_822_110001,2.398
6,731_284_100011,2.493
6,490_355_010010,2.581
6,775_355_010010,2.798
6,746_371_110001,3.336
6,399_780_110001,3.715
6,1083_355_100011,10
7,632_355_110101,0.566
7,1122_355_110011,0.737
7,1156_355_110101,0.853
7,399_355_110001,0.884
7,597_355_110011,0.899
7,1122_355_100011,0.923
7,399_355_000111,0.944
7,597_355_101010,0.963
7,50_355_110101,0.965
7,50_355_101010,0.979
7,597_355_110101,1.049
7,1156_355_010010,1.077
7,597_355_000010,1.324
7,597_355_100011,1.368
7,597_857_111000,1.41
7,597_355_010010,1.43
7,632_355_010010,1.601
7,597_355_000001,1.834
7,597_371_110000,1.877
7,597_371_000010,1.883
7,597_822_110001,1.895
7,597_986_100011,1.899
7,597_355_110000,1.902
7,597_355_110000,1.902
7,597_989_110001,2.013
7,449_355_110001,2.05
7,597_355_001010,2.143
7,66_355_000010,2.293
7,1156_822_000110,2.353
7,506_284_100011,2.394
7,50_857_111000,2.635
7,731_789_110001,3.321
8,632_355_110101,0.566
8,399_355_110101,0.628
8,1122_355_110011,0.737
8,1156_355_110101,0.853
8,399_355_110001,0.884
8,597_355_110011,0.899
8,1122_355_100011,0.923
8,399_355_000111,0.944
8,597_355_101010,0.963
8,50_355_110101,0.965
8,50_355_101010,0.979
8,750_355_010010,1.037
8,597_355_110101,1.049
8,1156_355_010010,1.077
8,765_355_110101,1.194
8,632_355_100100,1.232
8,597_355_111000,1.298
8,597_355_111000,1.298
8,597_355_000010,1.324
8,597_355_100011,1.368
8,597_857_111000,1.41
8,597_355_010010,1.43
8,632_355_010010,1.601
8,632_355_010010,1.601
8,597_355_000001,1.834
8,597_986_000010,1.852
8,632_355_000011,2.286
8,597_67_110011,2.341
8,597_66_101010,2.442
8,1156_229_101010,2.489
8,399_419_000111,2.984
8,1122_579_100011,3.764
9,632_355_111011,0.485
9,632_355_110101,0.566
9,399_355_110101,0.628
9,1122_355_110011,0.737
9,620_355_110101,0.743
9,765_355_100011,0.771
9,1156_355_110101,0.853
9,399_355_110001,0.884
9,597_355_110011,0.899
9,399_355_101000,0.903
9,1122_355_100011,0.923
9,1122_355_110101,0.943
9,399_355_000111,0.944
9,597_355_101010,0.963
9,50_355_110101,0.965
9,50_355_101010,0.979
9,750_355_010010,1.037
9,597_355_000111,1.039
9,597_355_110101,1.049
9,1156_355_010010,1.077
9,800_355_110101,1.081
9,44_355_110011,1.127
9,399_355_111000,1.154
9,765_355_110101,1.194
9,632_355_100100,1.232
9,1156_355_110011,1.352
9,597_355_100011,1.368
9,597_857_111000,1.41
9,597_355_000001,1.834
9,1070_355_010010,3.517
9,1122_218_110101,3.69
9,1122_355_111000,4.06
10,632_355_111011,0.485
10,632_355_110101,0.566
10,399_355_110101,0.628
10,50_355_101111,0.657
10,1122_355_110011,0.737
10,620_355_110101,0.743
10,765_355_100011,0.771
10,1156_355_110101,0.853
10,399_355_110001,0.884
10,172_355_110101,0.899
10,597_355_110011,0.899
10,399_355_101000,0.903
10,1122_355_100011,0.923
10,597_355_111110,0.932
10,1122_355_110101,0.943
