gen,filename,score
1,960_1117_011000,346.08132
1,819_1066_010011,521.572301
1,819_229_001000,528.747412
1,230_115_000100,588.028942
1,1048_756_010100,607.024576
1,203_66_001100,607.858836
1,1051_1151_000100,608.803111
1,445_69_000110,649.535768
1,68_1172_100010,659.658362
1,501_806_100100,672.793459
1,447_830_110101,680.857624
1,220_534_101001,687.521337
1,45_925_101000,696.465774
1,623_708_001111,744.790468
1,725_327_000101,747.854729
1,1131_868_010100,773.377652
1,261_272_100111,799.006625
1,867_560_011101,805.316896
1,578_187_110000,816.645874
1,76_201_111100,836.312002
1,1050_1112_110000,858.412691
1,137_1067_010011,895.955843
1,517_518_011001,899.210699
1,100_561_011100,910.063126
1,1083_13_000010,989.440652
1,592_1123_110010,991.101671
1,112_89_000100,1025.128514
1,645_500_001111,1121.164409
1,665_709_000100,1182.17071
1,724_188_001101,1258.051167
1,52_458_100110,1372.10385
1,367_672_010010,1462.005307
2,578_672_111001,554.750011
2,45_672_010010,642.6312
2,645_576_001111,654.239384
2,645_672_010010,760.546375
2,501_188_100100,771.892964
2,261_272_100111,799.006625
2,867_560_011101,805.316896
2,1050_560_011101,811.772223
2,578_187_110000,816.645874
2,829_708_001111,825.446864
2,76_201_111100,836.312002
2,1050_1112_110000,858.412691
2,867_709_000100,862.919324
2,137_1067_010011,895.955843
2,517_518_011001,899.210699
2,578_1123_110010,906.887113
2,100_561_011100,910.063126
2,645_272_100111,932.174151
2,1083_13_000010,989.440652
2,592_1123_110010,991.101671
2,112_89_000100,1025.128514
2,645_992_010011,1100.31285
2,645_500_001111,1121.164409
2,261_628_100111,1124.448572
2,447_518_011001,1136.617384
2,665_709_000100,1182.17071
2,52_518_100110,1217.282754
2,1083_458_100110,1252.002846
2,724_188_001101,1258.051167
2,76_458_111100,1268.792383
2,52_458_100110,1372.10385
2,367_672_010010,1462.005307
3,76_672_111100,598.400764
3,137_672_010010,735.495194
3,1083_672_100110,749.153749
3,261_1123_100111,854.973906
3,788_500_000010,883.740796
3,100_561_011100,910.063126
3,645_272_100111,932.174151
3,1083_13_000010,989.440652
3,592_1123_110010,991.101671
3,52_672_010010,1013.36705
3,112_89_000100,1025.128514
3,724_236_001101,1063.019615
3,1083_518_100110,1096.841258
3,645_992_010011,1100.31285
3,645_500_001111,1121.164409
3,261_628_100111,1124.448572
3,447_518_011001,1136.617384
3,1083_500_100110,1141.661136
3,52_709_100110,1149.617264
3,52_1123_100110,1161.679414
3,665_709_000100,1182.17071
3,76_458_100110,1182.517674
3,52_518_100110,1217.282754
3,665_500_011100,1219.681741
3,52_709_000100,1251.937402
3,1083_458_100110,1252.002846
3,724_188_001101,1258.051167
3,645_628_001111,1258.15502
3,76_458_111100,1268.792383
3,52_89_000100,1332.834052
3,52_458_100110,1372.10385
3,367_672_010010,1462.005307
4,645_672_001111,598.041111
4,403_458_000100,658.029998
4,1083_672_100110,749.153749
4,1083_672_100110,749.153749
4,1061_13_000100,964.278769
4,592_709_000100,967.250115
4,973_89_000100,968.012491
4,76_709_011110,971.769676
4,65_628_011100,1080.543483
4,665_672_000010,1087.721233
4,447_518_011001,1136.617384
4,1083_500_100110,1141.661136
4,52_709_100110,1149.617264
4,52_1123_100110,1161.679414
4,665_709_000100,1182.17071
4,76_458_100110,1182.517674
4,52_518_100110,1217.282754
4,665_500_010000,1219.438718
4,665_500_011100,1219.681741
4,52_709_000100,1251.937402
4,1083_458_100110,1252.002846
4,724_188_001101,1258.051167
4,645_628_001111,1258.15502
4,645_458_001111,1268.689755
4,76_458_111100,1268.792383
4,52_89_000100,1332.834052
4,724_89_001101,1348.84031
4,52_458_100110,1372.10385
4,52_458_011110,1394.966095
4,367_672_010010,1462.005307
4,367_458_111100,1619.952758
4,367_188_010010,1750.659007
5,645_114_000010,850.435258
5,962_188_100110,1021.829768
5,912_458_001101,1143.850472
5,52_1123_100110,1161.679414
5,724_518_001101,1174.048654
5,76_458_100110,1182.517674
5,645_89_001101,1202.306925
5,52_815_000100,1206.014937
5,45_458_011110,1209.529121
5,52_518_100110,1217.282754
5,665_500_010000,1219.438718
5,665_500_011100,1219.681741
5,52_709_000100,1251.937402
5,1083_458_100110,1252.002846
5,724_188_001101,1258.051167
5,645_628_001111,1258.15502
5,645_458_001111,1268.689755
5,76_458_111100,1268.792383
5,52_188_010010,1301.619632
5,52_458_000100,1326.183038
5,665_458_100110,1330.246034
5,52_89_000100,1332.834052
5,724_89_001101,1348.84031
5,52_458_100110,1372.10385
5,52_458_011110,1394.966095
5,367_561_001101,1429.869216
5,367_672_010010,1462.005307
5,367_458_111100,1619.952758
5,367_188_110010,1637.55337
5,367_188_010010,1750.659007
5,367_458_010010,1797.500661
5,367_458_001100,1797.67163
6,45_89_000100,868.932084
6,612_89_010010,914.185951
6,588_458_001100,1013.223578
6,665_788_100110,1017.941222
6,665_492_010010,1127.143875
6,52_672_000100,1158.388553
6,1016_458_001111,1251.151671
6,724_188_001101,1258.051167
6,645_458_001111,1268.689755
6,76_458_111100,1268.792383
6,367_793_001101,1272.67209
6,52_188_010100,1301.610626
6,52_188_010010,1301.619632
6,52_458_000100,1326.183038
6,665_458_100110,1330.246034
6,52_89_000100,1332.834052
6,724_89_001101,1348.84031
6,52_458_100110,1372.10385
6,52_458_011110,1394.966095
6,367_571_010010,1408.405028
6,367_561_001101,1429.869216
6,367_672_010010,1462.005307
6,367_458_111100,1619.952758
6,367_188_110010,1637.55337
6,367_458_100110,1708.413887
6,367_458_100110,1708.413887
6,367_458_110010,1708.470655
6,367_458_001101,1708.771448
6,367_89_001101,1728.354027
6,367_188_010010,1750.659007
6,367_458_010010,1797.500661
6,367_458_001100,1797.67163
7,367_218_111100,1125.878341
7,802_458_100110,1139.618793
7,1020_458_011110,1260.135248
7,367_850_100110,1264.837096
7,367_699_100110,1291.110482
7,724_89_001101,1348.84031
7,52_458_100110,1372.10385
7,367_1037_001101,1392.335193
7,52_458_011110,1394.966095
7,367_571_010010,1408.405028
7,367_571_001100,1408.537048
7,367_561_001101,1429.869216
7,367_672_010010,1462.005307
7,367_793_001010,1507.138781
