gen,filename,score
1,819_776_000010,0
1,720_1138_011011,0
1,1120_1048_000010,0
1,293_866_011111,445.699025
1,528_17_000100,497.139747
1,771_961_010001,514.592712
1,464_25_101111,578.993911
1,128_345_000110,595.386278
1,1022_339_111110,602.336049
1,1052_824_111010,603.906373
1,763_405_011000,613.518503
1,1023_277_110100,625.377558
1,633_875_000111,661.175555
1,408_363_100110,680.041155
1,1166_968_010100,681.415112
1,1148_1047_101111,690.195391
1,540_592_101000,712.227804
1,885_531_100100,753.401923
1,542_552_110101,770.954196
1,175_527_110110,772.694035
1,1122_856_111101,778.162839
1,122_122_000101,781.178595
1,677_811_011100,789.954357
1,400_664_101010,816.550172
1,728_603_100101,820.595913
1,620_15_101101,825.540766
1,1031_391_110110,842.624579
1,748_60_000110,881.314923
1,1075_199_011100,904.113127
1,745_992_010011,935.113697
1,1196_607_010010,997.070368
1,593_666_000101,1376.827146
2,745_811_010011,451.330096
2,542_875_000111,564.222675
2,728_811_011100,564.407455
2,728_883_100101,613.548359
2,542_15_110101,678.419307
2,214_391_010011,697.938907
2,745_603_100101,707.896647
2,540_592_101000,712.227804
2,885_531_100100,753.401923
2,122_531_111100,756.120237
2,122_666_110000,760.562973
2,542_552_110101,770.954196
2,175_527_110110,772.694035
2,1122_856_111101,778.162839
2,122_122_000101,781.178595
2,400_607_010010,785.797433
2,677_811_011100,789.954357
2,400_664_101010,816.550172
2,728_603_100101,820.595913
2,620_15_101101,825.540766
2,1031_391_110110,842.624579
2,1031_607_110110,848.333882
2,748_60_000110,881.314923
2,1075_199_011100,904.113127
2,1075_592_101000,911.596438
2,745_992_010011,935.113697
2,1196_664_101010,974.825097
2,1196_607_010010,997.070368
2,748_391_000110,1018.983939
2,748_664_000110,1030.729786
2,593_277_110100,1162.046498
2,593_666_000101,1376.827146
3,79_60_010011,515.248487
3,169_60_010010,572.528031
3,540_15_101000,647.007944
3,175_391_000110,647.340963
3,677_811_011100,789.954357
3,400_664_101010,816.550172
3,728_603_100101,820.595913
3,620_15_101101,825.540766
3,1031_391_100100,839.75148
3,1031_391_110110,842.624579
3,1031_607_110110,848.333882
3,129_664_110101,860.328213
3,1075_391_101000,873.508917
3,748_60_000110,881.314923
3,620_664_101101,902.417418
3,1075_199_011100,904.113127
3,1075_592_101000,911.596438
3,745_992_010011,935.113697
3,1196_666_010010,945.830831
3,1196_664_101010,974.825097
3,1196_199_011100,995.485861
3,1196_607_010010,997.070368
3,748_391_000110,1018.983939
3,748_664_000110,1030.729786
3,593_60_110100,1074.553357
3,593_277_110100,1162.046498
3,1196_992_101010,1172.381975
3,593_664_110100,1298.299131
3,593_527_110100,1300.141794
3,593_666_000101,1376.827146
3,593_122_000101,1405.889816
3,593_592_000101,1463.795741
4,25_527_000101,676.244102
4,745_82_010011,714.662841
4,745_592_101000,715.569042
4,38_607_110100,759.176528
4,748_60_110100,769.428692
4,620_277_110100,776.267801
4,129_122_000101,806.546912
4,1122_199_011100,866.938379
4,1196_262_101010,872.759899
4,1075_592_101000,911.596438
4,17_992_000101,930.900981
4,745_992_010011,935.113697
4,1196_666_010010,945.830831
4,1196_664_101010,974.825097
4,1196_199_011100,995.485861
4,1196_607_010010,997.070368
4,748_391_000110,1018.983939
4,748_664_000110,1030.729786
4,593_60_110100,1074.553357
4,593_330_110100,1129.346815
4,593_277_110100,1162.046498
4,92_992_010011,1165.824141
4,1196_992_101010,1172.381975
4,593_664_110100,1298.299131
4,593_527_110001,1299.871443
4,593_527_110100,1300.141794
4,593_666_000101,1376.827146
4,593_122_000101,1405.889816
4,593_592_000101,1463.795741
4,593_781_000101,1472.165577
4,593_806_000101,1478.886645
4,593_992_000101,1568.72107
5,190_806_000101,772.697533
5,92_262_101010,865.735937
5,593_666_101111,870.413352
5,593_42_110100,968.390032
5,1196_391_000110,994.3693
5,748_391_000110,1018.983939
5,748_664_000110,1030.729786
5,1196_592_010010,1032.518379
5,1196_781_000101,1041.584548
5,593_60_110100,1074.553357
5,593_330_110100,1129.346815
5,593_277_110100,1162.046498
5,92_992_010011,1165.824141
5,1196_992_101010,1172.381975
5,593_262_111000,1196.091146
5,593_666_100101,1207.958966
