gen,filename,score
1,1088_92_111010,0
1,405_996_111111,418.863757
1,804_438_100111,497.936996
1,705_419_010001,502.260929
1,1073_705_111011,555.430914
1,1019_563_010001,571.27351
1,179_183_101010,575.245377
1,440_923_111100,595.905378
1,632_69_110000,598.599752
1,1172_349_010110,605.321963
1,597_780_100011,636.478877
1,1023_154_001110,637.886114
1,23_857_111000,638.097471
1,765_491_001010,648.764147
1,708_803_010110,667.047304
1,889_1126_010101,690.53037
1,8_284_000011,698.636535
1,87_445_010111,716.700216
1,1071_61_010111,750.663693
1,263_178_111001,790.552789
1,1156_355_010010,833.98832
1,977_828_011010,836.223934
1,729_336_001110,842.64232
1,155_284_110001,843.024441
1,293_215_000110,844.54053
1,790_822_001000,852.709905
1,303_751_100011,861.136322
1,11_600_011101,867.271505
1,257_115_011101,903.948999
1,726_65_110001,920.896905
1,279_169_001000,933.813
1,1161_518_110011,950.71939
2,1161_1106_010111,604.055767
2,11_491_011101,624.112176
2,87_822_010111,685.796716
2,1161_65_110011,687.380939
2,8_284_000011,698.636535
2,87_445_010111,716.700216
2,832_751_100011,748.545879
2,1071_61_010111,750.663693
2,263_178_111001,790.552789
2,977_65_110001,805.063099
2,790_65_110001,811.081033
2,1156_822_001000,833.942273
2,1156_355_010010,833.98832
2,977_828_011010,836.223934
2,620_445_100011,837.304052
2,729_336_001110,842.64232
2,155_284_110001,843.024441
2,293_215_000110,844.54053
2,790_169_001000,845.338168
2,790_822_001000,852.709905
2,303_751_100011,861.136322
2,11_600_011101,867.271505
2,279_828_011010,895.902197
2,257_115_011101,903.948999
2,1071_65_110001,908.79518
2,726_65_110001,920.896905
2,1023_605_011101,922.288827
2,279_169_001000,933.813
2,11_215_000110,948.041274
2,1161_518_110011,950.71939
2,889_518_010101,978.899374
2,11_518_011101,1018.495209
3,889_371_010101,683.382886
3,11_26_011101,696.807091
3,351_828_011010,723.426635
3,1023_751_100011,731.51242
3,889_986_010101,782.731015
3,279_169_011010,816.350084
3,257_65_110001,832.044758
3,155_284_110001,843.024441
3,293_215_000110,844.54053
3,790_169_001000,845.338168
3,200_518_110001,846.463578
3,790_822_001000,852.709905
3,303_751_100011,861.136322
3,11_600_011101,867.271505
3,257_169_001000,879.779225
3,279_828_011010,895.902197
3,257_115_011101,903.948999
3,1071_65_110001,908.79518
3,303_336_010100,911.753
3,726_65_110001,920.896905
3,1023_605_011101,922.288827
3,279_169_001000,933.813
3,11_215_000110,948.041274
3,1161_518_110011,950.71939
3,904_518_110001,966.782279
3,889_518_010101,978.899374
3,944_605_011101,981.579272
3,790_215_000110,1011.109347
3,11_518_011101,1018.495209
3,889_518_011101,1029.647475
3,889_215_010101,1043.155291
3,1071_518_110011,1114.655338
4,904_289_110001,596.56371
4,889_169_011101,702.986007
4,11_140_000110,783.308093
4,1071_306_110011,816.79223
4,790_774_110011,853.467352
4,257_115_011101,903.948999
4,1071_65_110001,908.79518
4,303_336_010100,911.753
4,726_65_110001,920.896905
4,1023_605_011101,922.288827
4,279_169_001000,933.813
4,1162_605_110011,938.443559
4,11_215_000110,948.041274
4,1161_518_110011,950.71939
4,11_518_110001,962.122063
4,726_751_100011,963.568823
4,657_605_011101,965.413952
4,904_518_110001,966.782279
4,889_215_000110,971.468481
4,889_518_010101,978.899374
4,944_605_011101,981.579272
4,790_215_000110,1011.109347
4,11_518_011101,1018.495209
4,904_215_110001,1026.341791
4,889_518_011101,1029.647475
4,889_215_010101,1043.155291
4,279_518_011010,1061.907414
4,790_544_000110,1084.315274
4,1071_518_110011,1114.655338
4,726_518_110001,1118.279632
4,1071_215_000110,1141.410709
4,1071_215_011110,1198.340996
5,944_477_011101,809.0464
5,904_751_100011,811.880967
5,632_518_100011,893.003171
5,11_518_000110,905.308441
5,1122_215_000110,960.12051
5,657_605_011101,965.413952
5,904_518_110001,966.782279
5,790_518_000110,968.279377
5,399_215_110001,969.645006
