gen,filename,score
1,933_812_000100,-0.2443153227926701
1,887_1007_000001,-0.1494851227420395
1,1038_1195_011011,-0.06755313909238327
1,175_1102_110010,0.2504290227968999
1,214_1041_010111,0.34355898351151803
1,211_437_100000,0.34630088061984765
1,957_940_010100,0.44707961438709304
1,914_468_010111,0.47436058573065015
1,1101_901_110110,0.4915542220708827
1,723_388_111111,0.5034996859262635
1,1042_262_100011,0.645209028129062
1,335_1153_010111,0.6542771715966509
1,689_1149_000001,0.7089787619270858
1,882_236_000110,0.7673424460839918
1,1154_683_001010,0.8127747948215304
1,333_461_001000,0.9434048505869368
1,125_1073_100111,1.0117803320621859
1,739_348_010010,1.0955384195917082
1,602_1136_011111,1.167263657062983
1,660_865_001010,1.1889688637883151
1,486_322_111010,1.4797537416600837
1,326_590_000001,1.6741502027198791
1,391_722_100100,1.7980865855794448
1,70_715_101111,2.1591356160479593
1,902_989_100111,2.6323071374363742
1,845_470_111111,2.8651502005157963
1,1057_512_010110,3.0967458084295068
1,529_602_000010,3.1298903428679887
1,928_288_101111,3.720008237499192
1,883_407_000110,4.4629397394117785
1,288_126_100001,9.8184832696796
1,705_737_110111,12.397308066277674
2,933_812_000100,-0.2443153227926701
2,887_1007_000001,-0.1494851227420395
2,887_1118_000001,-0.13107202985766006
2,1038_1195_011011,-0.06755313909238327
2,887_437_000001,-0.06312780245940619
2,214_236_010110,0.17108837428714788
2,175_437_110010,0.2332857630371892
2,175_1102_110010,0.2504290227968999
2,957_1041_111100,0.25620576476733914
2,214_1041_010111,0.34355898351151803
2,211_437_100000,0.34630088061984765
2,577_901_100000,0.3533245873762201
2,820_1102_111111,0.3933386915548417
2,957_940_010100,0.44707961438709304
2,914_468_010111,0.47436058573065015
2,1101_901_110110,0.4915542220708827
2,723_388_111111,0.5034996859262635
2,211_1073_100000,0.6065762664967298
2,914_1153_010111,0.6209667290746581
2,1042_262_100011,0.645209028129062
2,335_1153_010111,0.6542771715966509
2,914_1136_010111,0.6774175722120662
2,689_1149_000001,0.7089787619270858
2,882_236_000110,0.7673424460839918
2,1154_683_001010,0.8127747948215304
2,1101_812_111101,0.910703656708689
2,602_262_100011,0.925199227343098
2,333_461_001000,0.9434048505869368
2,564_1195_011011,1.183144947092656
2,689_1007_000001,1.2806809773800258
2,175_262_100011,1.4860307959032497
2,882_549_000110,4.5521183086295816
3,933_812_000100,-0.2443153227926701
3,933_209_000100,-0.23790639287465726
3,887_1007_000001,-0.1494851227420395
3,887_1118_000001,-0.13107202985766006
3,658_1195_011011,-0.07078938085906922
3,1038_1195_011011,-0.06755313909238327
3,887_437_000001,-0.06312780245940619
3,214_437_010110,-0.03954785586761116
3,887_1195_000001,-0.027467985844157553
3,175_236_010110,0.0747668735874761
3,214_236_010110,0.17108837428714788
3,577_1102_100000,0.20949320990671366
3,175_437_110010,0.2332857630371892
3,577_437_000001,0.23582463038489468
3,175_1102_110010,0.2504290227968999
3,957_1041_111100,0.25620576476733914
3,214_1041_010111,0.34355898351151803
3,211_437_100000,0.34630088061984765
3,577_901_100000,0.3533245873762201
3,957_447_010110,0.36667432241398384
3,820_1102_111111,0.3933386915548417
3,957_940_010100,0.44707961438709304
3,914_468_010111,0.47436058573065015
3,1038_388_011011,0.4743664082542859
3,1101_901_110110,0.4915542220708827
3,175_919_100000,0.6366218785628346
3,914_901_010111,0.7116409568331511
3,957_1007_111100,0.7654222191937163
3,214_1195_011011,0.9526641113307369
3,577_1195_011011,1.2149342885396006
3,1101_1007_000001,1.2519920643534173
3,1099_1195_011011,2.3891588198150244
4,933_812_000100,-0.2443153227926701
4,933_209_000100,-0.23790639287465726
4,933_236_000100,-0.23260585171791168
4,933_437_000001,-0.2109579640660038
4,887_812_000100,-0.17941535194786026
4,887_1007_000001,-0.1494851227420395
4,887_1118_000001,-0.13107202985766006
4,933_1041_010111,-0.11125908538759387
4,658_1195_011011,-0.07078938085906922
4,1038_1195_011011,-0.06755313909238327
4,887_437_000001,-0.06312780245940619
4,887_209_000100,-0.05653088531602277
4,957_1102_100000,-0.05361742717622287
4,887_236_000001,-0.05034626645243221
4,214_437_010110,-0.03954785586761116
4,887_1195_000001,-0.027467985844157553
4,175_236_010110,0.0747668735874761
4,214_236_010110,0.17108837428714788
4,175_871_011011,0.17521923859890748
4,577_1102_100000,0.20949320990671366
4,658_209_011011,0.2293630240024498
4,175_437_110010,0.2332857630371892
4,577_437_000001,0.23582463038489468
4,175_1102_110010,0.2504290227968999
4,957_1041_111100,0.25620576476733914
4,214_437_001111,0.27226626880856986
4,175_1195_000001,0.3815483927238163
4,577_1118_000001,0.38920963437861766
4,214_209_010110,0.3999069164928108
4,214_1195_010110,0.6729291270786727
4,1073_437_100000,0.7474321860221216
4,147_1195_000100,3.727610871373986
5,658_812_000100,-0.32684643934186125
5,933_812_000100,-0.2443153227926701
5,933_209_000100,-0.23790639287465726
5,933_236_000100,-0.23260585171791168
5,933_1059_000100,-0.229416229761068
5,933_437_000100,-0.22522290641316822
5,933_437_000100,-0.22522290641316822
5,933_437_000100,-0.22522290641316822
5,933_437_000001,-0.2109579640660038
5,887_812_000100,-0.17941535194786026
5,887_236_000100,-0.16143272328397473
5,887_1007_000001,-0.1494851227420395
5,887_1118_000001,-0.13107202985766006
5,933_812_011100,-0.12895980168651391
5,933_1041_010111,-0.11125908538759387
5,887_871_011011,-0.07620188818413691
5,658_1195_011011,-0.07078938085906922
5,1038_1195_011011,-0.06755313909238327
5,887_437_000001,-0.06312780245940619
5,887_209_000100,-0.05653088531602277
5,957_1102_100000,-0.05361742717622287
5,658_437_011011,-0.05281039688437578
5,887_236_000001,-0.05034626645243221
5,887_1118_110110,-0.04649475081032848
5,214_437_010110,-0.03954785586761116
5,887_1195_000001,-0.027467985844157553
5,1038_437_011011,0.038786209285061664
5,887_1195_011011,0.1426077675697239
5,175_437_010110,0.23119559762565478
5,577_241_000001,0.23558804346633408
5,214_1118_111111,0.489630410978899
5,214_69_010110,0.8011935368713468
6,658_812_000100,-0.32684643934186125
6,933_812_000100,-0.2443153227926701
6,933_209_000100,-0.23790639287465726
6,933_236_000100,-0.23260585171791168
6,933_1059_000100,-0.229416229761068
6,933_437_000100,-0.22522290641316822
6,933_437_000100,-0.22522290641316822
6,933_437_000100,-0.22522290641316822
6,933_480_000100,-0.2205536360098478
6,933_437_000001,-0.2109579640660038
6,933_1007_000100,-0.1839325136921991
6,887_812_000100,-0.17941535194786026
6,887_615_000100,-0.16598301979870933
6,887_236_000100,-0.16143272328397473
6,887_236_100100,-0.16116535890586284
6,887_1007_000001,-0.1494851227420395
6,887_1059_000001,-0.13991620332763735
6,887_1059_000001,-0.13991620332763735
6,887_437_000100,-0.1382329529492334
6,887_437_000100,-0.1382329529492334
6,887_1118_000001,-0.13107202985766006
6,933_812_011100,-0.12895980168651391
6,887_1129_000100,-0.12585621912489106
6,933_1041_010111,-0.11125908538759387
6,887_871_011011,-0.07620188818413691
6,658_437_011011,-0.05281039688437578
6,887_1195_000001,-0.027467985844157553
6,933_1195_011011,0.023062303060950237
6,658_812_011111,0.24197836107442292
6,887_209_100111,0.2729820173305785
6,914_812_000100,0.6119805407809343
6,333_1195_011011,1.4738920293278126
7,658_608_000100,-0.4357497920743443
7,658_812_000100,-0.32684643934186125
7,933_871_000100,-0.3158878088586728
7,887_8_000001,-0.265429902034385
7,933_437_100000,-0.2534188964171907
7,933_812_000100,-0.2443153227926701
7,933_209_000100,-0.23790639287465726
7,933_236_000100,-0.23260585171791168
7,933_1059_000100,-0.229416229761068
7,933_437_000100,-0.22522290641316822
7,933_437_000100,-0.22522290641316822
7,933_437_000100,-0.22522290641316822
7,933_480_000100,-0.2205536360098478
7,933_437_000001,-0.2109579640660038
7,887_209_000001,-0.19654461865668452
7,933_236_100100,-0.19639793586582915
7,933_1007_000100,-0.1839325136921991
7,887_812_000100,-0.17941535194786026
7,933_437_000101,-0.17522548621836836
7,933_812_000110,-0.17082252112621585
7,887_615_000100,-0.16598301979870933
7,887_236_000100,-0.16143272328397473
7,887_236_100100,-0.16116535890586284
7,887_1007_000001,-0.1494851227420395
7,933_812_001110,-0.07861803422457599
7,887_1179_000100,0.06547082636964813
7,1162_437_011011,0.09477867804174299
7,740_437_000100,0.47018007829577174
7,379_437_000100,0.9274218637414656
7,798_1007_000100,0.9300047991876579
7,92_812_000100,1.7383364318656374
7,622_437_000100,2.672368967170187
8,658_608_000100,-0.4357497920743443
8,658_812_000100,-0.32684643934186125
8,658_437_000100,-0.3214663115543516
8,658_437_000100,-0.3214663115543516
8,933_871_000100,-0.3158878088586728
8,887_608_000001,-0.2851070467595615
8,933_255_000100,-0.2696389617000266
8,887_8_000001,-0.265429902034385
8,933_686_000001,-0.26227556516490247
8,933_437_100000,-0.2534188964171907
8,933_812_000100,-0.2443153227926701
8,933_209_000100,-0.23790639287465726
8,933_236_000100,-0.23260585171791168
8,933_1059_000100,-0.229416229761068
8,933_236_000010,-0.228971637635642
8,933_437_000100,-0.22522290641316822
8,933_437_000100,-0.22522290641316822
8,933_437_000100,-0.22522290641316822
8,933_480_000100,-0.2205536360098478
8,933_198_000100,-0.21834589184223951
8,933_437_000001,-0.2109579640660038
8,933_8_000001,-0.20846454656240446
8,933_972_000001,-0.20610920007348202
8,933_718_000100,-0.20504602730894675
8,887_209_000001,-0.19654461865668452
8,933_236_100100,-0.19639793586582915
8,933_480_100000,-0.1719029353775341
8,933_615_100000,-0.16048386585309946
8,933_554_100000,-0.13770846094619157
8,933_8_001011,-0.018354480621769653
8,933_776_000110,0.004842042147312024
8,740_209_000100,0.5553644729702438
9,658_608_000100,-0.4357497920743443
9,658_686_000001,-0.3962295592770676
9,658_812_000100,-0.32684643934186125
9,658_437_000100,-0.3214663115543516
9,658_437_000100,-0.3214663115543516
9,933_871_000100,-0.3158878088586728
9,658_179_000001,-0.3094122062357549
9,933_686_000100,-0.29087115231101446
9,887_608_000001,-0.2851070467595615
9,933_608_000010,-0.27254248109593826
9,933_608_000001,-0.270919520676189
9,933_608_000001,-0.270919520676189
9,933_255_000100,-0.2696389617000266
9,887_8_000001,-0.265429902034385
9,933_686_000001,-0.26227556516490247
9,933_437_100000,-0.2534188964171907
9,933_812_000100,-0.2443153227926701
9,658_49_000100,-0.23847646619233742
9,933_209_000100,-0.23790639287465726
9,933_236_000100,-0.23260585171791168
9,933_1059_000100,-0.229416229761068
9,933_236_000010,-0.228971637635642
9,933_437_000100,-0.22522290641316822
9,933_480_000100,-0.2205536360098478
9,658_480_000100,-0.21548118158155663
9,933_556_000100,-0.16778141773185273
9,887_437_000100,-0.1382329529492334
9,933_437_101101,-0.12525303049084138
9,887_437_100000,-0.10831854105075363
9,933_812_100111,-0.08944066396465195
9,658_871_101011,0.1893073274616341
9,740_437_100000,0.4042904403223362
10,658_608_000100,-0.4357497920743443
10,658_686_000001,-0.3962295592770676
10,658_608_000111,-0.3767057639917676
10,658_136_000100,-0.32796556857411596
10,658_812_000100,-0.32684643934186125
10,658_437_000100,-0.3214663115543516
10,658_437_000100,-0.3214663115543516
10,933_871_000100,-0.3158878088586728
10,658_179_000001,-0.3094122062357549
10,658_871_000100,-0.29310946707738544
10,933_686_000100,-0.29087115231101446
10,887_608_000001,-0.2851070467595615
10,933_608_000010,-0.27254248109593826
10,658_686_000100,-0.27168382055936974
10,933_608_000001,-0.270919520676189
10,933_608_000001,-0.270919520676189
10,933_255_000100,-0.2696389617000266
10,887_8_000001,-0.265429902034385
10,933_686_111010,-0.26390714218693295
10,933_686_000001,-0.26227556516490247
10,933_437_100000,-0.2534188964171907
10,658_49_000100,-0.23847646619233742
10,658_209_000100,-0.23517383326250882
10,933_1059_000100,-0.229416229761068
10,933_437_000100,-0.22522290641316822
10,933_437_000001,-0.2109579640660038
10,887_437_000100,-0.1382329529492334
10,887_49_000001,-0.12863709266825482
10,933_437_101111,0.03406438514155843
10,69_8_000100,0.9366559372100804
10,69_1059_000100,1.0966039539361485
10,969_871_000100,1.9808686613489208
11,658_930_000001,-0.4728757380240382
11,658_608_000001,-0.4500783583039961
11,658_608_000100,-0.4357497920743443
11,658_686_000001,-0.3962295592770676
11,658_608_000111,-0.3767057639917676
11,658_227_000100,-0.3609091445193729
11,658_136_000100,-0.32796556857411596
11,658_812_000100,-0.32684643934186125
