gen,min_score,med_score,max_score,spearman,conv_counter
1,1.836,2.701,10,0,0
2,1.458,2.345,10,1.0,1
3,1.458,2.119,3.75,0.454545454545,0
4,0.881,2.014,10,0.454545454545,0
5,0.881,1.958,10,0.333333333333,0
6,0.407,1.952,2.364,0.878787878788,1
7,0.407,1.903,10,0.890909090909,2
8,0.407,1.88,4.115,0.10303030303,0
9,0.407,1.85,4.494,0.248484848485,0
10,0.407,1.836,10,0.842424242424,1
11,0.243,1.674,10,0.345454545455,0
12,0.243,0.918,10,0.951515151515,1
13,0.243,0.886,10,0.987878787879,2
14,0.243,0.834,10,0.927272727273,3
15,0.102,0.821,10,1.0,4
16,0.102,0.813,10,0.806060606061,5
17,0.102,0.741,10,1.0,6
18,0.102,0.729,10,1.0,7
19,0.102,0.717,10,0.29696969697,0
20,0.05,0.663,10,0.987878787879,1
21,0.05,0.63,10,1.0,2
22,0.05,0.581,4.089,1.0,3
23,0.05,0.581,10,0.987878787879,4
24,0.05,0.581,10,0.963636363636,5
25,0.05,0.581,10,0.987878787879,6
26,0.05,0.581,10,0.951515151515,7
27,0.05,0.581,10,1.0,8
28,0.05,0.52,10,0.939393939394,9
29,0.05,0.516,2.789,0.636363636364,0
30,0.05,0.516,10,1.0,1
31,0.05,0.484,10,0.878787878788,2
32,0.05,0.477,10,0.793939393939,0
33,0.05,0.407,10,0.987878787879,1
34,0.05,0.407,10,0.951515151515,2
35,0.05,0.407,10,1.0,3
36,0.05,0.407,10,0.806060606061,4
37,0.05,0.407,10,0.951515151515,5
38,0.05,0.407,10,1.0,6
39,0.05,0.407,10,1.0,7
40,0.05,0.407,10,0.733333333333,0
41,0.05,0.407,10,1.0,1
42,0.05,0.405,10,0.890909090909,2
43,0.05,0.405,2.974,0.951515151515,3
44,0.05,0.405,4.326,0.987878787879,4
45,0.05,0.405,10,0.987878787879,5
46,0.05,0.405,10,1.0,6
47,0.05,0.405,10,1.0,7
48,0.05,0.405,10,1.0,8
49,0.05,0.405,10,0.987878787879,9
50,0.05,0.405,10,1.0,10
51,0.05,0.405,3.589,1.0,11
52,0.05,0.405,10,1.0,12
53,0.05,0.379,10,1.0,13
54,0.05,0.367,4.366,1.0,14
55,0.05,0.367,10,0.69696969697,0
56,0.05,0.347,3.242,1.0,1
57,0.05,0.347,3.438,1.0,2
58,0.05,0.347,3.898,1.0,3
59,0.05,0.34,10,1.0,4
60,0.05,0.34,10,1.0,5
61,0.05,0.319,10,1.0,6
62,0.05,0.319,10,0.987878787879,7
63,0.05,0.319,10,1.0,8
64,0.05,0.319,10,1.0,9
65,0.05,0.319,10,1.0,10
66,0.05,0.319,2.426,1.0,11
67,0.05,0.311,10,1.0,12
68,0.05,0.311,10,1.0,13
69,0.05,0.311,4.115,1.0,14
70,0.024,0.283,3.96,1.0,15
71,0.024,0.283,10,1.0,16
72,0.024,0.283,10,1.0,17
73,0.024,0.283,10,1.0,18
74,0.024,0.283,10,1.0,19
75,0.024,0.283,10,1.0,20
76,0.024,0.283,10,1.0,21
77,0.024,0.283,10,1.0,22
78,0.024,0.283,10,0.806060606061,23
79,0.024,0.283,10,1.0,24
80,0.024,0.283,10,1.0,25
81,0.024,0.254,10,0.660606060606,0
82,0.024,0.254,10,1.0,1
83,0.024,0.254,10,0.951515151515,2
84,0.024,0.254,10,1.0,3
85,0.024,0.254,4.523,1.0,4
86,0.024,0.254,10,1.0,5
87,0.024,0.254,10,1.0,6
88,0.024,0.254,3.744,1.0,7
89,0.024,0.243,2.963,1.0,8
90,0.024,0.243,10,1.0,9
91,0.024,0.243,4.07,1.0,10
92,0.024,0.236,10,0.951515151515,11
93,0.024,0.236,10,1.0,12
94,0.024,0.236,10,0.890909090909,13
95,0.024,0.236,10,1.0,14
96,0.024,0.236,10,0.951515151515,15
97,0.024,0.231,3.642,1.0,16
98,0.024,0.231,10,0.890909090909,17
99,0.024,0.231,10,0.890909090909,18
100,0.024,0.231,10,1.0,19
101,0.024,0.231,3.638,1.0,20
102,0.024,0.231,10,1.0,21
103,0.024,0.231,10,0.890909090909,22
104,0.024,0.231,10,0.890909090909,23
105,0.024,0.231,10,1.0,24
106,0.024,0.231,3.711,1.0,25
107,0.024,0.231,10,1.0,26
108,0.024,0.231,10,1.0,27
109,0.024,0.231,10,0.890909090909,28
110,0.024,0.231,10,1.0,29
111,0.024,0.231,10,1.0,30
112,0.024,0.231,10,1.0,31
113,0.024,0.231,10,1.0,32
114,0.024,0.231,3.285,1.0,33
115,0.024,0.231,10,0.890909090909,34
116,0.024,0.231,10,1.0,35
117,0.024,0.231,10,1.0,36
118,0.024,0.231,10,0.890909090909,37
119,0.024,0.231,10,0.890909090909,38
120,0.024,0.231,10,1.0,39
121,0.024,0.231,10,0.890909090909,40
122,0.024,0.231,10,1.0,41
123,0.024,0.231,10,0.890909090909,42
124,0.024,0.231,10,1.0,43
125,0.024,0.231,10,1.0,44
126,0.024,0.231,10,1.0,45
127,0.024,0.231,10,1.0,46
128,0.024,0.231,10,1.0,47
129,0.024,0.231,10,1.0,48
130,0.024,0.231,10,0.890909090909,49
131,0.024,0.229,10,1.0,50
