gen,min_score,med_score,max_score,spearman,conv_counter
1,0.615,2.437,10,0,0
2,0.615,2.176,2.617,1.0,1
3,0.452,1.86,10,0.563636363636,0
4,0.452,1.656,10,0.575757575758,0
5,0.352,1.056,2.336,0.551515151515,0
6,0.352,1.013,10,0.842424242424,1
7,0.352,0.999,10,0.684848484848,0
8,0.352,0.971,10,0.987878787879,1
9,0.289,0.884,10,1.0,2
10,0.289,0.858,3.456,0.842424242424,3
11,0.289,0.808,10,0.69696969697,0
12,0.266,0.729,10,0.563636363636,0
13,0.014,0.692,10,0.951515151515,1
14,0.014,0.621,10,0.69696969697,0
15,0.014,0.541,10,1.0,1
16,0.014,0.495,10,0.563636363636,0
17,0.014,0.471,10,1.0,1
18,0.014,0.471,10,0.69696969697,0
19,0.014,0.471,10,0.987878787879,1
20,0.014,0.471,10,0.648484848485,0
21,0.014,0.471,10,0.745454545455,0
22,0.014,0.471,10,1.0,1
23,0.014,0.471,10,1.0,2
24,0.014,0.471,10,1.0,3
25,0.014,0.471,3.503,1.0,4
26,0.014,0.471,10,1.0,5
27,0.014,0.457,3.529,1.0,6
28,0.014,0.457,10,1.0,7
29,0.014,0.457,10,0.987878787879,8
30,0.014,0.457,10,1.0,9
31,0.014,0.457,10,0.987878787879,10
32,0.014,0.457,10,0.987878787879,11
33,0.014,0.452,10,1.0,12
34,0.014,0.452,10,0.987878787879,13
35,0.014,0.452,10,1.0,14
36,0.014,0.419,10,1.0,15
37,0.014,0.405,10,1.0,16
38,0.014,0.374,2.718,1.0,17
39,0.014,0.341,10,1.0,18
40,0.014,0.341,10,1.0,19
41,0.014,0.341,10,1.0,20
42,0.014,0.341,10,0.987878787879,21
43,0.014,0.331,10,0.951515151515,22
44,0.014,0.331,10,0.563636363636,0
45,0.014,0.331,3.969,1.0,1
46,0.014,0.331,10,0.69696969697,0
47,0.014,0.331,10,1.0,1
48,0.014,0.327,10,1.0,2
49,0.014,0.327,10,1.0,3
50,0.014,0.327,10,1.0,4
51,0.014,0.289,10,1.0,5
52,0.014,0.289,10,1.0,6
53,0.014,0.289,10,1.0,7
54,0.014,0.289,10,0.745454545455,0
55,0.014,0.27,10,1.0,1
56,0.014,0.27,10,1.0,2
57,0.014,0.27,10,1.0,3
58,0.014,0.27,10,0.987878787879,4
59,0.014,0.268,10,1.0,5
60,0.014,0.266,10,1.0,6
61,0.014,0.266,10,1.0,7
62,0.014,0.266,10,0.806060606061,8
63,0.014,0.266,10,1.0,9
64,0.014,0.266,10,1.0,10
65,0.014,0.266,10,1.0,11
66,0.014,0.266,10,1.0,12
67,0.014,0.266,10,1.0,13
68,0.014,0.266,10,1.0,14
69,0.014,0.266,10,0.987878787879,15
70,0.014,0.257,10,1.0,16
71,0.014,0.235,10,1.0,17
72,0.014,0.221,10,1.0,18
73,0.014,0.221,10,1.0,19
74,0.014,0.221,10,0.975757575758,20
75,0.014,0.221,10,1.0,21
76,0.014,0.221,10,1.0,22
77,0.014,0.196,10,1.0,23
78,0.014,0.186,4.341,1.0,24
79,0.014,0.186,10,1.0,25
80,0.014,0.184,10,1.0,26
81,0.014,0.175,10,1.0,27
82,0.014,0.171,10,1.0,28
83,0.014,0.171,10,1.0,29
84,0.014,0.166,10,1.0,30
85,0.014,0.166,10,1.0,31
86,0.014,0.151,10,1.0,32
87,0.014,0.142,10,1.0,33
88,0.014,0.142,10,1.0,34
89,0.014,0.142,10,1.0,35
90,0.014,0.142,3.835,0.69696969697,0
91,0.014,0.142,10,1.0,1
92,0.014,0.133,10,1.0,2
93,0.014,0.132,10,0.987878787879,3
94,0.014,0.132,10,1.0,4
95,0.014,0.132,10,1.0,5
96,0.014,0.132,10,1.0,6
97,0.014,0.129,10,1.0,7
98,0.014,0.115,10,1.0,8
99,0.014,0.115,10,1.0,9
100,0.014,0.115,10,1.0,10
101,0.014,0.115,10,0.987878787879,11
102,0.014,0.104,10,1.0,12
103,0.014,0.104,10,1.0,13
104,0.014,0.101,10,1.0,14
105,0.014,0.101,10,1.0,15
106,0.014,0.101,10,0.890909090909,16
107,0.014,0.101,10,1.0,17
108,0.014,0.101,10,1.0,18
109,0.014,0.101,10,1.0,19
110,0.014,0.101,10,1.0,20
111,0.014,0.101,10,1.0,21
112,0.014,0.101,10,1.0,22
113,0.014,0.093,10,1.0,23
114,0.014,0.093,10,1.0,24
115,0.014,0.093,10,1.0,25
116,0.014,0.093,10,1.0,26
117,0.014,0.093,10,1.0,27
118,0.014,0.093,10,1.0,28
119,0.014,0.093,10,1.0,29
120,0.014,0.093,10,1.0,30
121,0.014,0.079,10,0.878787878788,31
122,0.014,0.079,10,1.0,32
123,0.014,0.079,2.817,1.0,33
124,0.014,0.079,2.514,1.0,34
125,0.014,0.079,10,1.0,35
126,0.014,0.079,2.931,1.0,36
127,0.014,0.079,10,0.806060606061,37
128,0.014,0.079,10,1.0,38
129,0.014,0.079,10,1.0,39
130,0.014,0.079,10,1.0,40
131,0.014,0.079,3.943,0.987878787879,41
132,0.014,0.069,10,1.0,42
133,0.014,0.069,10,1.0,43
134,0.014,0.069,10,0.987878787879,44
135,0.014,0.069,10,1.0,45
136,0.014,0.069,10,1.0,46
137,0.014,0.069,10,1.0,47
138,0.014,0.069,10,1.0,48
139,0.014,0.06,10,1.0,49
140,0.014,0.06,10,1.0,50
