gen,min_score,med_score,max_score,spearman,conv_counter
1,0,690.195391,1376.827146,0,0
2,451.330096,785.797433,1376.827146,1.0,1
3,515.248487,904.113127,1463.795741,0.624242424242,0
4,676.244102,997.070368,1568.72107,0.418181818182,0
5,772.697533,1207.958966,1568.72107,0.309090909091,0
6,818.748412,1337.986048,1575.363035,0.381818181818,0
7,0,1420.664633,1714.381282,0.721212121212,0
8,1019.027889,1463.795741,1714.381282,0.915151515152,1
9,905.940514,1495.685273,2156.621351,0.648484848485,0
10,716.233534,1510.265787,2156.621351,0.490909090909,0
11,609.965127,1568.72107,2156.621351,0.721212121212,0
12,608.241896,1579.741371,2156.621351,0.575757575758,0
13,654.776912,1680.573904,2156.621351,0.648484848485,0
14,560.770427,1717.023011,2156.621351,0.745454545455,0
15,715.682243,1907.898136,2596.194669,0.636363636364,0
16,682.366747,1918.741314,2596.194669,0.745454545455,0
17,704.905467,2060.319362,2596.194669,0.648484848485,0
18,895.547168,2060.403004,2596.194669,0.684848484848,0
19,663.120707,2107.930335,2596.194669,0.842424242424,1
20,661.782969,2156.621351,2596.194669,0.563636363636,0
21,606.555733,2278.97397,2596.194669,0.987878787879,1
22,645.992296,2307.996079,2596.194669,1.0,2
23,660.93416,2293.891596,2596.194669,1.0,3
24,642.115634,2313.273586,2596.194669,0.69696969697,0
25,636.040334,2328.984836,2596.194669,0.890909090909,1
26,565.005564,2331.262438,2596.194669,1.0,2
27,755.356617,2331.324811,2596.194669,1.0,3
28,751.51324,2347.518711,2596.194669,0.963636363636,4
29,542.90669,2376.327668,2596.194669,0.806060606061,5
30,598.73219,2376.375726,2596.194669,0.927272727273,6
31,639.559638,2376.389437,2596.194669,0.987878787879,7
32,921.913011,2376.423233,2596.194669,1.0,8
33,720.99831,2376.327668,2596.194669,0.563636363636,0
34,656.727272,2380.6495,2596.194669,0.890909090909,1
35,327.878955,2376.327668,2596.194669,1.0,2
36,692.493863,2381.313216,2596.194669,0.69696969697,0
37,563.171552,2381.313216,2596.194669,0.890909090909,1
38,512.9845,2381.391458,2596.194669,0.951515151515,2
39,564.172234,2386.955628,2596.194669,0.890909090909,3
40,749.306657,2386.965123,2596.194669,1.0,4
41,905.595895,2337.019619,2596.194669,0.951515151515,5
42,564.583836,2386.981908,2596.194669,0.636363636364,0
43,585.994945,2391.692029,2596.194669,0.951515151515,1
44,836.75143,2313.214904,2596.194669,0.648484848485,0
45,468.294403,2313.214904,2596.194669,1.0,1
46,928.244301,2328.42464,2596.194669,1.0,2
47,600.034947,2387.621121,2596.194669,0.563636363636,0
48,878.123304,2387.621121,2596.194669,1.0,1
49,616.224929,2387.76534,2596.194669,1.0,2
50,674.886365,2391.692029,2596.194669,1.0,3
51,601.367726,2391.746734,2596.194669,0.987878787879,4
52,683.885047,2324.993816,2596.194669,1.0,5
53,503.616695,2391.758986,2596.194669,0.890909090909,6
54,345.510286,2391.931023,2596.194669,1.0,7
55,578.708289,2421.025621,2596.194669,0.963636363636,8
56,416.079976,2393.129672,2596.194669,1.0,9
57,450.332104,2421.146308,2596.194669,0.951515151515,10
58,404.57613,2454.616579,2596.194669,1.0,11
59,809.421183,2454.649508,2596.194669,1.0,12
60,1076.542888,2483.392802,2596.194669,1.0,13
61,800.80579,2573.669303,2596.194669,1.0,14
62,882.090513,2573.709377,2596.194669,1.0,15
63,751.313263,2573.709377,2596.194669,1.0,16
64,552.953016,2573.669303,2596.194669,1.0,17
65,740.234521,2579.000237,2596.194669,0.987878787879,18
66,715.618402,2585.769424,2596.194669,0.69696969697,0
67,1013.410101,2585.919854,2596.194669,1.0,1
68,1148.465655,2585.958935,2596.194669,1.0,2
69,902.234589,2585.769424,2596.194669,0.854545454545,3
70,1061.982383,2586.000206,2596.194669,0.90303030303,4
71,927.754766,2586.003197,2596.194669,0.987878787879,5
72,530.18808,2586.062487,2596.194669,1.0,6
73,813.061075,2589.154938,2596.194669,1.0,7
74,449.274552,2589.239966,2596.194669,1.0,8
75,1157.760164,2589.240225,2596.194669,1.0,9
76,589.626682,2589.240225,2596.194669,1.0,10
77,393.497111,2589.240225,2596.194669,0.551515151515,0
78,533.880123,2365.209555,2596.194669,1.0,1
79,932.929488,2575.708979,2596.194669,1.0,2
80,964.709335,2589.283947,2596.194669,1.0,3
81,1168.058086,2589.240225,2596.194669,1.0,4
82,700.320251,2589.240225,2596.194669,0.69696969697,0
83,320.427555,2585.919854,2596.194669,1.0,1
84,923.712187,2585.930416,2596.194669,1.0,2
85,554.545092,2585.890879,2596.194669,1.0,3
86,614.101807,2585.745813,2596.194669,1.0,4
87,950.139162,2589.239966,2596.194669,1.0,5
88,958.289833,2589.308993,2596.194669,1.0,6
89,770.014387,2585.821116,2596.194669,1.0,7
90,976.662735,2589.308993,2596.194669,1.0,8
