gen,min_score,med_score,max_score,spearman,conv_counter
1,0.03017338190777831,0.9511248719083198,13.51275922508991,0,0
2,-0.07926169187958909,0.5270510316714063,3.7681089854605596,1.0,1
3,-0.16884805776487552,0.37828337188680583,8.223749326458126,0.454545454545,0
4,-0.16884805776487552,0.14077151236302018,4.656010570989566,0.721212121212,0
5,-0.17847484678846892,-0.03944635281500933,1.25199183329319,0.745454545455,0
6,-0.17847484678846892,-0.09639641763816724,3.1410632335593527,0.575757575758,0
7,-0.18051213456845908,-0.11339962508427291,2.017803953143472,0.830303030303,1
8,-0.335314335673834,-0.12136305847781201,2.973392713985691,0.612121212121,0
9,-0.335314335673834,-0.13876988840020787,0.16437447844438013,0.624242424242,0
10,-0.335314335673834,-0.141902242151051,2.0572770378059886,0.745454545455,0
11,-0.335314335673834,-0.141902242151051,2.155858953056259,0.951515151515,1
12,-0.335314335673834,-0.14301636013872104,1.3529604452741617,0.563636363636,0
13,-0.335314335673834,-0.146954241494638,2.7338502547054633,0.806060606061,1
14,-0.335314335673834,-0.15094427888734838,0.4374754233714804,1.0,2
15,-0.335314335673834,-0.16058628264142158,1.54537475066545,0.806060606061,3
16,-0.335314335673834,-0.16487861151711092,2.813407367698082,0.648484848485,0
17,-0.335314335673834,-0.1660307325643126,1.2449597347597146,0.890909090909,1
18,-0.335314335673834,-0.16884805776487552,1.8593347486981258,0.987878787879,2
19,-0.44863856201825725,-0.17453583323115718,1.5204662736777026,0.951515151515,3
20,-0.44863856201825725,-0.17530087355982962,0.7395493020302609,0.927272727273,4
21,-0.44863856201825725,-0.18051213456845908,2.6620392369387025,0.563636363636,0
22,-0.44863856201825725,-0.1976238598138745,4.767160822949882,0.951515151515,1
23,-0.44863856201825725,-0.1976238598138745,2.0844439441547666,0.927272727273,2
24,-0.44863856201825725,-0.20665235265421755,0.8091464343641775,0.648484848485,0
25,-0.44863856201825725,-0.20665235265421755,1.4550154059079903,0.951515151515,1
26,-0.44863856201825725,-0.2193484504453951,2.196468125453173,1.0,2
27,-0.44863856201825725,-0.21986299102607465,0.7900258927154377,0.987878787879,3
28,-0.44863856201825725,-0.21986299102607465,0.5256695961864698,1.0,4
29,-0.44863856201825725,-0.21986299102607465,2.8644786346391955,1.0,5
30,-0.44863856201825725,-0.21986299102607465,1.6804534394386403,0.793939393939,0
31,-0.44863856201825725,-0.2247206860394375,1.7162802851605046,1.0,1
