gen,min_score,med_score,max_score,spearman,conv_counter
1,1.887,2.608,4.138,0,0
2,1.887,2.622,4.201,0.9999999999999999,1
3,1.316,2.282,3.953,-0.2606060606060606,0
4,1.316,2.378,4.431,0.29696969696969694,0
5,1.06,2.303,4.327,0.12727272727272726,0
6,1.06,2.166,4.612,0.12727272727272726,0
7,1.06,2.048,3.899,0.38181818181818183,0
8,1.06,2.173,4.881,-0.4787878787878787,0
9,1.06,2.12,4.161,0.1515151515151515,0
10,1.06,2.3,10,-0.309090909090909,0
11,0.61,2.524,4.969,0.13939393939393938,0
12,0.61,2.465,10,0.5151515151515151,0
13,0.61,2.636,4.784,0.5757575757575757,0
14,0.61,2.646,10,-0.309090909090909,0
15,0.61,2.568,4.321,0.5757575757575757,0
16,0.61,2.581,3.176,0.11515151515151514,0
17,0.61,2.629,10,0.5636363636363636,0
18,0.61,2.45,4.035,0.5636363636363636,0
19,0.61,2.443,10,0.9030303030303028,1
20,0.61,2.424,10,0.24848484848484845,0
21,0.61,2.377,4.277,0.32121212121212117,0
22,0.61,2.489,4.039,0.8424242424242423,1
23,0.61,2.438,10,-0.23636363636363633,0
24,0.61,2.304,10,0.7212121212121211,0
25,0.082,2.267,4.971,0.9999999999999999,1
26,0.082,2.487,10,0.4787878787878787,0
27,0.082,2.374,4.252,0.9636363636363635,1
28,0.082,2.392,10,0.06666666666666665,0
29,0.082,2.371,10,0.9999999999999999,1
30,0.082,2.692,10,0.49090909090909085,0
31,0.082,2.291,10,0.9999999999999999,1
32,0.082,2.201,10,0.8909090909090909,2
33,0.082,2.479,10,0.7696969696969697,0
34,0.082,2.079,10,0.8666666666666665,1
35,0.082,2.154,10,0.8787878787878788,2
36,0.082,2.291,10,0.4545454545454545,0
37,0.082,2.255,10,0.49090909090909085,0
38,0.082,2.319,10,0.7818181818181817,0
39,0.082,2.21,10,0.6969696969696969,0
40,0.082,2.479,10,0.9878787878787878,1
41,0.082,2.536,10,0.5030303030303029,0
42,0.082,2.33,4.701,0.8060606060606059,1
43,0.082,2.407,10,0.6969696969696969,0
44,0.082,2.587,10,0.6121212121212121,0
45,0.082,2.33,10,0.8060606060606059,1
46,0.082,2.765,10,0.8060606060606059,2
47,0.082,2.507,10,0.9151515151515152,3
48,0.082,2.974,10,0.0303030303030303,0
49,0.082,2.778,10,0.9999999999999999,1
50,0.082,2.58,10,-0.24848484848484845,0
51,0.082,2.575,10,0.8787878787878788,1
52,0.082,2.745,10,0.8787878787878788,2
53,0.082,2.803,10,0.9999999999999999,3
54,0.082,2.625,10,0.9999999999999999,4
55,0.082,2.579,10,0.9999999999999999,5
56,0.082,2.471,10,0.9999999999999999,6
57,0.082,2.324,4.129,0.8060606060606059,7
58,0.082,2.366,10,0.8060606060606059,8
59,0.082,2.48,10,0.8060606060606059,9
60,0.082,2.442,4.853,0.9393939393939393,10
61,0.082,2.628,3.867,0.9999999999999999,11
62,0.082,2.816,10,0.9999999999999999,12
63,0.082,2.422,10,0.9999999999999999,13
64,0.082,2.612,10,0.9999999999999999,14
65,0.082,2.488,10,0.9999999999999999,15
66,0.082,2.555,10,0.9999999999999999,16
67,0.082,2.259,4.337,0.9999999999999999,17
68,0.082,2.562,10,0.9999999999999999,18
69,0.082,2.566,10,0.5636363636363636,0
70,0.082,2.548,4.27,0.8060606060606059,1
71,0.082,2.807,10,0.5636363636363636,0
72,0.082,2.482,10,0.8060606060606059,1
73,0.082,2.548,10,0.11515151515151514,0
74,0.082,2.562,4.419,0.17575757575757575,0
75,0.082,2.548,4.298,0.22424242424242422,0
76,0.082,2.503,10,0.22424242424242422,0
77,0.082,2.171,10,0.9999999999999999,1
78,0.082,2.416,10,0.6969696969696969,0
79,0.082,2.547,10,0.9999999999999999,1
80,0.082,2.234,10,0.9999999999999999,2
81,0.082,2.304,10,0.6969696969696969,0
82,0.082,2.641,10,0.0303030303030303,0
83,0.082,2.718,10,0.9999999999999999,1
84,0.082,2.317,10,0.9999999999999999,2
85,0.082,2.25,10,0.9999999999999999,3
86,0.082,2.408,10,0.9999999999999999,4
87,0.082,2.621,10,0.9999999999999999,5
88,0.082,3.073,10,0.9999999999999999,6
89,0.082,2.317,10,0.9999999999999999,7
90,0.082,2.361,10,0.5636363636363636,0
91,0.082,2.242,10,0.9999999999999999,1
92,0.082,2.84,10,0.9272727272727272,2
93,0.082,2.594,10,0.8909090909090909,3
94,0.082,2.863,10,0.9999999999999999,4
95,0.082,2.237,10,0.9999999999999999,5
96,0.082,2.359,10,0.9999999999999999,6
97,0.082,2.519,10,0.9999999999999999,7
98,0.082,2.166,10,0.9999999999999999,8
99,0.082,2.276,10,0.9999999999999999,9
100,0.082,2.522,10,0.9272727272727272,10
101,0.082,2.661,10,0.8787878787878788,11
102,0.082,2.512,10,0.8787878787878788,12
103,0.082,2.074,10,0.9999999999999999,13
104,0.082,2.439,10,0.9999999999999999,14
105,0.082,2.897,10,0.9999999999999999,15
106,0.082,2.662,10,0.6363636363636362,0
107,0.082,2.323,10,0.8787878787878788,1
108,0.082,2.37,10,0.8787878787878788,2
109,0.082,2.753,10,0.9999999999999999,3
110,0.082,2.646,10,0.9999999999999999,4
111,0.082,2.944,10,0.9999999999999999,5
112,0.082,2.538,3.811,0.8787878787878788,6
113,0.082,2.549,10,0.8787878787878788,7
114,0.082,2.667,10,0.8787878787878788,8
115,0.082,2.822,10,0.8787878787878788,9
116,0.082,2.718,10,0.9999999999999999,10
117,0.05,2.392,10,0.9999999999999999,11
118,0.05,2.507,10,0.8787878787878788,12
119,0.05,2.429,10,0.9999999999999999,13
120,0.05,2.491,10,0.5151515151515151,0
121,0.05,2.364,10,0.8787878787878788,1
122,0.05,2.381,10,0.9999999999999999,2
123,0.05,2.327,3.539,0.9999999999999999,3
124,0.05,2.794,10,0.9999999999999999,4
125,0.05,2.756,10,0.8787878787878788,5
126,0.05,2.658,10,0.9999999999999999,6
127,0.05,2.597,10,0.6606060606060605,0
128,0.05,2.638,10,0.6606060606060605,0
129,0.05,2.259,10,0.6606060606060605,0
130,0.05,2.616,10,0.9999999999999999,1
131,0.05,2.334,10,0.6606060606060605,0
132,0.05,2.337,10,0.6606060606060605,0
133,0.05,2.292,10,0.7454545454545454,0
134,0.05,2.237,10,0.9999999999999999,1
135,0.05,2.324,3.941,0.9515151515151514,2
136,0.05,2.155,10,0.9999999999999999,3
137,0.05,2.613,10,0.22424242424242422,0
138,0.05,2.169,3.941,0.8060606060606059,1
139,0.05,2.095,10,0.8060606060606059,2
