gen,min_score,med_score,max_score,spearman,conv_counter
1,1.503,2.84,4.602,0,0
2,1.503,2.383,4.648,0.9999999999999999,1
3,1.503,2.171,3.467,-0.3939393939393939,0
4,1.503,2.19,3.763,0.2727272727272727,0
5,1.223,2.133,3.426,-0.006060606060606061,0
6,1.223,2.177,3.763,0.28484848484848485,0
7,1.223,2.143,3.79,-0.05454545454545454,0
8,1.185,2.16,4.932,0.6969696969696969,0
9,1.185,2.292,10,0.10303030303030303,0
10,1.185,2.109,10,-0.06666666666666665,0
11,1.185,2.177,10,0.8909090909090909,1
12,1.082,2.158,10,0.5030303030303029,0
13,1.082,2.182,10,-0.24848484848484845,0
14,1.082,1.503,10,0.6848484848484848,0
15,0.564,1.896,10,0.35757575757575755,0
16,0.564,1.896,10,0.9999999999999999,1
17,0.564,1.64,10,0.9272727272727272,2
18,0.564,1.303,10,0.8666666666666665,3
19,0.564,1.902,4.424,0.9515151515151514,4
20,0.564,2.386,10,0.2727272727272727,0
21,0.564,1.902,10,0.7454545454545454,0
22,0.564,2.651,10,0.7454545454545454,0
23,0.564,1.859,10,0.9999999999999999,1
24,0.564,2.118,10,0.8909090909090909,2
25,0.564,2.028,10,0.8909090909090909,3
26,0.564,2.028,10,0.32121212121212117,0
27,0.564,1.952,10,0.5030303030303029,0
28,0.564,1.825,10,0.6848484848484848,0
29,0.564,1.767,4.086,0.8909090909090909,1
30,0.564,2.181,3.996,0.8909090909090909,2
31,0.564,2.217,3.83,0.8787878787878788,3
32,0.564,2.775,10,0.6242424242424242,0
33,0.564,2.306,10,0.32121212121212117,0
34,0.564,2.241,3.977,0.7696969696969697,0
35,0.564,2.028,10,0.7454545454545454,0
36,0.564,2.307,10,0.9999999999999999,1
37,0.549,1.998,10,0.9878787878787878,2
38,0.549,2.606,4.814,0.6969696969696969,0
39,0.549,2.192,4.4,0.5151515151515151,0
40,0.549,2.379,4.445,0.9636363636363635,1
41,0.549,2.557,4.293,0.49090909090909085,0
42,0.549,2.192,4.184,0.7333333333333332,0
43,0.549,1.66,4.22,0.7818181818181817,0
44,0.549,2.303,10,0.9878787878787878,1
45,0.549,2.532,4.625,0.9515151515151514,2
46,0.549,2.219,10,0.406060606060606,0
47,0.549,2.326,4.009,0.9515151515151514,1
48,0.549,2.152,4.536,0.29696969696969694,0
49,0.549,2.28,4.468,0.406060606060606,0
50,0.549,2.213,4.547,0.9999999999999999,1
51,0.549,2.704,10,0.406060606060606,0
52,0.549,2.306,10,0.29696969696969694,0
53,0.549,2.517,10,0.406060606060606,0
54,0.549,2.218,10,0.5757575757575757,0
55,0.549,2.204,4.478,0.6484848484848483,0
56,0.549,2.236,4.444,0.9151515151515152,1
57,0.549,2.084,10,0.5515151515151515,0
58,0.549,1.949,4.198,0.6,0
59,0.549,1.948,10,0.5878787878787878,0
60,0.549,1.969,10,0.9999999999999999,1
61,0.549,2.007,4.547,0.9999999999999999,2
62,0.549,2.454,4.256,0.9515151515151514,3
