gen,min_score,med_score,max_score,spearman,conv_counter
1,452.640107,688.68921,1069.062147,0,0
2,494.938395,826.501403,1130.245408,0.9999999999999999,1
3,594.194372,924.59784,1555.649928,-0.2727272727272727,0
4,517.603788,970.366424,1812.01783,-0.19999999999999998,0
5,499.094609,905.447837,1812.01783,-0.06666666666666665,0
6,612.648375,1012.84298,1812.01783,0.6606060606060605,0
7,522.485147,870.536381,1812.01783,0.33333333333333326,0
8,471.559039,927.101994,1812.01783,0.23636363636363633,0
9,490.983914,875.62901,2456.700557,0.06666666666666665,0
10,635.446087,1031.529695,2456.700557,0.8424242424242423,1
11,493.313094,1504.090979,2456.700557,0.6848484848484848,0
12,485.616459,1432.533731,2456.700557,0.9393939393939393,1
13,499.522522,1019.221811,2456.700557,0.406060606060606,0
14,525.201472,1126.374387,2456.700557,0.6848484848484848,0
15,650.812194,1426.926689,2456.700557,0.4787878787878787,0
16,515.664126,1251.672704,2456.700557,0.309090909090909,0
17,623.264564,1197.512222,2456.700557,0.5151515151515151,0
18,657.977799,1545.889553,2456.700557,0.7575757575757575,0
19,662.051862,1370.098907,2456.700557,0.4545454545454545,0
20,534.164256,1079.209741,2518.09968,0.4787878787878787,0
21,532.573404,1306.783501,2518.09968,0.9999999999999999,1
22,457.348811,1279.060566,2518.09968,0.6969696969696969,0
23,458.775754,1188.018559,2518.09968,0.8060606060606059,1
24,599.579477,1321.773033,2518.09968,0.406060606060606,0
25,368.547956,1098.429273,2518.09968,0.8060606060606059,1
26,402.219835,1486.444406,2518.09968,0.38181818181818183,0
27,459.251212,1574.422399,2596.343192,0.7454545454545454,0
28,534.336197,1528.395342,2596.343192,0.9999999999999999,1
29,406.4454,1572.405538,2596.343192,0.6606060606060605,0
30,526.385642,1540.221561,2596.343192,0.9999999999999999,1
31,513.152268,1483.640381,2596.343192,0.9999999999999999,2
32,482.489022,1241.531417,2596.343192,0.2121212121212121,0
33,479.809952,1433.864013,2596.343192,0.9999999999999999,1
34,524.590547,1110.523892,2596.343192,0.9272727272727272,2
35,479.054026,1266.809455,2596.343192,0.6969696969696969,0
36,424.875597,1420.447935,2596.343192,0.5272727272727272,0
37,429.20012,1509.098816,2596.343192,0.5272727272727272,0
38,510.855416,1348.762714,2596.343192,0.9999999999999999,1
39,539.416996,1543.331339,2596.343192,0.9999999999999999,2
40,460.160685,1609.104208,2596.343192,0.8060606060606059,3
41,583.368131,1522.697092,2596.343192,0.8909090909090909,4
42,515.851268,1000.829963,2596.343192,0.9515151515151514,5
43,601.339045,1247.916305,2596.343192,0.9999999999999999,6
44,552.1075,1551.818398,2596.343192,0.01818181818181818,0
45,438.409161,1636.850043,2596.343192,0.9999999999999999,1
46,477.73951,1493.924131,2596.343192,0.9878787878787878,2
47,368.157116,1007.355499,2596.343192,0.9878787878787878,3
48,526.458494,1530.422682,2596.343192,0.9999999999999999,4
49,508.06876,1555.316275,2596.343192,0.9999999999999999,5
50,719.964074,1438.397323,2596.343192,0.5636363636363636,0
51,692.357503,1641.414627,2596.343192,0.9515151515151514,1
52,441.717911,1422.545356,2596.343192,0.406060606060606,0
53,630.415388,1577.286512,2596.343192,0.5636363636363636,0
54,510.151742,1449.68702,2596.343192,0.6969696969696969,0
55,623.087062,1313.256285,2596.343192,0.9636363636363635,1
56,594.081433,1294.258046,2596.343192,0.9999999999999999,2
57,546.756151,1483.640381,2596.343192,0.9878787878787878,3
58,550.759841,1562.031274,2596.343192,0.8909090909090909,4
59,636.335447,1541.805496,2596.343192,0.9999999999999999,5
60,436.576543,1637.898452,2596.343192,0.9999999999999999,6
61,589.11656,1559.964965,2596.343192,0.9999999999999999,7
62,618.707708,1584.907233,2596.343192,0.6969696969696969,0
63,649.448909,1559.964965,2596.343192,0.9999999999999999,1
64,446.833613,1147.527142,2596.343192,0.5515151515151515,0
65,447.418996,1483.993899,2596.343192,0.13939393939393938,0
66,442.201206,1562.031274,2596.343192,0.9878787878787878,1
67,486.253387,1446.571985,2596.343192,0.8909090909090909,2
68,473.043963,1549.011871,2596.343192,0.9999999999999999,3
69,426.142018,1568.851291,2596.343192,0.9515151515151514,4
70,399.530359,1563.133516,2596.343192,0.9999999999999999,5
71,547.329717,1509.031522,2596.343192,0.8909090909090909,6
72,564.614445,1501.918758,2596.343192,0.9999999999999999,7
73,752.810866,1629.641827,2596.343192,0.9999999999999999,8
74,829.86607,1612.118872,2596.343192,0.9999999999999999,9
75,511.261627,1569.285107,2596.343192,0.9515151515151514,10
76,466.200172,1568.607877,2596.343192,0.9999999999999999,11
77,394.752957,1483.993899,2596.343192,0.8787878787878788,12
78,515.166836,1519.994334,2596.343192,0.406060606060606,0
79,529.71408,1551.818398,2596.343192,0.9999999999999999,1
80,488.560728,1625.799449,2596.343192,0.8909090909090909,2
81,450.489784,1555.543776,2596.343192,0.9999999999999999,3
82,544.86833,1548.142956,2596.343192,0.9999999999999999,4
83,437.342891,1548.710121,2596.343192,0.9999999999999999,5
84,517.019037,1281.490365,2596.343192,0.9999999999999999,6
85,520.105002,1536.399013,2596.343192,0.9999999999999999,7
86,577.330422,1567.275005,2596.343192,0.8060606060606059,8
87,447.179422,1110.793755,2596.343192,0.9999999999999999,9
88,565.804563,1451.147221,2596.343192,0.9999999999999999,10
89,612.22077,1619.803295,2596.343192,0.9999999999999999,11
90,549.343332,1100.303925,2596.343192,0.9999999999999999,12
91,685.517623,1540.250706,2596.343192,0.9999999999999999,13
92,740.473149,1642.246516,2596.343192,0.9878787878787878,14
93,707.556762,1510.764898,2596.343192,0.9999999999999999,15
94,628.956059,1497.06315,2596.343192,0.9999999999999999,16
95,411.508784,1353.910878,2596.343192,0.9999999999999999,17
96,454.7078,1510.764898,2596.343192,0.9999999999999999,18
97,389.287296,1510.764898,2596.343192,0.8909090909090909,19
98,513.028184,1434.073876,2596.343192,0.9999999999999999,20
99,520.366059,1550.839255,2596.343192,0.9999999999999999,21
100,439.787386,1472.921505,2596.343192,0.9999999999999999,22
101,549.403066,1510.764898,2596.343192,0.9999999999999999,23
102,516.141158,1406.831889,2596.343192,0.9999999999999999,24
103,542.084295,1621.736135,2596.343192,0.9999999999999999,25
104,587.296653,1606.628182,2596.343192,0.9999999999999999,26
105,495.575928,1538.825163,2596.343192,0.9999999999999999,27
106,654.323184,1622.692262,2596.343192,0.9999999999999999,28
107,621.988788,1562.050471,2596.343192,0.9999999999999999,29
108,490.282675,1541.822288,2596.343192,0.9999999999999999,30
109,526.10031,1592.341643,2596.343192,0.9999999999999999,31
110,698.444863,1608.266195,2596.343192,0.9999999999999999,32
111,655.066706,1562.644027,2596.343192,0.9999999999999999,33
112,529.281848,1550.442344,2596.343192,0.9999999999999999,34
113,610.485833,1571.186836,2596.343192,0.9999999999999999,35
114,518.636688,1562.644027,2596.343192,0.9999999999999999,36
115,538.134653,1608.266195,2596.343192,0.9999999999999999,37
116,518.636688,1700.284816,2596.343192,0.9999999999999999,38
117,461.95693,1447.946317,2596.343192,0.9999999999999999,39
118,531.270963,1480.283477,2596.343192,0.9999999999999999,40
