gen,min_score,med_score,max_score,spearman,conv_counter
1,449.847901,675.669772,1479.091861,0,0
2,330.207672,767.050563,1479.091861,0.9999999999999999,1
3,361.860944,864.249006,1516.907821,-0.3696969696969697,0
4,394.850525,860.095875,1516.907821,0.4424242424242424,0
5,552.366227,945.870029,1516.907821,0.28484848484848485,0
6,540.644587,940.813888,1516.907821,0.17575757575757575,0
7,550.458345,973.396888,1753.261333,0.38181818181818183,0
8,524.860434,973.396888,1753.261333,0.4545454545454545,0
9,540.644587,1108.959202,1970.163738,0.29696969696969694,0
10,548.560114,1004.025142,1970.163738,0.29696969696969694,0
11,519.053185,906.635077,1970.163738,0.7575757575757575,0
12,598.415204,823.585106,2596.343192,0.6121212121212121,0
13,531.812694,885.721364,2596.343192,0.7696969696969697,0
14,587.398117,913.585436,2596.343192,0.10303030303030303,0
15,625.483468,875.692997,2596.343192,0.5636363636363636,0
16,587.533322,984.742137,2596.343192,0.5151515151515151,0
17,505.77934,913.870904,2596.343192,0.9878787878787878,1
18,490.780533,1109.455849,2596.343192,0.3939393939393939,0
19,500.258693,931.02476,2596.343192,0.9999999999999999,1
20,570.074571,966.617107,2596.343192,0.9999999999999999,2
21,594.025041,1019.41639,2596.343192,0.4545454545454545,0
22,459.114579,1061.659316,2596.343192,0.9878787878787878,1
23,415.401019,975.84804,2596.343192,0.9878787878787878,2
24,616.779012,1445.238073,2596.343192,0.5636363636363636,0
25,494.344975,1402.807292,2596.343192,0.9999999999999999,1
26,455.501911,1061.960992,2596.343192,0.6969696969696969,0
27,500.079588,1050.013896,2596.343192,0.7575757575757575,0
28,496.031794,1196.219116,2596.343192,0.9999999999999999,1
29,429.295823,1100.6502,2596.343192,0.9999999999999999,2
30,550.286491,1034.86036,2596.343192,0.13939393939393938,0
31,574.98562,1352.001082,2596.343192,0.9999999999999999,1
32,492.199819,1104.71328,2596.343192,0.8060606060606059,2
33,556.741692,1017.86395,2596.343192,0.6969696969696969,0
34,520.284672,961.146731,2596.343192,0.9999999999999999,1
35,471.855368,1125.930056,2596.343192,0.9272727272727272,2
36,455.489133,974.500015,2596.343192,0.9999999999999999,3
37,471.855368,933.724557,2596.343192,0.9636363636363635,4
38,474.39406,1069.164286,2596.343192,0.8424242424242423,5
39,599.009744,1028.969058,2596.343192,0.01818181818181818,0
40,568.063111,1104.983523,2596.343192,0.7818181818181817,0
41,600.746991,1294.058272,2596.343192,0.9636363636363635,1
42,627.8932,1200.531904,2596.343192,0.6969696969696969,0
43,526.376975,977.920691,2596.343192,0.01818181818181818,0
44,361.860944,1032.605654,2596.343192,0.6969696969696969,0
45,600.720724,1054.810648,2596.343192,0.01818181818181818,0
46,454.363201,1046.595428,2596.343192,-0.0303030303030303,0
47,565.497095,1087.805113,2596.343192,0.9999999999999999,1
48,474.483015,1377.35347,2596.343192,0.9878787878787878,2
49,554.510438,1344.073961,2596.343192,0.9999999999999999,3
50,653.163568,1323.120725,2596.343192,0.7696969696969697,0
51,605.598285,1486.752481,2596.343192,0.9999999999999999,1
52,565.497095,1361.421829,2596.343192,0.9878787878787878,2
53,549.970161,1276.000176,2596.343192,0.38181818181818183,0
54,542.168965,1419.298953,2596.343192,0.9878787878787878,1
55,549.425855,1305.815116,2596.343192,0.9878787878787878,2
56,569.718541,1169.973865,2596.343192,0.6969696969696969,0
57,544.464356,1116.068007,2596.343192,0.3696969696969697,0
58,568.493205,1144.524193,2596.343192,0.5272727272727272,0
59,522.447862,1400.722438,2596.343192,0.9515151515151514,1
60,578.650208,1360.670035,2596.343192,0.9999999999999999,2
61,476.88686,990.824282,2596.343192,0.9999999999999999,3
62,488.574637,1072.167032,2596.343192,0.8060606060606059,4
63,518.38113,1049.414763,2596.343192,0.9878787878787878,5
64,578.36201,1411.41043,2596.343192,0.9999999999999999,6
65,448.169209,1205.653781,2596.343192,0.8909090909090909,7
66,601.007518,1639.813664,2596.343192,0.9999999999999999,8
67,579.346167,1570.306064,2596.343192,0.9999999999999999,9
68,664.060772,1626.998393,2596.343192,0.8909090909090909,10
69,532.36861,1628.056854,2596.343192,0.9999999999999999,11
70,592.733663,1139.70686,2596.343192,0.9999999999999999,12
71,558.520565,1049.697515,2596.343192,0.9999999999999999,13
72,505.783101,1524.74027,2596.343192,0.9999999999999999,14
73,525.801395,1416.334068,2596.343192,0.9999999999999999,15
74,535.942636,1244.666548,2596.343192,0.9999999999999999,16
75,428.440478,1504.024803,2596.343192,0.9999999999999999,17
76,552.742737,1160.336102,2596.343192,0.9999999999999999,18
77,607.636225,1572.619398,2596.343192,0.9999999999999999,19
78,524.95689,1180.726486,2596.343192,0.8909090909090909,20
79,505.644899,1127.292666,2596.343192,0.9999999999999999,21
80,480.30754,1082.66399,2596.343192,0.9999999999999999,22
81,406.029005,1187.145562,2596.343192,0.9999999999999999,23
82,520.614421,1415.095462,2596.343192,0.9999999999999999,24
83,451.770063,1073.648132,2596.343192,0.9999999999999999,25
84,340.667725,1412.321587,2596.343192,0.01818181818181818,0
85,544.517852,1138.108179,2596.343192,0.5636363636363636,0
86,408.427714,1266.13893,2596.343192,0.5636363636363636,0
87,572.42413,1591.716611,2596.343192,0.9515151515151514,1
88,497.687203,1609.104208,2596.343192,0.9999999999999999,2
89,353.909769,1259.753003,2596.343192,0.9999999999999999,3
90,466.34625,1502.460944,2596.343192,0.9999999999999999,4
91,483.023648,1244.666548,2596.343192,0.9999999999999999,5
92,503.057251,1537.205035,2596.343192,0.9999999999999999,6
93,520.304308,1244.76978,2596.343192,0.9999999999999999,7
94,486.349652,1331.418048,2596.343192,0.9999999999999999,8
95,564.648933,1468.081316,2596.343192,0.9999999999999999,9
96,627.732439,1377.945234,2596.343192,0.9999999999999999,10
97,572.95911,1412.480167,2596.343192,0.9999999999999999,11
98,517.496679,1390.61681,2596.343192,0.9999999999999999,12
99,503.024509,1067.229572,2596.343192,0.4545454545454545,0
100,560.294892,1302.763634,2596.343192,0.7696969696969697,0
101,573.760288,1504.724699,2596.343192,0.9999999999999999,1
102,631.349246,1594.893596,2596.343192,0.9878787878787878,2
103,649.733499,1557.038029,2596.343192,0.9999999999999999,3
104,667.112916,1591.716611,2596.343192,0.9999999999999999,4
105,670.626163,1534.270209,2596.343192,0.9999999999999999,5
106,591.260675,1150.758147,2596.343192,0.9878787878787878,6
107,650.075074,1050.437614,2596.343192,0.9999999999999999,7
108,634.131471,1089.643786,2596.343192,0.9515151515151514,8
109,529.66303,1578.089961,2596.343192,0.9999999999999999,9
110,565.895371,1266.13893,2596.343192,0.9878787878787878,10
111,530.623833,1548.068526,2596.343192,0.9999999999999999,11
112,421.267568,1530.909581,2596.343192,0.9999999999999999,12
113,560.472372,1261.358636,2596.343192,0.9999999999999999,13
114,421.267568,1448.69481,2596.343192,0.9999999999999999,14
115,562.315234,1471.637282,2596.343192,0.6969696969696969,0
116,570.992055,1478.312826,2596.343192,0.9999999999999999,1
117,543.489322,1130.996881,2596.343192,0.9999999999999999,2
118,434.58996,1383.449701,2596.343192,0.9999999999999999,3
119,525.61619,1450.307289,2596.343192,0.9999999999999999,4
120,488.199533,1524.74027,2596.343192,0.9999999999999999,5
121,507.600019,1642.265032,2596.343192,0.9999999999999999,6
122,595.640963,1564.428456,2596.343192,0.9999999999999999,7
123,621.33781,1472.155926,2596.343192,0.8787878787878788,8
124,414.966393,1564.428456,2596.343192,0.9878787878787878,9
125,623.414333,1595.959043,2596.343192,0.9999999999999999,10
126,640.008912,1548.068526,2596.343192,0.9999999999999999,11
127,443.770739,1557.933159,2596.343192,0.9999999999999999,12
128,547.217163,1590.121781,2596.343192,0.9999999999999999,13
129,490.190654,1149.09555,2596.343192,0.9515151515151514,14
130,501.248473,1617.738785,2596.343192,0.9999999999999999,15
131,572.09172,1468.081316,2596.343192,0.9999999999999999,16
