gen,min_score,med_score,max_score,spearman,conv_counter
1,1.511,2.465,10,0,0
2,1.511,2.342,3.216,0.9999999999999999,1
3,1.511,2.223,3.603,-0.3696969696969697,0
4,1.507,2.066,2.862,0.24848484848484845,0
5,1.415,1.848,10,0.4787878787878787,0
6,1.225,1.758,3.47,0.49090909090909085,0
7,1.225,1.98,3.766,0.2606060606060606,0
8,0.985,1.642,3.25,0.5515151515151515,0
9,0.985,1.593,3.609,0.12727272727272726,0
10,0.985,1.822,10,0.8060606060606059,1
11,0.985,1.659,4.887,0.9878787878787878,2
12,0.985,1.545,4.064,0.6242424242424242,0
13,0.587,1.507,10,0.6969696969696969,0
14,0.587,1.526,3.519,0.5636363636363636,0
15,0.587,1.535,10,0.9999999999999999,1
16,0.587,1.542,10,0.9878787878787878,2
17,0.587,2.051,10,0.406060606060606,0
18,0.587,1.652,10,0.8909090909090909,1
19,0.587,1.601,10,0.49090909090909085,0
20,0.587,2.148,10,0.8303030303030302,1
21,0.587,1.999,3.991,0.709090909090909,0
22,0.587,1.456,4.996,0.7696969696969697,0
23,0.587,1.65,4.362,0.3939393939393939,0
24,0.587,1.659,4.115,0.04242424242424241,0
25,0.587,1.415,3.674,0.8909090909090909,1
26,0.505,1.286,10,0.7575757575757575,0
27,0.505,1.114,10,0.29696969696969694,0
28,0.505,0.985,10,0.8060606060606059,1
29,0.505,1.07,10,0.3939393939393939,0
30,0.376,1.02,4.604,0.32121212121212117,0
31,0.376,0.961,10,0.9515151515151514,1
32,0.376,0.896,10,0.6969696969696969,0
33,0.376,0.961,10,0.9999999999999999,1
34,0.376,0.929,3.699,0.9272727272727272,2
35,0.376,1.739,4.094,0.8666666666666665,3
36,0.376,1.38,10,0.9272727272727272,4
37,0.376,0.956,10,0.8787878787878788,5
38,0.376,0.952,10,0.9515151515151514,6
39,0.376,1.138,10,0.9999999999999999,7
40,0.376,1.074,10,0.8181818181818182,8
41,0.376,1.02,10,0.7333333333333332,0
42,0.376,0.904,3.999,0.8060606060606059,1
43,0.376,1.148,10,0.8787878787878788,2
44,0.376,1.02,10,0.9999999999999999,3
45,0.376,0.881,3.483,0.9878787878787878,4
46,0.376,0.881,3.291,0.9999999999999999,5
47,0.376,1.07,10,0.9999999999999999,6
48,0.376,1.065,10,0.9878787878787878,7
49,0.376,2.155,4.696,0.9515151515151514,8
50,0.376,1.109,10,0.9999999999999999,9
51,0.376,1.092,4.23,0.9999999999999999,10
52,0.376,1.02,10,0.8424242424242423,11
53,0.376,0.985,10,0.8060606060606059,12
54,0.376,0.874,10,0.9999999999999999,13
55,0.376,0.946,10,0.9878787878787878,14
56,0.376,1.556,3.523,0.9999999999999999,15
57,0.376,1.034,10,0.9999999999999999,16
58,0.376,1.459,10,0.9999999999999999,17
59,0.376,1.689,10,0.9515151515151514,18
60,0.376,0.985,10,0.9999999999999999,19
61,0.376,0.912,4.064,0.9515151515151514,20
62,0.376,0.878,10,0.7696969696969697,0
63,0.376,0.878,10,0.9999999999999999,1
64,0.376,0.878,3.727,0.8060606060606059,2
65,0.057,0.873,10,0.9999999999999999,3
66,0.057,1.02,10,0.9999999999999999,4
67,0.057,0.905,10,0.9999999999999999,5
68,0.057,0.836,10,0.9272727272727272,6
69,0.057,1.854,10,0.9999999999999999,7
70,0.057,0.796,10,0.9515151515151514,8
71,0.057,0.878,10,0.9999999999999999,9
72,0.057,1.02,10,0.9999999999999999,10
73,0.057,0.796,10,0.8909090909090909,11
74,0.057,1.073,10,0.9999999999999999,12
75,0.057,2.388,10,0.8060606060606059,13
76,0.057,1.02,10,0.9999999999999999,14
77,0.057,1.06,10,0.9272727272727272,15
78,0.057,2.173,10,0.9999999999999999,16
79,0.057,1.032,10,0.9999999999999999,17
80,0.057,1.02,10,0.9999999999999999,18
81,0.057,0.796,10,0.9999999999999999,19
82,0.057,2.047,10,0.8909090909090909,20
83,0.057,0.836,10,0.9999999999999999,21
84,0.014,0.836,10,0.9999999999999999,22
