gen,min_score,med_score,max_score,spearman,conv_counter
1,1.398,2.519,10,0,0
2,1.398,2.38,4.055,0.9999999999999999,1
3,0.335,2.224,3.745,0.2727272727272727,0
4,0.335,2.139,3.489,0.23636363636363633,0
5,0.335,2.114,3.422,-0.006060606060606061,0
6,0.335,2.107,10,-0.1515151515151515,0
7,0.335,2.069,10,0.17575757575757575,0
8,0.335,2.059,3.956,0.32121212121212117,0
9,0.335,1.968,4.659,0.7575757575757575,0
10,0.335,1.849,3.39,0.28484848484848485,0
11,0.335,1.655,3.296,0.12727272727272726,0
12,0.118,1.596,4.02,0.24848484848484845,0
13,0.118,1.553,3.047,0.9515151515151514,1
14,0.118,1.553,3.413,0.5878787878787878,0
15,0.118,1.503,3.821,0.6727272727272726,0
16,0.118,1.498,3.316,0.9030303030303028,1
17,0.118,1.435,4.265,0.9999999999999999,2
18,0.118,1.398,2.997,0.5272727272727272,0
19,0.118,1.398,3.62,0.4787878787878787,0
20,0.118,1.356,4.085,0.8909090909090909,1
21,0.118,1.252,10,0.9515151515151514,2
22,0.118,1.208,4.276,0.8060606060606059,3
23,0.118,1.098,3.291,0.9999999999999999,4
24,0.118,1.079,10,0.9878787878787878,5
25,0.118,1.068,10,0.32121212121212117,0
26,0.118,1.068,3.917,0.6848484848484848,0
27,0.118,1.004,3.551,-0.01818181818181818,0
28,0.118,1.004,10,0.8060606060606059,1
29,0.118,0.999,10,0.3939393939393939,0
30,0.118,0.999,10,0.9999999999999999,1
31,0.118,0.989,3.94,0.6969696969696969,0
32,0.118,0.989,3.833,0.9515151515151514,1
33,0.118,0.983,3.487,0.8545454545454544,2
34,0.118,0.941,3.622,0.9878787878787878,3
35,0.118,0.937,10,0.9999999999999999,4
36,0.118,0.873,10,0.9999999999999999,5
37,0.118,0.873,10,0.9151515151515152,6
38,0.118,0.873,10,0.9515151515151514,7
39,0.118,0.873,10,0.6969696969696969,0
40,0.118,0.861,10,0.8666666666666665,1
41,0.118,0.861,10,0.8909090909090909,2
42,0.118,0.861,10,0.9999999999999999,3
43,0.118,0.861,10,0.9999999999999999,4
44,0.118,0.764,10,0.8909090909090909,5
45,0.118,0.764,10,0.9999999999999999,6
46,0.118,0.747,10,0.9999999999999999,7
47,0.118,0.747,10,0.9999999999999999,8
48,0.118,0.747,10,0.9272727272727272,9
49,0.118,0.747,10,0.8909090909090909,10
50,0.118,0.747,10,0.6242424242424242,0
51,0.118,0.747,10,0.9757575757575757,1
52,0.118,0.747,10,0.9151515151515152,2
53,0.118,0.747,10,0.9999999999999999,3
54,0.118,0.747,10,0.9999999999999999,4
55,0.118,0.735,10,0.9999999999999999,5
56,0.118,0.735,10,0.406060606060606,0
57,0.118,0.655,10,0.9636363636363635,1
58,0.118,0.655,10,0.9999999999999999,2
59,0.024,0.611,10,0.9999999999999999,3
60,0.024,0.611,10,0.8909090909090909,4
61,0.024,0.602,10,0.9999999999999999,5
62,0.024,0.565,10,0.9999999999999999,6
63,0.024,0.565,10,0.9999999999999999,7
64,0.024,0.565,10,0.9999999999999999,8
65,0.024,0.565,10,0.22424242424242422,0
66,0.024,0.565,10,0.8060606060606059,1
67,0.024,0.565,10,0.8545454545454544,2
68,0.024,0.565,10,0.9999999999999999,3
69,0.024,0.565,10,0.9999999999999999,4
70,0.024,0.551,10,0.9999999999999999,5
71,0.024,0.551,10,0.9999999999999999,6
72,0.024,0.551,10,0.9999999999999999,7
73,0.024,0.503,10,0.9999999999999999,8
74,0.024,0.503,10,0.9999999999999999,9
75,0.024,0.503,10,0.9999999999999999,10
76,0.024,0.503,10,0.9393939393939393,11
77,0.024,0.503,10,0.9999999999999999,12
78,0.024,0.497,10,0.9878787878787878,13
79,0.024,0.497,10,0.9757575757575757,14
80,0.024,0.487,10,0.9999999999999999,15
81,0.024,0.487,10,0.9999999999999999,16
82,0.024,0.487,10,0.9999999999999999,17
83,0.024,0.451,10,0.9999999999999999,18
84,0.024,0.451,10,0.9999999999999999,19
85,0.024,0.451,10,0.9999999999999999,20
86,0.024,0.451,3.273,0.9999999999999999,21
87,0.024,0.451,10,0.9999999999999999,22
88,0.024,0.451,10,0.9999999999999999,23
89,0.024,0.451,10,0.9999999999999999,24
90,0.024,0.41,10,0.9999999999999999,25
91,0.024,0.41,10,0.9515151515151514,26
92,0.024,0.41,2.748,0.9999999999999999,27
93,0.024,0.41,10,0.9999999999999999,28
94,0.024,0.41,10,0.9999999999999999,29
95,0.024,0.378,10,0.9999999999999999,30
96,0.024,0.337,10,0.9515151515151514,31
97,0.024,0.337,10,0.9999999999999999,32
98,0.024,0.337,10,0.9999999999999999,33
99,0.024,0.337,10,0.9999999999999999,34
100,0.024,0.337,10,0.9999999999999999,35
101,0.024,0.337,10,0.9999999999999999,36
102,0.024,0.337,10,0.9999999999999999,37
103,0.024,0.337,10,0.9999999999999999,38
104,0.024,0.335,10,0.9999999999999999,39
105,0.024,0.335,10,0.13939393939393938,0
106,0.024,0.335,10,0.406060606060606,0
107,0.024,0.335,10,0.9999999999999999,1
108,0.024,0.335,10,0.9999999999999999,2
109,0.024,0.335,10,0.9999999999999999,3
110,0.024,0.335,10,0.9999999999999999,4
111,0.024,0.335,10,0.9999999999999999,5
112,0.024,0.335,10,0.309090909090909,0
113,0.024,0.319,10,0.406060606060606,0
114,0.024,0.313,10,0.9999999999999999,1
115,0.024,0.313,10,0.9999999999999999,2
116,0.024,0.313,10,0.9999999999999999,3
117,0.024,0.309,10,0.9999999999999999,4
118,0.024,0.309,10,0.9999999999999999,5
119,0.024,0.309,10,0.9999999999999999,6
120,0.024,0.299,10,0.9999999999999999,7
121,0.024,0.299,10,0.9999999999999999,8
122,0.024,0.299,10,0.9999999999999999,9
123,0.024,0.299,10,0.9999999999999999,10
124,0.024,0.272,10,0.9999999999999999,11
125,0.024,0.272,10,0.5636363636363636,0
126,0.024,0.272,10,0.9636363636363635,1
127,0.024,0.272,10,0.9999999999999999,2
128,0.024,0.272,10,0.9999999999999999,3
129,0.024,0.272,10,0.9999999999999999,4
130,0.024,0.272,10,0.9999999999999999,5
131,0.024,0.272,10,0.9999999999999999,6
132,0.024,0.272,10,0.9878787878787878,7
133,0.024,0.272,10,0.9999999999999999,8
134,0.024,0.272,10,0.9999999999999999,9
135,0.024,0.272,10,0.9999999999999999,10
136,0.024,0.26,10,0.9999999999999999,11
137,0.024,0.26,10,0.9999999999999999,12
138,0.024,0.26,10,0.9999999999999999,13
139,0.024,0.26,10,0.9999999999999999,14
140,0.024,0.26,10,0.8909090909090909,15
141,0.024,0.26,10,0.9999999999999999,16
142,0.024,0.26,10,0.9272727272727272,17
143,0.024,0.26,2.792,0.9999999999999999,18
144,0.024,0.26,10,0.9999999999999999,19
145,0.024,0.26,10,0.9999999999999999,20
146,0.024,0.243,10,0.9999999999999999,21
147,0.024,0.243,3.517,0.9999999999999999,22
148,0.024,0.243,10,0.6969696969696969,0
149,0.024,0.243,10,0.9999999999999999,1
150,0.024,0.243,10,0.9999999999999999,2
151,0.024,0.243,10,0.9999999999999999,3
152,0.024,0.243,10,0.9515151515151514,4
153,0.024,0.243,10,0.9999999999999999,5
154,0.024,0.243,10,0.9999999999999999,6
155,0.024,0.243,10,0.9999999999999999,7
156,0.024,0.243,10,0.8909090909090909,8
157,0.024,0.243,10,0.9999999999999999,9
158,0.024,0.243,10,0.9272727272727272,10
159,0.024,0.243,10,0.9999999999999999,11
160,0.024,0.243,10,0.9999999999999999,12
161,0.024,0.243,10,0.9999999999999999,13
162,0.024,0.243,10,0.9999999999999999,14
163,0.024,0.243,3.943,0.9999999999999999,15
