gen,min_score,med_score,max_score,spearman,conv_counter
1,461.941254,745.103533,1123.637807,0,0
2,457.549084,822.986135,1136.220554,0.9999999999999999,1
3,536.656411,861.315872,1392.564551,-0.13939393939393938,0
4,536.656411,933.533162,1392.564551,-0.5636363636363636,0
5,506.271204,958.828529,1392.564551,0.19999999999999998,0
6,595.659405,994.500588,1392.564551,0.43030303030303024,0
7,564.382143,1028.870103,1433.566875,0.16363636363636364,0
8,492.008607,1094.31867,1433.566875,0.4545454545454545,0
9,475.455262,1106.716539,1681.579067,0.7818181818181817,0
10,461.809655,1122.786041,1681.579067,0.2121212121212121,0
11,477.908124,1135.177433,1681.579067,0.8666666666666665,1
12,562.315209,1211.576132,1767.574437,0.6121212121212121,0
13,641.550138,1244.152296,1767.574437,0.9515151515151514,1
14,613.592376,1270.700431,1767.574437,0.7575757575757575,0
15,493.301294,1270.700431,1767.574437,0.6969696969696969,0
16,523.100803,1270.700431,1767.574437,0.9999999999999999,1
17,493.301294,1270.700431,1767.574437,0.5636363636363636,0
18,589.598126,1275.06212,1767.574437,0.6969696969696969,0
19,621.682127,1275.06212,1767.574437,0.9515151515151514,1
20,569.858777,1317.424585,1767.574437,0.9999999999999999,2
21,581.991514,1317.424585,1767.574437,0.9515151515151514,3
22,622.322968,1317.424585,1767.574437,0.9999999999999999,4
23,655.477545,1322.368872,1767.574437,0.9999999999999999,5
24,653.053251,1337.914683,1767.574437,0.9999999999999999,6
25,614.718057,1337.914683,1767.574437,0.9999999999999999,7
26,490.621708,1342.891339,1767.574437,0.9636363636363635,8
27,641.811125,1345.333377,1767.574437,0.9999999999999999,9
28,645.948906,1345.478534,1767.574437,0.9999999999999999,10
29,566.613371,1364.34479,1767.574437,0.7696969696969697,0
30,736.163762,1364.34479,1767.574437,0.6969696969696969,0
31,729.087045,1381.762014,1767.574437,0.9999999999999999,1
32,740.896388,1383.314366,1767.574437,0.8060606060606059,2
33,681.343281,1383.314366,1767.574437,0.9999999999999999,3
34,579.391622,1383.314366,1767.574437,0.9878787878787878,4
35,643.091046,1383.314366,1767.574437,0.9999999999999999,5
36,665.06514,1389.219063,1767.574437,0.9999999999999999,6
37,768.124425,1389.219063,1767.574437,0.01818181818181818,0
38,591.399432,1389.219063,1767.574437,0.5636363636363636,0
39,608.414061,1392.564551,1767.574437,0.01818181818181818,0
40,708.654658,1392.564551,1767.574437,0.01818181818181818,0
41,606.664239,1392.564551,1767.574437,0.9515151515151514,1
42,670.744426,1435.652791,1767.574437,0.9999999999999999,2
43,579.126868,1435.652791,1767.574437,-0.01818181818181818,0
44,725.948296,1435.652791,1767.574437,-0.5757575757575757,0
45,671.269272,1435.652791,1767.574437,0.9999999999999999,1
46,499.959844,1435.652791,1767.574437,0.8909090909090909,2
47,930.097512,1450.55274,1956.474722,0.3939393939393939,0
48,902.260343,1450.55274,1956.474722,0.9999999999999999,1
49,697.411347,1474.878213,2042.033251,0.9999999999999999,2
50,527.706806,1487.294341,2042.033251,0.9515151515151514,3
51,746.984675,1487.294341,2042.033251,0.9999999999999999,4
52,702.056637,1503.911717,2042.033251,0.6606060606060605,0
53,558.477511,1512.905483,2042.033251,0.8909090909090909,1
54,742.56586,1513.049998,2042.033251,0.7454545454545454,0
55,710.851588,1530.147278,2042.033251,0.9999999999999999,1
56,774.969838,1532.022234,2042.033251,0.6969696969696969,0
57,914.433114,1534.096654,2042.033251,0.9515151515151514,1
58,479.035713,1534.096654,2042.033251,0.9999999999999999,2
59,443.055359,1535.660783,2042.033251,0.9999999999999999,3
60,472.870724,1535.660783,2042.033251,0.6242424242424242,0
61,646.516149,1536.399013,2042.033251,0.9878787878787878,1
62,628.879011,1536.399013,2042.033251,0.406060606060606,0
63,886.543957,1536.889735,2042.033251,0.9515151515151514,1
64,686.198591,1536.889735,2042.033251,0.8909090909090909,2
65,704.109368,1536.889735,2042.033251,0.9878787878787878,3
66,516.390653,1536.889735,2042.033251,0.8060606060606059,4
67,659.287798,1536.889735,2042.033251,0.6969696969696969,0
68,780.323044,1554.011385,2042.033251,0.9999999999999999,1
69,671.370251,1554.011385,2042.033251,0.8060606060606059,2
70,573.507384,1557.850523,2042.033251,0.9999999999999999,3
71,904.628414,1557.97457,2042.033251,0.7454545454545454,0
72,820.214255,1557.97457,2042.033251,0.9515151515151514,1
73,603.56133,1557.97457,2042.033251,0.9515151515151514,2
74,530.426267,1561.664587,2042.033251,0.4787878787878787,0
75,617.293713,1561.664587,2042.033251,0.9515151515151514,1
76,880.986289,1568.420248,2042.033251,0.9999999999999999,2
77,707.180554,1568.420248,2042.033251,0.9999999999999999,3
78,595.649719,1595.625674,2042.033251,0.8909090909090909,4
79,582.235244,1595.625674,2042.033251,0.9878787878787878,5
80,466.359416,1597.433099,2042.033251,0.9999999999999999,6
81,496.786819,1615.729721,2042.033251,0.9878787878787878,7
82,686.760417,1620.333585,2157.754393,0.9757575757575757,8
83,689.84222,1620.333585,2157.754393,0.9999999999999999,9
84,476.667106,1621.513149,2157.754393,0.7939393939393938,0
85,535.529926,1621.513149,2157.754393,0.9999999999999999,1
86,732.305691,1634.785344,2157.754393,0.9999999999999999,2
87,663.275683,1647.827322,2456.700557,0.8545454545454544,3
88,587.101942,1657.676804,2456.700557,0.9515151515151514,4
89,539.553897,1681.579067,2456.700557,0.9515151515151514,5
90,685.418436,1681.579067,2456.700557,0.9515151515151514,6
