gen,min_score,med_score,max_score,spearman,conv_counter
1,1.427,2.747,4.735,0,0
2,1.427,2.497,10,0.9999999999999999,1
3,1.373,2.355,3.827,-0.09090909090909088,0
4,0.461,2.253,3.798,-0.10303030303030303,0
5,0.461,2.196,2.822,-0.4545454545454545,0
6,0.461,2.137,2.995,0.19999999999999998,0
7,0.461,2.014,2.568,-0.12727272727272726,0
8,0.461,1.932,2.834,-0.0303030303030303,0
9,0.461,1.841,3.489,0.8424242424242423,1
10,0.461,1.746,4.996,0.41818181818181815,0
11,0.461,1.668,3.904,0.5393939393939393,0
12,0.461,1.413,3.183,0.5636363636363636,0
13,0.461,1.343,4.335,0.8424242424242423,1
14,0.461,1.304,4.177,0.406060606060606,0
15,0.228,1.288,10,0.5636363636363636,0
16,0.228,1.225,3.96,0.8787878787878788,1
17,0.228,1.225,3.702,0.5636363636363636,0
18,0.228,1.225,3.685,0.9999999999999999,1
19,0.228,1.22,3.909,0.6969696969696969,0
20,0.228,1.172,10,0.9515151515151514,1
21,0.228,1.172,4.801,0.9999999999999999,2
22,0.228,1.172,4.111,0.6242424242424242,0
23,0.228,1.12,10,0.6242424242424242,0
24,0.228,1.054,10,0.3696969696969697,0
25,0.228,1.021,10,0.7939393939393938,0
26,0.228,0.985,10,0.309090909090909,0
27,0.228,0.949,10,0.5636363636363636,0
28,0.228,0.922,3.703,0.8545454545454544,1
29,0.228,0.922,4.348,0.6848484848484848,0
30,0.228,0.907,10,0.22424242424242422,0
31,0.228,0.907,10,0.17575757575757575,0
32,0.228,0.889,3.471,0.9878787878787878,1
33,0.228,0.827,10,0.35757575757575755,0
34,0.228,0.827,10,0.9999999999999999,1
35,0.228,0.827,3.708,0.8060606060606059,2
36,0.228,0.793,3.852,0.9999999999999999,3
37,0.228,0.776,3.566,0.9515151515151514,4
38,0.228,0.776,10,0.9757575757575757,5
39,0.228,0.758,10,0.9999999999999999,6
40,0.228,0.758,3.991,0.9999999999999999,7
41,0.228,0.758,4.105,0.9999999999999999,8
42,0.228,0.739,4.33,0.9878787878787878,9
43,0.228,0.739,3.319,0.9878787878787878,10
44,0.228,0.739,3.841,0.9999999999999999,11
45,0.228,0.704,10,0.9999999999999999,12
46,0.228,0.704,10,0.9515151515151514,13
47,0.228,0.704,10,0.9999999999999999,14
48,0.228,0.694,10,0.9999999999999999,15
49,0.228,0.692,3.882,0.9999999999999999,16
50,0.228,0.692,3.882,0.5878787878787878,0
51,0.228,0.692,10,0.9999999999999999,1
52,0.228,0.692,10,0.406060606060606,0
53,0.228,0.641,10,0.8060606060606059,1
54,0.228,0.641,3.398,0.9999999999999999,2
55,0.228,0.641,4.046,0.9999999999999999,3
56,0.228,0.641,4.462,0.9999999999999999,4
57,0.228,0.641,3.875,0.7818181818181817,0
58,0.228,0.641,10,0.9999999999999999,1
59,0.228,0.641,10,0.8909090909090909,2
60,0.228,0.641,10,0.9999999999999999,3
61,0.228,0.641,3.236,0.9999999999999999,4
62,0.228,0.641,10,0.9999999999999999,5
63,0.228,0.641,10,0.8424242424242423,6
64,0.228,0.641,4.185,0.9999999999999999,7
65,0.228,0.641,10,0.9878787878787878,8
66,0.228,0.641,10,0.9515151515151514,9
67,0.228,0.641,10,0.9999999999999999,10
68,0.228,0.641,10,0.9999999999999999,11
69,0.228,0.641,3.797,0.9999999999999999,12
70,0.228,0.641,4.37,0.9999999999999999,13
71,0.228,0.641,4.334,0.9999999999999999,14
72,0.228,0.636,3.838,0.8060606060606059,15
73,0.228,0.636,10,0.9999999999999999,16
74,0.228,0.636,4.24,0.9999999999999999,17
75,0.228,0.636,10,0.9515151515151514,18
76,0.228,0.636,10,0.9999999999999999,19
77,0.228,0.636,10,0.9999999999999999,20
78,0.228,0.625,10,0.9999999999999999,21
79,0.228,0.625,10,0.9030303030303028,22
80,0.228,0.625,10,0.8181818181818182,23
81,0.228,0.625,10,0.9999999999999999,24
82,0.228,0.625,10,0.9999999999999999,25
83,0.228,0.625,10,0.9999999999999999,26
84,0.228,0.625,10,0.9999999999999999,27
85,0.228,0.625,10,0.9999999999999999,28
86,0.228,0.625,4.674,0.9999999999999999,29
87,0.228,0.621,10,0.9999999999999999,30
88,0.228,0.607,10,0.9999999999999999,31
89,0.228,0.607,10,0.9999999999999999,32
90,0.228,0.581,10,0.9999999999999999,33
91,0.228,0.581,10,0.9999999999999999,34
92,0.228,0.581,10,0.9999999999999999,35
93,0.228,0.581,4.101,0.9999999999999999,36
94,0.228,0.581,10,0.9999999999999999,37
95,0.228,0.559,10,0.9999999999999999,38
96,0.228,0.559,10,0.9999999999999999,39
97,0.228,0.559,3.539,0.9999999999999999,40
98,0.228,0.559,3.902,0.9999999999999999,41
99,0.228,0.559,4.267,0.9999999999999999,42
100,0.228,0.559,4.084,0.9999999999999999,43
101,0.228,0.547,10,0.9999999999999999,44
102,0.228,0.547,10,0.9999999999999999,45
103,0.228,0.547,10,0.9999999999999999,46
104,0.228,0.547,10,0.9999999999999999,47
105,0.228,0.547,10,0.8909090909090909,48
106,0.228,0.547,10,0.8909090909090909,49
107,0.228,0.547,4.416,0.9999999999999999,50
