gen,min_score,med_score,max_score,spearman,conv_counter
1,1.511,2.465,10,0,0
2,1.511,2.391,3.698,0.9999999999999999,1
3,1.497,2.301,2.956,-0.6121212121212121,0
4,0.024,2.174,2.967,0.5272727272727272,0
5,0.024,2.017,10,-0.006060606060606061,0
6,0.024,1.937,10,0.29696969696969694,0
7,0.024,1.913,10,-0.05454545454545454,0
8,0.024,1.653,10,0.6727272727272726,0
9,0.024,1.511,10,0.33333333333333326,0
10,0.024,1.497,4.228,-0.07878787878787878,0
11,0.024,1.49,10,0.7333333333333332,0
12,0.024,1.456,4.525,0.49090909090909085,0
13,0.024,1.431,10,0.7575757575757575,0
14,0.024,1.429,10,-0.09090909090909088,0
15,0.024,1.419,3.528,0.4787878787878787,0
16,0.024,1.395,10,0.2121212121212121,0
17,0.024,1.395,10,0.5636363636363636,0
18,0.024,1.311,10,0.6969696969696969,0
19,0.024,1.285,4.199,0.5636363636363636,0
20,0.024,1.285,10,0.9999999999999999,1
21,0.024,1.279,10,0.8787878787878788,2
22,0.024,1.279,10,0.4666666666666666,0
23,0.024,1.279,4.525,0.406060606060606,0
24,0.024,1.237,10,0.9999999999999999,1
25,0.024,1.237,10,0.01818181818181818,0
26,0.024,1.228,10,0.9999999999999999,1
27,0.024,1.171,10,0.22424242424242422,0
28,0.024,1.146,10,0.6969696969696969,0
29,0.024,1.146,10,0.8060606060606059,1
30,0.024,1.146,10,0.8909090909090909,2
31,0.024,1.087,4.17,0.9999999999999999,3
32,0.024,1.087,10,0.9999999999999999,4
33,0.024,1.074,10,0.8060606060606059,5
34,0.024,1.074,10,0.9999999999999999,6
35,0.024,1.074,10,0.9999999999999999,7
36,0.024,1.074,10,0.9515151515151514,8
37,0.024,1.074,10,0.9999999999999999,9
38,0.024,1.074,10,0.9999999999999999,10
39,0.024,1.074,10,0.8060606060606059,11
40,0.024,1.074,10,0.9999999999999999,12
41,0.024,1.074,10,0.8909090909090909,13
42,0.024,1.074,10,0.7454545454545454,0
43,0.024,1.05,10,0.406060606060606,0
44,0.024,1.05,10,0.3696969696969697,0
45,0.024,1.05,10,0.9999999999999999,1
46,0.024,1.023,10,0.2606060606060606,0
47,0.024,1.013,10,0.9878787878787878,1
48,0.024,1.013,10,0.9999999999999999,2
49,0.024,1.013,10,0.9999999999999999,3
50,0.024,1.012,10,0.22424242424242422,0
51,0.024,1.012,10,0.9999999999999999,1
52,0.024,0.955,10,0.9999999999999999,2
53,0.024,0.932,10,0.9999999999999999,3
54,0.024,0.909,10,0.9515151515151514,4
55,0.024,0.909,10,0.9878787878787878,5
56,0.024,0.909,10,0.9878787878787878,6
57,0.024,0.767,10,0.9878787878787878,7
58,0.024,0.767,10,0.9999999999999999,8
59,0.024,0.767,10,0.9999999999999999,9
60,0.024,0.767,10,0.9878787878787878,10
61,0.024,0.767,10,0.9878787878787878,11
62,0.024,0.767,10,0.9999999999999999,12
63,0.024,0.767,10,0.9999999999999999,13
64,0.024,0.756,10,0.9515151515151514,14
65,0.024,0.756,10,0.9999999999999999,15
66,0.024,0.756,10,0.5515151515151515,0
67,0.024,0.756,10,0.9999999999999999,1
68,0.024,0.756,10,0.9999999999999999,2
69,0.024,0.756,10,0.406060606060606,0
70,0.024,0.756,10,0.9999999999999999,1
71,0.024,0.756,10,0.9999999999999999,2
72,0.024,0.72,10,0.9999999999999999,3
73,0.024,0.72,10,0.9999999999999999,4
74,0.024,0.72,10,0.9999999999999999,5
75,0.024,0.689,10,0.9999999999999999,6
76,0.024,0.681,10,0.9999999999999999,7
77,0.024,0.602,10,0.9999999999999999,8
78,0.024,0.602,10,0.9999999999999999,9
79,0.024,0.519,10,0.9999999999999999,10
80,0.024,0.519,10,0.9999999999999999,11
81,0.024,0.472,10,0.9999999999999999,12
82,0.024,0.472,10,0.9999999999999999,13
83,0.024,0.472,10,0.8909090909090909,14
84,0.024,0.472,10,0.8545454545454544,15
85,0.024,0.472,10,0.9999999999999999,16
86,0.024,0.472,10,0.6242424242424242,0
87,0.024,0.472,10,0.5151515151515151,0
88,0.024,0.472,10,0.9878787878787878,1
89,0.024,0.472,10,0.8787878787878788,2
90,0.024,0.472,10,0.9878787878787878,3
91,0.024,0.472,10,0.9878787878787878,4
92,0.024,0.472,10,0.9999999999999999,5
93,0.024,0.472,10,0.9999999999999999,6
94,0.024,0.472,10,0.9999999999999999,7
95,0.024,0.472,10,0.9999999999999999,8
96,0.024,0.472,10,0.9999999999999999,9
97,0.024,0.472,10,0.9999999999999999,10
98,0.024,0.472,10,0.9878787878787878,11
99,0.024,0.472,10,0.9878787878787878,12
100,0.024,0.472,10,0.9878787878787878,13
101,0.024,0.472,10,0.9878787878787878,14
102,0.024,0.472,10,0.9999999999999999,15
103,0.024,0.472,10,0.9878787878787878,16
104,0.024,0.376,10,0.9999999999999999,17
105,0.024,0.376,10,0.9999999999999999,18
106,0.024,0.376,10,0.9999999999999999,19
107,0.024,0.3,10,0.9999999999999999,20
108,0.024,0.3,3.422,0.9999999999999999,21
109,0.024,0.3,10,0.9999999999999999,22
110,0.024,0.3,10,0.9999999999999999,23
111,0.024,0.3,10,0.9999999999999999,24
112,0.024,0.3,10,0.9999999999999999,25
113,0.024,0.3,10,0.9999999999999999,26
114,0.024,0.3,10,0.9999999999999999,27
115,0.024,0.3,10,0.9999999999999999,28
116,0.024,0.3,10,0.8787878787878788,29
117,0.024,0.3,10,0.5636363636363636,0
118,0.024,0.3,10,0.9999999999999999,1
119,0.024,0.3,10,0.22424242424242422,0
120,0.024,0.3,10,0.9999999999999999,1
121,0.024,0.3,10,0.22424242424242422,0
122,0.024,0.3,10,0.11515151515151514,0
123,0.024,0.3,10,0.9999999999999999,1
124,0.024,0.3,10,0.9999999999999999,2
125,0.024,0.3,10,0.22424242424242422,0
126,0.024,0.3,10,0.9999999999999999,1
127,0.024,0.3,10,0.9999999999999999,2
128,0.014,0.224,10,0.9999999999999999,3
129,0.014,0.224,3.052,0.9999999999999999,4
130,0.014,0.224,10,0.9999999999999999,5
131,0.014,0.224,10,0.9999999999999999,6
132,0.014,0.224,10,0.9999999999999999,7
133,0.014,0.224,10,0.9999999999999999,8
134,0.014,0.224,10,0.9999999999999999,9
135,0.014,0.224,10,0.9272727272727272,10
136,0.014,0.209,10,0.9999999999999999,11
137,0.014,0.209,10,0.9999999999999999,12
138,0.014,0.209,10,0.9515151515151514,13
139,0.014,0.209,10,0.8909090909090909,14
140,0.014,0.209,10,0.9999999999999999,15
141,0.014,0.209,10,0.8909090909090909,16
142,0.014,0.209,10,0.9999999999999999,17
143,0.014,0.209,10,0.9999999999999999,18
144,0.014,0.209,10,0.9999999999999999,19
145,0.014,0.209,10,0.9999999999999999,20
146,0.014,0.209,10,0.9999999999999999,21
147,0.014,0.209,10,0.9878787878787878,22
148,0.014,0.209,10,0.9999999999999999,23
149,0.014,0.209,10,0.9999999999999999,24
150,0.014,0.209,10,0.6969696969696969,0
151,0.014,0.209,10,0.9999999999999999,1
152,0.014,0.209,10,0.9999999999999999,2
153,0.014,0.209,10,0.8060606060606059,3
154,0.014,0.209,10,0.9999999999999999,4
155,0.014,0.209,10,0.9999999999999999,5
156,0.014,0.209,10,0.9515151515151514,6
157,0.014,0.209,10,0.9999999999999999,7
158,0.014,0.209,10,0.9999999999999999,8
