gen,min_score,med_score,max_score,spearman,conv_counter
1,1.887,2.608,4.138,0,0
2,1.887,2.426,4.121,0.9999999999999999,1
3,1.741,2.246,3.491,0.6121212121212121,0
4,1.741,2.177,4.107,0.38181818181818183,0
5,1.741,2.155,3.043,-0.2606060606060606,0
6,1.673,2.061,2.342,0.8181818181818182,1
7,1.673,2.061,3.309,0.9757575757575757,2
8,1.673,2.042,3.297,0.7212121212121211,0
9,1.23,2.026,3.155,0.7939393939393938,0
10,1.23,1.982,3.812,0.5636363636363636,0
11,1.23,1.982,3.254,0.6363636363636362,0
12,1.23,1.954,3.084,0.4424242424242424,0
13,1.23,1.948,3.376,0.32121212121212117,0
14,1.23,1.945,3.607,0.8060606060606059,1
15,0.625,1.926,4.104,0.6484848484848483,0
16,0.625,1.922,4.195,0.3696969696969697,0
17,0.625,1.9,4.517,0.8060606060606059,1
18,0.625,1.857,3.846,0.8060606060606059,2
19,0.339,1.832,10,-0.04242424242424241,0
20,0.339,1.82,3.746,0.09090909090909088,0
21,0.339,1.741,4.236,0.9999999999999999,1
22,0.339,1.739,10,0.9878787878787878,2
23,0.339,1.714,3.326,0.2606060606060606,0
24,0.339,1.694,3.476,0.43030303030303024,0
25,0.069,1.62,10,0.6363636363636362,0
26,0.069,1.62,10,0.32121212121212117,0
27,0.069,1.576,10,0.9030303030303028,1
28,0.069,1.565,10,0.06666666666666665,0
29,0.069,1.441,3.513,0.9515151515151514,1
30,0.069,1.441,10,0.5272727272727272,0
31,0.069,1.441,10,0.6969696969696969,0
32,0.069,1.441,4.395,0.9999999999999999,1
33,0.069,1.395,10,0.4787878787878787,0
34,0.069,1.272,3.622,0.9999999999999999,1
35,0.069,1.267,3.794,0.8424242424242423,2
36,0.069,1.26,3.706,0.0303030303030303,0
37,0.069,1.233,3.747,0.9999999999999999,1
38,0.069,1.23,4.269,0.9151515151515152,2
39,0.069,1.23,3.735,-0.11515151515151514,0
40,0.069,1.213,3.797,0.9757575757575757,1
41,0.069,1.197,3.646,0.9757575757575757,2
42,0.069,1.197,10,0.9999999999999999,3
43,0.069,1.197,10,0.9999999999999999,4
44,0.069,1.197,10,0.9999999999999999,5
45,0.069,1.181,4.111,0.7818181818181817,0
