gen,min_score,med_score,max_score,spearman,conv_counter
1,1.427,2.747,4.735,0,0
2,0.725,2.492,10,0.9999999999999999,1
3,0.382,2.196,10,0.22424242424242422,0
4,0.382,2.103,3.105,-0.006060606060606061,0
5,0.382,2.04,10,-0.0303030303030303,0
6,0.382,1.949,3.956,0.709090909090909,0
7,0.382,1.842,4.657,0.5030303030303029,0
8,0.382,1.647,3.685,0.3696969696969697,0
9,0.382,1.413,10,0.38181818181818183,0
10,0.382,1.394,10,-0.09090909090909088,0
11,0.382,1.387,10,0.09090909090909088,0
12,0.262,1.308,3.924,0.9515151515151514,1
13,0.262,1.192,4.181,0.6121212121212121,0
14,0.262,1.165,10,0.3696969696969697,0
15,0.074,1.142,10,0.4545454545454545,0
16,0.074,1.133,3.933,0.7212121212121211,0
17,0.074,1.133,10,0.5151515151515151,0
18,0.074,1.115,10,0.9878787878787878,1
19,0.074,1.032,10,0.19999999999999998,0
20,0.074,0.923,10,0.406060606060606,0
21,0.074,0.829,10,0.8909090909090909,1
22,0.057,0.719,4.351,0.9393939393939393,2
23,0.057,0.719,10,0.4545454545454545,0
24,0.057,0.685,10,0.6484848484848483,0
25,0.057,0.685,10,0.9999999999999999,1
26,0.057,0.598,10,0.9878787878787878,2
27,0.057,0.581,10,0.406060606060606,0
28,0.057,0.581,3.806,0.7939393939393938,0
29,0.057,0.581,10,0.8060606060606059,1
30,0.057,0.581,10,0.16363636363636364,0
31,0.057,0.581,10,0.22424242424242422,0
32,0.057,0.581,10,0.9999999999999999,1
33,0.057,0.539,10,0.12727272727272726,0
34,0.057,0.539,10,0.9999999999999999,1
35,0.057,0.515,4.137,0.9999999999999999,2
36,0.057,0.515,10,0.9999999999999999,3
37,0.057,0.47,10,0.9999999999999999,4
38,0.057,0.47,10,0.8060606060606059,5
39,0.057,0.453,10,0.9393939393939393,6
40,0.057,0.453,10,0.9999999999999999,7
41,0.057,0.44,10,0.9999999999999999,8
42,0.046,0.426,10,0.8181818181818182,9
43,0.046,0.426,10,0.9999999999999999,10
44,0.046,0.417,4.335,0.9999999999999999,11
45,0.046,0.417,10,0.9999999999999999,12
46,0.046,0.417,10,0.8787878787878788,13
47,0.046,0.417,10,0.9999999999999999,14
48,0.046,0.417,10,0.9999999999999999,15
49,0.046,0.417,10,0.9999999999999999,16
50,0.046,0.417,10,0.9999999999999999,17
51,0.046,0.396,10,0.7575757575757575,0
52,0.046,0.386,10,0.9515151515151514,1
53,0.046,0.386,10,0.9999999999999999,2
54,0.046,0.386,10,0.9999999999999999,3
55,0.046,0.386,10,0.22424242424242422,0
56,0.046,0.386,10,0.9999999999999999,1
57,0.046,0.382,10,0.9999999999999999,2
58,0.046,0.382,10,0.6606060606060605,0
59,0.046,0.382,10,0.8787878787878788,1
60,0.046,0.382,10,0.9999999999999999,2
61,0.046,0.382,10,0.9999999999999999,3
62,0.046,0.382,10,0.9999999999999999,4
63,0.046,0.382,10,0.9999999999999999,5
64,0.046,0.362,10,0.9999999999999999,6
65,0.046,0.362,10,0.9999999999999999,7
66,0.046,0.359,10,0.9999999999999999,8
67,0.046,0.359,10,0.9999999999999999,9
68,0.046,0.359,10,0.9878787878787878,10
69,0.046,0.329,10,0.9878787878787878,11
70,0.046,0.329,10,0.8181818181818182,12
71,0.046,0.329,10,0.9272727272727272,13
72,0.046,0.328,10,0.9999999999999999,14
73,0.046,0.328,10,0.9999999999999999,15
74,0.046,0.328,10,0.9999999999999999,16
75,0.046,0.328,10,0.7454545454545454,0
76,0.046,0.319,10,0.9999999999999999,1
77,0.046,0.319,10,-0.07878787878787878,0
78,0.046,0.319,10,0.9999999999999999,1
79,0.046,0.307,10,0.9999999999999999,2
80,0.046,0.307,10,0.9999999999999999,3
81,0.046,0.307,10,0.6969696969696969,0
82,0.046,0.285,10,0.9999999999999999,1
83,0.046,0.285,10,0.9999999999999999,2
84,0.046,0.285,10,0.9999999999999999,3
85,0.046,0.281,10,0.9999999999999999,4
86,0.046,0.272,10,0.9999999999999999,5
87,0.046,0.26,10,0.9999999999999999,6
88,0.046,0.26,10,0.6969696969696969,0
89,0.046,0.26,10,0.6969696969696969,0
90,0.037,0.23,4.589,0.9999999999999999,1
