gen,min_score,med_score,max_score,spearman,conv_counter
1,1.398,2.519,10,0,0
2,1.398,2.381,4.072,0.9999999999999999,1
3,1.398,2.241,10,-0.07878787878787878,0
4,1.176,2.187,3.453,0.7575757575757575,0
5,0.994,2.05,3.671,-0.3939393939393939,0
6,0.715,1.977,2.756,-0.006060606060606061,0
7,0.715,1.934,3.902,-0.05454545454545454,0
8,0.715,1.909,3.846,0.6121212121212121,0
9,0.308,1.55,3.52,0.29696969696969694,0
10,0.308,1.525,3.635,0.2727272727272727,0
11,0.165,1.465,3.677,0.34545454545454546,0
12,0.165,1.452,10,0.6484848484848483,0
13,0.165,1.434,3.925,0.4545454545454545,0
14,0.165,1.421,3.757,0.6606060606060605,0
15,0.165,1.357,3.918,0.11515151515151514,0
16,0.165,1.324,4.722,0.6606060606060605,0
17,0.165,1.109,4.429,0.13939393939393938,0
18,0.165,1.023,3.058,0.2606060606060606,0
19,0.165,1.023,3.133,0.309090909090909,0
20,0.165,1.004,3.885,0.5393939393939393,0
21,0.165,0.977,3.718,0.5636363636363636,0
22,0.165,0.963,3.449,0.6606060606060605,0
23,0.165,0.963,3.562,0.9999999999999999,1
24,0.165,0.921,3.917,-0.6242424242424242,0
25,0.165,0.886,4.108,0.5515151515151515,0
26,0.165,0.863,3.389,0.9151515151515152,1
27,0.165,0.822,10,0.9878787878787878,2
28,0.165,0.822,10,0.8181818181818182,3
29,0.165,0.801,10,0.9393939393939393,4
30,0.165,0.801,10,0.9999999999999999,5
31,0.165,0.797,10,0.6969696969696969,0
32,0.165,0.794,3.791,0.6121212121212121,0
33,0.165,0.784,4.608,0.9999999999999999,1
34,0.165,0.773,3.67,0.9878787878787878,2
35,0.165,0.773,10,0.9515151515151514,3
36,0.063,0.756,10,0.9999999999999999,4
37,0.063,0.756,10,0.9999999999999999,5
38,0.063,0.731,10,0.9878787878787878,6
39,0.063,0.731,10,0.9878787878787878,7
40,0.063,0.715,10,0.9030303030303028,8
41,0.063,0.708,10,0.8909090909090909,9
42,0.063,0.702,10,0.9393939393939393,10
43,0.063,0.685,3.415,0.9999999999999999,11
44,0.063,0.651,10,0.5636363636363636,0
45,0.063,0.63,3.771,0.9999999999999999,1
46,0.063,0.63,10,0.9999999999999999,2
47,0.063,0.58,10,0.6848484848484848,0
48,0.063,0.58,10,0.9999999999999999,1
49,0.063,0.58,10,0.9515151515151514,2
50,0.063,0.564,10,0.5636363636363636,0
51,0.063,0.559,10,0.8060606060606059,1
52,0.063,0.559,10,0.9999999999999999,2
53,0.041,0.553,10,0.9999999999999999,3
54,0.041,0.553,10,0.9999999999999999,4
55,0.041,0.553,10,0.9999999999999999,5
56,0.041,0.553,10,0.8060606060606059,6
57,0.041,0.553,4.506,0.9999999999999999,7
58,0.041,0.487,10,0.9999999999999999,8
59,0.041,0.481,10,0.9999999999999999,9
60,0.041,0.481,10,0.2121212121212121,0
61,0.041,0.469,10,0.8060606060606059,1
62,0.041,0.469,3.95,0.9999999999999999,2
63,0.041,0.457,10,0.8060606060606059,3
64,0.041,0.457,10,0.9999999999999999,4
65,0.041,0.421,10,0.9515151515151514,5
66,0.041,0.421,10,0.9999999999999999,6
67,0.041,0.421,3.909,0.9757575757575757,7
68,0.041,0.41,10,0.9515151515151514,8
69,0.041,0.378,10,0.9999999999999999,9
70,0.041,0.378,10,0.9999999999999999,10
71,0.041,0.319,10,0.9999999999999999,11
72,0.041,0.319,10,0.9999999999999999,12
73,0.041,0.319,10,0.9999999999999999,13
74,0.041,0.319,3.248,0.9999999999999999,14
75,0.041,0.319,10,0.9999999999999999,15
76,0.041,0.319,10,0.9999999999999999,16
77,0.041,0.319,10,0.9999999999999999,17
78,0.041,0.319,10,0.9999999999999999,18
79,0.041,0.319,10,0.9999999999999999,19
80,0.041,0.319,10,0.9999999999999999,20
81,0.041,0.319,10,0.8909090909090909,21
82,0.041,0.319,10,0.9999999999999999,22
83,0.014,0.313,10,0.8060606060606059,23
84,0.014,0.313,10,0.406060606060606,0
85,0.014,0.313,10,0.9999999999999999,1
86,0.014,0.313,10,0.6606060606060605,0
87,0.014,0.313,10,0.9878787878787878,1
88,0.014,0.313,10,0.9757575757575757,2
89,0.014,0.313,10,0.9878787878787878,3
90,0.014,0.313,10,0.9999999999999999,4
91,0.014,0.313,10,0.9999999999999999,5
92,0.014,0.313,10,0.8909090909090909,6
93,0.014,0.308,10,0.9878787878787878,7
94,0.014,0.308,10,0.9999999999999999,8
95,0.014,0.308,10,0.9999999999999999,9
96,0.014,0.308,10,0.8909090909090909,10
97,0.014,0.308,10,0.8909090909090909,11
98,0.014,0.308,10,0.9878787878787878,12
99,0.014,0.308,10,0.8909090909090909,13
100,0.014,0.308,10,0.9999999999999999,14
101,0.014,0.299,10,0.9999999999999999,15
102,0.014,0.298,10,0.9999999999999999,16
103,0.014,0.29,3.887,0.9515151515151514,17
104,0.014,0.26,10,0.9878787878787878,18
105,0.014,0.26,10,0.9878787878787878,19
106,0.014,0.26,10,0.9999999999999999,20
107,0.014,0.26,10,0.9999999999999999,21
108,0.014,0.26,10,0.9999999999999999,22
109,0.014,0.26,10,0.9999999999999999,23
110,0.014,0.258,10,0.9999999999999999,24
111,0.014,0.258,10,0.9999999999999999,25
112,0.014,0.258,10,0.9999999999999999,26
113,0.014,0.258,10,0.9999999999999999,27
114,0.014,0.189,10,0.9999999999999999,28
115,0.014,0.166,10,0.9999999999999999,29
116,0.014,0.165,10,0.9999999999999999,30
117,0.014,0.165,10,0.9515151515151514,31
118,0.014,0.165,10,0.9999999999999999,32
119,0.014,0.165,10,0.9999999999999999,33
