gen,min_score,med_score,max_score,spearman,conv_counter
1,2.077,2.571,3.503,0,0
2,2.031,2.317,3.81,0.9999999999999999,1
3,2.031,2.164,3.284,0.4545454545454545,0
4,2.031,2.16,2.845,0.5515151515151515,0
5,1.975,2.118,2.863,0.23636363636363633,0
6,1.836,2.069,3.02,0.4666666666666666,0
7,1.569,2.037,3.323,0.18787878787878787,0
8,1.569,2.037,2.778,0.4666666666666666,0
9,1.569,2.031,3.24,0.32121212121212117,0
10,1.569,2.007,2.964,0.7818181818181817,0
11,1.569,2.007,10,0.8666666666666665,1
12,1.569,2.007,4.459,0.9515151515151514,2
13,1.569,1.98,2.647,0.9999999999999999,3
14,1.569,1.98,3.2,0.9515151515151514,4
15,1.569,1.975,2.468,0.9999999999999999,5
16,1.22,1.905,2.541,0.6606060606060605,0
17,1.22,1.85,2.505,0.9999999999999999,1
18,0.907,1.831,3.837,0.6242424242424242,0
19,0.907,1.831,3.812,0.6363636363636362,0
20,0.907,1.755,3.396,0.9878787878787878,1
21,0.907,1.755,3.75,0.8909090909090909,2
22,0.907,1.674,2.769,0.8060606060606059,3
23,0.907,1.586,2.906,0.9393939393939393,4
24,0.907,1.586,2.945,0.9515151515151514,5
25,0.907,1.586,3.537,0.6484848484848483,0
26,0.907,1.586,3.805,0.709090909090909,0
27,0.907,1.569,2.804,0.7454545454545454,0
28,0.907,1.553,3.208,0.9151515151515152,1
29,0.44,1.478,4.486,0.9515151515151514,2
30,0.44,1.443,4.486,0.7212121212121211,0
31,0.44,1.442,10,0.9757575757575757,1
32,0.426,1.351,3.624,0.7454545454545454,0
33,0.426,1.284,3.95,0.4666666666666666,0
34,0.426,1.284,10,0.006060606060606061,0
35,0.426,1.244,3.53,0.9393939393939393,1
36,0.426,1.244,4.086,0.9878787878787878,2
37,0.359,1.22,3.358,0.6969696969696969,0
38,0.359,1.006,2.997,0.5515151515151515,0
39,0.359,1.006,3.375,0.9878787878787878,1
40,0.359,1.006,3.64,0.8666666666666665,2
41,0.359,1.006,10,0.9515151515151514,3
42,0.359,1.006,3.469,0.9999999999999999,4
43,0.359,1.006,3.532,0.9999999999999999,5
44,0.359,1.006,3.047,0.13939393939393938,0
45,0.359,1.006,3.183,0.9515151515151514,1
46,0.359,1.006,3.35,0.9999999999999999,2
47,0.359,1.006,10,0.9878787878787878,3
48,0.359,1.006,10,0.6969696969696969,0
49,0.359,1.006,3.435,0.8060606060606059,1
50,0.359,0.907,10,0.406060606060606,0
51,0.329,0.793,10,0.9999999999999999,1
52,0.329,0.766,10,0.9999999999999999,2
53,0.329,0.766,10,0.8060606060606059,3
54,0.329,0.766,3.567,0.9878787878787878,4
55,0.329,0.766,4.806,0.9999999999999999,5
56,0.074,0.734,10,0.9999999999999999,6
57,0.074,0.734,3.972,0.9999999999999999,7
58,0.074,0.734,3.774,0.9999999999999999,8
59,0.074,0.734,3.624,0.9999999999999999,9
60,0.074,0.734,10,0.9999999999999999,10
61,0.074,0.734,10,0.9999999999999999,11
62,0.074,0.734,3.758,0.6969696969696969,0
63,0.074,0.658,2.9,0.5393939393939393,0
64,0.074,0.658,3.276,0.9999999999999999,1
65,0.074,0.624,3.44,0.5636363636363636,0
66,0.074,0.624,3.051,0.5636363636363636,0
67,0.074,0.624,3.763,0.406060606060606,0
68,0.074,0.624,10,0.9999999999999999,1
69,0.074,0.44,10,0.9999999999999999,2
70,0.074,0.44,3.96,0.9999999999999999,3
71,0.074,0.427,10,0.9878787878787878,4
72,0.074,0.427,3.19,0.9999999999999999,5
73,0.074,0.427,4.051,0.9878787878787878,6
74,0.074,0.427,3.238,0.8060606060606059,7
75,0.074,0.427,10,0.9999999999999999,8
76,0.074,0.427,3.593,0.9999999999999999,9
77,0.074,0.427,10,0.9999999999999999,10
78,0.074,0.427,3.191,0.9999999999999999,11
79,0.074,0.427,4.396,0.9999999999999999,12
80,0.074,0.427,10,0.9999999999999999,13
81,0.074,0.427,3.538,0.9999999999999999,14
82,0.074,0.427,4.0,0.9999999999999999,15
83,0.074,0.427,3.641,0.9999999999999999,16
84,0.074,0.427,10,0.9999999999999999,17
85,0.074,0.426,3.278,0.9999999999999999,18
86,0.074,0.426,3.871,0.9999999999999999,19
87,0.074,0.426,10,0.9999999999999999,20
88,0.074,0.426,3.569,0.9999999999999999,21
89,0.074,0.426,3.19,0.9151515151515152,22
90,0.074,0.395,10,0.9999999999999999,23
