gen,min_score,med_score,max_score,spearman,conv_counter
1,1.754,2.747,4.735,0,0
2,1.754,2.517,10,0.9999999999999999,1
3,1.476,2.351,3.541,0.5151515151515151,0
4,1.476,2.225,2.892,0.3939393939393939,0
5,1.476,2.119,2.849,0.18787878787878787,0
6,1.472,2.094,2.918,-0.24848484848484845,0
7,1.413,2.07,2.761,0.33333333333333326,0
8,1.206,2.011,3.093,0.38181818181818183,0
9,1.206,2.011,10,0.9999999999999999,1
10,1.206,1.933,10,0.9393939393939393,2
11,1.042,1.891,3.571,0.22424242424242422,0
12,1.042,1.85,10,-0.13939393939393938,0
13,1.042,1.788,3.776,0.9515151515151514,1
14,1.042,1.782,3.292,0.8060606060606059,2
15,1.042,1.653,10,0.8424242424242423,3
16,1.042,1.55,10,0.9878787878787878,4
17,1.042,1.472,10,0.22424242424242422,0
18,1.042,1.466,10,0.7575757575757575,0
19,1.042,1.417,4.227,0.9999999999999999,1
20,1.042,1.413,10,0.9999999999999999,2
21,1.042,1.403,10,0.8666666666666665,3
22,1.042,1.32,10,0.9515151515151514,4
23,1.042,1.317,10,0.7333333333333332,0
24,1.042,1.228,10,0.9515151515151514,1
25,1.017,1.206,10,0.8424242424242423,2
26,1.017,1.206,10,0.9999999999999999,3
27,0.821,1.19,3.182,0.6363636363636362,0
28,0.821,1.161,10,0.9999999999999999,1
29,0.821,1.161,10,0.6969696969696969,0
30,0.821,1.161,3.464,0.9999999999999999,1
31,0.309,1.142,10,0.9878787878787878,2
32,0.309,1.141,10,0.9999999999999999,3
33,0.309,1.141,10,0.9999999999999999,4
34,0.309,1.141,3.792,0.9878787878787878,5
35,0.309,1.141,4.114,0.9878787878787878,6
36,0.309,1.106,3.7,0.9515151515151514,7
37,0.309,1.106,3.975,0.22424242424242422,0
38,0.309,1.084,10,0.8909090909090909,1
39,0.309,1.051,3.297,0.9636363636363635,2
40,0.309,1.051,3.919,0.9999999999999999,3
41,0.309,1.048,10,0.9999999999999999,4
42,0.309,1.048,10,0.9999999999999999,5
43,0.309,1.04,10,0.9999999999999999,6
44,0.309,1.04,10,0.9999999999999999,7
45,0.309,1.04,10,0.5636363636363636,0
46,0.309,1.04,10,0.406060606060606,0
47,0.309,1.04,3.888,0.9999999999999999,1
48,0.309,1.04,10,-0.2727272727272727,0
49,0.309,1.04,10,0.5757575757575757,0
50,0.309,1.04,10,0.9999999999999999,1
51,0.309,1.04,3.241,0.8060606060606059,2
52,0.309,1.04,3.823,0.9999999999999999,3
53,0.309,1.04,3.669,0.8909090909090909,4
54,0.309,1.04,3.859,0.8545454545454544,5
55,0.309,1.04,10,0.9999999999999999,6
56,0.309,1.04,4.0,0.8909090909090909,7
57,0.309,1.04,4.263,0.9999999999999999,8
58,0.309,1.034,10,0.5636363636363636,0
59,0.309,1.017,3.266,0.9999999999999999,1
60,0.309,0.947,10,0.8424242424242423,2
61,0.309,0.899,10,0.9999999999999999,3
62,0.309,0.899,4.269,0.9999999999999999,4
63,0.309,0.899,3.844,0.8181818181818182,5
64,0.309,0.899,10,0.9999999999999999,6
65,0.309,0.824,3.299,0.9878787878787878,7
66,0.309,0.822,3.496,0.9999999999999999,8
67,0.309,0.822,2.608,0.2121212121212121,0
68,0.309,0.821,3.374,0.9999999999999999,1
69,0.309,0.821,10,0.8060606060606059,2
70,0.309,0.821,4.401,0.8181818181818182,3
71,0.309,0.821,10,0.8909090909090909,4
72,0.309,0.821,4.997,0.9999999999999999,5
73,0.309,0.821,3.936,0.9515151515151514,6
74,0.309,0.821,10,0.9999999999999999,7
75,0.16,0.756,10,0.9999999999999999,8
76,0.16,0.756,10,0.8909090909090909,9
77,0.16,0.659,10,0.9999999999999999,10
78,0.16,0.659,10,0.9999999999999999,11
79,0.16,0.659,10,0.9999999999999999,12
80,0.16,0.659,10,0.9999999999999999,13
81,0.16,0.659,10,0.9999999999999999,14
82,0.16,0.659,10,0.9999999999999999,15
83,0.16,0.645,10,0.9999999999999999,16
84,0.16,0.645,10,0.9878787878787878,17
85,0.16,0.63,10,0.9999999999999999,18
86,0.16,0.627,10,0.9999999999999999,19
87,0.16,0.627,4.002,0.9999999999999999,20
88,0.16,0.627,4.251,0.9999999999999999,21
89,0.16,0.627,3.932,0.9999999999999999,22
90,0.16,0.627,10,0.9999999999999999,23
91,0.16,0.627,10,0.9999999999999999,24
