gen,min_score,med_score,max_score,spearman,conv_counter
1,1.511,2.447,10,0,0
2,1.511,2.256,4.699,0.9999999999999999,1
3,1.511,2.239,4.221,0.6121212121212121,0
4,0.681,2.154,2.751,0.5151515151515151,0
5,0.681,2.031,2.957,-0.0303030303030303,0
6,0.681,1.979,3.387,0.8060606060606059,1
7,0.681,1.942,3.655,0.3696969696969697,0
8,0.681,1.895,3.101,0.6484848484848483,0
9,0.681,1.882,3.833,0.9151515151515152,1
10,0.681,1.825,3.848,0.9151515151515152,2
11,0.681,1.773,3.577,0.309090909090909,0
12,0.681,1.645,4.243,0.22424242424242422,0
13,0.681,1.625,4.824,0.09090909090909088,0
14,0.681,1.597,3.847,0.34545454545454546,0
15,0.681,1.553,3.771,0.8666666666666665,1
16,0.681,1.533,4.187,-0.1515151515151515,0
17,0.681,1.526,3.473,0.3696969696969697,0
18,0.681,1.511,4.443,0.9151515151515152,1
19,0.681,1.433,3.598,0.10303030303030303,0
20,0.681,1.408,3.95,0.6484848484848483,0
21,0.681,1.384,4.22,0.7575757575757575,0
22,0.681,1.358,3.674,0.6969696969696969,0
23,0.681,1.358,4.244,0.9878787878787878,1
24,0.681,1.344,4.384,0.9878787878787878,2
25,0.494,1.201,3.36,0.9878787878787878,3
26,0.494,1.201,3.597,0.9878787878787878,4
27,0.494,1.186,3.413,0.8787878787878788,5
28,0.494,1.186,3.88,0.8060606060606059,6
29,0.494,1.159,4.443,0.7939393939393938,0
30,0.494,1.159,4.334,0.8424242424242423,1
31,0.494,1.146,3.55,0.8060606060606059,2
32,0.494,1.146,4.384,0.7454545454545454,0
33,0.494,1.146,4.324,0.8060606060606059,1
34,0.494,1.146,10,0.9999999999999999,2
35,0.494,1.146,4.324,0.9878787878787878,3
36,0.494,1.121,4.105,0.9999999999999999,4
37,0.494,1.121,10,0.9999999999999999,5
38,0.494,1.117,3.938,0.5636363636363636,0
39,0.494,1.101,10,0.9636363636363635,1
40,0.494,1.083,10,0.6969696969696969,0
41,0.494,1.083,4.259,0.9999999999999999,1
42,0.494,1.076,3.708,0.8909090909090909,2
43,0.494,1.033,10,0.8060606060606059,3
44,0.339,1.009,4.149,0.406060606060606,0
45,0.339,1.009,4.034,0.9636363636363635,1
46,0.339,0.989,4.616,0.9999999999999999,2
47,0.339,0.989,4.108,0.8909090909090909,3
48,0.339,0.989,4.18,0.9999999999999999,4
49,0.339,0.989,4.259,0.5636363636363636,0
50,0.339,0.989,4.062,0.9878787878787878,1
51,0.339,0.989,3.78,0.9999999999999999,2
52,0.339,0.985,4.094,0.9999999999999999,3
53,0.339,0.985,4.717,0.9999999999999999,4
54,0.339,0.985,10,0.9636363636363635,5
55,0.339,0.985,4.906,0.8909090909090909,6
56,0.339,0.985,10,0.9151515151515152,7
57,0.339,0.973,4.034,0.9999999999999999,8
58,0.339,0.973,4.373,0.9999999999999999,9
59,0.339,0.947,4.059,0.9999999999999999,10
60,0.339,0.926,4.484,0.9878787878787878,11
61,0.339,0.926,4.259,0.7454545454545454,0
62,0.339,0.926,10,0.9999999999999999,1
63,0.339,0.904,4.462,0.9999999999999999,2
64,0.339,0.904,10,0.9999999999999999,3
65,0.339,0.904,10,0.9999999999999999,4
66,0.339,0.904,4.599,0.6848484848484848,0
67,0.339,0.886,10,0.9515151515151514,1
68,0.339,0.886,10,0.8909090909090909,2
69,0.339,0.886,10,0.9515151515151514,3
70,0.339,0.886,10,0.8666666666666665,4
71,0.339,0.886,4.063,0.9999999999999999,5
72,0.339,0.886,3.672,0.9999999999999999,6
73,0.339,0.886,10,0.9999999999999999,7
74,0.339,0.886,10,0.6969696969696969,0
75,0.339,0.872,4.119,0.9999999999999999,1
76,0.339,0.872,10,0.406060606060606,0
77,0.339,0.872,10,0.6969696969696969,0
78,0.339,0.872,10,0.5515151515151515,0
79,0.339,0.872,10,0.9999999999999999,1
80,0.339,0.813,3.965,0.9999999999999999,2
81,0.339,0.813,10,0.9999999999999999,3
82,0.339,0.808,10,0.6969696969696969,0
83,0.339,0.797,10,0.9999999999999999,1
84,0.339,0.797,10,0.9999999999999999,2
85,0.339,0.797,4.382,0.9999999999999999,3
86,0.339,0.797,10,0.9999999999999999,4
87,0.339,0.797,10,0.9515151515151514,5
88,0.339,0.797,10,0.9999999999999999,6
89,0.339,0.791,10,0.9999999999999999,7
90,0.339,0.791,10,0.9999999999999999,8
91,0.339,0.791,4.074,0.9515151515151514,9
92,0.339,0.791,10,0.9999999999999999,10
93,0.339,0.756,4.231,0.8909090909090909,11
94,0.339,0.756,10,0.8909090909090909,12
95,0.24,0.744,4.342,0.5636363636363636,0
96,0.24,0.744,10,0.9999999999999999,1
97,0.24,0.739,10,0.9999999999999999,2
98,0.24,0.739,10,0.9878787878787878,3
99,0.24,0.739,10,0.9999999999999999,4
100,0.24,0.739,3.964,0.9999999999999999,5
101,0.118,0.702,4.4,0.9999999999999999,6
102,0.118,0.702,10,0.2606060606060606,0
103,0.118,0.683,10,0.9999999999999999,1
104,0.118,0.681,3.778,0.9878787878787878,2
105,0.118,0.681,4.462,0.7454545454545454,0
106,0.118,0.66,10,0.9999999999999999,1
107,0.118,0.66,4.039,0.9999999999999999,2
108,0.118,0.548,10,0.9999999999999999,3
109,0.118,0.548,10,0.9999999999999999,4
110,0.118,0.548,10,0.9999999999999999,5
111,0.118,0.537,4.886,0.6969696969696969,0
112,0.118,0.537,4.462,0.9999999999999999,1
113,0.118,0.537,10,0.9999999999999999,2
114,0.118,0.537,4.462,0.9999999999999999,3
115,0.118,0.537,4.224,0.6969696969696969,0
116,0.118,0.537,4.155,0.9999999999999999,1
117,0.118,0.537,4.462,0.9999999999999999,2
118,0.118,0.537,4.382,0.9878787878787878,3
119,0.118,0.537,3.483,0.6242424242424242,0
120,0.118,0.537,10,0.9999999999999999,1
121,0.118,0.537,4.176,0.9999999999999999,2
122,0.118,0.516,4.525,0.9999999999999999,3
123,0.118,0.516,3.27,0.9999999999999999,4
124,0.118,0.516,10,0.01818181818181818,0
125,0.118,0.494,10,0.9999999999999999,1
126,0.118,0.494,10,0.9999999999999999,2
127,0.118,0.494,10,0.8060606060606059,3
128,0.118,0.494,10,0.9999999999999999,4
129,0.118,0.494,10,0.9999999999999999,5
130,0.118,0.494,10,0.8909090909090909,6
131,0.118,0.494,10,0.9878787878787878,7
132,0.118,0.494,4.38,0.9999999999999999,8
133,0.118,0.494,10,0.9999999999999999,9
134,0.118,0.494,10,0.9999999999999999,10
135,0.118,0.494,3.877,0.9999999999999999,11
136,0.118,0.494,3.998,0.9999999999999999,12
137,0.118,0.494,3.216,0.9999999999999999,13
138,0.118,0.494,10,0.9999999999999999,14
139,0.118,0.494,4.574,0.8787878787878788,15
140,0.118,0.492,4.462,0.6242424242424242,0
141,0.118,0.492,4.36,0.5636363636363636,0
142,0.118,0.492,10,0.9999999999999999,1
143,0.118,0.492,10,0.8909090909090909,2
144,0.118,0.492,10,0.8909090909090909,3
145,0.118,0.492,3.702,0.8787878787878788,4
146,0.118,0.492,4.315,0.9999999999999999,5
147,0.118,0.492,4.119,0.9999999999999999,6
148,0.118,0.492,10,0.9999999999999999,7
149,0.118,0.492,4.201,0.9999999999999999,8
150,0.118,0.492,10,0.9999999999999999,9
151,0.118,0.492,10,0.9999999999999999,10
152,0.118,0.492,10,0.9999999999999999,11
153,0.118,0.492,4.971,0.9999999999999999,12
154,0.118,0.492,4.493,0.9999999999999999,13
155,0.118,0.482,10,0.9999999999999999,14
156,0.118,0.482,4.184,0.9999999999999999,15
157,0.118,0.482,10,0.9999999999999999,16
158,0.118,0.482,4.119,0.9999999999999999,17
159,0.118,0.474,10,0.9999999999999999,18
160,0.118,0.474,3.78,0.9999999999999999,19
161,0.118,0.474,2.836,0.9999999999999999,20
162,0.118,0.474,3.908,0.9999999999999999,21
163,0.118,0.474,4.119,0.8909090909090909,22
164,0.118,0.474,3.725,0.9999999999999999,23
165,0.118,0.474,10,0.9999999999999999,24
166,0.118,0.474,10,0.9999999999999999,25
167,0.118,0.474,4.119,0.9999999999999999,26
168,0.118,0.474,3.579,0.9999999999999999,27
169,0.118,0.474,3.27,0.9999999999999999,28
170,0.118,0.474,4.045,0.9999999999999999,29
171,0.118,0.474,3.623,0.9999999999999999,30
172,0.118,0.474,3.291,0.5636363636363636,0
173,0.118,0.474,2.99,0.18787878787878787,0
174,0.118,0.474,4.75,0.9999999999999999,1
175,0.118,0.474,10,0.9999999999999999,2
176,0.118,0.474,4.462,0.9999999999999999,3
177,0.118,0.474,10,0.9999999999999999,4
178,0.118,0.465,4.287,0.9999999999999999,5
179,0.118,0.465,3.973,0.9999999999999999,6
180,0.118,0.465,4.236,0.9999999999999999,7
181,0.118,0.465,4.111,0.5636363636363636,0
182,0.118,0.465,4.341,0.9999999999999999,1
183,0.118,0.463,3.764,0.8181818181818182,2
184,0.118,0.463,4.416,0.9999999999999999,3
185,0.118,0.463,3.397,0.9999999999999999,4
186,0.118,0.463,10,0.9999999999999999,5
187,0.118,0.463,4.462,0.9999999999999999,6
188,0.118,0.463,10,0.9999999999999999,7
189,0.118,0.463,4.462,0.9999999999999999,8
190,0.118,0.463,3.653,0.9999999999999999,9
191,0.118,0.463,3.923,0.9999999999999999,10
192,0.118,0.463,10,0.9999999999999999,11
193,0.118,0.463,3.519,0.9878787878787878,12
194,0.118,0.463,3.923,0.9999999999999999,13
195,0.118,0.463,10,0.9999999999999999,14
196,0.118,0.463,10,0.9999999999999999,15
197,0.118,0.463,4.371,0.9999999999999999,16
198,0.118,0.463,4.906,0.9999999999999999,17
199,0.118,0.463,4.364,0.9999999999999999,18
200,0.118,0.463,4.119,0.9999999999999999,19
201,0.118,0.463,4.321,0.9999999999999999,20
202,0.118,0.463,3.839,0.9999999999999999,21
203,0.118,0.463,4.209,0.9999999999999999,22
204,0.118,0.463,3.593,0.9999999999999999,23
205,0.118,0.463,4.273,0.9999999999999999,24
206,0.118,0.463,10,0.9999999999999999,25
207,0.118,0.463,10,0.9999999999999999,26
208,0.118,0.463,4.462,0.9999999999999999,27
209,0.118,0.463,10,0.9999999999999999,28
210,0.118,0.461,4.132,0.9999999999999999,29
211,0.118,0.461,10,0.9999999999999999,30
212,0.118,0.461,4.762,0.9999999999999999,31
213,0.118,0.461,4.319,0.9878787878787878,32
214,0.118,0.461,4.085,0.006060606060606061,0
215,0.118,0.461,4.267,0.9878787878787878,1
216,0.118,0.461,4.387,0.9999999999999999,2
217,0.118,0.461,4.462,0.9999999999999999,3
218,0.118,0.461,10,0.9999999999999999,4
219,0.118,0.461,10,0.9999999999999999,5
220,0.118,0.461,10,0.9999999999999999,6
221,0.118,0.461,10,0.9999999999999999,7
222,0.118,0.461,10,0.9999999999999999,8
223,0.118,0.461,3.254,0.9999999999999999,9
224,0.118,0.461,3.93,0.9999999999999999,10
225,0.118,0.461,10,0.9878787878787878,11
226,0.118,0.461,4.521,0.9999999999999999,12
227,0.118,0.461,4.634,0.9999999999999999,13
228,0.118,0.461,4.232,0.9999999999999999,14
229,0.118,0.461,3.785,0.9999999999999999,15
230,0.118,0.461,10,0.9999999999999999,16
231,0.118,0.461,3.483,0.9999999999999999,17
232,0.118,0.461,10,0.9999999999999999,18
233,0.118,0.461,3.782,0.9999999999999999,19
234,0.118,0.461,3.887,0.9999999999999999,20
235,0.118,0.461,10,0.9999999999999999,21
236,0.118,0.461,3.441,0.9999999999999999,22
237,0.118,0.461,4.008,0.9999999999999999,23
238,0.118,0.461,4.418,0.9999999999999999,24
239,0.118,0.461,2.995,0.9999999999999999,25
240,0.118,0.461,4.008,0.9999999999999999,26
241,0.118,0.461,4.44,0.9999999999999999,27
242,0.118,0.461,3.903,0.8909090909090909,28
243,0.118,0.461,4.109,0.9999999999999999,29
244,0.118,0.461,4.146,0.9999999999999999,30
245,0.118,0.461,4.275,0.9999999999999999,31
246,0.118,0.461,3.946,0.9999999999999999,32
247,0.118,0.461,3.564,0.9878787878787878,33
248,0.118,0.461,4.342,0.9999999999999999,34
249,0.118,0.461,10,0.9999999999999999,35
250,0.118,0.461,10,0.9999999999999999,36
251,0.118,0.461,10,0.9999999999999999,37
252,0.118,0.461,10,0.9999999999999999,38
253,0.118,0.461,3.777,0.9999999999999999,39
254,0.118,0.461,4.017,0.9999999999999999,40
255,0.118,0.461,4.295,0.9999999999999999,41
256,0.118,0.461,4.607,0.9999999999999999,42
257,0.118,0.461,4.175,0.9999999999999999,43
258,0.118,0.461,3.477,0.9999999999999999,44
259,0.118,0.461,4.458,0.9999999999999999,45
260,0.118,0.461,4.079,0.9999999999999999,46
261,0.118,0.461,3.577,0.9999999999999999,47
262,0.118,0.461,10,0.9999999999999999,48
263,0.118,0.461,3.29,0.9999999999999999,49
264,0.118,0.461,4.141,0.9999999999999999,50
