gen,min_score,med_score,max_score,spearman,conv_counter
1,558.022979,719.86243,1079.717905,0,0
2,441.02578,787.218054,1179.698119,0.9999999999999999,1
3,657.618752,854.866435,1179.698119,-0.5636363636363636,0
4,562.603449,889.978897,1179.698119,0.23636363636363633,0
5,505.142348,919.054447,1179.698119,0.09090909090909088,0
6,410.620814,965.182992,1482.634211,-0.309090909090909,0
7,559.645594,985.352443,1482.634211,0.16363636363636364,0
8,650.271186,1021.025537,1482.634211,0.05454545454545454,0
9,573.807673,1063.583892,1482.634211,0.16363636363636364,0
10,455.394158,1074.728739,1482.634211,-0.12727272727272726,0
11,494.539114,1113.601665,1482.634211,-0.4545454545454545,0
12,525.527538,1138.768915,1482.634211,0.7696969696969697,0
13,574.79575,1179.698119,1482.634211,0.24848484848484845,0
14,492.904142,1230.064985,1482.634211,0.1515151515151515,0
15,649.941025,1243.945093,1482.634211,0.9878787878787878,1
16,612.520879,1261.539468,1535.813011,0.5151515151515151,0
17,328.27081,1212.100801,1535.813011,0.7212121212121211,0
18,411.220712,1293.900975,1595.625674,0.9999999999999999,1
19,537.04441,1310.656217,1595.625674,0.7212121212121211,0
20,614.459829,1323.248893,2017.935842,0.8666666666666665,1
21,667.559062,1347.931633,2017.935842,0.9151515151515152,2
22,482.111054,1361.421829,2017.935842,0.9999999999999999,3
23,688.366838,1363.284754,2017.935842,0.6969696969696969,0
24,717.321662,1373.755795,2017.935842,0.8909090909090909,1
25,576.610346,1383.314366,2017.935842,0.8909090909090909,2
26,828.869967,1439.754346,2440.284581,0.9515151515151514,3
27,578.22852,1449.109849,2440.284581,0.9999999999999999,4
28,490.434429,1482.634211,2440.284581,0.9151515151515152,5
29,456.198614,1507.924387,2440.284581,0.8909090909090909,6
30,460.837117,1511.847052,2440.284581,0.7333333333333332,0
31,409.833104,1494.410852,2440.284581,0.8909090909090909,1
32,650.771066,1589.412686,2440.284581,0.7696969696969697,0
33,765.56169,1589.658416,2440.284581,0.9999999999999999,1
34,676.733852,1589.658416,2440.284581,0.8060606060606059,2
35,521.686513,1570.342176,2440.284581,0.8060606060606059,3
36,578.393187,1493.73244,2440.284581,0.9999999999999999,4
37,603.0014,1493.73244,2440.284581,0.9999999999999999,5
38,571.246964,1521.455505,2440.284581,0.9999999999999999,6
39,538.924266,1593.88141,2440.284581,0.9878787878787878,7
40,654.402926,1599.688981,2440.284581,0.9999999999999999,8
41,638.781102,1557.60639,2440.284581,0.9999999999999999,9
42,723.500074,1622.831699,2440.284581,0.9878787878787878,10
43,443.185078,1634.681711,2440.284581,0.9878787878787878,11
44,612.636988,1638.921584,2440.284581,0.9999999999999999,12
45,614.751007,1494.607899,2440.284581,0.9878787878787878,13
46,556.209423,1654.119039,2440.284581,0.9636363636363635,14
47,559.507602,1654.119039,2440.284581,0.9999999999999999,15
48,777.68467,1666.576286,2440.284581,0.9999999999999999,16
49,798.663123,1661.34881,2440.284581,0.6969696969696969,0
50,759.403626,1654.119039,2440.284581,0.9999999999999999,1
51,661.903797,1675.471257,2440.284581,0.4545454545454545,0
