gen,min_score,med_score,max_score,spearman,conv_counter
1,1.096,2.747,10,0,0
2,1.096,2.417,10,0.9999999999999999,1
3,0.308,2.254,10,-0.11515151515151514,0
4,0.308,2.173,3.879,-0.2121212121212121,0
5,0.308,2.128,10,0.18787878787878787,0
6,0.308,2.088,10,0.2727272727272727,0
7,0.308,2.039,10,-0.2727272727272727,0
8,0.308,2.004,10,0.6,0
9,0.308,1.979,10,0.5272727272727272,0
10,0.308,1.939,10,0.24848484848484845,0
11,0.308,1.858,10,0.5757575757575757,0
12,0.308,1.756,10,0.6969696969696969,0
13,0.308,1.65,10,0.8909090909090909,1
14,0.308,1.575,10,-0.07878787878787878,0
15,0.046,1.513,10,0.12727272727272726,0
16,0.046,1.482,10,0.11515151515151514,0
17,0.046,1.469,10,0.28484848484848485,0
18,0.046,1.426,10,0.8909090909090909,1
19,0.046,1.378,10,0.5636363636363636,0
20,0.046,1.359,10,-0.29696969696969694,0
21,0.046,1.272,3.984,0.6969696969696969,0
22,0.046,1.263,10,0.22424242424242422,0
23,0.046,1.231,10,0.9999999999999999,1
24,0.014,1.222,10,0.6,0
25,0.014,1.199,10,0.4545454545454545,0
26,0.014,1.199,10,0.6969696969696969,0
27,0.014,1.172,10,0.9515151515151514,1
28,0.014,1.132,10,0.6121212121212121,0
29,0.014,1.12,10,0.5272727272727272,0
30,0.014,1.081,10,0.9999999999999999,1
31,0.014,1.074,10,0.9515151515151514,2
32,0.014,1.043,10,0.9999999999999999,3
33,0.014,1.039,10,0.8909090909090909,4
34,0.014,1.03,10,0.6969696969696969,0
35,0.014,1.028,10,0.8909090909090909,1
36,0.014,0.996,10,0.9272727272727272,2
37,0.014,0.958,10,0.6121212121212121,0
38,0.014,0.953,10,0.9515151515151514,1
39,0.014,0.873,10,0.8909090909090909,2
40,0.014,0.852,10,0.9999999999999999,3
41,0.014,0.84,10,0.5515151515151515,0
42,0.014,0.811,10,0.9999999999999999,1
43,0.014,0.811,10,0.6969696969696969,0
44,0.014,0.805,10,0.9999999999999999,1
45,0.014,0.788,10,0.9999999999999999,2
46,0.014,0.761,10,0.9999999999999999,3
47,0.014,0.753,10,0.6606060606060605,0
48,0.014,0.746,10,0.9999999999999999,1
49,0.014,0.746,10,0.9999999999999999,2
50,0.014,0.735,10,0.9999999999999999,3
51,0.014,0.735,10,0.9999999999999999,4
52,0.014,0.733,10,0.9515151515151514,5
53,0.014,0.602,10,0.9999999999999999,6
54,0.014,0.582,10,0.9999999999999999,7
55,0.014,0.582,10,0.8787878787878788,8
56,0.014,0.582,10,0.9999999999999999,9
57,0.014,0.562,10,0.9999999999999999,10
58,0.014,0.552,10,0.406060606060606,0
59,0.014,0.539,10,0.9878787878787878,1
60,0.014,0.539,10,0.9999999999999999,2
61,0.014,0.519,10,0.9999999999999999,3
62,0.014,0.519,10,0.9999999999999999,4
63,0.014,0.469,10,0.9999999999999999,5
64,0.014,0.451,10,0.9999999999999999,6
65,0.014,0.448,10,0.9999999999999999,7
66,0.014,0.448,10,0.8909090909090909,8
67,0.014,0.448,10,0.9999999999999999,9
68,0.014,0.448,10,0.8060606060606059,10
69,0.014,0.448,10,0.9999999999999999,11
70,0.014,0.442,10,0.9999999999999999,12
71,0.014,0.421,10,0.8909090909090909,13
72,0.014,0.421,10,0.8909090909090909,14
73,0.014,0.41,10,0.9999999999999999,15
74,0.014,0.41,10,0.9999999999999999,16
75,0.014,0.41,10,0.9999999999999999,17
76,0.014,0.404,10,0.9999999999999999,18
77,0.014,0.376,10,0.9999999999999999,19
78,0.014,0.376,10,0.9999999999999999,20
79,0.014,0.376,10,0.9999999999999999,21
80,0.014,0.376,10,0.9999999999999999,22
81,0.014,0.376,10,0.9999999999999999,23
82,0.014,0.376,10,0.9999999999999999,24
83,0.014,0.376,10,0.6969696969696969,0
84,0.014,0.362,10,0.9878787878787878,1
85,0.014,0.327,10,0.9999999999999999,2
86,0.014,0.327,10,0.9999999999999999,3
87,0.014,0.327,10,0.9999999999999999,4
88,0.014,0.327,10,0.9999999999999999,5
89,0.014,0.327,10,0.9999999999999999,6
90,0.014,0.327,10,0.9999999999999999,7
91,0.014,0.327,10,0.9999999999999999,8
92,0.014,0.327,10,0.9999999999999999,9
93,0.014,0.327,10,0.9999999999999999,10
94,0.014,0.327,10,0.9999999999999999,11
95,0.014,0.311,10,0.9999999999999999,12
96,0.014,0.311,10,0.9636363636363635,13
97,0.014,0.311,10,0.8909090909090909,14
98,0.014,0.308,10,0.9515151515151514,15
99,0.014,0.308,10,0.9999999999999999,16
100,0.014,0.308,10,0.9999999999999999,17
101,0.014,0.308,10,0.9999999999999999,18
