gen,min_score,med_score,max_score,spearman,conv_counter
1,1.887,2.608,4.138,0,0
2,1.429,2.302,10,0.9999999999999999,1
3,1.429,2.177,3.908,0.5393939393939393,0
4,1.429,2.077,4.252,0.5878787878787878,0
5,1.429,2.047,3.562,-0.09090909090909088,0
6,0.971,1.984,3.901,0.0303030303030303,0
7,0.971,1.883,4.729,0.35757575757575755,0
8,0.971,1.737,10,-0.06666666666666665,0
9,0.943,1.64,3.733,0.2606060606060606,0
10,0.943,1.574,3.475,0.309090909090909,0
11,0.927,1.486,2.967,-0.8666666666666665,0
12,0.927,1.484,3.477,0.406060606060606,0
13,0.927,1.441,4.131,0.8909090909090909,1
14,0.853,1.41,3.477,0.8909090909090909,2
15,0.024,1.359,4.08,0.5272727272727272,0
16,0.024,1.249,10,0.9999999999999999,1
17,0.024,1.199,10,0.35757575757575755,0
18,0.024,1.191,4.499,0.9999999999999999,1
19,0.024,1.185,10,0.5151515151515151,0
20,0.024,1.185,3.092,0.7333333333333332,0
21,0.024,1.172,3.442,0.9636363636363635,1
22,0.024,1.172,10,0.9515151515151514,2
23,0.024,1.172,10,0.7818181818181817,0
24,0.024,1.168,3.938,0.8909090909090909,1
25,0.024,1.168,4.269,0.9999999999999999,2
26,0.024,1.168,10,0.9999999999999999,3
27,0.024,1.168,10,0.9999999999999999,4
28,0.024,1.158,4.197,0.8060606060606059,5
29,0.024,1.083,2.506,0.8787878787878788,6
30,0.024,1.065,3.955,0.7454545454545454,0
31,0.024,1.065,10,0.406060606060606,0
32,0.024,1.065,4.033,0.9757575757575757,1
33,0.024,1.065,3.691,0.9515151515151514,2
34,0.024,1.065,10,0.9999999999999999,3
35,0.024,1.046,4.852,0.8909090909090909,4
36,0.024,1.039,10,0.9999999999999999,5
37,0.024,1.016,4.11,0.7454545454545454,0
38,0.024,1.016,10,0.8060606060606059,1
39,0.024,1.007,10,0.8060606060606059,2
40,0.024,1.007,4.103,0.9999999999999999,3
41,0.024,1.007,10,0.9999999999999999,4
42,0.024,1.006,4.412,0.9272727272727272,5
43,0.024,1.006,10,0.6848484848484848,0
44,0.024,1.006,3.553,0.9999999999999999,1
45,0.024,1.005,3.631,0.9999999999999999,2
46,0.024,1.005,10,0.9999999999999999,3
47,0.024,1.005,10,0.5636363636363636,0
48,0.024,1.005,10,0.8787878787878788,1
49,0.024,1.005,10,0.9999999999999999,2
50,0.024,1.005,3.96,0.9999999999999999,3
51,0.024,1.005,3.93,0.9757575757575757,4
52,0.024,1.005,10,0.8787878787878788,5
53,0.024,1.001,3.523,0.7818181818181817,0
54,0.024,0.971,10,0.9878787878787878,1
55,0.024,0.971,10,0.22424242424242422,0
56,0.024,0.943,3.658,0.5636363636363636,0
57,0.024,0.927,10,0.9999999999999999,1
58,0.024,0.927,10,0.9999999999999999,2
59,0.024,0.912,3.84,0.9999999999999999,3
60,0.024,0.912,2.928,0.2121212121212121,0
61,0.024,0.912,10,0.9999999999999999,1
62,0.024,0.912,10,0.9999999999999999,2
63,0.024,0.871,4.334,0.9999999999999999,3
64,0.024,0.871,10,0.9999999999999999,4
65,0.024,0.871,4.198,0.6969696969696969,0
66,0.024,0.871,10,0.5636363636363636,0
67,0.024,0.871,10,0.9999999999999999,1
68,0.024,0.871,4.247,0.9999999999999999,2
69,0.024,0.871,10,-0.09090909090909088,0
70,0.024,0.871,10,0.9999999999999999,1
71,0.024,0.871,10,0.9999999999999999,2
72,0.024,0.871,10,0.8060606060606059,3
73,0.024,0.871,3.112,0.9999999999999999,4
74,0.024,0.871,3.762,0.9636363636363635,5
75,0.024,0.861,10,0.406060606060606,0
76,0.024,0.861,10,0.8909090909090909,1
77,0.024,0.861,10,0.9999999999999999,2
78,0.024,0.861,3.961,0.9999999999999999,3
79,0.024,0.861,10,0.9999999999999999,4
80,0.024,0.861,10,0.9878787878787878,5
81,0.024,0.861,10,0.6969696969696969,0
