gen,min_score,med_score,max_score,spearman,conv_counter
1,1.511,2.465,10,0,0
2,1.511,2.252,4.437,0.9999999999999999,1
3,1.511,2.189,4.521,-0.5757575757575757,0
4,1.511,2.142,3.891,-0.38181818181818183,0
5,1.415,1.943,10,-0.13939393939393938,0
6,1.415,1.81,4.484,-0.17575757575757575,0
7,1.395,1.631,3.66,0.5151515151515151,0
8,1.395,1.627,10,0.22424242424242422,0
9,1.395,1.569,5.0,0.7818181818181817,0
10,1.306,1.55,3.251,0.4424242424242424,0
11,1.146,1.543,2.929,0.5878787878787878,0
12,1.146,1.543,10,0.8060606060606059,1
13,1.146,1.535,4.995,0.17575757575757575,0
14,1.013,1.494,10,0.9878787878787878,1
15,1.013,1.479,4.122,0.8060606060606059,2
16,0.801,1.459,3.558,0.6606060606060605,0
17,0.801,1.444,4.5,0.5636363636363636,0
18,0.801,1.434,4.212,0.9636363636363635,1
19,0.801,1.434,3.892,0.8787878787878788,2
20,0.784,1.433,3.29,0.22424242424242422,0
21,0.784,1.415,3.332,-0.0303030303030303,0
22,0.744,1.41,3.209,0.7454545454545454,0
23,0.427,1.391,3.209,0.8909090909090909,1
24,0.427,1.391,3.982,-0.12727272727272726,0
25,0.427,1.243,3.761,0.5636363636363636,0
26,0.427,1.225,4.17,0.9999999999999999,1
27,0.427,1.225,10,0.9878787878787878,2
28,0.427,1.194,3.582,0.9999999999999999,3
29,0.427,1.194,10,0.9999999999999999,4
30,0.427,1.194,10,0.9999999999999999,5
31,0.427,1.185,10,0.9999999999999999,6
32,0.427,0.984,3.473,0.9999999999999999,7
33,0.427,0.984,4.075,0.4545454545454545,0
34,0.427,0.984,10,0.9999999999999999,1
35,0.427,0.984,3.473,0.8545454545454544,2
36,0.427,0.984,10,0.6242424242424242,0
37,0.427,0.932,10,0.9999999999999999,1
38,0.427,0.932,4.117,0.9999999999999999,2
39,0.427,0.932,4.267,0.9515151515151514,3
40,0.427,0.927,4.475,0.9999999999999999,4
41,0.427,0.921,10,0.6969696969696969,0
42,0.427,0.92,3.631,0.9878787878787878,1
43,0.427,0.909,10,0.8909090909090909,2
44,0.427,0.895,4.017,0.8424242424242423,3
45,0.427,0.895,4.38,0.9999999999999999,4
46,0.427,0.895,4.263,0.9999999999999999,5
47,0.427,0.861,4.02,0.9999999999999999,6
48,0.427,0.861,10,0.9999999999999999,7
49,0.427,0.838,3.59,0.9515151515151514,8
50,0.427,0.838,3.165,0.9999999999999999,9
51,0.427,0.824,10,0.6969696969696969,0
52,0.427,0.824,4.232,0.9636363636363635,1
53,0.427,0.824,3.681,0.9999999999999999,2
54,0.427,0.824,3.667,0.22424242424242422,0
