gen,min_score,med_score,max_score,spearman,conv_counter
1,1.503,2.84,4.602,0,0
2,1.503,2.454,4.102,0.9999999999999999,1
3,1.503,2.318,2.825,0.2606060606060606,0
4,0.861,2.152,3.111,-0.05454545454545454,0
5,0.861,2.137,10,0.05454545454545454,0
6,0.861,2.077,2.635,-0.32121212121212117,0
7,0.861,2.068,3.117,0.35757575757575755,0
8,0.861,2.06,10,0.0303030303030303,0
9,0.861,2.05,2.842,0.7696969696969697,0
10,0.861,2.039,3.78,0.406060606060606,0
11,0.861,1.981,4.411,0.09090909090909088,0
12,0.861,1.967,10,0.7575757575757575,0
13,0.71,1.814,4.152,0.6484848484848483,0
14,0.71,1.596,10,0.29696969696969694,0
15,0.71,1.482,10,0.5151515151515151,0
16,0.71,1.341,10,0.06666666666666665,0
17,0.71,1.341,10,0.22424242424242422,0
18,0.71,1.214,10,0.9999999999999999,1
19,0.71,1.199,10,0.9999999999999999,2
20,0.71,1.196,10,0.9999999999999999,3
21,0.698,1.194,10,0.9878787878787878,4
22,0.397,1.061,10,0.9999999999999999,5
23,0.397,1.061,10,0.9999999999999999,6
24,0.397,1.032,10,0.9878787878787878,7
25,0.397,1.032,10,0.8909090909090909,8
26,0.397,1.012,10,0.5515151515151515,0
27,0.397,0.939,10,0.7696969696969697,0
28,0.397,0.939,4.119,0.9515151515151514,1
29,0.397,0.861,10,0.22424242424242422,0
30,0.397,0.841,10,0.11515151515151514,0
31,0.397,0.839,10,0.9272727272727272,1
32,0.397,0.839,10,0.9999999999999999,2
33,0.397,0.839,10,0.9878787878787878,3
34,0.397,0.839,10,0.22424242424242422,0
35,0.397,0.834,4.508,0.9515151515151514,1
36,0.397,0.813,10,0.9515151515151514,2
37,0.397,0.812,3.439,0.9999999999999999,3
38,0.397,0.792,10,0.9878787878787878,4
39,0.329,0.788,10,0.9878787878787878,5
40,0.329,0.788,3.577,0.8060606060606059,6
41,0.329,0.788,10,0.9999999999999999,7
42,0.099,0.784,3.576,0.9999999999999999,8
43,0.099,0.784,10,0.9999999999999999,9
44,0.099,0.739,10,0.9030303030303028,10
45,0.099,0.72,10,0.7696969696969697,0
46,0.099,0.714,10,0.9636363636363635,1
47,0.099,0.714,4.279,0.8060606060606059,2
48,0.099,0.711,10,0.9999999999999999,3
49,0.099,0.71,10,0.9999999999999999,4
50,0.099,0.705,10,0.8909090909090909,5
51,0.099,0.702,10,0.8060606060606059,6
52,0.074,0.7,10,0.5878787878787878,0
53,0.074,0.698,10,0.9999999999999999,1
54,0.014,0.658,10,0.8060606060606059,2
55,0.014,0.658,10,0.9999999999999999,3
56,0.014,0.658,10,0.5636363636363636,0
57,0.014,0.658,3.19,0.9999999999999999,1
58,0.014,0.619,10,0.9999999999999999,2
59,0.014,0.572,10,0.8909090909090909,3
60,0.014,0.57,10,0.9999999999999999,4
