gen,min_score,med_score,max_score,spearman,conv_counter
1,1.941,2.655,10,0,0
2,1.941,2.359,3.627,0.9999999999999999,1
3,1.928,2.236,10,0.8787878787878788,2
4,1.928,2.197,3.677,0.5515151515151515,0
5,1.861,2.13,3.618,0.4787878787878787,0
6,1.861,2.086,3.26,0.04242424242424241,0
7,1.729,2.061,3.171,0.35757575757575755,0
8,1.729,2.031,3.677,0.28484848484848485,0
9,1.729,2.012,3.475,0.4424242424242424,0
10,1.631,1.975,3.003,-0.3939393939393939,0
11,1.631,1.942,3.408,0.1515151515151515,0
12,1.037,1.928,3.617,0.6242424242424242,0
13,1.037,1.904,3.185,0.3939393939393939,0
14,0.758,1.883,3.781,0.4666666666666666,0
15,0.758,1.861,3.592,0.5272727272727272,0
16,0.758,1.77,3.576,0.4545454545454545,0
17,0.758,1.71,3.927,0.18787878787878787,0
18,0.758,1.606,10,0.6,0
19,0.758,1.553,10,0.9999999999999999,1
20,0.758,1.507,10,0.8424242424242423,2
21,0.735,1.463,4.323,0.9999999999999999,3
22,0.735,1.455,10,0.22424242424242422,0
23,0.724,1.379,10,0.9515151515151514,1
24,0.724,1.237,3.292,0.9999999999999999,2
25,0.724,1.182,10,0.5636363636363636,0
26,0.724,1.147,4.173,0.9515151515151514,1
27,0.724,1.132,10,0.6848484848484848,0
28,0.724,1.132,10,0.9999999999999999,1
29,0.724,1.109,4.258,0.9999999999999999,2
30,0.259,1.075,10,0.8060606060606059,3
31,0.259,1.051,10,0.29696969696969694,0
32,0.259,1.037,10,0.9999999999999999,1
33,0.259,1.037,10,0.9999999999999999,2
34,0.259,1.037,10,0.9999999999999999,3
35,0.259,1.037,3.132,0.2121212121212121,0
36,0.118,1.006,10,0.406060606060606,0
37,0.118,0.99,10,0.406060606060606,0
38,0.057,0.955,10,0.9999999999999999,1
39,0.057,0.92,10,0.5878787878787878,0
40,0.057,0.909,10,0.8909090909090909,1
41,0.024,0.871,10,0.7454545454545454,0
42,0.024,0.871,10,0.9878787878787878,1
43,0.024,0.838,10,0.9999999999999999,2
44,0.024,0.837,10,0.8424242424242423,3
45,0.024,0.837,10,0.9515151515151514,4
46,0.024,0.82,10,0.9999999999999999,5
47,0.024,0.735,10,0.9515151515151514,6
48,0.024,0.735,10,0.7575757575757575,0
49,0.024,0.724,10,0.9999999999999999,1
50,0.024,0.586,10,0.8424242424242423,2
51,0.024,0.565,10,0.6969696969696969,0
52,0.024,0.552,10,0.9878787878787878,1
53,0.024,0.519,10,0.9999999999999999,2
54,0.024,0.519,10,0.9999999999999999,3
55,0.024,0.329,10,0.9999999999999999,4
56,0.024,0.329,10,0.9999999999999999,5
57,0.024,0.327,10,0.406060606060606,0
58,0.024,0.321,10,0.9272727272727272,1
59,0.024,0.321,10,0.9999999999999999,2
60,0.024,0.259,10,0.9878787878787878,3
61,0.024,0.233,10,0.9999999999999999,4
62,0.024,0.233,10,0.9999999999999999,5
63,0.024,0.228,10,0.8909090909090909,6
64,0.024,0.228,10,0.9515151515151514,7
65,0.024,0.228,10,0.9999999999999999,8
66,0.024,0.228,10,0.5636363636363636,0
67,0.024,0.228,10,0.6969696969696969,0
68,0.024,0.228,10,0.9999999999999999,1
69,0.024,0.228,10,0.9999999999999999,2
70,0.024,0.142,10,0.9999999999999999,3
71,0.024,0.139,10,0.9999999999999999,4
72,0.024,0.139,10,0.9999999999999999,5
73,0.024,0.139,10,0.9999999999999999,6
74,0.024,0.139,10,0.406060606060606,0
75,0.024,0.139,10,0.9999999999999999,1
76,0.024,0.13,10,0.9999999999999999,2
77,0.024,0.118,10,0.9272727272727272,3
78,0.024,0.118,10,0.8060606060606059,4
79,0.024,0.118,10,0.6969696969696969,0
80,0.024,0.118,10,0.8181818181818182,1
81,0.024,0.118,10,0.9999999999999999,2
82,0.024,0.113,10,0.9878787878787878,3
83,0.014,0.113,10,0.9999999999999999,4
84,0.014,0.113,10,0.9999999999999999,5
85,0.014,0.113,10,0.8060606060606059,6
86,0.014,0.113,10,0.9878787878787878,7
87,0.014,0.113,10,0.9999999999999999,8
88,0.014,0.113,10,0.9999999999999999,9
89,0.014,0.113,10,0.6969696969696969,0
90,0.014,0.113,10,0.9999999999999999,1
91,0.014,0.113,10,0.9999999999999999,2
92,0.014,0.113,10,0.9999999999999999,3
93,0.014,0.113,10,0.9999999999999999,4
94,0.014,0.113,10,0.9515151515151514,5
95,0.014,0.113,10,0.9999999999999999,6
96,0.014,0.113,10,0.9999999999999999,7
97,0.014,0.113,10,0.9999999999999999,8
98,0.014,0.113,10,0.9999999999999999,9
99,0.014,0.11,10,0.9999999999999999,10
100,0.014,0.11,10,0.9999999999999999,11
101,0.014,0.11,10,0.9999999999999999,12
102,0.014,0.11,10,0.9999999999999999,13
103,0.014,0.11,10,0.28484848484848485,0
104,0.014,0.11,10,0.9999999999999999,1
105,0.014,0.11,10,0.5636363636363636,0
106,0.014,0.11,10,0.9878787878787878,1
107,0.014,0.11,10,0.8909090909090909,2
108,0.014,0.11,10,0.9030303030303028,3
109,0.014,0.11,10,0.9999999999999999,4
110,0.014,0.11,10,0.9878787878787878,5
111,0.014,0.11,10,0.9999999999999999,6
112,0.014,0.11,10,0.9999999999999999,7
113,0.014,0.11,10,0.9999999999999999,8
114,0.014,0.11,10,0.9999999999999999,9
115,0.014,0.11,10,0.9999999999999999,10
116,0.014,0.11,10,0.9878787878787878,11
117,0.014,0.11,10,0.8181818181818182,12
118,0.014,0.11,10,0.9999999999999999,13
119,0.014,0.11,10,0.6969696969696969,0
120,0.014,0.11,10,0.9999999999999999,1
121,0.014,0.11,10,0.6969696969696969,0
122,0.014,0.11,10,0.6969696969696969,0
123,0.014,0.11,10,0.9999999999999999,1
124,0.014,0.11,10,0.9999999999999999,2
125,0.014,0.11,10,0.8909090909090909,3
126,0.014,0.11,10,0.9999999999999999,4
127,0.014,0.11,10,0.9999999999999999,5
128,0.014,0.11,10,0.9999999999999999,6
129,0.014,0.11,10,0.9999999999999999,7
130,0.014,0.11,10,0.9999999999999999,8
131,0.014,0.11,10,0.9999999999999999,9
132,0.014,0.11,10,0.9999999999999999,10
133,0.014,0.11,10,0.9999999999999999,11
134,0.014,0.11,10,0.9999999999999999,12
135,0.014,0.11,10,0.9999999999999999,13
136,0.014,0.11,10,0.9999999999999999,14
137,0.014,0.11,10,0.9999999999999999,15
138,0.014,0.11,10,0.9999999999999999,16
139,0.014,0.11,10,0.22424242424242422,0
140,0.014,0.11,10,0.9999999999999999,1
141,0.014,0.11,10,0.9515151515151514,2
142,0.014,0.11,10,0.9878787878787878,3
143,0.014,0.11,10,0.9999999999999999,4
144,0.014,0.11,10,0.9878787878787878,5
145,0.014,0.11,10,0.9999999999999999,6
146,0.014,0.11,10,0.9999999999999999,7
147,0.014,0.11,10,0.9999999999999999,8
148,0.014,0.11,10,0.9999999999999999,9
149,0.014,0.108,10,0.9999999999999999,10
150,0.014,0.108,10,0.9999999999999999,11
151,0.014,0.108,10,0.3696969696969697,0
152,0.014,0.108,10,0.9999999999999999,1
153,0.014,0.108,10,0.8181818181818182,2
154,0.014,0.108,10,0.9999999999999999,3
155,0.014,0.101,10,0.9999999999999999,4
156,0.014,0.101,10,0.9878787878787878,5
157,0.014,0.101,10,0.8909090909090909,6
158,0.014,0.101,10,0.9999999999999999,7
159,0.014,0.101,10,0.9999999999999999,8
160,0.014,0.101,10,0.9999999999999999,9
161,0.014,0.101,10,0.9999999999999999,10
162,0.014,0.099,10,0.5151515151515151,0
163,0.014,0.099,10,0.9999999999999999,1
164,0.014,0.099,10,0.9999999999999999,2
165,0.014,0.099,10,0.7454545454545454,0
166,0.014,0.099,10,0.6969696969696969,0
167,0.014,0.099,10,0.9999999999999999,1
168,0.014,0.099,10,0.8060606060606059,2
169,0.014,0.099,10,0.9999999999999999,3
170,0.014,0.099,10,0.9636363636363635,4
171,0.014,0.099,10,0.9999999999999999,5
172,0.014,0.099,10,0.9999999999999999,6
173,0.014,0.099,10,0.9999999999999999,7
174,0.014,0.099,10,0.9999999999999999,8
175,0.014,0.099,10,0.9515151515151514,9
176,0.014,0.099,10,0.9999999999999999,10
177,0.014,0.099,10,0.9515151515151514,11
178,0.014,0.099,10,0.9515151515151514,12
179,0.014,0.099,10,0.9999999999999999,13
180,0.014,0.099,10,0.9999999999999999,14
181,0.014,0.099,10,0.9999999999999999,15
182,0.014,0.099,10,0.9999999999999999,16
183,0.014,0.099,10,0.8909090909090909,17
184,0.014,0.099,10,0.9272727272727272,18
185,0.014,0.099,10,0.9272727272727272,19
186,0.014,0.099,10,0.9999999999999999,20
187,0.014,0.099,10,0.9999999999999999,21
188,0.014,0.099,10,0.9999999999999999,22
189,0.014,0.099,10,0.9272727272727272,23
190,0.014,0.099,10,0.9999999999999999,24
191,0.014,0.099,10,0.9999999999999999,25
192,0.014,0.095,10,0.9999999999999999,26
193,0.014,0.095,10,0.9999999999999999,27
194,0.014,0.095,10,0.9999999999999999,28
195,0.014,0.095,10,0.9999999999999999,29
196,0.014,0.095,10,0.9878787878787878,30
197,0.014,0.095,10,0.9999999999999999,31
198,0.014,0.095,10,0.9999999999999999,32
199,0.014,0.095,10,0.9999999999999999,33
200,0.014,0.095,10,0.9999999999999999,34
201,0.014,0.095,10,0.8060606060606059,35
202,0.014,0.095,10,0.9999999999999999,36
203,0.014,0.095,10,0.9999999999999999,37
204,0.014,0.095,10,0.9999999999999999,38
205,0.014,0.095,10,0.9999999999999999,39
206,0.014,0.095,10,0.9999999999999999,40
207,0.014,0.095,10,0.9515151515151514,41
208,0.014,0.095,10,0.9999999999999999,42
209,0.014,0.095,10,0.9999999999999999,43
210,0.014,0.095,10,0.8181818181818182,44
211,0.014,0.095,10,0.9999999999999999,45
212,0.014,0.095,10,0.9999999999999999,46
213,0.014,0.095,10,0.9999999999999999,47
214,0.014,0.095,10,0.9999999999999999,48
215,0.014,0.095,10,0.9999999999999999,49
216,0.014,0.095,10,0.9999999999999999,50
