gen,min_score,med_score,max_score,spearman,conv_counter
1,2.025,3.212,10,0,0
2,2.025,2.752,10,0.9999999999999999,1
3,1.866,2.541,10,-0.5272727272727272,0
4,1.866,2.417,4.062,-0.309090909090909,0
5,1.866,2.262,3.565,-0.2121212121212121,0
6,1.866,2.171,4.186,-0.3696969696969697,0
7,1.739,2.087,3.087,0.22424242424242422,0
8,1.589,2.048,10,0.4787878787878787,0
9,1.589,2.039,10,0.8787878787878788,1
10,1.589,2.037,10,0.9878787878787878,2
11,1.475,2.019,3.141,0.9878787878787878,3
12,1.475,2.019,3.788,0.9999999999999999,4
13,1.475,2.019,10,0.9999999999999999,5
14,1.475,1.997,3.929,0.9999999999999999,6
15,1.475,1.976,4.282,0.406060606060606,0
16,1.475,1.962,4.369,0.6848484848484848,0
17,1.475,1.96,10,0.06666666666666665,0
18,1.352,1.912,10,0.9878787878787878,1
19,1.314,1.843,3.238,0.7333333333333332,0
20,1.228,1.8,4.337,0.19999999999999998,0
21,0.727,1.739,10,0.6969696969696969,0
22,0.727,1.688,4.243,0.5878787878787878,0
23,0.727,1.663,3.777,0.8787878787878788,1
24,0.727,1.589,3.289,0.3696969696969697,0
25,0.727,1.508,10,0.29696969696969694,0
26,0.457,1.395,4.424,0.8909090909090909,1
27,0.457,1.358,3.515,0.8787878787878788,2
28,0.457,1.358,4.085,0.8787878787878788,3
29,0.457,1.352,3.477,0.9515151515151514,4
30,0.447,1.335,3.965,0.9878787878787878,5
31,0.349,1.294,4.044,0.9999999999999999,6
32,0.349,1.278,10,0.9151515151515152,7
33,0.285,1.278,3.578,0.5636363636363636,0
34,0.285,1.251,3.925,0.9515151515151514,1
35,0.285,0.76,3.463,0.6727272727272726,0
36,0.285,0.727,10,0.9999999999999999,1
37,0.285,0.633,3.942,0.9999999999999999,2
38,0.285,0.62,4.237,0.6484848484848483,0
39,0.285,0.62,4.057,0.9999999999999999,1
40,0.285,0.62,10,0.6848484848484848,0
41,0.285,0.57,3.721,0.23636363636363633,0
42,0.285,0.57,10,0.9878787878787878,1
43,0.285,0.57,4.458,0.9999999999999999,2
44,0.285,0.559,4.458,-0.07878787878787878,0
45,0.285,0.559,4.624,0.9999999999999999,1
46,0.285,0.559,4.058,0.9999999999999999,2
47,0.285,0.559,3.816,0.7939393939393938,0
48,0.285,0.559,3.887,0.9999999999999999,1
49,0.285,0.559,10,0.35757575757575755,0
50,0.285,0.559,4.53,0.9999999999999999,1
51,0.285,0.559,4.772,0.9636363636363635,2
52,0.285,0.559,4.458,0.9878787878787878,3
53,0.285,0.558,10,0.9515151515151514,4
54,0.285,0.558,4.53,0.9515151515151514,5
55,0.285,0.558,3.702,0.5878787878787878,0
56,0.285,0.558,4.51,0.9999999999999999,1
57,0.285,0.558,3.719,0.6242424242424242,0
58,0.285,0.558,3.933,0.9999999999999999,1
59,0.285,0.558,4.735,0.9636363636363635,2
60,0.285,0.539,4.038,0.6969696969696969,0
61,0.285,0.539,4.684,0.9999999999999999,1
62,0.285,0.539,4.122,0.6606060606060605,0
63,0.24,0.537,4.173,0.9999999999999999,1
64,0.24,0.537,10,0.9999999999999999,2
65,0.24,0.537,4.911,0.5515151515151515,0
66,0.24,0.537,4.644,0.9999999999999999,1
67,0.24,0.537,3.342,0.6969696969696969,0
68,0.24,0.537,10,0.8060606060606059,1
69,0.24,0.501,3.538,0.9999999999999999,2
70,0.24,0.501,10,0.9999999999999999,3
71,0.24,0.501,4.018,0.9999999999999999,4
72,0.24,0.501,10,0.9272727272727272,5
73,0.24,0.501,4.269,0.8909090909090909,6
74,0.24,0.501,10,0.5636363636363636,0
75,0.24,0.501,10,0.9999999999999999,1
76,0.24,0.501,10,0.8787878787878788,2
77,0.24,0.501,3.956,0.9999999999999999,3
78,0.24,0.489,10,0.9999999999999999,4
79,0.24,0.489,3.434,0.9999999999999999,5
80,0.24,0.489,4.321,0.9999999999999999,6
81,0.24,0.489,10,0.8060606060606059,7
82,0.24,0.489,3.865,0.9999999999999999,8
83,0.24,0.489,10,0.9999999999999999,9
84,0.24,0.489,10,0.9999999999999999,10
85,0.24,0.489,10,0.9999999999999999,11
86,0.24,0.489,4.464,0.9999999999999999,12
87,0.24,0.489,10,0.8909090909090909,13
88,0.24,0.483,4.464,0.9999999999999999,14
89,0.24,0.483,10,0.9999999999999999,15
90,0.24,0.483,10,0.9999999999999999,16
91,0.24,0.483,10,0.9999999999999999,17
92,0.24,0.483,4.0,0.9999999999999999,18
93,0.24,0.481,4.296,0.9999999999999999,19
94,0.24,0.481,4.429,0.9999999999999999,20
95,0.24,0.481,3.981,0.9999999999999999,21
96,0.24,0.481,3.52,0.9999999999999999,22
97,0.24,0.481,3.818,0.5030303030303029,0
98,0.118,0.457,3.539,0.9999999999999999,1
99,0.118,0.457,10,0.9878787878787878,2
100,0.118,0.457,10,0.8909090909090909,3
101,0.118,0.457,4.242,0.9999999999999999,4
102,0.118,0.457,3.841,0.9999999999999999,5
103,0.118,0.457,10,0.8909090909090909,6
104,0.118,0.457,10,0.9999999999999999,7
105,0.118,0.457,10,0.9999999999999999,8
106,0.118,0.457,3.87,0.9999999999999999,9
107,0.118,0.457,10,0.9999999999999999,10
108,0.118,0.457,4.116,0.9999999999999999,11
109,0.118,0.457,10,0.9878787878787878,12
110,0.118,0.457,4.137,0.9999999999999999,13
111,0.118,0.457,10,0.9878787878787878,14
112,0.118,0.457,10,0.9999999999999999,15
113,0.118,0.457,10,0.9999999999999999,16
114,0.118,0.457,10,0.9999999999999999,17
115,0.118,0.457,10,0.9999999999999999,18
116,0.118,0.457,10,0.9515151515151514,19
117,0.118,0.457,10,0.9999999999999999,20
118,0.118,0.457,10,0.9999999999999999,21
119,0.118,0.457,10,0.9999999999999999,22
120,0.118,0.457,10,0.9999999999999999,23
121,0.118,0.457,3.855,0.9999999999999999,24
122,0.118,0.457,4.52,0.8060606060606059,25
123,0.118,0.454,10,0.9999999999999999,26
124,0.118,0.454,10,0.9999999999999999,27
125,0.118,0.454,10,0.9999999999999999,28
126,0.118,0.454,10,0.9999999999999999,29
127,0.118,0.454,10,0.9999999999999999,30
128,0.118,0.454,10,0.9999999999999999,31
129,0.118,0.454,10,0.9999999999999999,32
130,0.118,0.454,10,0.9999999999999999,33
131,0.118,0.454,10,0.9999999999999999,34
132,0.118,0.454,10,0.9999999999999999,35
133,0.118,0.454,10,0.22424242424242422,0
134,0.118,0.454,10,0.9999999999999999,1
135,0.118,0.453,10,0.9999999999999999,2
136,0.118,0.453,3.923,0.9999999999999999,3
137,0.118,0.452,10,0.9999999999999999,4
138,0.118,0.452,10,0.9999999999999999,5
139,0.118,0.452,10,0.8060606060606059,6
140,0.118,0.452,10,0.9999999999999999,7
141,0.118,0.452,10,0.9999999999999999,8
142,0.118,0.452,10,0.9999999999999999,9
143,0.118,0.452,10,0.9999999999999999,10
144,0.118,0.452,10,0.9999999999999999,11
145,0.118,0.452,10,0.9999999999999999,12
146,0.118,0.452,3.775,0.9878787878787878,13
147,0.118,0.452,10,0.9999999999999999,14
148,0.118,0.447,10,0.9999999999999999,15
149,0.118,0.447,10,0.9999999999999999,16
150,0.118,0.447,10,0.9999999999999999,17
151,0.118,0.447,10,0.9878787878787878,18
152,0.118,0.447,10,0.9999999999999999,19
153,0.118,0.447,10,0.9999999999999999,20
154,0.118,0.447,3.945,0.9999999999999999,21
155,0.118,0.447,10,0.9999999999999999,22
156,0.118,0.447,10,0.9999999999999999,23
157,0.118,0.447,10,0.9999999999999999,24
158,0.118,0.447,10,0.9999999999999999,25
159,0.118,0.447,10,0.9999999999999999,26
160,0.118,0.447,10,0.9999999999999999,27
161,0.118,0.447,4.857,0.9999999999999999,28
162,0.118,0.447,10,0.9999999999999999,29
163,0.118,0.447,10,0.9999999999999999,30
164,0.118,0.447,10,0.9999999999999999,31
165,0.118,0.447,10,0.406060606060606,0
166,0.118,0.447,3.162,0.6969696969696969,0
167,0.118,0.447,10,0.9999999999999999,1
168,0.118,0.447,4.301,0.9999999999999999,2
169,0.118,0.447,10,0.9999999999999999,3
170,0.118,0.447,10,0.9999999999999999,4
171,0.118,0.447,10,0.4545454545454545,0
172,0.118,0.447,10,0.9999999999999999,1
173,0.118,0.447,10,0.9999999999999999,2
174,0.118,0.447,10,0.9999999999999999,3
175,0.118,0.447,10,0.9999999999999999,4
176,0.118,0.447,10,0.9999999999999999,5
177,0.118,0.447,10,0.9151515151515152,6
178,0.118,0.447,10,0.9999999999999999,7
179,0.118,0.447,10,0.9999999999999999,8
180,0.118,0.447,10,0.9999999999999999,9
181,0.118,0.447,10,0.9515151515151514,10
182,0.118,0.447,10,0.9999999999999999,11
183,0.118,0.447,10,0.9999999999999999,12
