gen,min_score,med_score,max_score,spearman,conv_counter
1,1.555,2.672,10,0,0
2,1.555,2.418,10,0.9999999999999999,1
3,1.474,2.249,3.941,-0.4666666666666666,0
4,1.417,2.152,2.67,-0.09090909090909088,0
5,1.384,2.058,3.095,0.09090909090909088,0
6,1.384,1.857,3.159,0.5151515151515151,0
7,1.361,1.588,10,0.5151515151515151,0
8,1.361,1.571,3.021,0.2606060606060606,0
9,1.361,1.55,3.546,0.43030303030303024,0
10,1.361,1.541,3.404,0.17575757575757575,0
11,1.361,1.495,2.941,0.32121212121212117,0
12,1.361,1.495,3.876,0.006060606060606061,0
13,1.361,1.483,3.588,0.6969696969696969,0
14,1.361,1.483,4.729,0.5636363636363636,0
15,1.361,1.479,3.089,0.406060606060606,0
16,1.266,1.457,3.576,0.9878787878787878,1
17,1.126,1.442,2.441,0.9878787878787878,2
18,1.126,1.435,3.028,0.5878787878787878,0
19,1.126,1.412,3.313,0.9999999999999999,1
20,1.126,1.412,10,0.8787878787878788,2
21,0.224,1.396,3.102,0.9878787878787878,3
22,0.224,1.384,10,0.9151515151515152,4
23,0.224,1.361,10,0.9393939393939393,5
24,0.189,1.339,10,0.8060606060606059,6
25,0.189,1.334,10,0.7333333333333332,0
26,0.057,1.304,10,0.3939393939393939,0
27,0.057,1.272,10,0.29696969696969694,0
28,0.057,1.266,10,0.8666666666666665,1
29,0.057,1.219,10,0.4424242424242424,0
30,0.057,1.217,10,0.9999999999999999,1
31,0.057,1.217,10,0.9515151515151514,2
32,0.057,1.133,10,0.9999999999999999,3
33,0.057,1.126,10,0.9999999999999999,4
34,0.057,1.115,10,0.9999999999999999,5
35,0.057,1.075,10,0.9030303030303028,6
36,0.057,1.032,10,0.6969696969696969,0
37,0.057,0.975,10,0.9999999999999999,1
38,0.057,0.864,10,0.9878787878787878,2
39,0.057,0.82,10,0.9999999999999999,3
40,0.057,0.82,10,0.9999999999999999,4
41,0.057,0.811,10,0.7333333333333332,0
42,0.057,0.767,10,0.9999999999999999,1
43,0.046,0.376,10,0.22424242424242422,0
44,0.046,0.376,10,0.9999999999999999,1
45,0.046,0.376,10,0.9999999999999999,2
46,0.046,0.376,10,0.9999999999999999,3
47,0.024,0.327,10,0.9999999999999999,4
48,0.024,0.327,10,0.406060606060606,0
49,0.024,0.3,10,0.9999999999999999,1
50,0.024,0.3,10,0.9999999999999999,2
51,0.024,0.3,10,0.01818181818181818,0
52,0.024,0.299,10,0.9999999999999999,1
53,0.024,0.292,10,0.9999999999999999,2
54,0.024,0.292,10,0.9999999999999999,3
55,0.024,0.292,10,0.9999999999999999,4
56,0.024,0.292,10,0.9999999999999999,5
57,0.024,0.292,10,0.4545454545454545,0
58,0.024,0.292,10,0.9999999999999999,1
59,0.024,0.26,10,0.9999999999999999,2
60,0.024,0.243,10,0.9999999999999999,3
61,0.024,0.243,10,0.6969696969696969,0
62,0.014,0.224,10,0.9999999999999999,1
63,0.014,0.224,10,0.9999999999999999,2
64,0.014,0.224,10,0.9999999999999999,3
65,0.014,0.224,10,0.5636363636363636,0
66,0.014,0.224,10,0.9999999999999999,1
67,0.014,0.224,10,0.9999999999999999,2
68,0.014,0.224,10,0.9999999999999999,3
69,0.014,0.189,10,0.9878787878787878,4
70,0.014,0.189,10,0.9999999999999999,5
71,0.014,0.189,10,0.9515151515151514,6
72,0.014,0.189,10,0.9999999999999999,7
73,0.014,0.189,10,0.9878787878787878,8
74,0.014,0.189,10,0.9999999999999999,9
75,0.014,0.189,10,0.9999999999999999,10
76,0.014,0.189,10,0.6606060606060605,0
77,0.014,0.154,10,0.6606060606060605,0
78,0.014,0.154,10,0.35757575757575755,0
79,0.014,0.154,10,0.8181818181818182,1
80,0.014,0.13,10,0.9515151515151514,2
81,0.014,0.13,10,0.18787878787878787,0
82,0.014,0.13,10,0.406060606060606,0
83,0.014,0.13,10,0.406060606060606,0
84,0.014,0.113,10,-0.18787878787878787,0
85,0.014,0.113,10,0.406060606060606,0
86,0.014,0.113,10,0.406060606060606,0
87,0.014,0.113,10,0.406060606060606,0
88,0.014,0.113,10,0.406060606060606,0
