gen,min_score,med_score,max_score,spearman,conv_counter
1,0.494,2.578,4.625,0,0
2,0.494,2.286,10,0.9999999999999999,1
3,0.494,2.124,3.537,-0.11515151515151514,0
4,0.451,1.985,10,0.5393939393939393,0
5,0.451,1.86,3.913,0.5757575757575757,0
6,0.451,1.843,10,-0.06666666666666665,0
7,0.451,1.783,10,0.309090909090909,0
8,0.118,1.615,10,0.3939393939393939,0
9,0.118,1.396,10,0.38181818181818183,0
10,0.118,1.229,10,0.6969696969696969,0
11,0.118,1.098,10,0.7575757575757575,0
12,0.118,1.095,10,0.5515151515151515,0
13,0.118,1.045,10,0.7696969696969697,0
14,0.118,1.04,3.603,0.8909090909090909,1
15,0.118,0.984,10,0.2606060606060606,0
16,0.118,0.981,4.185,0.13939393939393938,0
17,0.118,0.96,10,0.04242424242424241,0
18,0.118,0.96,10,0.8666666666666665,1
19,0.118,0.945,3.244,0.23636363636363633,0
20,0.118,0.928,10,0.04242424242424241,0
21,0.118,0.873,3.949,0.9999999999999999,1
22,0.118,0.815,3.467,0.9999999999999999,2
23,0.118,0.799,10,0.5757575757575757,0
24,0.118,0.799,10,0.8424242424242423,1
25,0.118,0.798,10,0.22424242424242422,0
26,0.118,0.798,10,0.006060606060606061,0
27,0.118,0.798,2.885,0.9999999999999999,1
28,0.041,0.715,10,0.5636363636363636,0
29,0.041,0.551,10,0.9999999999999999,1
30,0.041,0.551,10,0.9878787878787878,2
31,0.041,0.551,10,0.9757575757575757,3
32,0.041,0.551,10,0.9999999999999999,4
33,0.041,0.541,10,0.406060606060606,0
34,0.041,0.541,10,0.17575757575757575,0
35,0.041,0.53,10,0.01818181818181818,0
36,0.041,0.53,10,0.5636363636363636,0
37,0.041,0.53,10,0.8787878787878788,1
38,0.041,0.53,3.343,0.006060606060606061,0
39,0.041,0.53,10,0.9999999999999999,1
40,0.041,0.53,4.175,0.9999999999999999,2
41,0.041,0.53,10,0.9999999999999999,3
42,0.041,0.53,10,0.9999999999999999,4
43,0.041,0.53,10,0.9999999999999999,5
44,0.041,0.53,10,0.8909090909090909,6
45,0.041,0.53,10,0.6484848484848483,0
46,0.041,0.53,10,0.9515151515151514,1
47,0.041,0.515,10,0.9999999999999999,2
48,0.041,0.515,10,0.9878787878787878,3
49,0.041,0.515,2.978,0.9999999999999999,4
50,0.041,0.515,3.464,0.9999999999999999,5
51,0.041,0.515,10,0.9999999999999999,6
52,0.041,0.515,10,0.6969696969696969,0
53,0.041,0.515,10,0.406060606060606,0
54,0.041,0.515,10,0.9999999999999999,1
55,0.041,0.515,10,0.9999999999999999,2
56,0.041,0.515,10,0.9515151515151514,3
57,0.041,0.515,10,0.9999999999999999,4
58,0.041,0.508,10,0.9999999999999999,5
59,0.041,0.508,2.464,0.9999999999999999,6
60,0.041,0.508,10,0.9999999999999999,7
61,0.041,0.508,10,0.9999999999999999,8
62,0.041,0.508,10,0.9515151515151514,9
63,0.041,0.508,10,0.9999999999999999,10
64,0.041,0.508,10,0.9999999999999999,11
65,0.041,0.508,10,0.9999999999999999,12
66,0.041,0.508,10,0.9999999999999999,13
67,0.041,0.503,10,0.9999999999999999,14
68,0.041,0.503,10,0.9999999999999999,15
69,0.041,0.503,10,0.9999999999999999,16
70,0.041,0.503,10,0.9999999999999999,17
71,0.041,0.503,10,0.9999999999999999,18
