gen,min_score,med_score,max_score,spearman,conv_counter
1,495.711566,721.128185,1140.092844,0,0
2,505.224732,751.870704,1140.092844,0.9999999999999999,1
3,497.995846,792.314925,1174.046241,0.4424242424242424,0
4,583.691159,905.793368,1312.71821,-0.2727272727272727,0
5,635.192926,966.310258,1469.568899,0.06666666666666665,0
6,657.686674,1028.802716,1469.568899,-0.23636363636363633,0
7,505.224732,1100.936288,1873.501573,-0.29696969696969694,0
8,621.190201,1109.432636,2079.904902,0.22424242424242422,0
9,625.861094,1180.387551,2079.904902,0.5878787878787878,0
10,564.903988,1233.713945,2440.284581,0.9272727272727272,1
11,536.776163,1303.042075,2440.284581,0.5757575757575757,0
12,505.940186,1469.568899,2440.284581,0.07878787878787878,0
13,606.660017,1454.129641,2440.284581,0.5393939393939393,0
14,606.660017,1480.001408,2440.284581,0.5515151515151515,0
15,532.261166,1528.714665,2440.284581,0.5151515151515151,0
16,560.858696,1554.086955,2440.284581,0.4787878787878787,0
17,596.41414,1571.186836,2440.284581,0.2727272727272727,0
18,611.700888,1578.64789,2440.284581,0.8909090909090909,1
19,616.925584,1602.906717,2440.284581,0.2606060606060606,0
20,546.844346,1615.048721,2440.284581,0.9515151515151514,1
21,586.378868,1628.490684,2440.284581,0.9999999999999999,2
22,477.488247,1665.713085,2440.284581,0.7454545454545454,0
23,684.716191,1672.683115,2440.284581,0.7454545454545454,0
24,766.509116,1676.739581,2440.284581,0.9515151515151514,1
25,545.842381,1679.254547,2440.284581,0.7454545454545454,0
26,608.63226,1669.880824,2440.284581,0.9515151515151514,1
27,715.166514,1679.91957,2440.284581,0.6969696969696969,0
28,773.564531,1700.792254,2440.284581,0.8424242424242423,1
29,918.596642,1700.792254,2440.284581,0.9999999999999999,2
30,811.271025,1700.825679,2440.284581,0.8181818181818182,3
31,581.484914,1681.854042,2440.284581,0.9515151515151514,4
32,604.66214,1700.825679,2440.284581,0.9999999999999999,5
33,641.721226,1702.538741,2440.284581,0.9999999999999999,6
34,959.832244,1719.090394,2440.284581,0.9999999999999999,7
35,844.32624,1700.792254,2440.284581,0.9999999999999999,8
36,824.057272,1730.314962,2440.284581,0.9999999999999999,9
