gen,min_score,med_score,max_score,spearman,conv_counter
1,449.847901,675.669772,1479.091861,0,0
2,610.784967,801.347497,1479.091861,0.9999999999999999,1
3,482.771793,839.333041,1479.091861,0.13939393939393938,0
4,600.531575,904.95202,1563.293902,0.09090909090909088,0
5,627.894848,958.83006,1724.070392,0.2727272727272727,0
6,453.647642,1032.294091,1724.070392,0.28484848484848485,0
7,730.320269,1064.659343,1829.177931,-0.006060606060606061,0
8,611.757842,1083.957102,1829.177931,0.5515151515151515,0
9,611.757842,1159.9039,1829.177931,0.7333333333333332,0
10,609.619589,1435.326471,1829.177931,0.35757575757575755,0
11,660.838983,1508.599691,2042.033251,0.709090909090909,0
12,571.875639,1531.917241,2316.92827,0.5636363636363636,0
13,629.781373,1531.917241,2316.92827,0.9999999999999999,1
14,629.781373,1560.561928,2316.92827,-0.01818181818181818,0
15,620.678271,1563.293902,2316.92827,0.35757575757575755,0
16,629.781373,1572.152042,2316.92827,0.9636363636363635,1
17,639.314164,1590.984174,2316.92827,0.9151515151515152,2
18,653.975095,1601.463652,2316.92827,0.5151515151515151,0
19,723.279033,1608.650424,2316.92827,0.5515151515151515,0
20,548.958191,1593.912129,2316.92827,0.8909090909090909,1
21,637.637525,1621.158565,2316.92827,0.43030303030303024,0
22,785.651575,1621.158565,2316.92827,0.9999999999999999,1
23,818.21364,1622.692262,2316.92827,0.8909090909090909,2
24,776.044453,1629.641827,2316.92827,0.6727272727272726,0
25,478.17723,1629.641827,2316.92827,0.9272727272727272,1
26,568.892457,1597.176171,2316.92827,0.6121212121212121,0
27,756.396472,1597.176171,2316.92827,0.5636363636363636,0
28,703.000174,1550.234198,2316.92827,0.6606060606060605,0
29,585.762445,1585.516109,2316.92827,0.7575757575757575,0
30,791.536868,1629.650872,2316.92827,0.9515151515151514,1
31,669.22144,1639.365907,2316.92827,0.9999999999999999,2
32,496.605432,1629.650872,2316.92827,0.9999999999999999,3
33,666.091148,1541.784801,2316.92827,0.9999999999999999,4
34,687.504047,1647.827322,2316.92827,0.5272727272727272,0
35,747.248419,1647.827322,2316.92827,0.9999999999999999,1
36,563.42332,1550.212173,2316.92827,0.9999999999999999,2
37,559.960178,1554.980214,2316.92827,0.22424242424242422,0
38,747.632569,1562.610569,2316.92827,0.9878787878787878,1
39,579.84945,1599.830083,2316.92827,0.49090909090909085,0
40,790.199308,1630.300141,2316.92827,0.9878787878787878,1
41,634.752659,1686.605371,2316.92827,0.6606060606060605,0
42,826.133483,1630.300141,2316.92827,0.406060606060606,0
43,847.155703,1691.812589,2316.92827,0.9999999999999999,1
44,642.566604,1528.023912,2316.92827,0.9515151515151514,2
45,760.594716,1708.758254,2316.92827,0.5030303030303029,0
46,592.939567,1710.196716,2378.344006,0.4545454545454545,0
47,967.473231,1711.193699,2378.344006,0.309090909090909,0
48,669.856801,1724.070392,2378.344006,0.8545454545454544,1
49,532.165854,1724.070392,2378.344006,0.9878787878787878,2
50,739.202291,1681.431189,2378.344006,0.9272727272727272,3
51,861.322934,1744.004967,2378.344006,0.5515151515151515,0
52,590.634275,1667.749889,2378.344006,0.4787878787878787,0
53,637.063109,1587.509014,2378.344006,0.5515151515151515,0
54,579.249719,1750.147744,2378.344006,0.406060606060606,0
55,819.260959,1762.538272,2378.344006,0.406060606060606,0
56,724.627779,1759.044945,2378.344006,0.9999999999999999,1
57,678.656408,1776.360125,2440.284581,0.5272727272727272,0
58,652.012477,1708.758254,2440.284581,-0.06666666666666665,0
59,748.118889,1795.682738,2440.284581,-0.0303030303030303,0
60,702.009641,1805.432409,2440.284581,0.1515151515151515,0
61,384.849982,1638.647583,2440.284581,0.01818181818181818,0
62,661.896899,1811.559175,2440.284581,0.7939393939393938,0
63,364.035296,1811.637509,2440.284581,0.7575757575757575,0
64,502.901,1641.866052,2440.284581,0.9999999999999999,1
65,655.899631,1823.935731,2440.284581,0.8909090909090909,2
66,510.575738,1829.177931,2440.284581,0.9999999999999999,3
67,850.014874,1830.774852,2440.284581,0.5636363636363636,0
68,594.446415,1841.308128,2440.284581,0.5636363636363636,0
69,622.027298,1841.897209,2440.284581,0.9999999999999999,1
70,946.641789,1841.897209,2440.284581,0.406060606060606,0
71,913.236926,1841.897209,2440.284581,0.8909090909090909,1
72,830.446741,1780.370142,2440.284581,0.8909090909090909,2
73,606.115453,1779.831748,2440.284581,0.9999999999999999,3
74,692.557844,1830.774852,2440.284581,0.9999999999999999,4
75,928.762802,1830.774852,2440.284581,0.9999999999999999,5
76,589.485571,1732.221091,2440.284581,0.9999999999999999,6
77,412.117856,1532.022234,2440.284581,0.9999999999999999,7
78,664.683434,1812.01783,2440.284581,0.9999999999999999,8
79,462.38829,1829.177931,2440.284581,0.406060606060606,0
80,596.892284,1873.467219,2440.284581,0.9999999999999999,1
81,652.188075,1873.467219,2440.284581,0.8060606060606059,2
82,665.355923,1611.109245,2440.284581,0.9999999999999999,3
83,605.713678,1702.538741,2440.284581,0.9757575757575757,4
84,813.100677,1671.083391,2440.284581,0.9878787878787878,5
85,640.642971,1841.308128,2440.284581,0.9515151515151514,6
86,632.25761,1795.682738,2440.284581,0.9999999999999999,7
87,606.074913,1624.073589,2440.284581,0.9999999999999999,8
88,586.069721,1743.461109,2440.284581,0.9999999999999999,9
89,434.10618,1767.574437,2440.284581,0.6969696969696969,0
90,603.541023,1728.902587,2440.284581,0.7454545454545454,0
91,379.834149,1829.177931,2440.284581,0.9878787878787878,1
92,1017.935378,1829.177931,2440.284581,0.9999999999999999,2
93,832.022547,1829.177931,2440.284581,0.9999999999999999,3
94,693.5077,1848.136083,2440.284581,0.3696969696969697,0
95,742.644968,1848.136083,2440.284581,0.9515151515151514,1
96,674.333219,1657.143383,2440.284581,0.9999999999999999,2
97,683.127216,1666.576286,2440.284581,0.9999999999999999,3
98,900.157002,1772.636476,2440.284581,0.9999999999999999,4
99,735.440459,1743.174825,2440.284581,0.9999999999999999,5
100,583.862611,1785.832519,2440.284581,0.9999999999999999,6
101,659.325202,1682.269068,2440.284581,0.9515151515151514,7
102,947.789019,1830.774852,2440.284581,0.9999999999999999,8
103,625.436684,1830.774852,2440.284581,0.406060606060606,0
104,927.527609,1820.815475,2440.284581,0.9999999999999999,1
105,941.065758,1830.774852,2440.284581,0.9999999999999999,2
106,938.736821,1695.549996,2440.284581,0.9999999999999999,3
107,613.305383,1649.876845,2440.284581,0.9515151515151514,4
108,568.493205,1598.169001,2440.284581,0.9999999999999999,5
109,760.003825,1841.308128,2440.284581,0.9999999999999999,6
110,588.157965,1564.632287,2440.284581,0.9999999999999999,7
111,662.710254,1669.005033,2440.284581,0.9999999999999999,8
112,771.135849,1830.774852,2440.284581,0.9999999999999999,9
113,516.230633,1885.516707,2440.284581,0.9515151515151514,10
114,536.624924,1614.56739,2440.284581,0.9999999999999999,11
115,608.339203,1888.629765,2440.284581,0.8060606060606059,12
116,784.623085,1888.629765,2440.284581,0.9999999999999999,13
117,697.307706,1696.221327,2440.284581,0.8909090909090909,14
118,753.816968,1829.177931,2440.284581,0.9999999999999999,15
119,665.802642,1841.308128,2440.284581,0.9999999999999999,16
120,702.822558,1748.256001,2440.284581,0.9999999999999999,17
121,549.867295,1627.152323,2440.284581,0.9999999999999999,18
122,835.293023,1616.425963,2440.284581,0.9999999999999999,19
123,757.817111,1888.629765,2440.284581,0.9999999999999999,20
124,894.141023,1829.177931,2440.284581,0.9999999999999999,21
125,705.712269,1829.177931,2440.284581,0.9999999999999999,22
126,669.034994,1829.177931,2440.284581,0.9999999999999999,23
127,836.780151,1829.177931,2440.284581,0.9999999999999999,24
128,701.461114,1829.177931,2440.284581,0.9999999999999999,25
129,1084.241262,1830.774852,2440.284581,0.9999999999999999,26
130,641.88283,1890.378605,2440.284581,0.9999999999999999,27
131,722.210558,1888.629765,2440.284581,0.9999999999999999,28
132,490.481811,1888.629765,2440.284581,0.8909090909090909,29
133,673.051494,1888.629765,2440.284581,0.9999999999999999,30
134,928.171407,1888.629765,2440.284581,0.8181818181818182,31
135,947.184503,1885.516707,2440.284581,0.9999999999999999,32
136,450.298862,1830.774852,2440.284581,0.9999999999999999,33
