gen,min_score,med_score,max_score,spearman,conv_counter
1,455.765937,687.510042,1102.364422,0,0
2,453.156184,732.494429,1102.364422,0.9999999999999999,1
3,527.404955,782.601149,1102.364422,-0.01818181818181818,0
4,648.453839,839.420605,1102.364422,-0.05454545454545454,0
5,610.763688,903.274755,1203.826052,-0.4545454545454545,0
6,475.791863,952.186812,1203.826052,0.8181818181818182,1
7,498.148395,1008.142214,1255.709238,-0.309090909090909,0
8,564.051013,1011.115794,1255.709238,0.2606060606060606,0
9,585.831563,1059.715167,1320.944478,0.9515151515151514,1
10,640.011423,1092.925739,1320.944478,0.9999999999999999,2
11,647.080695,1139.410127,1469.783884,0.9878787878787878,3
12,612.261705,1167.086704,1530.081366,0.9999999999999999,4
13,794.127334,1170.415161,1616.010148,0.8060606060606059,5
14,652.803967,1201.882077,1616.010148,0.8424242424242423,6
15,685.633299,1217.791867,1616.010148,0.43030303030303024,0
16,646.440022,1233.358107,1616.010148,0.32121212121212117,0
17,708.980979,1235.306576,1616.010148,0.8545454545454544,1
18,896.022705,1258.052882,1681.579067,0.7454545454545454,0
19,540.488233,1316.235682,1681.579067,0.6727272727272726,0
20,504.845032,1325.851986,1681.579067,0.9515151515151514,1
21,704.049643,1332.77571,1681.579067,0.6727272727272726,0
22,609.699114,1332.77571,1681.579067,0.8424242424242423,1
23,542.477456,1357.084879,1681.579067,0.5757575757575757,0
24,633.964609,1368.596379,1767.574437,0.9999999999999999,1
25,536.050673,1406.265407,1767.574437,0.11515151515151514,0
26,653.1446,1411.590339,1767.574437,0.28484848484848485,0
27,582.420781,1303.546425,1767.574437,0.29696969696969694,0
28,667.140632,1417.120946,1767.574437,0.9999999999999999,1
29,673.835617,1419.154004,1767.574437,0.9878787878787878,2
30,516.110775,1435.652791,1767.574437,0.9878787878787878,3
31,737.261571,1457.115934,1767.574437,0.22424242424242422,0
32,591.789751,1257.209295,1767.574437,0.406060606060606,0
33,740.310074,1419.298953,1767.574437,0.8060606060606059,1
34,565.709728,1383.176303,1767.574437,0.5636363636363636,0
35,600.665425,1385.660444,1767.574437,0.9999999999999999,1
36,878.771854,1433.715625,1767.574437,0.9878787878787878,2
37,878.343137,1421.214248,1767.574437,0.8909090909090909,3
38,741.633502,1317.424585,1767.574437,0.9999999999999999,4
39,831.396273,1377.35347,1767.574437,0.9999999999999999,5
40,899.15499,1422.545356,1767.574437,0.22424242424242422,0
41,629.412389,1457.115934,1767.574437,0.9999999999999999,1
42,627.363837,1460.545549,1767.574437,0.9999999999999999,2
43,863.129754,1462.055141,1767.574437,0.7575757575757575,0
44,510.277902,1474.077351,1767.574437,0.9999999999999999,1
45,539.788181,1474.077351,1767.574437,0.9999999999999999,2
46,964.509293,1482.634211,1767.574437,0.9999999999999999,3
47,440.195917,1415.095462,1767.574437,0.9999999999999999,4
48,924.000245,1435.652791,1767.574437,0.9878787878787878,5
49,733.689316,1435.652791,1767.574437,0.9999999999999999,6
50,816.79655,1484.327446,1767.574437,0.9999999999999999,7
51,643.681084,1474.077351,1767.574437,0.9999999999999999,8
52,596.827886,1327.408808,1767.574437,0.22424242424242422,0
53,397.794299,1453.153729,1767.574437,0.8060606060606059,1
54,660.737069,1385.392719,1767.574437,0.9999999999999999,2
55,885.42336,1404.760858,1767.574437,0.8060606060606059,3
56,291.499751,1427.783959,1767.574437,0.9999999999999999,4
57,468.851876,1482.634211,1767.574437,0.9999999999999999,5
58,843.448398,1482.634211,1767.574437,0.9878787878787878,6
59,876.051363,1462.055141,1767.574437,0.9999999999999999,7
60,908.242562,1208.415661,1767.574437,0.8909090909090909,8
61,673.780834,1421.214248,1767.574437,0.9999999999999999,9
62,717.349045,1419.298953,1767.574437,0.01818181818181818,0
63,952.695327,1486.752481,1767.574437,0.9999999999999999,1
64,960.338257,1488.546785,1956.474722,0.9999999999999999,2
65,710.691281,1486.752481,1956.474722,0.22424242424242422,0
66,682.969657,1462.055141,1956.474722,0.9999999999999999,1
