gen,min_score,med_score,max_score,spearman,conv_counter
1,1.887,2.608,4.138,0,0
2,1.887,2.461,4.121,0.9999999999999999,1
3,1.887,2.28,3.353,0.12727272727272726,0
4,1.147,2.177,3.058,-0.2727272727272727,0
5,1.147,2.147,3.599,0.22424242424242422,0
6,1.082,2.121,3.789,0.7454545454545454,0
7,1.082,2.061,3.355,0.8545454545454544,1
8,1.082,2.037,2.778,0.4666666666666666,0
9,1.082,2.006,10,0.5030303030303029,0
10,1.082,1.967,10,0.16363636363636364,0
11,1.082,1.914,10,0.7575757575757575,0
12,1.082,1.891,2.946,0.41818181818181815,0
13,1.082,1.887,2.906,0.7939393939393938,0
14,1.082,1.869,10,0.7454545454545454,0
15,1.082,1.86,4.535,-0.7575757575757575,0
16,1.082,1.815,10,0.6484848484848483,0
17,1.082,1.804,10,0.5878787878787878,0
18,1.082,1.804,4.314,0.7696969696969697,0
19,1.082,1.785,4.33,0.5515151515151515,0
20,1.082,1.755,10,0.2606060606060606,0
21,1.082,1.728,4.419,0.8787878787878788,1
22,0.731,1.684,3.107,0.9393939393939393,2
23,0.731,1.62,10,0.8303030303030302,3
24,0.731,1.576,10,-0.406060606060606,0
25,0.443,1.553,10,0.3939393939393939,0
26,0.443,1.553,10,-0.0303030303030303,0
27,0.443,1.508,10,0.406060606060606,0
28,0.329,1.334,10,0.6484848484848483,0
29,0.329,1.315,10,0.9999999999999999,1
30,0.329,1.312,10,0.5515151515151515,0
31,0.329,1.294,4.036,0.9999999999999999,1
32,0.329,1.256,10,0.406060606060606,0
33,0.329,1.256,10,0.8060606060606059,1
34,0.329,1.245,10,0.8909090909090909,2
35,0.329,1.245,10,0.8424242424242423,3
36,0.329,1.233,3.672,0.5636363636363636,0
37,0.28,1.165,4.409,0.9999999999999999,1
38,0.28,1.165,4.14,0.9999999999999999,2
39,0.28,1.165,10,0.8909090909090909,3
40,0.28,1.082,10,0.4424242424242424,0
41,0.28,1.047,10,0.8060606060606059,1
42,0.28,1.044,10,0.9999999999999999,2
43,0.28,1.034,10,0.3939393939393939,0
44,0.28,1.034,10,0.9999999999999999,1
45,0.28,1.034,10,0.4545454545454545,0
46,0.28,1.034,10,0.9999999999999999,1
47,0.28,1.034,10,0.9999999999999999,2
48,0.28,1.013,10,0.9999999999999999,3
49,0.099,0.996,10,0.9999999999999999,4
50,0.014,0.731,10,0.8424242424242423,5
51,0.014,0.731,3.79,0.9999999999999999,6
52,0.014,0.731,10,0.406060606060606,0
53,0.014,0.731,10,0.9999999999999999,1
54,0.014,0.731,10,0.9999999999999999,2
55,0.014,0.731,10,0.01818181818181818,0
56,0.014,0.731,10,0.9999999999999999,1
57,0.014,0.731,10,0.9999999999999999,2
58,0.014,0.731,10,0.9999999999999999,3
59,0.014,0.596,3.393,0.9999999999999999,4
60,0.014,0.596,4.147,0.9999999999999999,5
61,0.014,0.596,10,0.9636363636363635,6
62,0.014,0.596,10,0.9999999999999999,7
63,0.014,0.596,10,0.9999999999999999,8
64,0.014,0.596,10,0.9999999999999999,9
65,0.014,0.596,3.807,0.9999999999999999,10
66,0.014,0.596,4.361,0.6969696969696969,0
67,0.014,0.57,4.431,0.8181818181818182,1
68,0.014,0.57,10,0.9999999999999999,2
69,0.014,0.564,4.419,0.9999999999999999,3
70,0.014,0.564,3.634,0.9999999999999999,4
71,0.014,0.507,3.397,0.5878787878787878,0
72,0.014,0.507,4.418,0.8060606060606059,1
73,0.014,0.507,10,0.9999999999999999,2
74,0.014,0.507,10,0.9999999999999999,3
75,0.014,0.487,10,0.9999999999999999,4
76,0.014,0.445,3.891,0.6969696969696969,0
77,0.014,0.445,10,0.8181818181818182,1
78,0.014,0.445,10,0.9999999999999999,2
79,0.014,0.445,10,0.9999999999999999,3
80,0.014,0.429,10,0.9999999999999999,4
81,0.014,0.429,10,0.9878787878787878,5
82,0.014,0.429,3.758,0.9999999999999999,6
83,0.014,0.426,10,0.9999999999999999,7
84,0.014,0.426,10,0.9999999999999999,8
85,0.014,0.426,10,0.9999999999999999,9
86,0.014,0.426,10,0.9999999999999999,10
87,0.014,0.426,3.965,0.9999999999999999,11
88,0.014,0.426,10,0.9999999999999999,12
89,0.014,0.426,10,0.8787878787878788,13
90,0.014,0.426,10,0.9272727272727272,14
91,0.014,0.422,10,0.9999999999999999,15
92,0.014,0.403,10,0.9999999999999999,16
93,0.014,0.403,3.387,0.9999999999999999,17
94,0.014,0.403,3.621,0.9999999999999999,18
95,0.014,0.403,3.857,0.5636363636363636,0
96,0.014,0.403,10,0.406060606060606,0
97,0.014,0.403,10,0.9272727272727272,1
98,0.014,0.403,10,0.9999999999999999,2
99,0.014,0.403,3.407,0.9999999999999999,3
100,0.014,0.395,10,0.9878787878787878,4
101,0.014,0.386,3.796,0.9999999999999999,5
102,0.014,0.386,10,0.9999999999999999,6
103,0.014,0.386,10,0.9999999999999999,7
104,0.014,0.339,10,0.9999999999999999,8
105,0.014,0.339,10,0.9515151515151514,9
106,0.014,0.329,10,0.9999999999999999,10
107,0.014,0.329,4.009,0.8060606060606059,11
108,0.014,0.329,10,0.9515151515151514,12
109,0.014,0.329,10,0.9878787878787878,13
110,0.014,0.329,10,0.8909090909090909,14
111,0.014,0.329,10,0.9999999999999999,15
112,0.014,0.329,10,0.8909090909090909,16
113,0.014,0.329,10,0.9999999999999999,17
114,0.014,0.329,10,0.9999999999999999,18
115,0.014,0.329,10,0.9999999999999999,19
116,0.014,0.329,10,0.9878787878787878,20
117,0.014,0.303,10,0.9999999999999999,21
118,0.014,0.303,10,0.9999999999999999,22
119,0.014,0.303,10,0.9999999999999999,23
120,0.014,0.303,10,0.9999999999999999,24
121,0.014,0.303,10,0.9999999999999999,25
122,0.014,0.303,10,0.9999999999999999,26
123,0.014,0.303,10,0.9999999999999999,27
124,0.014,0.303,10,0.8181818181818182,28
125,0.014,0.303,10,0.9999999999999999,29
126,0.014,0.303,10,0.5636363636363636,0
127,0.014,0.303,10,0.8909090909090909,1
128,0.014,0.303,10,0.6969696969696969,0
129,0.014,0.303,10,0.9999999999999999,1
130,0.014,0.28,10,0.9999999999999999,2
131,0.014,0.28,10,-0.18787878787878787,0
132,0.014,0.28,10,0.8060606060606059,1
133,0.014,0.272,10,0.9515151515151514,2
134,0.014,0.272,10,0.9999999999999999,3
135,0.014,0.272,10,0.3696969696969697,0
136,0.014,0.272,10,0.8060606060606059,1
137,0.014,0.272,10,0.8909090909090909,2
138,0.014,0.272,10,0.9999999999999999,3
139,0.014,0.272,10,0.9999999999999999,4
140,0.014,0.27,10,0.9999999999999999,5
141,0.014,0.27,10,0.9999999999999999,6
142,0.014,0.27,10,0.9999999999999999,7
143,0.014,0.27,10,0.9999999999999999,8
144,0.014,0.27,10,0.6969696969696969,0
145,0.014,0.27,10,0.9999999999999999,1
146,0.014,0.27,10,0.8060606060606059,2
147,0.014,0.27,10,0.9999999999999999,3
148,0.014,0.257,10,0.9999999999999999,4
149,0.014,0.255,10,0.22424242424242422,0
150,0.014,0.255,10,0.9999999999999999,1
151,0.014,0.255,10,0.9999999999999999,2
152,0.014,0.247,10,0.9999999999999999,3
153,0.014,0.247,10,0.9999999999999999,4
154,0.014,0.247,10,0.9999999999999999,5
155,0.014,0.247,10,0.9878787878787878,6
156,0.014,0.224,10,0.6727272727272726,0
157,0.014,0.224,10,0.9878787878787878,1
158,0.014,0.224,10,0.7454545454545454,0
159,0.014,0.224,10,0.8060606060606059,1
160,0.014,0.224,10,0.9878787878787878,2
