gen,min_score,med_score,max_score,spearman,conv_counter
1,1.511,2.465,10,0,0
2,1.511,2.368,3.216,0.9999999999999999,1
3,1.511,2.283,3.603,-0.22424242424242422,0
4,1.511,2.152,4.409,0.06666666666666665,0
5,1.511,2.105,3.083,0.04242424242424241,0
6,1.272,1.943,2.726,0.3939393939393939,0
7,0.747,1.868,3.498,-0.18787878787878787,0
8,0.455,1.788,3.363,0.7575757575757575,0
9,0.455,1.788,10,-0.6606060606060605,0
10,0.455,1.773,10,0.22424242424242422,0
11,0.455,1.741,3.157,-0.1515151515151515,0
12,0.455,1.625,10,0.9272727272727272,1
13,0.455,1.547,10,0.07878787878787878,0
14,0.455,1.482,10,0.3939393939393939,0
15,0.455,1.415,10,0.8666666666666665,1
16,0.455,1.38,10,0.6121212121212121,0
17,0.41,1.272,10,0.9272727272727272,1
18,0.41,1.225,4.097,0.6969696969696969,0
19,0.41,1.207,10,0.9757575757575757,1
20,0.41,1.207,3.612,0.0303030303030303,0
21,0.41,1.184,3.959,0.9878787878787878,1
22,0.41,1.158,3.883,0.9999999999999999,2
23,0.41,1.117,4.023,0.5272727272727272,0
24,0.41,1.081,10,0.7818181818181817,0
25,0.41,1.063,10,0.43030303030303024,0
26,0.41,1.063,10,0.9999999999999999,1
27,0.41,1.043,4.171,0.709090909090909,0
28,0.41,1.043,10,0.9515151515151514,1
29,0.41,1.043,10,0.8424242424242423,2
30,0.41,1.027,10,0.17575757575757575,0
31,0.41,1.027,10,0.9999999999999999,1
32,0.41,1.027,10,0.9151515151515152,2
33,0.41,1.004,10,0.406060606060606,0
34,0.41,1.004,3.547,0.8666666666666665,1
35,0.41,1.004,10,0.8424242424242423,2
36,0.376,0.985,10,0.9878787878787878,3
37,0.376,0.985,10,0.8787878787878788,4
38,0.376,0.974,10,0.8909090909090909,5
39,0.046,0.929,10,0.9878787878787878,6
40,0.046,0.906,10,0.9515151515151514,7
41,0.046,0.861,10,0.7939393939393938,0
42,0.046,0.814,10,0.6969696969696969,0
43,0.046,0.747,10,0.3696969696969697,0
44,0.046,0.73,10,0.6969696969696969,0
45,0.046,0.64,10,0.9636363636363635,1
46,0.046,0.64,2.92,0.9636363636363635,2
47,0.046,0.64,10,0.9999999999999999,3
48,0.046,0.611,10,0.9999999999999999,4
49,0.046,0.611,10,0.9515151515151514,5
50,0.046,0.611,10,0.9757575757575757,6
51,0.046,0.588,10,0.309090909090909,0
52,0.046,0.588,10,0.8909090909090909,1
53,0.046,0.588,10,0.8787878787878788,2
54,0.046,0.588,10,0.9999999999999999,3
55,0.046,0.588,10,0.6969696969696969,0
56,0.046,0.588,10,0.7212121212121211,0
57,0.046,0.588,10,0.8424242424242423,1
58,0.046,0.587,10,0.9999999999999999,2
59,0.046,0.587,10,0.22424242424242422,0
60,0.046,0.587,10,0.9878787878787878,1
61,0.046,0.587,10,0.2606060606060606,0
62,0.046,0.562,10,0.9999999999999999,1
63,0.046,0.496,10,0.9999999999999999,2
64,0.046,0.496,10,0.9999999999999999,3
65,0.046,0.496,10,0.9999999999999999,4
66,0.046,0.496,10,0.9999999999999999,5
67,0.046,0.496,10,0.9999999999999999,6
68,0.046,0.496,10,0.9272727272727272,7
69,0.046,0.496,10,0.9999999999999999,8
70,0.046,0.496,10,0.9999999999999999,9
71,0.046,0.496,10,0.9878787878787878,10
72,0.046,0.496,10,0.9999999999999999,11
73,0.046,0.496,10,0.9999999999999999,12
74,0.046,0.455,10,0.9878787878787878,13
75,0.046,0.455,10,0.9999999999999999,14
76,0.046,0.455,10,0.9999999999999999,15
77,0.046,0.455,10,0.9999999999999999,16
78,0.046,0.455,10,0.9999999999999999,17
79,0.046,0.455,10,0.9878787878787878,18
80,0.046,0.455,10,0.9999999999999999,19
81,0.046,0.455,10,0.9999999999999999,20
82,0.046,0.455,10,0.5636363636363636,0
83,0.046,0.455,10,0.9999999999999999,1
84,0.037,0.438,10,0.9999999999999999,2
85,0.037,0.421,10,0.9999999999999999,3
86,0.037,0.421,10,0.9999999999999999,4
87,0.037,0.421,10,0.9999999999999999,5
88,0.037,0.421,10,0.9999999999999999,6
89,0.037,0.421,10,0.9999999999999999,7
90,0.037,0.41,10,0.9999999999999999,8
91,0.037,0.41,10,0.9999999999999999,9
92,0.037,0.41,10,0.8424242424242423,10
