gen,min_score,med_score,max_score,spearman,conv_counter
1,1.511,2.465,10,0,0
2,1.511,2.25,3.429,0.9999999999999999,1
3,1.511,2.122,3.105,-0.2727272727272727,0
4,1.511,2.039,3.718,0.12727272727272726,0
5,1.433,1.924,2.809,0.12727272727272726,0
6,1.433,1.849,10,0.13939393939393938,0
7,1.395,1.739,4.635,0.04242424242424241,0
8,1.395,1.648,3.804,0.7333333333333332,0
9,1.395,1.618,3.744,0.406060606060606,0
10,1.395,1.56,10,0.7454545454545454,0
11,1.395,1.558,3.383,0.5272727272727272,0
12,1.395,1.545,3.901,-0.38181818181818183,0
13,1.395,1.532,3.403,0.13939393939393938,0
14,1.332,1.526,3.421,0.2606060606060606,0
15,1.332,1.511,3.02,0.9999999999999999,1
16,1.157,1.506,4.272,0.2121212121212121,0
17,1.157,1.481,3.245,0.8909090909090909,1
18,1.157,1.481,4.697,0.32121212121212117,0
19,1.157,1.461,5.0,0.9515151515151514,1
20,1.157,1.444,3.726,0.8060606060606059,2
21,1.157,1.439,10,0.07878787878787878,0
22,0.955,1.429,10,0.0303030303030303,0
23,0.7,1.425,4.031,0.9878787878787878,1
24,0.7,1.39,3.343,0.07878787878787878,0
25,0.7,1.349,10,0.9515151515151514,1
26,0.7,1.286,3.737,0.9999999999999999,2
27,0.7,0.999,10,0.5030303030303029,0
28,0.64,0.933,4.161,0.6484848484848483,0
29,0.472,0.902,4.237,0.49090909090909085,0
30,0.472,0.896,10,0.9515151515151514,1
31,0.472,0.878,3.033,0.9999999999999999,2
32,0.472,0.849,3.763,0.8060606060606059,3
33,0.472,0.842,10,0.22424242424242422,0
34,0.472,0.837,10,0.9999999999999999,1
35,0.472,0.83,4.129,0.9878787878787878,2
36,0.472,0.83,3.249,0.9999999999999999,3
37,0.472,0.821,3.377,0.9999999999999999,4
38,0.472,0.821,10,0.9999999999999999,5
39,0.472,0.821,3.25,0.9999999999999999,6
40,0.472,0.815,3.527,0.9999999999999999,7
41,0.472,0.815,3.719,0.9999999999999999,8
42,0.472,0.805,3.387,0.9515151515151514,9
43,0.472,0.796,10,0.9999999999999999,10
44,0.472,0.795,2.444,0.9999999999999999,11
45,0.472,0.795,10,0.9515151515151514,12
46,0.472,0.795,3.081,0.9999999999999999,13
47,0.472,0.795,10,0.9515151515151514,14
48,0.472,0.781,3.914,0.9999999999999999,15
49,0.472,0.775,3.714,0.9999999999999999,16
50,0.472,0.736,10,0.9999999999999999,17
51,0.472,0.721,4.592,0.9999999999999999,18
52,0.472,0.721,2.579,0.9999999999999999,19
53,0.472,0.712,4.218,0.4545454545454545,0
54,0.472,0.712,3.101,0.406060606060606,0
55,0.386,0.712,10,0.9999999999999999,1
56,0.386,0.71,10,0.9999999999999999,2
57,0.386,0.71,10,0.9999999999999999,3
58,0.386,0.705,10,0.9999999999999999,4
59,0.191,0.7,3.364,0.9999999999999999,5
60,0.191,0.7,10,0.5030303030303029,0
61,0.191,0.7,3.774,0.7454545454545454,0
62,0.191,0.699,4.184,0.22424242424242422,0
63,0.191,0.699,3.535,0.9999999999999999,1
64,0.191,0.671,3.802,0.8909090909090909,2
65,0.191,0.653,3.386,0.9878787878787878,3
66,0.191,0.64,4.173,0.9999999999999999,4
67,0.191,0.64,10,0.8060606060606059,5
68,0.191,0.59,3.386,0.9999999999999999,6
69,0.191,0.59,10,0.8060606060606059,7
70,0.191,0.59,3.457,0.5515151515151515,0
71,0.191,0.581,10,0.9999999999999999,1
72,0.191,0.581,10,0.8060606060606059,2
73,0.191,0.581,10,0.8060606060606059,3
74,0.191,0.581,10,0.8060606060606059,4
75,0.191,0.581,10,0.8181818181818182,5
76,0.191,0.547,4.258,0.8909090909090909,6
77,0.191,0.547,10,0.8060606060606059,7
78,0.191,0.547,10,0.33333333333333326,0
79,0.191,0.547,10,0.5636363636363636,0
80,0.191,0.547,10,0.9999999999999999,1
81,0.191,0.547,10,0.6606060606060605,0
82,0.191,0.547,10,0.9999999999999999,1
83,0.191,0.546,10,0.9999999999999999,2
84,0.191,0.546,4.426,0.8909090909090909,3
85,0.191,0.546,10,0.32121212121212117,0
86,0.191,0.546,10,0.5636363636363636,0
87,0.191,0.546,10,0.9999999999999999,1
88,0.191,0.541,10,0.9999999999999999,2
89,0.191,0.509,10,0.9999999999999999,3
90,0.191,0.509,10,0.9999999999999999,4
