gen,min_score,med_score,max_score,spearman,conv_counter
1,1.398,2.519,10,0,0
2,1.398,2.235,3.751,0.9999999999999999,1
3,0.404,2.071,10,0.09090909090909088,0
4,0.404,1.958,2.946,0.07878787878787878,0
5,0.404,1.678,10,-0.2606060606060606,0
6,0.404,1.553,3.539,-0.23636363636363633,0
7,0.404,1.553,10,0.3696969696969697,0
8,0.404,1.468,10,-0.10303030303030303,0
9,0.404,1.465,3.633,0.6121212121212121,0
10,0.404,1.424,3.533,-0.4545454545454545,0
11,0.404,1.415,4.4,0.3939393939393939,0
12,0.404,1.371,4.162,0.5878787878787878,0
13,0.118,1.354,10,0.8909090909090909,1
14,0.118,1.177,10,0.9999999999999999,2
15,0.118,1.099,10,0.2121212121212121,0
16,0.118,1.098,10,-0.23636363636363633,0
17,0.118,1.037,10,0.9272727272727272,1
18,0.118,1.016,10,0.6727272727272726,0
19,0.041,0.987,4.659,0.7454545454545454,0
20,0.041,0.981,10,0.19999999999999998,0
21,0.041,0.981,10,0.9999999999999999,1
22,0.041,0.977,10,0.9878787878787878,2
23,0.041,0.939,4.291,0.6606060606060605,0
24,0.041,0.924,4.659,0.41818181818181815,0
25,0.041,0.924,2.588,0.406060606060606,0
26,0.041,0.87,10,0.9999999999999999,1
27,0.041,0.87,10,0.6484848484848483,0
28,0.041,0.87,10,0.35757575757575755,0
29,0.041,0.87,3.04,0.9999999999999999,1
30,0.041,0.855,10,0.9999999999999999,2
31,0.041,0.851,10,0.9999999999999999,3
32,0.041,0.771,10,0.5515151515151515,0
33,0.041,0.771,10,0.6606060606060605,0
34,0.041,0.771,3.099,0.9999999999999999,1
35,0.041,0.771,3.891,0.6121212121212121,0
36,0.041,0.771,3.344,0.9999999999999999,1
37,0.041,0.771,10,0.9878787878787878,2
38,0.041,0.756,3.452,0.9999999999999999,3
39,0.041,0.756,2.89,0.406060606060606,0
40,0.041,0.756,3.793,0.9999999999999999,1
41,0.041,0.756,3.099,0.6606060606060605,0
42,0.041,0.756,10,0.6606060606060605,0
43,0.041,0.756,4.4,0.9999999999999999,1
44,0.041,0.756,4.4,0.8424242424242423,2
45,0.041,0.756,3.891,0.9999999999999999,3
46,0.041,0.756,4.521,0.9999999999999999,4
47,0.041,0.756,10,0.9999999999999999,5
48,0.041,0.739,2.88,0.5636363636363636,0
49,0.041,0.739,10,0.9999999999999999,1
50,0.041,0.715,10,0.8060606060606059,2
51,0.041,0.715,10,0.9999999999999999,3
52,0.041,0.697,3.616,0.9999999999999999,4
53,0.041,0.656,10,0.9999999999999999,5
54,0.041,0.656,10,0.406060606060606,0
55,0.041,0.656,4.165,0.9999999999999999,1
56,0.041,0.656,4.177,0.8060606060606059,2
57,0.041,0.656,3.126,0.9999999999999999,3
58,0.041,0.655,3.727,0.9999999999999999,4
59,0.041,0.655,10,0.9999999999999999,5
60,0.041,0.655,10,0.9999999999999999,6
61,0.041,0.655,10,0.9999999999999999,7
62,0.041,0.655,10,0.9878787878787878,8
63,0.041,0.655,10,0.9999999999999999,9
64,0.041,0.655,3.699,0.9999999999999999,10
65,0.041,0.655,4.237,0.9999999999999999,11
66,0.041,0.655,4.659,0.9999999999999999,12
67,0.041,0.655,3.458,0.9999999999999999,13
68,0.041,0.655,10,0.9999999999999999,14
69,0.041,0.655,3.045,0.6969696969696969,0
70,0.041,0.655,4.4,0.5636363636363636,0
71,0.041,0.655,10,0.9999999999999999,1
72,0.041,0.655,2.754,0.9999999999999999,2
73,0.041,0.655,10,0.9999999999999999,3
74,0.041,0.655,2.997,0.9878787878787878,4
75,0.041,0.655,3.259,0.9999999999999999,5
76,0.041,0.655,3.657,0.9999999999999999,6
77,0.041,0.655,10,0.9999999999999999,7
78,0.041,0.655,4.659,0.9999999999999999,8
79,0.041,0.639,3.375,0.6969696969696969,0
80,0.041,0.631,10,0.9999999999999999,1
81,0.041,0.624,10,0.9999999999999999,2
82,0.041,0.624,10,0.9999999999999999,3
83,0.041,0.624,4.321,0.9999999999999999,4
84,0.041,0.611,2.42,0.9999999999999999,5
85,0.041,0.611,4.657,0.9999999999999999,6
86,0.041,0.611,10,0.9999999999999999,7
87,0.041,0.611,3.926,0.9999999999999999,8
88,0.041,0.611,10,0.9999999999999999,9
89,0.041,0.611,10,0.9999999999999999,10
90,0.041,0.611,3.975,0.8787878787878788,11
91,0.041,0.59,3.575,0.8909090909090909,12
92,0.041,0.59,10,0.9999999999999999,13
93,0.041,0.59,3.949,0.9999999999999999,14
94,0.041,0.58,3.459,0.9999999999999999,15
95,0.041,0.58,2.824,0.9999999999999999,16
96,0.041,0.58,10,0.9515151515151514,17
97,0.041,0.58,4.271,0.6969696969696969,0
98,0.041,0.551,10,0.8181818181818182,1
99,0.041,0.551,3.523,0.9999999999999999,2
100,0.041,0.551,3.599,0.8909090909090909,3
101,0.041,0.551,4.012,0.9999999999999999,4
102,0.041,0.551,3.521,0.9999999999999999,5
103,0.041,0.551,10,0.9999999999999999,6
104,0.041,0.551,10,0.01818181818181818,0
105,0.041,0.551,10,0.9999999999999999,1
106,0.041,0.551,3.577,0.9999999999999999,2
107,0.041,0.516,4.606,0.9999999999999999,3
108,0.041,0.516,10,0.9999999999999999,4
109,0.041,0.516,4.162,0.9999999999999999,5
110,0.041,0.503,10,0.9999999999999999,6
111,0.041,0.496,3.94,0.9878787878787878,7
112,0.041,0.496,10,0.6969696969696969,0
113,0.041,0.496,4.192,0.9999999999999999,1
114,0.041,0.496,3.724,0.9999999999999999,2
115,0.041,0.483,4.628,0.9515151515151514,3
116,0.041,0.483,3.858,0.9999999999999999,4
117,0.041,0.483,10,0.9999999999999999,5
118,0.041,0.483,4.342,0.9999999999999999,6
119,0.041,0.483,10,0.9999999999999999,7
120,0.041,0.457,3.853,0.9999999999999999,8
121,0.041,0.457,10,0.9999999999999999,9
122,0.041,0.457,3.32,0.5636363636363636,0
123,0.041,0.457,4.195,0.9999999999999999,1
124,0.041,0.457,10,0.9999999999999999,2
125,0.041,0.457,4.192,0.6969696969696969,0
126,0.041,0.457,10,0.9999999999999999,1
127,0.041,0.457,10,0.9999999999999999,2
128,0.041,0.457,4.601,0.9999999999999999,3
129,0.041,0.457,10,0.8909090909090909,4
130,0.041,0.457,3.826,0.9999999999999999,5
131,0.041,0.457,4.195,0.9515151515151514,6
132,0.041,0.457,10,0.9999999999999999,7
133,0.041,0.457,4.195,0.9999999999999999,8
134,0.041,0.457,10,0.9878787878787878,9
135,0.041,0.457,4.606,0.9999999999999999,10
136,0.041,0.457,10,0.9999999999999999,11
137,0.041,0.457,3.825,0.9999999999999999,12
138,0.041,0.457,4.606,0.9999999999999999,13
139,0.041,0.457,4.05,0.9999999999999999,14
140,0.041,0.457,10,0.9999999999999999,15
141,0.041,0.457,3.454,0.9999999999999999,16
142,0.041,0.457,4.192,0.9999999999999999,17
143,0.041,0.457,10,0.9999999999999999,18
144,0.041,0.457,4.508,0.9999999999999999,19
145,0.041,0.457,10,0.9999999999999999,20
146,0.041,0.457,3.903,0.9878787878787878,21
147,0.041,0.457,10,0.9999999999999999,22
148,0.041,0.457,10,0.9999999999999999,23
149,0.041,0.457,10,0.9999999999999999,24
