gen,min_score,med_score,max_score,spearman,conv_counter
1,558.022979,719.86243,1079.717905,0,0
2,583.908496,795.952233,1080.996115,0.9999999999999999,1
3,562.814747,891.748432,1173.539003,-0.34545454545454546,0
4,755.829714,977.075253,1467.979319,-0.406060606060606,0
5,387.281067,1073.845677,1467.979319,0.05454545454545454,0
6,645.309361,1113.137925,1476.004095,-0.28484848484848485,0
7,803.997006,1153.809939,1476.004095,0.1515151515151515,0
8,737.865508,1165.46528,1957.920674,-0.24848484848484845,0
9,665.596176,1168.356055,1957.920674,0.5272727272727272,0
10,704.57434,1192.772836,2036.040781,0.16363636363636364,0
11,681.703384,1216.085961,2036.040781,0.4545454545454545,0
12,874.720149,1277.066317,2036.040781,0.6363636363636362,0
13,811.609827,1342.584287,2036.040781,-0.0303030303030303,0
14,482.48783,1470.612127,2440.284581,0.6606060606060605,0
15,704.854899,1698.21276,2596.343192,0.6484848484848483,0
16,895.87642,1692.222414,2596.343192,0.6969696969696969,0
17,750.797595,1770.079106,2596.343192,0.7696969696969697,0
18,834.506019,1771.90834,2596.343192,0.6242424242424242,0
19,978.124984,1805.405601,2596.343192,0.10303030303030303,0
20,822.958278,1818.606261,2596.343192,0.9999999999999999,1
21,995.672038,1771.90834,2596.343192,0.8545454545454544,2
22,953.630392,1823.935731,2596.343192,0.9999999999999999,3
23,928.0122,1830.923208,2596.343192,0.1515151515151515,0
24,780.541146,1850.370671,2596.343192,-0.2121212121212121,0
25,981.502708,1850.409572,2596.343192,0.9999999999999999,1
26,920.457367,1892.599317,2596.343192,0.4424242424242424,0
27,1008.891678,1894.437793,2596.343192,0.309090909090909,0
28,886.673788,1898.996704,2596.343192,0.9999999999999999,1
29,784.630305,1902.010998,2596.343192,0.22424242424242422,0
30,1068.006101,1873.467219,2596.343192,0.9878787878787878,1
31,880.427051,1745.521526,2596.343192,0.9999999999999999,2
32,971.148355,1892.599317,2596.343192,0.9878787878787878,3
33,1054.942124,1904.737925,2596.343192,0.9999999999999999,4
34,862.980671,1909.12143,2596.343192,-0.17575757575757575,0
35,903.058541,1892.599317,2596.343192,0.5636363636363636,0
36,966.109381,1904.737925,2596.343192,0.9999999999999999,1
37,894.939,1873.467219,2596.343192,0.9999999999999999,2
38,883.438058,1892.599317,2596.343192,0.9393939393939393,3
39,896.42299,1894.437793,2596.343192,0.9999999999999999,4
40,876.326627,1892.599317,2596.343192,0.9878787878787878,5
41,996.056785,1687.316208,2596.343192,0.9999999999999999,6
42,883.189067,1892.599317,2596.343192,0.9999999999999999,7
43,921.089529,1892.599317,2596.343192,0.9878787878787878,8
44,986.519469,1950.368569,2596.343192,0.9999999999999999,9
45,906.275138,1863.074411,2596.343192,0.9999999999999999,10
46,910.932833,1894.437793,2596.343192,0.9999999999999999,11
47,930.383315,1950.368569,2596.343192,0.01818181818181818,0
48,905.447837,1950.993838,2596.343192,0.9999999999999999,1
49,892.971467,1909.12143,2596.343192,0.9999999999999999,2
50,957.250852,1904.737925,2596.343192,0.9999999999999999,3
51,921.306606,1909.12143,2596.343192,0.9515151515151514,4
52,789.274984,1909.12143,2596.343192,0.9999999999999999,5
53,893.199037,1894.437793,2596.343192,0.5636363636363636,0
54,958.554042,1892.209359,2596.343192,0.9999999999999999,1
55,902.496895,1950.368569,2596.343192,0.406060606060606,0
56,921.645839,1909.12143,2596.343192,0.9999999999999999,1
57,1070.023725,1892.599317,2596.343192,0.9999999999999999,2
58,976.695235,1951.393958,2596.343192,0.9272727272727272,3
59,970.843331,1957.920674,2596.343192,0.9999999999999999,4
60,949.04235,1909.12143,2596.343192,0.5636363636363636,0
61,1014.439021,1957.920674,2596.343192,0.9999999999999999,1
62,1022.013702,1950.368569,2596.343192,0.9999999999999999,2
63,1342.678174,1926.615723,2596.343192,0.406060606060606,0
64,934.659941,1909.12143,2596.343192,0.9999999999999999,1
65,970.468005,1894.437793,2596.343192,0.9999999999999999,2
66,1194.639936,1902.890656,2596.343192,0.9999999999999999,3
67,996.887748,1890.378605,2596.343192,0.9999999999999999,4
68,1113.189232,1850.648285,2596.343192,0.9999999999999999,5
69,925.123165,1931.250098,2596.343192,0.9999999999999999,6
70,1048.629374,1890.378605,2596.343192,0.9999999999999999,7
71,954.687239,1919.37172,2596.343192,0.9999999999999999,8
72,1006.013847,1904.737925,2596.343192,0.9515151515151514,9
73,946.263117,1950.368569,2596.343192,0.9999999999999999,10
74,1084.704497,1957.920674,2596.343192,0.9515151515151514,11
75,1099.81018,1953.61785,2596.343192,0.9878787878787878,12
76,825.696148,1909.12143,2596.343192,0.9999999999999999,13
77,868.342883,1881.907819,2596.343192,0.9999999999999999,14
78,810.800854,1957.920674,2596.343192,0.9999999999999999,15
79,1024.364773,1909.12143,2596.343192,0.9999999999999999,16
80,952.973411,1957.993939,2596.343192,0.8909090909090909,17
81,1019.088767,1957.993939,2596.343192,0.9999999999999999,18
82,964.501367,1904.737925,2596.343192,0.9999999999999999,19
83,919.645437,1951.836398,2596.343192,0.9999999999999999,20
84,972.411722,1950.368569,2596.343192,0.9878787878787878,21
85,1038.311733,1968.255133,2596.343192,0.9999999999999999,22
86,1037.66148,1970.163738,2596.343192,0.9999999999999999,23
87,913.905958,1904.737925,2596.343192,0.9999999999999999,24
88,1153.927602,1972.376711,2596.343192,0.9999999999999999,25
89,1003.695556,1982.759071,2596.343192,0.9999999999999999,26
90,1131.557993,1957.993939,2596.343192,0.9999999999999999,27
91,1047.327014,1951.836398,2596.343192,0.9636363636363635,28
92,1141.332621,1957.993939,2596.343192,0.9999999999999999,29
93,1052.889085,1618.75399,2596.343192,0.9999999999999999,30
94,1021.376657,1957.920674,2596.343192,0.9999999999999999,31
95,1090.424231,1951.836398,2596.343192,0.9999999999999999,32
96,1133.580237,1957.920674,2596.343192,0.22424242424242422,0
97,1013.563263,1957.920674,2596.343192,0.9999999999999999,1
98,983.468814,1957.920674,2596.343192,0.9999999999999999,2
99,914.366153,1926.615723,2596.343192,0.9515151515151514,3
100,1028.051277,1909.12143,2596.343192,0.9999999999999999,4
101,1175.710567,1957.920674,2596.343192,0.9999999999999999,5
102,1051.256404,1950.368569,2596.343192,0.9999999999999999,6
103,1106.722926,1909.12143,2596.343192,0.9999999999999999,7
104,1131.322591,1652.607456,2596.343192,0.406060606060606,0
105,1127.568603,1957.993939,2596.343192,0.9999999999999999,1
106,1027.687834,1950.368569,2596.343192,0.9999999999999999,2
107,962.592695,1957.993939,2596.343192,0.9999999999999999,3
108,1099.779762,1957.993939,2596.343192,0.9999999999999999,4
109,1064.167754,1957.920674,2596.343192,0.406060606060606,0
110,1005.054537,1909.12143,2596.343192,0.9636363636363635,1
111,1017.181196,1888.629765,2596.343192,0.9999999999999999,2
112,1082.66399,1957.920674,2596.343192,0.9999999999999999,3
113,953.342423,1888.629765,2596.343192,0.9999999999999999,4
114,1051.433456,1850.946584,2596.343192,0.9999999999999999,5
115,1007.679086,1957.993939,2596.343192,0.9999999999999999,6
116,1033.547877,1970.297437,2596.343192,0.9999999999999999,7
117,1099.306322,1950.368569,2596.343192,0.9999999999999999,8
118,995.218843,1957.993939,2596.343192,0.9999999999999999,9
119,1039.308806,1926.615723,2596.343192,0.9999999999999999,10
120,1133.918007,1957.920674,2596.343192,0.9999999999999999,11
121,1074.455792,1957.920674,2596.343192,0.406060606060606,0
122,1330.888171,1957.920674,2596.343192,0.406060606060606,0
123,983.233298,1890.822818,2596.343192,0.9999999999999999,1
124,1061.273623,1820.947796,2596.343192,0.9999999999999999,2
125,1153.375999,1950.368569,2596.343192,0.9999999999999999,3
126,1003.971837,1987.07255,2596.343192,0.9999999999999999,4
127,1007.221327,1957.993939,2596.343192,0.9999999999999999,5
128,966.452542,2017.935842,2596.343192,0.9999999999999999,6
129,993.929416,1896.289753,2596.343192,0.9999999999999999,7
130,1040.55263,2017.935842,2596.343192,0.4545454545454545,0
131,928.171407,1890.822818,2596.343192,0.5636363636363636,0
132,1464.578954,1957.993939,2596.343192,0.9999999999999999,1
133,1176.218784,2017.935842,2596.343192,0.9999999999999999,2
134,1124.335345,1950.368569,2596.343192,0.9999999999999999,3
135,1053.124374,1957.993939,2596.343192,0.006060606060606061,0
136,973.886609,1888.629765,2596.343192,0.9515151515151514,1
137,912.866469,1957.993939,2596.343192,0.9999999999999999,2
138,1074.660072,1950.368569,2596.343192,0.8909090909090909,3
139,1034.556394,1957.993939,2596.343192,0.9999999999999999,4
140,989.842247,1957.920674,2596.343192,0.9999999999999999,5
141,1048.804672,1840.32858,2596.343192,0.9999999999999999,6
142,848.214518,1946.645257,2596.343192,0.9999999999999999,7
143,962.565172,1953.61785,2596.343192,0.9999999999999999,8
144,1074.517529,1957.993939,2596.343192,0.9999999999999999,9
145,1062.767597,1957.920674,2596.343192,0.9999999999999999,10
146,1198.801061,2017.935842,2596.343192,0.9999999999999999,11
147,1115.182023,2017.935842,2596.343192,0.9999999999999999,12
148,992.422343,1950.368569,2596.343192,0.9999999999999999,13
149,1254.556182,1946.645257,2596.343192,0.9999999999999999,14
150,1048.928423,1885.516707,2596.343192,0.9999999999999999,15
151,979.88042,1850.409572,2596.343192,0.9999999999999999,16
152,1115.938416,1863.074411,2596.343192,0.9999999999999999,17
153,954.722587,2017.935842,2596.343192,-0.18787878787878787,0
154,1321.931621,2017.935842,2596.343192,0.9999999999999999,1
155,1201.766606,1957.920674,2596.343192,0.9999999999999999,2
156,971.16376,1957.993939,2596.343192,0.9999999999999999,3
157,973.822723,1951.836398,2596.343192,0.9999999999999999,4
158,1150.819319,1957.993939,2596.343192,0.9999999999999999,5
159,973.822723,1957.993939,2596.343192,0.9999999999999999,6
160,1201.766606,1957.920674,2596.343192,0.9999999999999999,7
161,1004.425734,1950.368569,2596.343192,0.9999999999999999,8
162,1019.888849,1951.836398,2596.343192,0.9999999999999999,9
163,970.269962,1957.993939,2596.343192,0.9636363636363635,10
164,1022.768314,1946.645257,2596.343192,0.9999999999999999,11
165,959.903139,1888.629765,2596.343192,0.9999999999999999,12
166,1079.748292,1957.993939,2596.343192,0.9999999999999999,13
167,1024.607879,1946.645257,2596.343192,0.9999999999999999,14
168,1099.306322,1957.993939,2596.343192,0.9999999999999999,15
169,965.871531,1888.629765,2596.343192,0.9999999999999999,16
170,1053.3236,1957.920674,2596.343192,0.9999999999999999,17
171,1012.764791,1987.07255,2596.343192,0.9999999999999999,18
172,1118.656121,2017.935842,2596.343192,0.9999999999999999,19
173,977.034373,1957.993939,2596.343192,0.9999999999999999,20
