gen,min_score,med_score,max_score,spearman,conv_counter
1,1.887,2.608,4.138,0,0
2,1.887,2.302,10,0.9999999999999999,1
3,1.887,2.209,3.745,0.5878787878787878,0
4,1.738,2.188,3.763,0.406060606060606,0
5,1.441,2.163,3.618,-0.2606060606060606,0
6,1.435,2.081,2.726,0.10303030303030303,0
7,1.335,2.024,3.052,0.7575757575757575,0
8,1.335,1.984,10,0.5515151515151515,0
9,1.335,1.969,10,-0.34545454545454546,0
10,1.335,1.962,2.786,0.5515151515151515,0
11,1.207,1.948,4.133,0.5636363636363636,0
12,1.207,1.948,4.336,0.9878787878787878,1
13,1.207,1.869,3.469,-0.2121212121212121,0
14,1.207,1.836,3.127,0.9999999999999999,1
15,1.207,1.738,3.378,0.23636363636363633,0
16,1.184,1.729,10,0.9999999999999999,1
17,0.462,1.604,10,0.9878787878787878,2
18,0.462,1.57,3.716,0.5636363636363636,0
19,0.462,1.435,10,0.8060606060606059,1
20,0.462,1.396,10,0.7454545454545454,0
21,0.462,1.377,3.548,0.49090909090909085,0
22,0.462,1.347,4.614,0.07878787878787878,0
23,0.462,1.347,4.614,-0.13939393939393938,0
24,0.462,1.346,4.398,0.9999999999999999,1
25,0.462,1.279,10,0.8909090909090909,2
26,0.462,1.274,10,0.9515151515151514,3
27,0.462,1.234,10,0.8545454545454544,4
28,0.462,1.226,3.545,0.9878787878787878,5
29,0.462,1.188,3.655,0.6969696969696969,0
30,0.041,1.172,3.938,0.9999999999999999,1
31,0.041,1.157,3.584,0.9272727272727272,2
32,0.041,1.12,3.717,0.8666666666666665,3
33,0.041,1.093,10,0.8545454545454544,4
34,0.041,1.077,4.382,0.9636363636363635,5
35,0.041,0.926,10,0.8787878787878788,6
36,0.041,0.92,10,0.6969696969696969,0
37,0.041,0.92,10,0.28484848484848485,0
38,0.041,0.92,10,0.7212121212121211,0
39,0.041,0.92,4.083,0.5030303030303029,0
40,0.041,0.92,3.984,0.9999999999999999,1
41,0.041,0.882,3.924,0.6969696969696969,0
42,0.041,0.863,3.238,0.9999999999999999,1
43,0.041,0.813,4.156,0.6969696969696969,0
44,0.041,0.808,10,0.6969696969696969,0
45,0.041,0.798,4.27,0.9999999999999999,1
46,0.041,0.798,3.655,0.3939393939393939,0
47,0.041,0.794,4.142,0.6969696969696969,0
48,0.041,0.702,3.733,0.9272727272727272,1
49,0.041,0.702,10,0.6969696969696969,0
50,0.041,0.702,10,0.9999999999999999,1
51,0.041,0.702,4.129,0.8909090909090909,2
52,0.041,0.693,2.557,0.9999999999999999,3
53,0.041,0.693,10,0.9999999999999999,4
54,0.041,0.693,3.984,0.9515151515151514,5
55,0.041,0.693,10,0.8787878787878788,6
56,0.041,0.693,10,0.8787878787878788,7
57,0.041,0.693,10,0.9999999999999999,8
58,0.041,0.693,4.04,0.8909090909090909,9
59,0.041,0.693,4.553,0.7454545454545454,0
60,0.041,0.693,3.451,0.5636363636363636,0
61,0.041,0.693,4.798,0.7818181818181817,0
62,0.041,0.693,3.761,-0.2727272727272727,0
63,0.041,0.683,10,0.11515151515151514,0
64,0.041,0.683,3.612,0.9999999999999999,1
65,0.041,0.683,3.674,0.5636363636363636,0
66,0.041,0.683,4.055,0.9999999999999999,1
67,0.041,0.683,3.959,0.9999999999999999,2
68,0.041,0.683,4.266,0.9878787878787878,3
69,0.041,0.683,4.389,0.9999999999999999,4
70,0.041,0.683,3.197,0.9999999999999999,5
71,0.041,0.683,3.862,0.9999999999999999,6
72,0.041,0.683,10,0.9999999999999999,7
73,0.041,0.668,4.358,0.9999999999999999,8
74,0.041,0.611,10,0.9999999999999999,9
75,0.041,0.611,10,0.9999999999999999,10
76,0.041,0.611,10,0.9999999999999999,11
