gen,min_score,med_score,max_score,spearman,conv_counter
1,1.398,2.519,10,0,0
2,1.353,2.415,4.159,0.9999999999999999,1
3,1.353,2.244,10,0.2606060606060606,0
4,1.353,2.117,10,0.12727272727272726,0
5,1.353,2.053,3.912,-0.33333333333333326,0
6,1.349,1.846,10,0.32121212121212117,0
7,1.349,1.589,3.468,-0.43030303030303024,0
8,1.349,1.588,4.02,0.5393939393939393,0
9,1.263,1.553,3.573,0.04242424242424241,0
10,1.258,1.503,10,-0.0303030303030303,0
11,1.04,1.465,3.709,0.9151515151515152,1
12,1.04,1.415,4.604,0.7333333333333332,0
13,1.04,1.398,10,0.0303030303030303,0
14,1.04,1.389,3.56,0.24848484848484845,0
15,1.04,1.361,10,0.22424242424242422,0
16,1.04,1.361,4.42,0.5515151515151515,0
17,1.04,1.361,3.318,0.8060606060606059,1
18,1.04,1.349,3.744,0.5030303030303029,0
19,0.718,1.34,10,0.7212121212121211,0
20,0.718,1.337,10,0.6727272727272726,0
21,0.718,1.331,10,0.5393939393939393,0
22,0.718,1.32,3.433,0.33333333333333326,0
23,0.718,1.309,10,0.3939393939393939,0
24,0.718,1.272,10,0.6606060606060605,0
25,0.718,1.263,10,0.6848484848484848,0
26,0.718,1.263,3.468,0.49090909090909085,0
27,0.718,1.245,10,0.9636363636363635,1
28,0.718,1.228,3.534,0.23636363636363633,0
29,0.718,1.211,3.851,0.9151515151515152,1
30,0.718,1.206,4.314,0.2606060606060606,0
31,0.714,1.184,10,0.6969696969696969,0
32,0.714,1.154,3.822,0.9999999999999999,1
33,0.714,1.103,3.718,0.9999999999999999,2
34,0.714,1.103,3.891,0.9878787878787878,3
35,0.714,1.093,3.851,0.4787878787878787,0
36,0.714,1.047,10,0.5636363636363636,0
37,0.714,1.042,3.952,0.9999999999999999,1
38,0.714,1.024,4.584,0.9999999999999999,2
39,0.549,1.023,3.781,0.05454545454545454,0
40,0.549,1.003,4.309,0.8060606060606059,1
41,0.516,0.926,10,0.6606060606060605,0
42,0.516,0.923,10,0.406060606060606,0
43,0.516,0.915,10,0.7818181818181817,0
44,0.516,0.915,10,0.8909090909090909,1
45,0.516,0.915,10,0.9999999999999999,2
46,0.516,0.911,10,-0.5757575757575757,0
47,0.516,0.909,4.003,0.8545454545454544,1
48,0.516,0.909,10,0.8060606060606059,2
49,0.516,0.904,3.933,0.9515151515151514,3
50,0.516,0.904,3.809,0.406060606060606,0
51,0.516,0.886,3.834,0.9999999999999999,1
52,0.516,0.861,4.099,0.9999999999999999,2
53,0.516,0.85,3.431,0.406060606060606,0
54,0.516,0.837,3.904,0.9999999999999999,1
55,0.516,0.837,4.297,0.9878787878787878,2
56,0.516,0.837,3.445,0.7454545454545454,0
57,0.516,0.814,3.797,0.8181818181818182,1
58,0.516,0.812,3.739,0.8909090909090909,2
59,0.427,0.808,3.66,0.9999999999999999,3
60,0.427,0.808,3.739,0.9999999999999999,4
61,0.427,0.804,10,0.9999999999999999,5
62,0.228,0.793,3.825,0.22424242424242422,0
63,0.228,0.746,3.66,0.8909090909090909,1
64,0.228,0.746,3.811,0.9999999999999999,2
65,0.228,0.746,4.269,0.5636363636363636,0
