gen,min_score,med_score,max_score,spearman,conv_counter
1,1.941,2.655,10,0,0
2,1.843,2.324,3.904,0.9999999999999999,1
3,1.843,2.213,3.847,0.4787878787878787,0
4,1.532,2.129,4.302,0.23636363636363633,0
5,1.532,2.11,4.235,0.2727272727272727,0
6,1.532,2.075,4.187,0.28484848484848485,0
7,1.532,2.063,3.234,0.6727272727272726,0
8,1.532,2.025,3.691,0.1515151515151515,0
9,1.532,2.025,4.297,0.11515151515151514,0
10,1.532,1.998,10,0.9030303030303028,1
11,1.532,1.974,3.961,0.7939393939393938,0
12,1.532,1.961,4.055,0.0303030303030303,0
13,0.842,1.955,3.163,0.406060606060606,0
14,0.842,1.938,10,0.9999999999999999,1
15,0.842,1.92,3.867,0.9030303030303028,2
16,0.842,1.914,3.577,0.9393939393939393,3
17,0.842,1.905,3.255,0.9515151515151514,4
18,0.842,1.894,4.101,0.10303030303030303,0
19,0.842,1.829,3.659,0.7696969696969697,0
20,0.842,1.817,10,0.309090909090909,0
21,0.842,1.792,3.293,0.7696969696969697,0
22,0.842,1.792,10,0.7696969696969697,0
23,0.842,1.747,10,0.8424242424242423,1
24,0.842,1.747,10,0.9272727272727272,2
25,0.842,1.688,10,0.6727272727272726,0
26,0.842,1.617,10,0.6727272727272726,0
27,0.842,1.617,10,0.9878787878787878,1
28,0.842,1.617,10,0.9999999999999999,2
29,0.842,1.532,10,0.3696969696969697,0
30,0.842,1.323,10,0.6969696969696969,0
31,0.842,1.323,10,0.22424242424242422,0
32,0.842,1.323,10,0.5878787878787878,0
33,0.842,1.297,10,0.6969696969696969,0
34,0.842,1.292,10,0.6969696969696969,0
35,0.842,1.244,10,0.9515151515151514,1
36,0.564,1.237,10,0.9878787878787878,2
37,0.564,1.232,4.045,0.9878787878787878,3
38,0.564,1.217,10,0.6484848484848483,0
39,0.564,1.217,3.831,0.9999999999999999,1
40,0.564,1.211,10,0.9999999999999999,2
41,0.564,1.187,10,0.9999999999999999,3
42,0.564,1.187,10,0.8666666666666665,4
43,0.564,1.187,10,0.9636363636363635,5
44,0.564,1.184,10,0.9999999999999999,6
45,0.564,1.184,10,0.8060606060606059,7
46,0.564,1.167,4.155,0.18787878787878787,0
47,0.564,1.167,10,0.9999999999999999,1
48,0.564,1.167,10,0.2606060606060606,0
49,0.564,1.156,10,0.6484848484848483,0
50,0.564,1.141,4.814,0.9999999999999999,1
51,0.564,1.141,10,0.9999999999999999,2
52,0.564,1.141,10,0.9999999999999999,3
53,0.564,1.107,4.684,0.9999999999999999,4
54,0.564,1.107,4.013,0.9999999999999999,5
55,0.564,1.103,4.372,0.9999999999999999,6
56,0.564,1.081,3.684,0.9999999999999999,7
57,0.564,1.066,10,0.8787878787878788,8
58,0.564,1.049,10,-0.17575757575757575,0
59,0.564,1.049,3.923,0.5636363636363636,0
60,0.564,1.043,10,0.9999999999999999,1
61,0.564,1.04,10,0.01818181818181818,0
62,0.564,1.01,10,0.01818181818181818,0
63,0.564,1.01,10,0.01818181818181818,0
64,0.564,1.01,4.116,0.01818181818181818,0
65,0.564,1.01,10,0.01818181818181818,0
66,0.564,0.998,10,0.9999999999999999,1
67,0.564,0.985,3.667,-0.0303030303030303,0
68,0.564,0.985,10,0.01818181818181818,0
69,0.564,0.985,10,0.01818181818181818,0
70,0.564,0.982,10,0.01818181818181818,0
71,0.564,0.961,4.587,0.01818181818181818,0
72,0.564,0.961,4.412,0.01818181818181818,0
73,0.564,0.949,10,0.01818181818181818,0
74,0.564,0.949,4.102,0.2606060606060606,0
75,0.564,0.949,10,0.9999999999999999,1
76,0.482,0.948,10,0.9999999999999999,2
77,0.482,0.942,10,0.9999999999999999,3
78,0.482,0.942,4.068,0.8787878787878788,4
79,0.482,0.942,3.609,0.6969696969696969,0
80,0.482,0.942,10,0.6969696969696969,0
81,0.482,0.942,10,0.8060606060606059,1
82,0.482,0.942,10,0.7454545454545454,0
83,0.482,0.942,10,0.9999999999999999,1
84,0.482,0.942,3.927,0.9999999999999999,2
85,0.482,0.942,10,0.9999999999999999,3
86,0.482,0.93,10,0.9999999999999999,4
87,0.482,0.93,4.165,0.9999999999999999,5
88,0.482,0.93,10,0.9393939393939393,6
89,0.482,0.93,4.203,0.9999999999999999,7
90,0.482,0.93,4.587,0.7696969696969697,0
91,0.482,0.926,10,0.6969696969696969,0
92,0.482,0.926,10,0.9515151515151514,1
93,0.482,0.912,4.814,0.7454545454545454,0
94,0.024,0.842,4.418,0.7939393939393938,0
95,0.024,0.842,10,0.8060606060606059,1
96,0.024,0.84,3.955,0.9878787878787878,2
97,0.024,0.836,10,0.9999999999999999,3
98,0.024,0.836,3.747,0.9515151515151514,4
99,0.024,0.822,3.83,0.9999999999999999,5
100,0.024,0.72,10,0.9999999999999999,6
101,0.024,0.72,10,0.8909090909090909,7
102,0.024,0.72,10,0.9999999999999999,8
103,0.024,0.72,3.998,0.9999999999999999,9
104,0.024,0.72,10,0.9999999999999999,10
105,0.024,0.72,4.608,0.9999999999999999,11
106,0.024,0.72,4.215,0.9999999999999999,12
107,0.024,0.72,4.17,0.8909090909090909,13
108,0.024,0.72,10,0.9999999999999999,14
109,0.024,0.72,10,0.8787878787878788,15
110,0.024,0.72,3.627,0.9878787878787878,16
111,0.024,0.72,10,0.7454545454545454,0
112,0.024,0.72,3.774,0.9878787878787878,1
113,0.024,0.72,4.117,0.8909090909090909,2
114,0.024,0.72,10,0.5636363636363636,0
115,0.024,0.72,10,0.9999999999999999,1
116,0.024,0.718,4.064,0.9999999999999999,2
117,0.024,0.709,4.067,0.9999999999999999,3
118,0.024,0.694,10,0.3696969696969697,0
119,0.024,0.694,4.372,0.9999999999999999,1
120,0.024,0.694,10,0.22424242424242422,0
121,0.024,0.693,10,0.9515151515151514,1
122,0.024,0.693,10,0.9999999999999999,2
123,0.024,0.693,10,0.9999999999999999,3
124,0.024,0.693,10,0.9999999999999999,4
125,0.024,0.683,10,0.9999999999999999,5
126,0.024,0.683,3.718,0.9999999999999999,6
127,0.024,0.683,3.152,0.9999999999999999,7
128,0.024,0.683,10,0.9999999999999999,8
129,0.024,0.66,4.283,0.9515151515151514,9
130,0.024,0.66,10,0.9999999999999999,10
131,0.024,0.61,3.777,0.9999999999999999,11
132,0.024,0.61,3.814,0.9999999999999999,12
133,0.024,0.587,3.944,0.9999999999999999,13
134,0.024,0.587,3.991,0.9999999999999999,14
135,0.024,0.587,10,0.9999999999999999,15
136,0.024,0.587,10,0.9272727272727272,16
137,0.024,0.587,10,0.6969696969696969,0
138,0.024,0.587,10,0.9878787878787878,1
139,0.024,0.587,4.451,0.5636363636363636,0
140,0.024,0.587,3.287,0.9999999999999999,1
141,0.024,0.587,3.747,0.5636363636363636,0
142,0.024,0.587,3.884,0.9999999999999999,1
143,0.024,0.587,2.807,0.9636363636363635,2
144,0.024,0.587,10,0.9515151515151514,3
145,0.024,0.587,10,0.9999999999999999,4
146,0.024,0.575,10,0.9999999999999999,5
147,0.024,0.575,3.336,0.9999999999999999,6
148,0.024,0.564,10,0.9999999999999999,7
149,0.024,0.564,10,0.9999999999999999,8
150,0.024,0.564,10,0.9878787878787878,9
151,0.024,0.564,10,0.9999999999999999,10
152,0.024,0.564,3.747,0.6606060606060605,0
153,0.024,0.564,3.907,0.9999999999999999,1
154,0.024,0.564,10,0.406060606060606,0
155,0.024,0.564,10,0.6969696969696969,0
156,0.024,0.564,3.646,0.9999999999999999,1
157,0.024,0.564,4.483,0.9999999999999999,2
158,0.024,0.562,3.96,0.9999999999999999,3
159,0.024,0.551,10,0.9999999999999999,4
160,0.024,0.551,10,0.9999999999999999,5
161,0.024,0.537,3.466,0.8909090909090909,6
162,0.024,0.526,3.635,0.9999999999999999,7
163,0.024,0.526,10,0.9999999999999999,8
164,0.024,0.526,3.514,0.9999999999999999,9
165,0.024,0.494,10,0.9999999999999999,10
166,0.024,0.494,3.268,0.9999999999999999,11
167,0.024,0.494,10,0.9878787878787878,12
168,0.024,0.494,3.862,0.9999999999999999,13
169,0.024,0.494,4.515,0.9999999999999999,14
170,0.024,0.494,4.045,0.9999999999999999,15
171,0.024,0.494,3.449,0.6969696969696969,0
