gen,min_score,med_score,max_score,spearman,conv_counter
1,2.025,3.212,10,0,0
2,2.025,2.701,4.515,0.9999999999999999,1
3,1.957,2.36,3.604,0.13939393939393938,0
4,1.957,2.342,10,0.5151515151515151,0
5,1.893,2.294,3.736,0.309090909090909,0
6,1.893,2.227,3.215,0.0303030303030303,0
7,1.893,2.17,3.035,-0.01818181818181818,0
8,1.836,2.139,3.959,0.5151515151515151,0
9,1.332,2.104,3.805,0.709090909090909,0
10,0.427,2.071,10,0.9151515151515152,1
11,0.427,2.025,10,0.6242424242424242,0
12,0.427,2.022,10,0.5515151515151515,0
13,0.427,1.988,10,0.4545454545454545,0
14,0.427,1.927,3.587,0.11515151515151514,0
15,0.427,1.883,10,0.24848484848484845,0
16,0.427,1.77,10,0.8909090909090909,1
17,0.427,1.243,10,-0.5636363636363636,0
18,0.427,1.164,3.661,0.8424242424242423,1
19,0.427,1.082,3.47,0.35757575757575755,0
20,0.427,1.082,10,0.23636363636363633,0
21,0.427,1.051,3.822,0.9878787878787878,1
22,0.427,1.037,4.681,0.9878787878787878,2
23,0.427,1.033,10,0.9878787878787878,3
24,0.427,1.033,3.805,0.9999999999999999,4
25,0.427,1.031,3.141,0.9878787878787878,5
26,0.427,1.023,3.778,0.8060606060606059,6
27,0.427,1.023,3.629,0.22424242424242422,0
28,0.427,1.013,4.108,0.9636363636363635,1
29,0.427,1.013,3.763,0.9878787878787878,2
30,0.427,0.984,3.811,0.8909090909090909,3
31,0.427,0.984,4.408,0.9999999999999999,4
32,0.427,0.984,3.152,0.9999999999999999,5
33,0.427,0.934,4.814,0.9878787878787878,6
34,0.427,0.934,10,0.9999999999999999,7
35,0.427,0.909,4.395,0.8060606060606059,8
36,0.041,0.908,3.901,0.9999999999999999,9
37,0.041,0.882,2.565,0.9999999999999999,10
38,0.041,0.873,10,0.8909090909090909,11
39,0.041,0.873,3.841,0.6606060606060605,0
40,0.041,0.869,3.141,0.9999999999999999,1
41,0.041,0.869,10,0.6848484848484848,0
42,0.041,0.863,10,0.6969696969696969,0
43,0.041,0.855,3.816,0.9757575757575757,1
44,0.041,0.843,2.891,0.8424242424242423,2
45,0.041,0.843,10,0.6121212121212121,0
46,0.041,0.843,10,0.8909090909090909,1
47,0.041,0.843,10,0.9999999999999999,2
48,0.041,0.815,3.906,0.8424242424242423,3
49,0.041,0.815,10,0.9999999999999999,4
50,0.041,0.794,10,0.6969696969696969,0
51,0.041,0.794,3.201,0.9515151515151514,1
52,0.041,0.794,3.686,0.2121212121212121,0
53,0.041,0.794,4.267,0.9999999999999999,1
54,0.041,0.794,3.382,0.6969696969696969,0
55,0.041,0.794,10,0.9878787878787878,1
56,0.041,0.788,4.137,0.9999999999999999,2
57,0.041,0.773,10,0.9999999999999999,3
58,0.041,0.773,4.288,0.5636363636363636,0
59,0.041,0.773,3.809,0.9999999999999999,1
60,0.041,0.769,10,0.9999999999999999,2
61,0.041,0.766,10,0.9999999999999999,3
62,0.041,0.766,10,0.9999999999999999,4
63,0.041,0.766,4.16,0.5636363636363636,0
64,0.041,0.764,4.146,0.9999999999999999,1
65,0.041,0.764,3.621,0.9999999999999999,2
66,0.041,0.764,4.028,0.9999999999999999,3
67,0.041,0.764,3.74,0.9999999999999999,4
68,0.041,0.764,10,0.9878787878787878,5
69,0.041,0.746,10,0.9999999999999999,6
70,0.041,0.746,10,0.9999999999999999,7
71,0.041,0.739,10,0.9999999999999999,8
72,0.041,0.739,10,0.9999999999999999,9
73,0.041,0.731,10,0.9999999999999999,10
74,0.041,0.722,10,0.9999999999999999,11
75,0.041,0.722,4.207,0.9999999999999999,12
76,0.041,0.715,3.237,0.9999999999999999,13
77,0.041,0.715,3.451,0.9999999999999999,14
78,0.041,0.714,3.5,0.9999999999999999,15
79,0.041,0.714,2.646,0.8909090909090909,16
80,0.041,0.714,10,0.9878787878787878,17
81,0.041,0.714,3.045,0.8060606060606059,18
82,0.041,0.714,10,0.9999999999999999,19
83,0.041,0.714,10,0.9999999999999999,20
84,0.041,0.714,10,0.9999999999999999,21
85,0.041,0.714,3.118,0.9999999999999999,22
86,0.041,0.714,3.651,0.9999999999999999,23
87,0.041,0.711,3.111,0.9999999999999999,24
88,0.041,0.711,10,0.8909090909090909,25
89,0.041,0.708,4.243,0.9999999999999999,26
90,0.041,0.693,4.371,0.9999999999999999,27
91,0.041,0.693,10,0.9999999999999999,28
92,0.041,0.668,3.915,0.9999999999999999,29
93,0.041,0.668,3.532,0.9999999999999999,30
94,0.041,0.668,10,0.9515151515151514,31
95,0.041,0.668,10,0.9999999999999999,32
96,0.041,0.668,10,0.9999999999999999,33
97,0.041,0.668,10,0.7454545454545454,0
98,0.041,0.668,10,0.43030303030303024,0
99,0.041,0.668,10,0.9999999999999999,1
100,0.041,0.668,3.978,0.9999999999999999,2
101,0.041,0.668,2.994,0.8909090909090909,3
102,0.041,0.668,10,0.9878787878787878,4
103,0.041,0.653,3.773,0.9999999999999999,5
104,0.041,0.653,3.557,0.8060606060606059,6
105,0.041,0.653,3.503,0.9999999999999999,7
106,0.041,0.653,3.115,0.9999999999999999,8
107,0.041,0.653,10,0.9272727272727272,9
108,0.041,0.653,4.591,0.9999999999999999,10
109,0.041,0.653,10,0.9999999999999999,11
110,0.041,0.653,10,0.5636363636363636,0
111,0.041,0.641,3.041,0.9999999999999999,1
112,0.041,0.641,3.7,0.9999999999999999,2
113,0.041,0.641,4.308,0.9999999999999999,3
114,0.041,0.641,10,0.9999999999999999,4
115,0.041,0.624,10,0.5636363636363636,0
116,0.041,0.624,10,0.9999999999999999,1
117,0.041,0.624,10,0.9999999999999999,2
118,0.041,0.553,2.519,0.9999999999999999,3
119,0.041,0.553,2.252,0.9999999999999999,4
120,0.041,0.553,10,0.9878787878787878,5
121,0.041,0.553,10,0.8909090909090909,6
122,0.041,0.553,3.04,0.9878787878787878,7
123,0.041,0.516,2.96,0.9999999999999999,8
124,0.041,0.516,10,0.9999999999999999,9
125,0.041,0.516,10,0.5636363636363636,0
126,0.041,0.516,3.906,0.9999999999999999,1
127,0.041,0.516,3.297,0.9999999999999999,2
128,0.041,0.491,3.344,0.9999999999999999,3
129,0.041,0.491,3.33,0.9999999999999999,4
130,0.041,0.491,10,0.9999999999999999,5
131,0.041,0.491,3.284,0.9515151515151514,6
132,0.041,0.491,3.411,0.8909090909090909,7
133,0.041,0.491,3.374,0.9999999999999999,8
134,0.041,0.491,10,0.9999999999999999,9
135,0.041,0.491,3.041,0.9999999999999999,10
136,0.041,0.491,10,0.9393939393939393,11
137,0.041,0.491,3.862,0.9878787878787878,12
138,0.041,0.491,3.398,0.8060606060606059,13
139,0.041,0.491,3.003,0.9999999999999999,14
140,0.041,0.491,2.912,0.9999999999999999,15
141,0.041,0.491,10,0.9999999999999999,16
142,0.041,0.491,10,0.8060606060606059,17
143,0.041,0.487,2.709,0.9999999999999999,18
144,0.041,0.487,10,0.8060606060606059,19
145,0.041,0.487,10,0.8060606060606059,20
146,0.041,0.487,10,0.9999999999999999,21
147,0.041,0.487,3.731,0.9999999999999999,22
148,0.041,0.487,10,0.9999999999999999,23
149,0.041,0.487,2.743,0.9999999999999999,24
150,0.041,0.483,10,0.9999999999999999,25
151,0.041,0.483,10,0.8060606060606059,26
152,0.041,0.483,10,0.9999999999999999,27
153,0.041,0.483,10,0.9999999999999999,28
154,0.041,0.483,10,0.9999999999999999,29
155,0.041,0.483,10,0.9999999999999999,30
156,0.041,0.483,10,0.9999999999999999,31
157,0.041,0.483,10,0.9999999999999999,32
158,0.041,0.469,10,0.9878787878787878,33
159,0.041,0.469,10,0.9999999999999999,34
160,0.041,0.469,10,0.9999999999999999,35
161,0.041,0.469,10,0.9999999999999999,36
162,0.041,0.469,10,0.9999999999999999,37
163,0.041,0.464,3.013,0.9999999999999999,38
164,0.041,0.464,10,0.9999999999999999,39
165,0.041,0.464,10,0.9999999999999999,40
166,0.041,0.464,10,0.9999999999999999,41
167,0.041,0.457,10,0.9999999999999999,42
168,0.041,0.453,10,0.9999999999999999,43
169,0.041,0.453,3.804,0.9999999999999999,44
170,0.041,0.45,10,0.9999999999999999,45
171,0.041,0.45,3.451,0.9999999999999999,46
