gen,min_score,med_score,max_score,spearman,conv_counter
1,0.494,2.578,4.625,0,0
2,0.494,2.359,10,0.9999999999999999,1
3,0.494,2.219,10,-0.22424242424242422,0
4,0.494,2.118,4.665,0.2727272727272727,0
5,0.494,1.985,3.391,0.6848484848484848,0
6,0.274,1.89,3.398,-0.06666666666666665,0
7,0.274,1.868,4.56,0.06666666666666665,0
8,0.118,1.671,4.197,0.709090909090909,0
9,0.118,1.543,2.615,0.28484848484848485,0
10,0.118,1.103,10,0.7939393939393938,0
11,0.118,1.098,4.107,-0.12727272727272726,0
12,0.118,1.079,2.7,0.8424242424242423,1
13,0.118,1.032,10,0.8424242424242423,2
14,0.118,1.032,4.272,0.32121212121212117,0
15,0.118,0.989,10,0.9999999999999999,1
16,0.118,0.958,10,0.6242424242424242,0
17,0.118,0.857,10,0.9272727272727272,1
18,0.118,0.852,10,0.9999999999999999,2
19,0.118,0.835,10,0.9878787878787878,3
20,0.118,0.815,3.791,0.8787878787878788,4
21,0.118,0.773,10,0.9999999999999999,5
22,0.118,0.773,4.514,0.8545454545454544,6
23,0.118,0.773,3.751,0.8303030303030302,7
24,0.118,0.773,4.432,0.49090909090909085,0
25,0.118,0.773,4.658,0.8060606060606059,1
26,0.041,0.764,10,0.9999999999999999,2
27,0.041,0.764,10,0.6242424242424242,0
28,0.041,0.759,3.041,0.22424242424242422,0
29,0.041,0.759,4.018,0.05454545454545454,0
30,0.041,0.759,10,0.9515151515151514,1
31,0.041,0.715,3.377,0.9999999999999999,2
32,0.041,0.668,4.132,0.9999999999999999,3
33,0.041,0.655,4.027,0.9999999999999999,4
34,0.041,0.655,3.29,0.8909090909090909,5
35,0.041,0.655,3.579,0.9878787878787878,6
36,0.041,0.655,2.99,0.9999999999999999,7
37,0.041,0.655,3.927,0.5515151515151515,0
38,0.041,0.616,3.319,0.8909090909090909,1
39,0.041,0.604,3.951,0.9999999999999999,2
40,0.041,0.604,2.486,0.9999999999999999,3
41,0.041,0.604,10,0.9515151515151514,4
42,0.041,0.604,3.46,0.9515151515151514,5
43,0.041,0.551,10,0.9878787878787878,6
44,0.041,0.551,10,0.9999999999999999,7
45,0.041,0.551,4.033,0.9999999999999999,8
46,0.041,0.551,3.05,0.9999999999999999,9
47,0.041,0.551,10,0.9999999999999999,10
48,0.041,0.551,10,0.9999999999999999,11
49,0.041,0.549,3.689,0.9999999999999999,12
50,0.041,0.549,10,0.9999999999999999,13
51,0.041,0.539,3.776,0.8060606060606059,14
52,0.041,0.537,4.428,0.9999999999999999,15
53,0.041,0.537,4.604,0.9999999999999999,16
54,0.041,0.537,4.5,0.9878787878787878,17
55,0.041,0.494,10,0.8909090909090909,18
56,0.041,0.494,3.758,0.4545454545454545,0
57,0.041,0.494,10,0.9999999999999999,1
58,0.041,0.487,3.945,0.8909090909090909,2
59,0.041,0.487,2.952,0.8909090909090909,3
60,0.041,0.487,10,0.8909090909090909,4
61,0.041,0.487,4.032,0.8060606060606059,5
62,0.041,0.487,4.426,0.9999999999999999,6
63,0.041,0.487,3.599,0.9999999999999999,7
64,0.041,0.487,4.548,0.9999999999999999,8
65,0.041,0.487,4.379,0.9999999999999999,9
66,0.041,0.487,10,0.9999999999999999,10
67,0.041,0.487,3.578,0.9272727272727272,11
68,0.041,0.487,10,0.9999999999999999,12
69,0.041,0.487,4.308,0.9999999999999999,13
70,0.041,0.487,3.102,0.9999999999999999,14
71,0.041,0.487,4.293,0.9999999999999999,15
72,0.041,0.487,10,0.9999999999999999,16
73,0.041,0.487,3.001,0.9999999999999999,17
74,0.041,0.487,4.419,0.9999999999999999,18
75,0.041,0.487,10,0.8909090909090909,19
76,0.041,0.487,3.149,0.8909090909090909,20
77,0.041,0.487,3.874,0.8909090909090909,21
78,0.041,0.487,4.457,0.9999999999999999,22
79,0.041,0.487,2.508,0.8060606060606059,23
80,0.041,0.483,4.886,0.9878787878787878,24
81,0.041,0.483,3.732,0.9999999999999999,25
82,0.041,0.483,3.472,0.9999999999999999,26
83,0.041,0.483,3.057,0.9999999999999999,27
84,0.041,0.483,3.874,0.9999999999999999,28
85,0.041,0.483,3.599,0.9999999999999999,29
86,0.041,0.483,10,0.9999999999999999,30
87,0.041,0.483,10,0.9999999999999999,31
88,0.041,0.483,4.073,0.9999999999999999,32
89,0.041,0.483,3.992,0.9999999999999999,33
90,0.041,0.483,4.308,0.9999999999999999,34
91,0.041,0.483,10,0.9999999999999999,35
92,0.041,0.483,4.283,0.9999999999999999,36
93,0.041,0.483,2.931,0.8909090909090909,37
94,0.041,0.457,4.886,0.9999999999999999,38
95,0.041,0.457,3.021,0.9999999999999999,39
96,0.041,0.457,2.925,0.9999999999999999,40
97,0.041,0.457,3.963,0.9999999999999999,41
98,0.041,0.457,4.379,0.9999999999999999,42
99,0.041,0.457,10,0.9999999999999999,43
100,0.041,0.457,2.89,0.9878787878787878,44
101,0.041,0.457,3.38,0.9999999999999999,45
102,0.041,0.457,10,0.9999999999999999,46
103,0.041,0.457,3.199,0.9999999999999999,47
104,0.041,0.457,3.904,0.9999999999999999,48
105,0.041,0.457,3.226,0.9999999999999999,49
106,0.041,0.457,10,0.9999999999999999,50
