gen,min_score,med_score,max_score,spearman,conv_counter
1,455.765937,687.510042,1102.364422,0,0
2,343.903104,729.163589,1102.364422,0.9999999999999999,1
3,607.889807,831.03127,1450.319719,-0.04242424242424241,0
4,525.040871,933.91456,1450.319719,-0.24848484848484845,0
5,613.001191,940.839787,1450.319719,0.28484848484848485,0
6,465.849511,952.186812,1450.319719,0.309090909090909,0
7,602.805339,1004.271165,1450.319719,0.8303030303030302,1
8,557.868188,1027.667665,1843.533383,0.07878787878787878,0
9,621.394544,1039.70001,1843.533383,0.7818181818181817,0
10,662.102562,1102.364422,1843.533383,0.8909090909090909,1
11,661.363281,1261.853219,1843.533383,0.05454545454545454,0
12,771.545243,1348.211344,2316.92827,0.4787878787878787,0
13,881.465642,1391.340875,2316.92827,0.1515151515151515,0
14,565.913867,1402.89653,2316.92827,0.8424242424242423,1
15,714.3008,1450.319719,2316.92827,0.49090909090909085,0
16,671.626174,1511.773991,2316.92827,0.2606060606060606,0
17,686.350633,1519.97132,2316.92827,0.8060606060606059,1
18,692.713861,1529.51698,2316.92827,0.6969696969696969,0
19,646.133754,1533.941523,2316.92827,0.5151515151515151,0
20,591.129833,1550.577195,2316.92827,0.7575757575757575,0
21,495.988092,1553.283458,2316.92827,0.9999999999999999,1
22,491.066921,1580.462369,2316.92827,0.8060606060606059,2
23,577.299677,1584.808525,2316.92827,0.9999999999999999,3
24,754.597448,1599.057045,2316.92827,0.9999999999999999,4
25,646.343934,1625.799449,2316.92827,0.13939393939393938,0
26,730.588887,1625.799449,2316.92827,0.9999999999999999,1
27,746.624727,1611.973943,2316.92827,0.9999999999999999,2
28,350.597987,1519.97132,2316.92827,0.9515151515151514,3
29,611.246344,1647.827322,2316.92827,0.5636363636363636,0
30,651.340372,1661.757852,2316.92827,0.6969696969696969,0
31,646.937346,1639.365907,2316.92827,-0.006060606060606061,0
32,866.51425,1630.300141,2316.92827,0.9999999999999999,1
33,795.348393,1536.070777,2316.92827,0.9999999999999999,2
34,756.815769,1681.431189,2316.92827,0.7212121212121211,0
