gen,min_score,med_score,max_score,spearman,conv_counter
1,451.511778,780.828862,1206.659178,0,0
2,509.039627,875.2606,1206.659178,0.9999999999999999,1
3,626.189418,927.872411,1206.659178,-0.6727272727272726,0
4,746.997713,999.740449,1359.28152,0.05454545454545454,0
5,531.157304,1055.558087,1412.279744,0.29696969696969694,0
6,773.602974,1105.05711,1539.117212,0.33333333333333326,0
7,676.994346,1144.776443,1539.117212,0.8787878787878788,1
8,808.155867,1219.958727,1833.139491,0.2606060606060606,0
9,768.175264,1242.462825,1833.139491,-0.11515151515151514,0
10,556.549918,1303.725366,1890.822818,0.6484848484848483,0
11,655.062552,1338.171415,1890.822818,0.6848484848484848,0
12,741.196957,1353.751364,1890.822818,0.9757575757575757,1
13,707.344039,1363.284754,1890.822818,0.8303030303030302,2
14,495.768357,1412.516606,1890.822818,0.8909090909090909,3
15,767.251446,1481.002977,1890.822818,0.41818181818181815,0
16,968.447722,1539.117212,2316.92827,0.35757575757575755,0
17,803.636722,1550.442344,2316.92827,0.13939393939393938,0
18,703.931619,1596.181614,2378.344006,0.9878787878787878,1
19,708.898965,1611.43972,2378.344006,0.9515151515151514,2
20,644.213456,1612.118872,2378.344006,0.9999999999999999,3
21,719.609493,1640.979323,2378.344006,0.7939393939393938,0
22,690.2604,1629.650872,2378.344006,0.9999999999999999,1
23,851.130796,1656.40141,2456.700557,0.9878787878787878,2
24,694.378481,1691.077823,2456.700557,0.9878787878787878,3
25,698.597478,1710.196716,2456.700557,0.8060606060606059,4
26,631.99438,1763.307622,2456.700557,0.9999999999999999,5
27,916.413688,1783.253912,2456.700557,0.9999999999999999,6
28,786.271825,1780.370142,2456.700557,0.9999999999999999,7
29,623.862091,1812.01783,2456.700557,0.7454545454545454,0
30,881.416258,1831.42039,2456.700557,0.8060606060606059,1
31,734.188234,1850.946584,2456.700557,0.9878787878787878,2
32,900.112021,1863.074411,2456.700557,0.6848484848484848,0
33,704.052961,1833.139491,2456.700557,0.3696969696969697,0
34,496.786819,1873.467219,2456.700557,0.5636363636363636,0
35,704.750084,1873.467219,2456.700557,0.4424242424242424,0
36,782.087231,1888.629765,2456.700557,0.9999999999999999,1
37,846.667703,1892.876183,2456.700557,0.8060606060606059,2
